Gene ID	Definition	Accession number	Fold change	Functional annotation
LOC653471	PREDICTED: similar to Ribosome biogenesis protein BMS1 homolog, transcript variant 2	XM_934211.1	-2.56	NA
LOC440900	PREDICTED: hypothetical LOC440900	XM_498909.2	-2.81	Transporter activity, transmembrane protein, cell morphology, cell growth, cell differentiation,
SLC3A2	Solute carrier family 3, member 2, transcript variant 1	NM_001012661.1	-2.81	Generation of precursor metabolites and energy, respons to stimulus
NQO1	NAD(P)H dehydrogenase, quinone 1, transcript variant 1	NM_000903.2	-2.83	Growth factor activity, cell communication
GDF15	Growth differentiation factor 15	NM_004864.1	-2.85	Cell activation, immune system process
ULBP1	UL16 binding protein 1	NM_025218.2	-2.86	Transporter activity, transmembrane protein, cell morphology, cell growth, cell differentiation,
SLC3A2	Solute carrier family 3, member 2, transcript variant 6	NM_001013251.1	-2.86	Nervous system development, cell communication
DSCR1	Down syndrome critical region gene 1, transcript variant 3	NM_203418.1	-2.95	NA
LOC653388	PREDICTED: similar to SMA4	XM_931940.1	-3	Lipid metabolic process
HMFN0839	Hypothetical protein MGC11324	NM_032717.3	-3.06	NA
ARRDC4	Arrestin domain containing 4	NM_183376.1	-3.1	NA
NA	DKFZp686C15231_r1 686 (synonym: hlcc3) cDNA clone DKFZp686C15231 5	BX482494	-3.14	NA
LOC88523	CG016	NM_033111.2	-3.29	Developmental process, apoptosis
SERPINB2	Serpin peptidase inhibitor, clade B, member 2	NM_002575.1	-3.31	Response to reactive oxygen species, response to DNA damage stimulus, cell cycle arrest, inhibition of CREB transcription factor
DDIT3	DNA-damage-inducible transcript 3	NM_004083.4	-3.31	NA
BIRC4BP	XIAP associated factor-1, transcript variant 2	NM_199139.1	-3.4	p53 signaling pathway, cell cycle arrest,regulation of cell cycle
SESN2	Sestrin 2	NM_031459.3	-3.77	NA
C8orf13	Chromosome 8 open reading frame 13	NM_053279.1	-4.18	NA
TRIB3	Tribbles homolog 3	NM_021158.3	-4.3	Apoptosis, transcription regulation
ADM2	Adrenomedullin 2	NM_024866.3	-4.66	Hormone activity
RELN	Reelin, transcript variant 1	NM_005045.2	-7.17	Cell morphogenesis, cell communication, response to stress, cell adhesion, nervous system development
CHAC1	ChaC, cation transport regulator-like 1	NM_024111.2	-7.83	Protein binding
TXNIP	Thioredoxin interacting protein	NM_006472.1	-13.12	Cell cycle, response to stress
