I	P	GenBank ID	Symbol	Description	Cancer
0.68	0.01	W96110	ZNF281	Zinc-finger protein 281	Adenocarcinoma
0.99	0.01	AA234175	SNRPG	Small nuclear ribonucleoprotein polypeptite G	Adenocarcinoma
0.6	0.01	H61870	DKFZP564F1123	DKFZP564F1123	Adenocarcinoma
–0.98	0.01	AI245329		EST	Adenocarcinoma
0.84	0.01	AA609161	FLJ20485	FLJ20485	Adenocarcinoma
–0.68	0.01	N74114	CSNK1A1	Casein kinase 1, alpha 1	Adenocarcinoma
–0.85	0.01	AA400577		EST	Adenocarcinoma
0.7	0.01	X77197	CLCN4	Chloride channel 4	Adenocarcinoma
–0.99	0.001	R15913		EST	Adenocarcinoma
–0.71	0.001	W69716	DKFZp761P06121	DKFZp761P06121	Adenocarcinoma
–0.99	0.01	AI141923		EST	Adenocarcinoma
–0.88	0.01	AA416852	UBL3	Ubiquitin-like 3	Adenocarcinoma
0.84	0.01	AA448270		EST	Adenocarcinoma
–0.64	0.01	AI344138	FLJ22288	FLJ22288	Adenocarcinoma
–0.66	0.01	U63295	SIAH1	Seven in absentia(Drosophila) homolog 1	Adenocarcinoma
0.58	0.01	X57347	YWHAQ	Tyrosine 3-monooxygenase/5-monooxygenase activation protein	Adenocarcinoma
–0.59	0.01	AA033913	COL17A1	Collagen type XVII, alpha 1	Adenocarcinoma
0.55	0.01	AA916688	BRF1	Butyrate response factor 1 (EGF-response factor 1)	Adenocarcinoma
0.8	0.01	M74099	CUTL1	Cut (Drosophila)-like 1 (CCAAT displacement protein)	Adenocarcinoma
0.59	0.01	W93907	LC27	Putative integral membrane transporter	Adenocarcinoma
–0.54	0.01	AI089798	FLJ21801	FLJ21801	Adenocarcinoma
0.58	0.01	X99584	SMT3H1	SMT3 (suppressor of mif two 3 yeast) homolog 1	Adenocarcinoma
–0.82	0.01	AA868848	ELSPBP1	Epididymal sperm binding protein 1	Adenocarcinoma
–0.83	0.01	AI039501		EST	Adenocarcinoma
–0.77	0.01	M78581	STAM2	STAM-like protein containing SH3 and ITAM domains 2	Adenocarcinoma
0.6	0.01	J04823	COX8	Cytochrome C oxidase subunit VIII	Adenocarcinoma
–0.88	0.01	AA613031	FLJ12534	FLJ12534	Adenocarcinoma
–0.57	0.01	AA478923	FLJ20559	FLJ20559	Adenocarcinoma
–0.99	0.001	K02581	TK1	Thymidine kinase 1, soluble	Squamous cell carcinoma
–0.96	0.001	N29328	PPP4R1	Protein phosphatase 4, regulatory subunit 1	Squamous cell carcinoma
0.96	0.001	AA405684	HNRPA1	Heterogeneous nuclear, ribonucleoprotein A1	Squamous cell carcinoma
–0.98	0.001	AB014522	KIAA0622	KIAA0622	Squamous cell carcinoma
0.95	0.001	AA 149846	DKFZp762B195	DKFZp762B195	Squamous cell carcinoma
0.95	0.001	AI052701	FLJ11223	FLJ11223	Squamous cell carcinoma
0.88	0.01	C18915	KIAA1728	KIAA1728	Squamous cell carcinoma
0.87	0.01	M77234	RPS3A	Ribosomal protein S3A	Squamous cell carcinoma
0.96	0.01	AA101834	STIM1	Stromal interaction molecule 1	Squamous cell carcinoma
0.89	0.01	L40027	GSK3A	Glycogen synthase kinase 3 alpha	Squamous cell carcinoma
0.91	0.01	D82348	ATIC	5 aminomidazole-4-carboxamide ribonucleotide formyltransferase	Squamous cell carcinoma
0.93	0.01	AA252473		EST	Squamous cell carcinoma
0.9	0.01	J03592	SLC25A6	Solute carrier family 25, member 6	Squamous cell carcinoma
0.91	0.01	AA804519		EST	Squamous cell carcinoma
0.88	0.01	AI341755		EST	Squamous cell carcinoma
0.89	0.01	A1131289	RPLP2	Ribosomal protein, large P2	Squamous cell carcinoma
0.87	0.01	AA399095	DKFZp434P1215	DKFZp434P1215	Squamous cell carcinoma
0.89	0.01	AA724079	FLJ 13458	FLJ13458	Squamous cell carcinoma
0.9	0.01	U81504	AP3B1	Adaptor-related protein complex 3, beta 1 subunit	Squamous cell carcinoma
0.9	0.01	M31520	RPS24	Ribosomal protein S24	Squamous cell carcinoma
0.87	0.001	AA777648	PMP22	Peripheral myelin protein 22	Squamous cell carcinoma
0.86	0.001	AI336458	C40	Hypothetical protein	Squamous cell carcinoma
–0.99	0.001	AI289045		EST	Squamous cell carcinoma
0.91	0.001	AA703807		EST	Squamous cell carcinoma
0.88	0.001	R55001	FLJ12777	FLJ 12777	Squamous cell carcinoma
–0.85	0.001	D82061	FABGL	FabG like	Squamous cell carcinoma
–0.74	0.01	AI253058	FLJ13558	FLJ 13558	Squamous cell carcinoma
0.86	0.01	AK024605	FLJ20952	FLJ20952	Squamous cell carcinoma
–0.77	0.01	M26252	PKM2	Pyruvate kinase, muscle	Squamous cell carcinoma
–0.8	0.01	D38251	POLR2E	Polymerase (RNA) II polypeptide E (25 kDa)	Squamous cell carcinoma
–0.89	0.01	U49260	MVD	Mevalonate (diphospho) decarboxylase	Squamous cell carcinoma
0.96	0.01	AA101954		EST	Squamous cell carcinoma
–0.77	0.01	AA639187	XRN2	5–3 exoribonuclease 2	Squamous cell carcinoma
0.81	0.01	AI357442	SPARO	Secreted protein, acidic, cysteine-rich (osteonectin)	Squamous cell carcinoma
–0.82	0.01	AA994736	NFYB	Nuclear transcription factor Y, beta	Squamous cell carcinoma
0.78	0.01	AI034168		EST	Squamous cell carcinoma
0.74	0.01	AF063301	KERA	Keratochain	Squamous cell carcinoma
–0.8	0.01	U68418	BCAT2	Branched Chain aminotransferase 2, mitochondrial	Squamous cell carcinoma
0.98	0.01	AI264312	TNRC1	Trinucleotide repeat containing 1	Squamous cell carcinoma
–0.99	0.01	M14502	ARG1	Argirnase, liver	Squamous cell carcinoma
–0.9	0.001	AI091992	FLJ 13090	FLJ 13090	Squamous cell carcinoma
–0.95	0.001	T03322	ENC1	Ectodermal-neural cortex (with BTB-like domain)	Squamous cell carcinoma
0.9	0.001	S53911	CD34	CD34 antigen	Squamous cell carcinoma
0.94	0.001	AF037261	SCAM	Vinexin beta (SH3-containing adaptor molecule)	Squamous cell carcinoma
–0.94	0.001	AJ223828	SGT	Small glutamine-rich tetratricopeptide repeat (TPR), containing	Squamous cell carcinoma
0.88	0.001	AF056929	SARCOSIN	Sarcomeric muscle protein	Squamous cell carcinoma
-0.89	0.001	AA096332		EST	Squamous cell carcinoma
0.87	0.001	U18728	LUM	Lumican	Squamous cell carcinoma
0.85	0.001	AF016507	CTBP2	C-terminal binding protein 2	Squamous cell carcinoma
0.87	0.001	U53445	DOC1	Downregulated in ovarian cancer 1	Squamous cell carcinoma
0.86	0.001	AF028824	C19ORF3	Chromosome 19 open reading frame 3	Squamous cell carcinoma
–0.92	0.001	AI221789		EST	Squamous cell carcinoma
0.85	0.001	N20907	SLC11A2	Solute carrier family 11, member 2	Squamous cell carcinoma
–0.78	0.01	AA922674	HSXQ28ORF	Xq28, 2000 bp sequence contg. ORF	Squamous cell carcinoma
–0.84	0.01	AI299327		EST	Squamous cell carcinoma
0.88	0.01	AI357082	AUTL1	AUT (S-cerevisiae) like 1-cysteine endopeptidase	Squamous cell carcinoma
–0.79	0.01	AA442115	SM-20	Similar to rat smooth muscle protein SM-20	Squamous cell carcinoma
0.74	0.01	AA961099	ZFR	Likely ortholog of mouse zinc- finger protein Zfr	Squamous cell carcinoma
-0.81	0.01	R48358	KIAA1067	KIAA 1067	Squamous cell carcinoma
–0.74	0.01	AI188134	POLA2	Polymerase (DMA-directed), alpha (70 kDa)	Squamous cell carcinoma
–0.85	0.001	M72709	SFRS1	Splicing factor arginine/serine-rich 1	Squamous cell carcinoma
–0.87	0.001	AA922674	HSXQ280RF	Xq28 2000 bp sequence contg. ORF	Squamous cell carcinoma
–0.88	0.001	AI167680	KIAA0643	KIAA0643	Squamous cell carcinoma
0.92	0.001	AF037261	SCAM	Vinexin beta	Squamous cell carcinoma
–0.99	0.001	AA829781	FLJ20356	FLJ20356	Squamous cell carcinoma
–0.99	0.001	AA214244	FLJ21652	FLJ21652	Squamous cell carcinoma
–0.99	0.001	AA781084		EST	Squamous cell carcinoma
0.99	0.001	L11708	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	Squamous cell carcinoma
–0.99	0.001	AA287426	CGGBP1	CGG triplet repeat binding protein 1	Squamous cell carcinoma
0.97	0.001	R61689	ABCA2	ATP-binding cassette, subfamily A (ABC1), member 2	Squamous cell carcinoma
0.86	0.001	AA670141	PRKDC	Protein kinase. DNA-activated, catalytic polypeptide	Squamous cell carcinoma
–0.75	0.01	W68835	FLJ20671	FLJ20671	Squamous cell carcinoma
–0.73	0.01	AA854953	KAI1	Kangai 1	Squamous cell carcinoma
0.8	0.01	N23265		EST	Squamous cell carcinoma
–0.85	0.01	AA031293	KIAA0187	KIAA0187	Squamous cell carcinoma
0.74	0.01	M64929	PPP2R2A	Protein phosphatase 2, regulatory subunit B, alpha isoform	Squamous cell carcinoma
0.81	0.01	AA677094		EST	Squamous cell carcinoma
0.75	0.01	H06819	FLJ10846	FLJ10846	Squamous cell carcinoma
–0.99	0.01	AF007144	DIO2	Deiodinase iodothyronine, type II	Squamous cell carcinoma
0.8	0.01	AA012832		EST	Squamous cell carcinoma
					Squamous cell carcinoma
CDDP					Squamous cell carcinoma
0.89	0.001	AF010313	PIG8	Eloposide-induced mRNA	Squamous cell carcinoma
0.9	0.001	AI185073	FLJ20752	FLG20752	Squamous cell carcinoma
0.87	0.001	AA278338	LOC51240	LOC51240	Squamous cell carcinoma
0.92	0.001	AA621360	FLJ20602	FLJ20602	Squamous cell carcinoma
–0.93	0.001	D79646		EST	Squamous cell carcinoma
0.9	0.001	AK024920	FLJ20152	FLJ20152	Squamous cell carcinoma
0.75	0.01	AA843420	NDUFB3	NADH dehydrogenase 1 beta subcomplex, 3	Squamous cell carcinoma
–0.83	0.01	D87953	NDRG1	N-myc downstream regulated	Squamous cell carcinoma
–0.76	0.01	X57351	IFITM2	Interferon-induced transmembrane protein 2 (1-8D)	Squamous cell carcinoma
0.79	0.01	AA479969		EST	Squamous cell carcinoma
–0.76	0.01	AB014549	KIAA0649	KIAA0649	Squamous cell carcinoma
0.87	0.01	AA703632		EST	Squamous cell carcinoma
0.78	0.01	AI267313	MYO10	Myosin X	Squamous cell carcinoma
0.92	0.01	M16961	AHSG	Alpha-2-HS-glycoprotein	Squamous cell carcinoma
0.78	0.01	AA775500	HsPOX2	Proline oxidase 2	Squamous cell carcinoma
0.96	0.01	U96628	PDCD4	Programmed cell death 4	Squamous cell carcinoma
–0.81	0.01	X06994	CYC1	Cytochrome C	Squamous cell carcinoma
0.76	0.01	AI031659	REST	RE1-silencing transcription factor	Squamous cell carcinoma
0.95	0.01	NM_002350	LYN	v-yes Yamaguchi sarcoma viral related oncogene homolog	Squamous cell carcinoma
0.98	0.01	X84721	CCNK	Cyclin K	Squamous cell carcinoma
–0.93	0.001	L19161	EIF2S3	Eukaryotic translation initiation factor 2, subunit 3	Squamous cell carcinoma
–0.85	0.001	AF026292	CCT7	Chaperonin containing TCP1, subunit 7 (eta)	Squamous cell carcinoma
–0.99	0.001	AF038535	SYT7	Synaptotagmin 7	Squamous cell carcinoma
–0.92	0.001	M10036	TPI1	Triosephosphate isomerase 1	Squamous cell carcinoma
–0.94	0.001	AI299327		EST	Squamous cell carcinoma
0.88	0.001	AI346969	TRIM14	Tripartite motif-containing 14	Squamous cell carcinoma
–0.87	0.001	U83843	NIP7-1	HIV-1 Nef interacting protein	Squamous cell carcinoma
-0.9	0.001	N29328	PPP4R1	Protein phosphatase 4, regulatory subunit 1	Squamous cell carcinoma
–0.89	0.01	S62077	CBX5	Chromobox homolog 5 (Drosophila HP1 alpha)	Squamous cell carcinoma
–0.86	0.01	M20543	ACTA1	Actin, alpha 1, skeletal muscle	Squamous cell carcinoma
0.96	0.01	AA157004	LOC55972	Mitochondrial carrier family protein	Squamous cell carcinoma
–0.74	0.01	AI161158	TUBB5	Tubulin beta-5	Squamous cell carcinoma
0.82	0.01	Z23064	RBMX	RNA binding motif protein X chromosome	Squamous cell carcinoma
0.82	0.01	L05568	SLC6A4	Solute carrier family 6 member 4	Squamous cell carcinoma
–0.84	0.01	X76302	RY1	Putative nucleic acid binding protein RY	Squamous cell carcinoma
–0.75	0.01	AA620918	ADCY3	Adenylate cyclase 3	Squamous cell carcinoma
0.75	0.01	D86479	AEBP1	AE-binding protein 1	Squamous cell carcinoma
0.74	0.01	AA865734		EST	Squamous cell carcinoma
0.8	0.01	M57230	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	Squamous cell carcinoma
0.75	0.01	M10321	VWF	von Willebrand factor	Squamous cell carcinoma
