UniGene ID	Gene title	Gene symbol	Chromosomal location
Hs.570374	DNA (cytosine-5-)-methyltransferase 3 beta	DNMT3B	chr20q11.2
Hs.317659	Developmental pluripotency associated 4	DPPA4	chr3q13.13
Hs.533644	dpy-19-like 2 (C. elegans)	DPY19L2	chr12q14.2
Hs.412597	Desmoglein 2	DSG2	chr18q12.1
Hs.504765	Ets variant gene 6 (TEL oncogene)	ETV6	chr12p13
Hs.638714	Family with sequence similarity 30, member A	FAM30A	chr14q32.33
Hs.29725	Hypothetical protein FLJ13197	FLJ13197	chr4p14
Hs.50802	Hypothetical protein FLJ14712	FLJ14712	chr7p21.3
Hs.148768	Hypothetical protein FLJ36166	FLJ36166	chr7q22.1
Hs.134090	Hypothetical protein FLJ38379	FLJ38379	chr2q37.3
Hs.507590	fms-related tyrosine kinase 3	FLT3	chr13q12
Hs.367725	GATA binding protein 2	GATA2	chr3q21.3
Hs.73797	Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	GNA15	chr19p13.3
Hs.318894	G protein-coupled receptor 126	GPR126	chr6q24.1
Hs.24258	Guanylate cyclase 1, soluble, alpha 3	GUCY1A3	chr4q31.3-q33
Hs.620129	Glucuronidase, beta pseudogene 1	GUSBP1	chr5q13.2
Hs.302145	Hemoglobin, gamma G	HBG1	chr11p15.5
Hs.196952	Hepatic leukemia factor	HLF	chr17q22
Hs.110637	Homeobox A9	HOXA9	chr7p15-p14
Hs.248136	5-hydroxytryptamine (serotonin) receptor 1F	HTR1F	chr3p12
Hs.348935	Immunoglobulin lambda-like polypeptide 1	IGLL1	chr22q11.23
Hs.113157	Integrin, alpha 9	ITGA9	chr3p21.3
Hs.632338	KIAA0125	KIAA0125	chr14q32.33
Hs.479754	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	chr4q11-q12
Hs.492314	Lysosomal associated protein transmembrane 4 beta	LAPTM4B	chr8q22.1
Hs.34560	LIM domain only 2 (rhombotin-like 1)	LMO2	chr11p13
Hs.130714	Similar to HSPC323	LOC284422	chr19p13.3
Hs.370475	LUC7-like 2 (S. cerevisiae)	LUC7L2	chr7q34
Hs.486548	Microtubule-associated protein 7	MAP7	chr6q23.3
Hs.377830	Membrane bound O-acyltransferase domain containing 1	MBOAT1	chr6p22.3
Hs.592017	Multiple C2 domains, transmembrane 2	MCTP2	chr15q26.2
Hs.526754	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	MEIS1	chr2p14-p13
Hs.270978	Mesoderm specific transcript homolog (mouse)	MEST	chr7q32
Hs.168799	Methyltransferase like 3	METTL3	chr14q11.1
Hs.591085	Myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	MLLT3	chr9p22
Hs.82906	Myeloproliferative leukemia virus oncogene	MPL	chr1p34
Hs.458272	Myeloperoxidase	MPO	chr17q23.1
Hs.289795	Metallophosphoesterase domain containing 2	MPPED2	chr11p13
Hs.585782	Musashi homolog 2 (Drosophila)	MSI2	chr17q22
Hs.339024	Methionine sulfoxide reductase B3	MSRB3	chr12q14.3
Hs.531941	v-myb myeloblastosis viral oncogene homolog (avian)	MYB	chr6q22-q23
Hs.25960	v-myc myelocytomatosis viral related oncogene, neuroblastoma	MYCN	chr2p24.1
Hs.487036	Myosin VC	MYO5C	chr15q21
Hs.21365	Nucleosome assembly protein 1-like 3	NAP1L3	chrXq21.3-q22
Hs.237028	Natriuretic peptide receptor C/guanylate cyclase C	NPR3	chr5p14-p13
Hs.79881	Purinergic receptor P2Y, G-protein coupled, 1	P2RY1	chr3q25.2
Hs.369984	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	PAN3	chr13q12.2
Hs.191046	Phosphodiesterase 1A, calmodulin-dependent	PDE1A	chr2q32.1
Hs.481819	PDZ domain containing 2	PDZD2	chr5p13.3
Hs.128433	Prostaglandin D2 synthase, hematopoietic	PGDS	chr4q22.3
Hs.435479	Protein phosphatase 1H (PP2C domain containing)	PPM1H	12q14.1-q14.2
Hs.479220	Prominin 1	PROM1	chr4p15.32
Hs.446083	Protein tyrosine phosphatase, receptor type, D	PTPRD	chr9p23-p24.3
Hs.113912	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2	chr4q32.1
Hs.485938	Ras-related GTP binding D	RRAGD	chr6q15-q16
Hs.591445	Sterile alpha motif domain containing 13	SAMD13	chr1p31.1
Hs.379191	Stearoyl-CoA desaturase 5	SCD5	chr4q21.22
Hs.435274	Sodium channel, voltage-gated, type III, alpha	SCN3A	chr2q24
Hs.520319	Solute carrier family 22 (organic cation transporter), member 16	SLC22A16	chr6q22.1
Hs.40510	Solute carrier family 25, member 27	SLC25A27	chr6p11.2-q12
Hs.530003	Solute carrier family 2 (facilitated glucose/fructose transporter), 5	SLC2A5	chr1p36.2
Hs.272284	SLIT and NTRK-like family, member 4	SLITRK4	chrXq27.3
Hs.485572	Suppressor of cytokine signaling 2	SOCS2	chr12q
Hs.98243	Serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	SPINK2	chr4q12
Hs.591773	Single-stranded DNA binding protein 2	SSBP2	chr5q14.1
Hs.122061	START domain containing 9	STARD9	chr15q15.2
Hs.475812	STT3, subunit of the oligosaccharyltransferase complex, homolog B	STT3B	chr3p23
Hs.300624	TAR DNA binding protein	TARDBP	chr1p36.22
Hs.269722	T-cell lymphoma breakpoint associated target 1	TCBA1	chr6q21
Hs.479226	Tctex1 domain containing 1	TCTEX1D1	chr1p31.3
Hs.213762	WD repeat domain 49	WDR49	chr3q26.1
Hs.326801	Zinc finger protein 711	ZNF711	chrXq21.1-q21.2
Hs.427284	Zinc and ring finger 1	ZNRF1	chr16q23.1
