Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
HPGD	4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)	MM1	19.8
HPSE	4q21.3	heparanase	MM1, NCI-H929	12.0, 18.5
HSD17B1	17q11-q21	hydroxysteroid (17-beta) dehydrogenase 1	U266	15.2
HSPA1A	6p21.3	heat shock 70kDa protein 1A	U266, NCI-H929	57.5, 8.7
HSPA2	14q24.1	heat shock 70kDa protein 2	MM1, U266, NCI-H929	12.3, 9.6, 26.1
HUMPPA	17q25.1	paraneoplastic antigen	MM1, U266	26.7, 14.0
ID1	20q11	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	U266	5.7
ID2	2p25	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	U266, NCI-H929	14.9, 4.5
IER3	6p21.3	immediate early response 3	U266, NCI-H929	7.3, 6.4
IFI27	14q32	interferon, alpha-inducible protein 27	MM1, U266, NCI-H929	6.5, 6.0, 9.6
IFIT1	10q25-q26	interferon-induced protein with tetratricopeptide repeats 1	MM1, NCI-H929	29.4, 40.0
IGFBP3	7p13-p12	insulin-like growth factor binding protein 3	MM1, NCI-H929	9.0, 19.3
IL13RA1	Xq24	interleukin 13 receptor, alpha 1	U266	26
IL15	4q31	interleukin 15	MM1, U266, NCI-H929	7.3, 7.2, 11.4
ING1	13q34	inhibitor of growth family, member 1	U266	10.9
ITGA6	2q31.1	integrin, alpha 6	U266	16.3
ITGA7	12q13	integrin, alpha 7	MM1, U266, NCI-H929	40.7, 15.9, 13.3
ITGBL1	13q33	integrin, beta-like 1 (with EGF-like repeat domains)	MM1, NCI-H929	23.2, 41.5
ITSN1	21q22.1-q22.2	Intersectin 1 (SH3 domain protein)	U266	7.4
JAG1	20p12.1-p11.23	jagged 1 (Alagille syndrome)	U266	4.8
JAG2	14q32	jagged 2	U266	13.4
JARID1B	1q32.1	Jumonji, AT rich interactive domain 1B (RBP2-like)	NCI-H929	8.4
JUP	17q21	junction plakoglobin	U266	13.1
KATNB1	16q13	katanin p80 (WD repeat containing) subunit B 1	NCI-H929	7.7
KCNN2	5q22.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	NCI-H929	12.3
KCTD12	13q22.3	potassium channel tetramerisation domain containing 12	U266	5.7
KHK	2p23.3-p23.2	ketohexokinase (fructokinase)	NCI-H929	6.8
KIAA0404	11q13.1	KIAA0404 protein	U266	4.3
KIAA0415	7p22.2	KIAA0415 gene product	NCI-H929	8.9
KIAA0446	1q22	KIAA0446 gene product	MM1	5.8
KIAA0513	16q24.1	KIAA0513	U266, NCI-H929	7.1, 8.3
KIAA0913	10q22.2	KIAA0913	NCI-H929	26.9
KIAA1109	4q27	KIAA1109	U266	5.2
KIAA1117	6q15	KIAA1117	MM1	8
KIF4A	Xq13.1	kinesin family member 4A	MM1	5.3
KIF5C	2q23.1	kinesin family member 5C	U266	9.1
KLF2	19p13.13-p13.11	Kruppel-like factor 2 (lung)	NCI-H929	8.6
KRT18	12q13	keratin 18	U266	7.6
L1CAM	Xq28	L1 cell adhesion molecule	MM1, NCI-H929	12.8, 7.3
LAMP3	3q26.3-q27	lysosomal-associated membrane protein 3	MM1, NCI-H929	9.2, 9.8
LHX2	9q33-q34.1	LIM homeobox 2	MM1	4.9
LIFR	5p13-p12	leukemia inhibitory factor receptor	U266, NCI-H929	11.5, 21.0
LONP	16q12.1	Peroxisomal lon protease	U266	8.4
LPPR2	19p13.2	lipid phosphate phosphatase-related protein type 2	MM1	10.3
MAFB	20q11.2-q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	NCI-H929	35.5
MAGEA11	Xq28	melanoma antigen family A, 11	U266	7.8
MAGEA3	Xq28	melanoma antigen family A, 3	MM1, NCI-H929	19.8, 31.1
MAGEA4	Xq28	melanoma antigen family A, 4	MM1	6.2
MAGEA6	Xq28	melanoma antigen family A, 6	MM1, NCI-H929	9.7, 21.9
MAGEA9	Xq28	melanoma antigen family A, 9	NCI-H929	6.4
MAGEB2	Xp21.3	melanoma antigen family B, 2	NCI-H929	5.5
MAGEC1	Xq26	melanoma antigen family C, 1	NCI-H929	9.2
MAPK8IP1	11p12-p11.2	mitogen-activated protein kinase 8 interacting protein 1	U266	8.6
MAPRE3	2p23.3-p23.1	microtubule-associated protein, RP/EB family, member 3	U266	13.9
MAPT	17q21.1	microtubule-associated protein tau	U266	7.1
MARCKSL1	1p35.1	MARCKS-like 1	MM1, U266	6.6, 10.7
MEF2C	5q14	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MM1	6.6
MET	7q31	met proto-oncogene (hepatocyte growth factor receptor)	MM1	11
MGC14376	17p13.3	hypothetical protein MGC14376	NCI-H929	6.9
MGST3	1q23	microsomal glutathione S-transferase 3	MM1, NCI-H929	9.1, 16.6
MICAL2	11p15.3	microtubule associated monoxygenase, calponin and LIM domain containing 2	U266	6.7
MICAL-L2	7p22.3	MICAL-like 2	MM1, U266	13.5, 14.7
MLF1	3q25.1	myeloid leukemia factor 1	MM1, NCI-H929	4.8, 5.6
MSH5	6p21.3	mutS homolog 5 (E. coli)	NCI-H929	5.9
MSX1	4p16.3-p16.1	msh homeo box homolog 1 (Drosophila)	U266	19.9
MT1E	16q13	metallothionein 1E (functional)	MM1	10
MT1H	16q13	metallothionein 1H	NCI-H929	8.5
MT1X	16q13	metallothionein 1X	MM1, U266, NCI-H929	7.3, 6.1, 5.7
MT2A	16q13	metallothionein 2A	MM1, NCI-H929	7.9, 10.7
MYBL1	8q22	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MM1	5.3
MYCN	2p24.1	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	U266	9.4
MYO9B	19p13.1	myosin IXB	MM1, U266	11.2, 10.3
NAB2	12q13.3-q14.1	NGFI-A binding protein 2 (EGR1 binding protein 2)	U266	16.7
NAP1L3	Xq21.3-q22	nucleosome assembly protein 1-like 3	NCI-H929	4.9
NAT1	8p23.1-p21.3	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NCI-H929	5.2
NCAM1	11q23.1	neural cell adhesion molecule 1	MM1, NCI-H929	5.2, 19.7
NEDD9	6p25-p24	neural precursor cell expressed, developmentally down-regulated 9	MM1, NCI-H929	17.4, 6.8
NEFL	8p21	neurofilament, light polypeptide 68kDa	U266	6.9
NEU1	6p21.3	sialidase 1 (lysosomal sialidase)	NCI-H929	13.7
NFYA	6p21.3	nuclear transcription factor Y, alpha	NCI-H929	17.1
NGFRAP1	Xq22.2	nerve growth factor receptor (TNFRSF16) associated protein 1	U266	9.4
NPAL3	1p36.12-p35.1	NIPA-like domain containing 3	NCI-H929	9.5
NPTX2	7q21.3-q22.1	neuronal pentraxin II	U266	59.7
NR1H4	12q23.1	nuclear receptor subfamily 1, group H, member 4	U266	7.2
NR4A1	12q13	nuclear receptor subfamily 4, group A, member 1	U266	11.2
NR4A2	2q22-q23	nuclear receptor subfamily 4, group A, member 2	U266, NCI-H929	8.9, 14.1
NRGN	11q24	neurogranin (protein kinase C substrate, RC3)	MM1, U266	16.3, 6.2
NRXN1	2p16.3	neurexin 1	NCI-H929	11.4
NTS	12q21	neurotensin	NCI-H929	13.2
NUDT11	Xp11.22	nudix (nucleoside diphosphate linked moiety X)-type motif 11	U266	12.5
NUP93	16q13	nucleoporin 93kDa	MM1	6.2
NXN	17p13.3	nucleoredoxin	MM1	5.7
OAT	10q26	ornithine aminotransferase (gyrate atrophy)	MM1, U266	4.8, 7.5
ODC1	2p25	ornithine decarboxylase 1	MM1	4.6
ODZ1	Xq25	odz, odd Oz/ten-m homolog 1(Drosophila)	MM1, NCI-H929	14.0, 9.9
OGDHL	10q11.23	oxoglutarate dehydrogenase-like	U266	17.6
ORC5L	7q22.1	origin recognition complex, subunit 5-like (yeast)	U266	23.8
PAEP	9q34	progestagen-associated endometrial protein	U266	18.9
PCDH9	13q14.3-q21.1	protocadherin 9	NCI-H929	9.4
PCLO	7q11.23-q21.3	Piccolo (presynaptic cytomatrix protein)	MM1	7
PCTK3	1q31-q32	PCTAIRE protein kinase 3	U266	7.1
PDGFRL	8p22-p21.3	platelet-derived growth factor receptor-like	MM1, U266, NCI-H929	10.8, 6.1, 7.3
PDLIM5	4q22	PDZ and LIM domain 5	MM1	15.1
PEG10	7q21	paternally expressed 10	MM1, NCI-H929	7.1, 11.5
PFKFB3	10p14-p15	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	U266	5
PFN2	3q25.1-q25.2	profilin 2	U266	7.3
PGBD5	1q42.13	piggyBac transposable element derived 5	NCI-H929	13.6
PGF	14q24-q31	placental growth factor, vascular endothelial growth factor-related protein	U266	7.5
PHLDA2	11p15.5	pleckstrin homology-like domain, family A, member 2	U266	31.3
PIGV	1p36.11	phosphatidylinositol glycan, class V	NCI-H929	11.9
PIK3CD	1p36.2	phosphoinositide-3-kinase, catalytic, delta polypeptide	MM1, NCI-H929	23.3, 6.0
PLEC1	8q24	plectin 1, intermediate filament binding protein 500kDa	U266	20.6
PLK2	5q12.1-q13.2	polo-like kinase 2 (Drosophila)	MM1, U266, NCI-H929	6.5, 15.6, 27.8
PLS1	3q23	plastin 1 (I isoform)	MM1	5.1
PLXNB3	Xq28	plexin B3	U266	12
POLR2L	11p15	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	MM1	4.5
POR	7q11.2	P450 (cytochrome) oxidoreductase	U266	5.9
PPARD	6p21.2-p21.1	peroxisome proliferative activated receptor, delta	NCI-H929	8.6
