Locus	Gene name	Acc number	Fold changea
170439	long chain fatty acyl elongase	NM_130450	-2.5
110074	deoxyuridine triphosphatase	AF091101	-2.48
20877	serine/threonine kinase 12	BC003261	-2.47
50927	nuclear autoantigenic sperm protein (histone-binding)	NM_016777	-2.46
116847	proline arginine-rich end leucine-rich repeat	BC019775	-2.46
17773	melatonin receptor 1A	NM_008639	-2.43
66234	sterol-C4-methyl oxidase-like	AK005441	-2.43
14585	glial cell line derived neurotrophic factor family receptor alpha 1	BE534815	-2.42
16551	kinesin family member 11	BB827235	-2.42
18795	phospholipase C, beta 1	U85714	-2.42
12819	procollagen, type XV	AF011450	-2.41
15006	histocompatibility 2, Q region locus 1	AI552528	-2.41
16882	ligase III, DNA, ATP-dependent	AK010719	-2.4
12442	cyclin B2	AK013312	-2.39
56811	dickkopf homolog 2 (Xenopus laevis)	NM_020265	-2.39
60367	interkeukin 1 receptor accessory protein-like 2	AJ277831	-2.39
71740	poliovirus receptor-related 4	BC024948	-2.39
117167	Tnfa-induced adipose-related protein	NM_054098	-2.37
17840	major urinary protein 1	M16359	-2.36
108000	leucine, glutamic acid, lysine family 1 protein	BB049243	-2.36
110196	farnesyl diphosphate synthetase	BI247584	-2.35
21877	thymidine kinase 1	NM_009387	-2.34
51788	H2A histone family, member Z	AV215230	-2.34
268697	cyclin B1	AU015121	-2.34
16550	kinesin family member 10	BG068387	-2.33
20419	Shc SH2-domain binding protein 1	NM_011369	-2.33
54403	solute carrier family 4 (anion exchanger), member 4	NM_018760	-2.33
12532	cell division cycle 25 homolog C (S. cerevisiae)	NM_009860	-2.32
13525	a disintegrin and metalloprotease domain 26 (testase 3)	AF167404	-2.31
15366	hyaluronan mediated motility receptor (RHAMM)	AF079222	-2.31
17121	Max dimerization protein 3	NM_016662	-2.31
20250	stearoyl-Coenzyme A desaturase 2	BB459479	-2.31
69693	premature ovarian failure 1b protein	AF408412	-2.31
12925	cysteine rich intestinal protein	NM_007763	-2.29
14620	gap junction membrane channel protein beta 3	NM_008126	-2.29
70881	5-nucleotidase, cytosolic IB	AF356186	-2.29
14235	forkhead box M1	NM_008021	-2.28
17686	mutS homolog 3 (E. coli)	NM_010829	-2.28
63959	solute carrier family 29 (nucleoside transporters), member 1	AF305501	-2.28
207911	G protein coupled receptor 24	BE647763	-2.27
16206	leucine-rich repeats and immunoglobulin-like domains 1	NM_008377	-2.26
18011	neuralized homolog (Drosophila)	AF400063	-2.26
18192	non-selective cation channel 1	NM_010940	-2.26
72727	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	BB634613	-2.26
73804	kinesin family member 2C	NM_134471	-2.26
18778	phospholipase A2, group IB, pancreas	AV081808	-2.25
20389	surfactant associated protein C	NM_011359	-2.25
22403	WNT1 inducible signaling pathway protein 2	NM_016873	-2.25
18817	polo-like kinase homolog, (Drosophila)	NM_011121	-2.24
224481	transcription factor B1, mitochondrial	AI429207	-2.24
18595	platelet derived growth factor receptor, alpha polypeptide	AW537708	-2.23
19277	protein tyrosine phosphatase, receptor type, O	AF295638	-2.22
50781	dickkopf homolog 3 (Xenopus laevis)	NM_015814	-2.22
54392	chromosome condensation protein G	AV277326	-2.22
93970	killer cell lectin-like receptor, subfamily A, member 18	AF288377	-2.22
170459	StAR-related lipid transfer (START) domain containing 4	BB246854	-2.22
21973	topoisomerase (DNA) II alpha	BM211413	-2.21
229487	PET112-like (yeast)	BC005709	-2.21
93890	protocadherin beta 19	NM_053144	-2.2
18775	chorionic somatomammotropin hormone 1	NM_008864	-2.19
18828	phospholipid scramblase 2	NM_008880	-2.19
26934	Rac GTPase-activating protein 1	AF212320	-2.19
54371	carbohydrate sulfotransferase 2	NM_018763	-2.19
66572	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	AV334527	-2.19
68299	chromosome condensation-related SMC-associated protein 1	BC025461	-2.19
110956	G7e protein	BC027314	-2.19
228875	ovarian cancer overexpressed 1	C85957	-2.19
12615	centromere autoantigen A	AV132173	-2.18
14744	G-protein coupled receptor 25	NM_008152	-2.18
16401	integrin alpha 4	NM_010576	-2.18
21335	transforming, acidic coiled-coil containing protein 3	NM_011524	-2.18
53320	folate hydrolase	NM_016770	-2.18
13617	endothelin receptor type A	AK017486	-2.17
16881	ligase I, DNA, ATP-dependent	NM_010715	-2.17
21749	telomeric repeat binding factor 1	BG142548	-2.17
79202	tumor necrosis factor receptor superfamily, member 22	NM_023680	-2.17
68836	mitochondrial ribosomal protein L52	NM_026851	-2.17
15434	homeo box D3	NM_010468	-2.16
18194	NAD(P) dependent steroid dehydrogenase-like	BC019945	-2.16
12835	procollagen, type VI, alpha 3	AF064749	-2.15
17768	methylenetetrahydrofolate dehydrogenase (NAD+ dependent)	NM_008638	-2.15
18416	ornithine transcarbamylase	BC024893	-2.15
20186	nuclear receptor subfamily 1, group H, member 4	NM_009108	-2.15
11799	baculoviral IAP repeat-containing 5	BC004702	-2.14
12235	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	AF002823	-2.14
16872	LIM homeobox protein 4	NM_010712	-2.14
20306	chemokine (C-C motif) ligand 7	AF128193	-2.14
228775	induced in fatty liver dystrophy 2	BB508622	-2.14
16846	leptin	U18812	-2.13
18140	nuclear protein 95	NM_010931	-2.12
21922	tetranectin (plasminogen binding protein)	NM_011606	-2.12
66471	cerebellar postnatal development protein 1	NM_023210	-2.12
97165	high mobility group box 2	C85885	-2.12
56284	mitochondrial ribosomal protein L19	NM_026490	-2.12
13121	cytochrome P450, 51	BB004104	-2.11
16017	immunoglobulin heavy chain 4 (serum IgG1)	BB160342	-2.11
17386	matrix metalloproteinase 13	NM_008607	-2.11
17984	necdin	BB276872	-2.11
21812	transforming growth factor, beta receptor I	D25540	-2.1
71819	kinesin family member 23	AW986176	-2.1
94229	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10	NM_033552	-2.1
12938	protocadherin alpha 14	AB008178	-2.09
14941	granzyme D	NM_010372	-2.09
17215	mini chromosome maintenance deficient (S. cerevisiae)	BF606890	-2.09
17345	antigen identified by monoclonal antibody Ki 67	X82786	-2.09
76477	procollagen C-endopeptidase enhancer 2	AF352788	-2.09
80905	polymerase (DNA directed), eta (RAD 30 related)	NM_030715	-2.09
83561	tudor domain containing 1	AF285591	-2.09
214901	Chl12 homolog (yeast)	BM233289	-2.09
225360	kinesin family member 20A	NM_009004	-2.09
11973	ATPase, H+ transporting, V1 subunit E isoform 1	C85064	-2.08
16319	inner centromere protein	BB418702	-2.08
20680	SRY-box containing gene 7	NM_011446	-2.08
74754	24-dehydrocholesterol reductase	BC019797	-2.08
12035	branched chain aminotransferase 1, cytosolic	AK012821	-2.07
12316	calmodulin binding protein 1	BB648052	-2.07
17768	NAD+ dependent methenyltetrahydrofolate cyclohydrolase	BG076333	-2.07
80910	G protein-coupled receptor 84	NM_030720	-2.07
14964	histocompatibility 2, D region locus 1	L36068	-2.06
21954	troponin I, cardiac	NM_009406	-2.06
19215	prostaglandin D2 synthase (21 kDa, brain)	AB006361	-2.05
20686	sperm autoantigenic protein 17	NM_011449	-2.05
20775	squalene epoxidase	NM_009270	-2.05
21938	tumor necrosis factor receptor superfamily, member 1b	M60469	-2.05
107817	phosphatidylserine receptor	C78652	-2.05
14137	farnesyl diphosphate farnesyl transferase 1	BB357366	-2.04
18628	period homolog 3 (Drosophila)	AB013605	-2.04
54141	sperm associated antigen 5	BM208112	-2.04
170773	ethanol induced gene product EIG180	BB770932	-2.04
14841	germ cell-specific gene 2	BE457839	-2.03
16765	stathmin 1	BC010581	-2.03
17685	mutS homolog 2 (E. coli)	NM_008628	-2.03
56419	diaphanous homolog 3 (Drosophila)	NM_019670	-2.03
58186	RAD18 homolog (S. cerevisiae)	BC011120	-2.03
63828	fructosamine 3 kinase	NM_022014	-2.03
12912	cAMP response element binding protein 1	NM_009952	-2.03
18595	platelet derived growth factor receptor, alpha polypeptide	M57683	-2.03
26909	exonuclease 1	NM_012012	-2.02
12236	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	NM_009773	-2.02
13393	distal-less homeobox 3	U79738	-2.02
20750	secreted phosphoprotein 1	NM_009263	-2.02
67296	suppressor of cytokine signaling 7	AK014988	-2.02
217369	G protein-coupled receptor 14	AF441863	-2.02
67296	suppressor of cytokine signaling 7	NM_080843	-2.02
69716	thyroid hormone receptor interactor 13	AK010336	-2.01
12723	chloride channel 1	NM_013491	-2.01
17912	myosin IB	AI255256	-2.01
53381	peroxiredoxin 4	NM_016764	-2.01
56473	fatty acid desaturase 2	NM_019699	-2.01
14156	flap structure specific endonuclease 1	NM_007999	-2.01
14211	fibroblast growth factor inducible 16	NM_008017	-2.01
23892	cysteine knot superfamily 1, BMP antagonist 1	BC015293	-2.01
13067	cytochrome c, testis	NM_009989	-2
14938	granzyme A	NM_010370	-2
17181	matrilin 2	BB338441	-2
17022	lumican	AK014312	-2
14696	guanine nucleotide binding protein, beta 4	NM_013531	-2
17067	lymphocyte antigen 6 complex, locus C	NM_010741	-1.99
15201	helicase, lymphoid specific	NM_008234	-1.99
14057	sideroflexin 1	BC005743	-1.98
233406	protein regulator of cytokinesis 1-like	BC005475	-1.98
16906	lamin B1	BG064054	-1.97
22137	Ttk protein kinase	NM_009445	-1.96
18196	neuron specific gene family member 1	AV248094	-1.95
20878	serine/threonine kinase 6	U80932	-1.95
21838	thymus cell antigen 1, theta	AV028402	-1.95
15926	isocitrate dehydrogenase 1 (NADP+), soluble	AI788952	-1.94
17217	minichromosome maintenance deficient 4 homolog (S. cerevisiae)	NM_008565	-1.94
54140	arginine vasopressin receptor 1A	NM_016847	-1.94
14980	histocompatibility 2, L region	M34962	-1.93
15289	high mobility group box 1	NM_010439	-1.92
22130	transcription termination factor 1	AW545934	-1.92
14178	fibroblast growth factor 7	NM_008008	-1.92
19139	phosphoribosyl pyrophosphate synthetase 1	AK011304	-1.9
70358	six transmembrane epithelial antigen of the prostate	AF297098	-1.9
110032	kinesin family member 22, pseudogene	BC003427	-1.89
67177	retroviral integration site 2	AF477481	-1.89
18968	polymerase (DNA directed), alpha 1	NM_008892	-1.89
17220	mini chromosome maintenance deficient 7 (S. cerevisiae)	NM_008568	-1.88
22151	tubulin, beta 2	M28739	-1.88
29818	heat shock protein family, member 7 (cardiovascular)	BG968304	-1.86
22256	uracil-DNA glycosylase	BC004037	-1.86
17219	mini chromosome maintenance deficient 6 (S. cerevisiae)	BB099487	-1.85
56150	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)	NM_019499	-1.85
21826	thrombospondin 2	L06421	-1.84
22229	uncoupling protein 3, mitochondrial	AB010742	-1.83
11732	progressive ankylosis	NM_020332	-1.83
19646	retinoblastoma binding protein 4	AU040918	-1.83
13682	eukaryotic translation initiation factor 4A2	BB251459	-1.82
20296	chemokine (C-C motif) ligand 2	AF065933	-1.8
14130	Fc receptor, IgG, low affinity IIb	BM224327	-1.8
68259	Wd repeat domain 56	NM_026641	-1.8
67582	solute carrier family 25 (mitochondrial phosphate carrier), member 26	NM_026255	-1.8
68259	WD repeat domain 56	NM_026641	-1.8
20778	scavenger receptor class B, member 1	BB224405	-1.8
21810	transforming growth factor, beta induced, 68 kDa	NM_009369	-1.78
11800	apoptosis inhibitor 5	NM_007466	-1.78
19224	prostaglandin-endoperoxide synthase 1	AA833146	-1.76
21456	t-complex protein 1, related sequence 1	AV148646	-1.76
56613	ribosomal protein S6 kinase, 90kD, polypeptide 4	NM_019924	-1.76
56454	glutamate gamma-semialdehyde synthetase	BB833010	-1.75
69178	sorting nexin 5	NM_024225	-1.75
66607	membrane-spanning 4-domains, subfamily A, member 4D	NM_025658	-1.74
11740	solute carrier family 25 (mitochondrial, adenine nucleotide translocator), member 5	AV110784	-1.73
18082	4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1	BC010837	-1.73
15117	hyaluronan synthase 2	U69695	-1.73
19362	RAD51 associated protein 1	NM_009013	-1.72
56277	Mouse 19.5 mRNA	NM_019631	-1.72
14745	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	BC025425	-1.71
233908	pigpen	AF224264	-1.7
18700	phosphatidylinositol glycan, class A	AV340508	-1.7
83383	transcription factor AP-4 (activating enhancer-binding protein 4)	NM_031182	-1.7
14264	fibromodulin	BB483571	-1.7
20930	surfeit gene 1	NM_013677	1.7
14245	lipin 1	NM_015763	1.7
12583	cysteine dioxygenase 1, cytosolic	NM_033037	1.7
21925	troponin C, fast skeletal	NM_009394	1.7
114679	selenoprotein M	AY043488	1.71
22190	ubiquitin C	AK012427	1.72
59095	FXYD domain-containing ion transport regulator 6	AB032010	1.72
54409	receptor (calcitonin) activity modifying protein 2	AA560093	1.74
53623	glutamate receptor, ionotropic, AMPA3 (alpha 3)	NM_016886	1.75
16859	lectin, galactose binding, soluble 9	NM_010708	1.75
20363	selenoprotein P, plasma, 1	BC001991	1.76
21808	transforming growth factor, beta 2	AW049938	1.78
22003	tropomyosin 1, alpha	BM232388	1.78
83924	transmembrane 7 superfamily member 1	BB726971	1.81
11303	ATP-binding cassette, sub-family A (ABC1), member 1	BB305534	1.81
20779	Rous sarcoma oncogene	BG868120	1.81
12048	Bcl2-like	U51278	1.81
18074	nidogen 2	BB781435	1.82
12124	Bcl2-interacting killer-like	BB251824	1.82
56742	differential display and activated by p53	NM_019976	1.83
24131	LIM domain binding 3	BB479063	1.83
17760	microtubule-associated protein 6	NM_010837	1.83
53619	bladder cancer associated protein homolog (human)	NM_016916	1.84
19298	peroxisomal farnesylated protein	NM_023041	1.84
12161	bone morphogenetic protein 6	NM_007556	1.84
19298	peroxisomal farnesylated protein/peroxisome biogenesis factor 19	NM_023041	1.84
17872	myeloid differentiation primary response gene 116	NM_008654	1.86
11490	a disintegrin and metalloproteinase domain 15 (metargidin)	NM_009614	1.86
21952	troponin I, skeletal, slow 1	NM_021467	1.86
72043	sulfatase 2	AK008108	1.87
26432	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	NM_011961	1.87
114774	PRKC, apoptosis, WT1, regulator	BB398886	1.89
11430	acyl-Coenzyme A oxidase 1, palmitoyl	NM_015729	1.89
14221	four jointed box 1 (Drosophila)	NM_010218	1.92
17540	MRV integration site 1	U63408	1.93
56338	thioredoxin interacting protein	NM_023719	1.93
12877	cytoplasmic polyadenylation element binding protein	NM_007755	1.94
12813	procollagen, type X, alpha 1	NM_009925	1.94
22223	ubiquitin carboxy-terminal hydrolase L1	NM_011670	1.97
20646	small nuclear ribonucleoprotein N	AI836293	2
16420	integrin beta 6	NM_021359	2
54409	receptor (calcitonin) activity modifying protein 2	NM_019444	2
54527	synaptotagmin 11	BC025207	2.01
16559	kinesin family member 17	AW492270	2.01
109348	leukotriene A4 hydrolase	BB435342	2.01
84704	SNRPN upstream reading frame	NM_033174	2.01
12577	cyclin-dependent kinase inhibitor 1C (P57)	NM_009876	2.02
12482	membrane-spanning 4-domains, subfamily A, member 1	BB236617	2.03
14469	guanylate nucleotide binding protein 2	BE197524	2.03
14469	guanylate nucleotide binding protein 2	BE197524	2.04
21354	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	BC024897	2.04
21924	troponin C, cardiac/slow skeletal	NM_009393	2.04
57138	solute carrier family 12, member 5	AF332064	2.04
11841	ADP-ribosylation factor 2	BC010487	2.05
12841	procollagen, type IX, alpha 3	AV044715	2.05
17246	transformed mouse 3T3 cell double minute 2	X58876	2.05
18111	neuronatin	AV218841	2.05
67588	fetal liver ring finger protein	AF305730	2.05
13136	decay accelerating factor 1	BM208097	2.06
18109	neuroblastoma myc-related oncogene 1	BC005453	2.06
19245	protein tyrosine phosphatase 4a3	BC027445	2.06
22115	serine/threonine kinase 22B (spermiogenesis associated)	NM_009436	2.06
56375	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4	AF158746	2.06
14254	FMS-like tyrosine kinase 1	D88690	2.07
29858	phosphomannomutase 1	BI739353	2.08
12159	bone morphogenetic protein 4	NM_007554	2.09
14950	histocompatibility 13	AV307261	2.09
20674	SRY-box containing gene 2	U31967	2.09
12955	crystallin, alpha B	NM_009964	2.1
17174	mannan-binding lectin serine protease 1	BB732340	2.1
17390	matrix metalloproteinase 2	BF147716	2.1
20466	transcriptional regulator, SIN3A (yeast)	AW553200	2.11
53318	PDZ and LIM domain 3	NM_016798	2.11
13649	epidermal growth factor receptor	AF275367	2.11
21385	T-box 2	NM_009324	2.12
54326	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	NM_019423	2.12
16779	laminin, beta 2	BC026051	2.13
17880	myosin heavy chain 11, smooth muscle	BC026142	2.13
116812	zinc finger protein 264	AF365933	2.14
20336	SEC8 (S. cerevisiae)	BB014721	2.14
11752	annexin A8	NM_013473	2.15
21933	tumor necrosis factor receptor superfamily, member 10b	NM_020275	2.15
27015	polymerase (DNA directed), kappa	BC008105	2.15
114875	phospholipase C, zeta 1	AK005949	2.15
259277	protease, serine, 19 (neuropsin)	NM_008940	2.15
18798	phospholipase C, beta 4	BB224034	2.16
20400	SH2 domain protein 1A	NM_011364	2.16
56303	B lymphocyte gene 1	NM_019714	2.16
66416	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (14.5kD, B14.5a)	NM_023202	2.16
107765	cardiac responsive adriamycin protein	AK009959	2.16
50708	histone 1, H1c	BB533903	2.17
94226	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8	NM_053190	2.17
13836	Eph receptor A2	NM_010139	2.18
22526	Xlr-related, meiosis regulated	NM_009529	2.18
13400	dystrophia myotonica kinase, B15	AW108486	2.18
19085	protein kinase, cAMP dependent regulatory, type I beta	BB274009	2.19
12778	chemokine orphan receptor 1	NM_007722	2.19
15894	intercellular adhesion molecule	BC008626	2.19
15894	intercellular adhesion molecule	BC008626	2.19
20464	single-minded 1	NM_011376	2.19
16475	ajuba	NM_010590	2.2
57428	hypothetical protein, I54	BF462185	2.2
59041	serine/threonine kinase 25 (yeast)	NM_021537	2.2
74194	ras homolog gene family, member E	NM_028810	2.2
12759	clusterin	AV152288	2.21
13661	ets homologous factor	BC006789	2.21
14077	fatty acid binding protein 3, muscle and heart	NM_010174	2.21
16453	Janus kinase 3	L33768	2.21
17879	myosin, heavy polypeptide 1, skeletal muscle, adult	AJ002522	2.21
19885	RAR-related orphan receptor gamma	AJ132394	2.22
20365	small EDRK-rich factor 1	BC001981	2.22
319759	bruno-like 4, RNA binding protein (Drosophila)	BB731282	2.22
20447	alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3-N-acetyl galactosaminide alpha-2,6-sialyltransferase C	NM_011372	2.23
78340	ATP-binding cassette, sub-family C (CFTRMRP), member 5a	AV150520	2.23
93735	wingless-related MMTV integration site 16	NM_053116	2.23
100163	platelet-activating factor acetylhydrolase 2	NM_133880	2.23
56794	2-hydroxyphytanoyl-CoA lyase	NM_019975	2.24
17882	myosin, heavy polypeptide 2, skeletal muscle, adult	BC008538	2.25
170735	arrestin 3, retinal	NM_133205	2.25
17153	myelin and lymphocyte protein, T-cell differentiation protein	NM_010762	2.26
22445	X-linked lymphocyte-regulated 3a	NM_011726	2.26
53382	thioredoxin-like (32kD)	BG063276	2.26
239114	interleukin 17D	BB809808	2.27
68024	histone 1, H2bc	NM_023422	2.28
13592	early B-cell factor 2	U71189	2.29
16669	keratin complex 1, acidic, gene 19	NM_008471	2.3
21807	transforming growth factor beta 1 induced transcript 4	AV009804	2.31
76252	ATPase, H+ transporting, lysosomal, V0 subunit E isoform 2	NM_133764	2.31
18590	platelet derived growth factor, alpha	BB371842	2.32
246048	chondrolectin	AF311699	2.33
17901	myosin light chain, alkali, fast skeletal muscle	AK003182	2.34
17929	myomesin 1	NM_010867	2.36
19130	prospero-related homeobox 1	NM_008937	2.36
11464	actin, alpha, cardiac	NM_009608	2.37
65962	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 2	AK004710	2.38
94242	lipocalin 7	BC005738	2.38
18163	catenin delta 2	NM_008729	2.39
54561	nucleosome assembly protein 1-like 3	NM_138742	2.39
211526	macrophage activation 2	NM_008620	2.39
14102	Fas/tumor necrosis factor receptor superfamily, member 6	NM_007987	2.41
14102	tumor necrosis factor receptor superfamily, member 6	NM_007987	2.41
20908	syntaxin 3	D29799	2.41
18830	phospholipid transfer protein	NM_011125	2.42
18830	phospholipid transfer protein	NM_011125	2.42
84093	deleted in lymphocytic leukemia, 2	BB812902	2.42
13660	EH-domain containing 1	AF099186	2.45
15267	histone 2, H2aa1	NM_013549	2.45
16573	kinesin family member 5B	BF099632	2.46
29813	zinc finger protein 385	NM_013866	2.46
58801	phorbol-12-myristate-13-acetate-induced protein 1	NM_021451	2.47
74270	ubiquitin specific protease 20	AK006800	2.47
11692	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	BQ176391	2.48
21990	tryptophan hydroxylase	NM_009414	2.5
17913	myosin IC	BC021481	2.53
12018	N-BAK1/Bak1	NM_007523	2.55
60599	stress induced protein 27	NM_021897	2.55
27410	ATP-binding cassette, sub-family A (ABC1), member 3	AK007703	2.56
14725	low density lipoprotein receptor-related protein 2	C80829	2.57
12227	B-cell translocation gene 2, anti-proliferative	BG965405	2.59
15904	inhibitor of DNA binding 4	BB121406	2.59
19252	dual specificity phosphatase 1	NM_013642	2.59
12404	cerebellin 1 precursor protein	AA016422	2.62
11658	activated leukocyte cell adhesion molecule	BF583242	2.65
14734	glypican 3	AW107802	2.65
56464	cathepsin F	AK017474	2.67
12064	brain derived neurotrophic factor	NM_007540	2.69
56314	zinc finger protein 113	NM_019747	2.69
18205	neurotrophin 3	NM_008742	2.71
16542	kinase insert domain protein receptor	NM_010612	2.74
55948	stratifin	NM_018754	2.75
55948	stratifin	NM_018754	2.75
23882	growth arrest and DNA-damage-inducible 45 gamma	AK007410	2.76
17907	myosin light chain, phosphorylatable, fast skeletal muscle	NM_016754	2.78
53603	thymic stromal lymphopoietin	NM_021367	2.79
14210	fibroblast growth factor inducible 15	BB388301	2.8
19716	reduced expression 3	NM_009052	2.82
17888	myosin heavy chain, cardiac muscle, adult	BB481540	2.85
26414	mitogen activated protein kinase 10	BB453775	2.86
26568	solute carrier family 27 (fatty acid transporter), member 3	BB147793	2.86
12628	complement component factor h	AI987976	2.87
56774	solute carrier family 6 (neurotransmitter transporter), member 14	AF320226	2.88
13638	ephrin A3	AA388313	2.92
13841	Eph receptor A7	BC026153	2.92
21987	tumor protein D52-like 1	NM_009413	2.99
22255	Unc4.1 homeobox (C. elegans)	NM_013702	2.99
67880	dicarbonyl L-xylulose reductase	BC012247	3
77945	retinitis pigmentosa GTPase regulator interacting protein 1	BC016092	3
21817	transglutaminase 2, C polypeptide	BB041811	3.01
14281	FBJ osteosarcoma oncogene	AV026617	3.02
244954	ubiquitin-conjugating enzyme 8	BB042892	3.05
20513	solute carrier family 1, member 6	NM_009200	3.1
22671	zinc finger protein 179	BB546771	3.1
19655	RNA binding motif protein, X chromosome	NM_011252	3.12
57754	BM88 antigen	NM_021316	3.12
