Genes	Fold Change	P	Description	Expression
AK091153	0.42	0.006	cDNA FLJ33834 fis, clone CTONG2004264	CNS versus non-CNS down-regulated
BC040354	0.42	< .001	Caldesmon 1, transcript variant 3	CNS versus non-CNS down-regulated
VEGFC	0.4	0.001	Vascular endothelial growth factor C	CNS versus non-CNS down-regulated
LAMA4	0.37	0.008	Laminin, alpha 4	CNS versus non-CNS down-regulated
NM_015714	0.32	< .001	Putative lymphocyte G0/G1 switch gene (G0S2)	CNS versus non-CNS down-regulated
CAMKK2	0.3	0.026	Calcium/calmodulin-dependent protein kinase kinase 2, beta	CNS versus non-CNS down-regulated
FBN1	0.29	0.001	Fibrillin 1 (Marfan syndrome)	CNS versus non-CNS down-regulated
AJ001381	0.28	0.002	Incomplete cDNA for a mutated allele of a myosin class I, myh-1c	CNS versus non-CNS down-regulated
LUM	0.28	0.008	Lumican (LUM)	CNS versus non-CNS down-regulated
LOXL1	0.27	0.001	Lysyl oxidase-like 1	CNS versus non-CNS down-regulated
COL1A2	0.27	< .001	Collagen, type I, alpha 2	CNS versus non-CNS down-regulated
