Functional classifications	Gene Nameb	Gene Bank ID	Fold Expressionc	Gene Annotation
Metabolism 1) DNA / RNA related (21)	HNRPAB	U76713	12	Heterogeneous nuclear ribonucleoprotein A/B
Metabolism 1) DNA / RNA related (21)	HMGIY	L17131	12	High-mobility group (nonhistone chromosomal) protein isoforms I and Y
Metabolism 1) DNA / RNA related (21)	KPNA2	U28386	11	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
Metabolism 1) DNA / RNA related (21)	NS	NM_014366	9	Nucleostemin
Metabolism 1) DNA / RNA related (21)	NBR2	U88573	8	NBR2 (close proximity toBRCA1: acts as bi-directional promoter) tumor suppressor
Metabolism 1) DNA / RNA related (21)	Jade-1	NM_024900	8	PHD protein Jade-1
Metabolism 1) DNA / RNA related (21)	RPLP0	AK001313	7	Ribosomal protein, large, P0
Metabolism 1) DNA / RNA related (21)	HMGB2	X62534	6	High-mobility group box 2
Metabolism 1) DNA / RNA related (21)	RPL24	M94314	6	Ribosomal protein L24
Metabolism 1) DNA / RNA related (21)	RPL4	D23660	6	Ribosomal protein L4
Metabolism 1) DNA / RNA related (21)	RAMP	NM_016448	6	RA-regulated nuclear matrix-associated protein
Metabolism 1) DNA / RNA related (21)	HDAC2	U31814	5	Histone deacetylase 2
Metabolism 1) DNA / RNA related (21)	EPRS	X54326	5	Glutamyl-prolyl-tRNA synthetase
Metabolism 1) DNA / RNA related (21)	RPL7	X57958	4	Ribosomal protein L7
2) metabolic activity (23)	SLC16A1	AL162079	19	Solute carrier family 16 (monocarboxylic acid transporters), member 1
2) metabolic activity (23)	ELOVL6	NM_024090	19	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
2) metabolic activity (23)	CYP26A1	AF005418	18	Cytochrome P450, family26, subfamily A, polypeptide 1
2) metabolic activity (23)	FABP5	M94856	18	Fatty acid binding protein5 (psoriasis-associated)
2) metabolic activity (23)	LDHB	X13794	15	Lactate dehydrogenase B
2) metabolic activity (23)	SPS	U34044	14	Selenophosphate synthetase
2) metabolic activity (23)	SMS	AD001528	14	spermine synthase
2) metabolic activity (23)	KIF4A	AF071592	11	Kinesin family member 4A
2) metabolic activity (23)	PSMA2	D00760	10	Proteasome (prosome, macropain) subunit, alphatype, 2
2) metabolic activity (23)	CCNC	M74091	9	Cyclin C
2) metabolic activity (23)	HSPA4	AB023420	8	Heat shock 70kDa protein 4
2) metabolic activity (23)	MGST1	J03746	7	Microsomal glutathioneS-transferase 1
2) metabolic activity (23)	TK1	K02581	7	Thymidine kinase 1, soluble
2) metabolic activity (23)	PSMA3	D00762	6	Proteasome (prosome, macropain) subunit, alphatype, 3
2) metabolic activity (23)	MTHFD2	X16396	6	Methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
2) metabolic activity (23)	IMPDH2	L33842	6	IMP (ionosine monophosphate dehydrogenase 2)
2) metabolic activity (23)	SERPINH1	D83174	6	Serine (or cysteine) proteinase inhibitor, cladeH (heat shock protein 47), member 1, (collagen binding protein 1)
2) metabolic activity (23)	MTHFD1	J04031	5	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
2) metabolic activity (23)	IDH1	AF020038	5	Isocitrate dehydrogenase1 (NADP+), soluble
2) metabolic activity (23)	HSSG1	AF055270	5	Heat-shock suppressed protein 1
2) metabolic activity (23)	CCT8	D13627	4	Chaperonin containing TCP1, subunit 8 (theta)
2) metabolic activity (23)	LAPTM4B	AJ276485	3	Lysosomal associated protein transmembrane 4 beta
2) metabolic activity (23)	TUBB-4	AK001295	4	Tubulin beta -4
Zinc finger protein (3)	ZNF117	NM_024498	6	Zinc finger protein 117 (HPF9)
Zinc finger protein (3)	ZNF257	AF070651	5	Zinc finger protein 257
Zinc finger protein (3)	ZNF43	X59244	4	Zinc finger protein 43 (HTF6)
Hypothetical/Novel protein (12)	Numatrin	AL353580	17	Human DNA sequence from clone RP11-248N6 on chromosome 13 Contains ESTs, STSs and GSSs. Contains two olfactory receptor pseudogenes
Hypothetical/Novel protein (12)	GSH1	AL390738	12	Human DNA sequence from clone RP11-438F9 on chromosome 13 Contains the gene for the ortholog of mouse
Hypothetical/Novel protein (12)	MGC27165	J04164	12	Hypothetical protein MGC27165 [interferon induced transmembrane protein 1(9-27)]
Hypothetical/Novel protein (12)	HNRPA1 (C20orf168)	AL050348	10	Human DNA sequence from clone RP3-447F3 on chromosome 20 and contains TNNC2 (troponin C2, fast) gene
Hypothetical/Novel protein (12)	TD-60	AB040903	9	RCC1-like
Hypothetical/Novel protein (12)	KIAA1573	AB046793	9	KIAA1573 protein
Hypothetical/Novel protein (12)	PPAT	XM_010918	9	Homo sapiens hypothetical gene supported by XM_010918 (LOC65365), mRNA
Hypothetical/Novel protein (12)	TPX2	AB024704	8	Chromosome 20 open reading frame 1
Hypothetical/Novel protein (12)	Ribosomal 40A Lamin receptor	AL136306	8	Human DNA sequence from clone RP3-334F4 on chromosome 6 contains ESTs, STSs and GSSs. Contains a LAM.
Hypothetical/Novel protein (12)	C20orf129	BC001068	5	Chromosome 20 open reading frame 129
Hypothetical/Novel protein (12)	ARL8	AL133611	4	Sapiens mRNA; cDNA DKFZp434O1317 (from clone DKFZp434O1317)/ADP-ribosylation factor-like 8
Hypothetical/Novel protein (12)	C15orf15	NM_016304	8	Chromosome 15 open reading frame 15
Others (3)	NASP	M97856	10	Nuclear autoantigenic sperm protein (histone-binding)
Others (3)	LRRN1	AB040930	8	Leucine rich repeat neuronal 1
Others (3)	DSG2	Z26317	3	Desmoglein 2
ES cell specific genes over expressed in 4 of the 6 cell linesb (5)	CD24	NA	NA	NA
ES cell specific genes over expressed in 4 of the 6 cell linesb (5)	DNMT3B	NA	NA	NA
ES cell specific genes over expressed in 4 of the 6 cell linesb (5)	SOX2	NA	NA	NA
ES cell specific genes over expressed in 4 of the 6 cell linesb (5)	ACVR2B	NA	NA	NA
ES cell specific genes over expressed in 4 of the 6 cell linesb (5)	CER1	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	Rex-1	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	Utf1	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	TERT	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	LIFR	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	Connexin 45	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	Fox-D3	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	FoxH1	NA	NA	NA
Known markers didn’t meet our criteria or not expressed (8)	ESG1	NA	NA	NA
