Gene Symbol	Gene Name	Accession Number	Fold Change
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NM_001706	2.50233
C8FW	phosphoprotein regulated by mitogenic pathways	NM_025195	2.49763
FEM1C	fem-1 homolog c (C.elegans)	AI862658	2.49356
SAMD4	sterile alpha motif domain containing 4	AB028976	2.31359
SERPINB3	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	BC005224	2.26622
SFN	stratifin	X57348	2.26209
TEAD4	TEA domain family member 4	U63824	2.20177
JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	2.17961
C3	complement component 3	NM_000064	2.15312
DUSP5	dual specificity phosphatase 5	U16996	2.11909
FOSL1	FOS-like antigen 1	BG251266	2.10867
BCL3	B-cell CLL/lymphoma 3	NM_005178	2.10195
FLNB	filamin B, beta (actin binding protein 278)	AV712733	2.09461
TIEG2	TGFB inducible early growth response 2	AA149594	2.083
CTSB	cathepsin B	NM_001908	2.0828
THBS1	thrombospondin 1	NM_003246	2.0796
KIAA0146	KIAA0146 protein	AV655640	2.06906
SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	AF053755	2.06847
STAT2	signal transducer and activator of transcription 2, 113kDa	S81491	2.06655
TIP47	cargo selection protein (mannose 6 phosphate receptor binding protein)	NM_005817	2.0665
NDRG1	N-myc downstream regulated gene 1	NM_006096	2.05333
G0S2	putative lymphocyte G0/G1 switch gene	NM_015714	2.04104
RSN	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	NM_002956	2.02188
GADD45B	growth arrest and DNA-damage-inducible, beta	NM_015675	2.01087
PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1	NM_012417	2.00733
ANGPTL4	angiopoietin-like 4	NM_016109	1.99292
HK1	hexokinase 1	NM_000188	1.98742
HRH1	histamine receptor H1	NM_000861	1.96831
WSB1	SOCS box-containing WD protein SWiP-1	AL110243	1.96426
SGK	serum/glucocorticoid regulated kinase	NM_005627	1.96015
NFIL3	nuclear factor, interleukin 3 regulated	NM_005384	1.95134
THBD	thrombomodulin	NM_000361	1.95048
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	NM_005239	1.94842
PBEF	pre-B-cell colony-enhancing factor	NM_005746	1.94344
HIC2	hypermethylated in cancer 2	AL043112	1.92548
JUNB	jun B proto-oncogene	NM_002229	1.92353
IL4R	interleukin 4 receptor	NM_000418	1.91542
SERPINB4	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	U19557	1.91011
FOSL2	FOS-like antigen 2	N36408	1.90471
STOM	stomatin	AI537887	1.90353
KLF4	Kruppel-like factor 4 (gut)	BF514079	1.88153
ARHE	ras homolog gene family, member E	BG054844	1.87014
TUFT1	tuftelin 1	NM_020127	1.84453
SSB1	SPRY domain-containing SOCS box protein SSB-1	NM_025106	1.84164
CPM	carboxypeptidase M	NM_001874	1.83922
DUSP1	dual specificity phosphatase 1	NM_004417	1.82851
SERPINA3	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	NM_001085	1.82817
ITK	IL2-inducible T-cell kinase	D13720	1.82648
PLAUR	plasminogen activator, urokinase receptor	U08839	1.82458
IL1R1	interleukin 1 receptor, type I	NM_000877	1.82161
SERPINE1	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	NM_000602	1.81434
TRIP-Br2	transcriptional regulator interacting with the PHS-bromodomain 2	NM_014755	1.80736
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1	NM_007327	1.80508
BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	NM_001186	1.80239
PLAGL1	pleiomorphic adenoma gene-like 1	BG547855	1.79162
CTSL	cathepsin L	NM_001912	1.79108
AMOTL2	angiomotin like 2	NM_016201	1.77493
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	AF109161	1.77378
NNMT	nicotinamide N-methyltransferase	NM_006169	1.76688
FLJ21870	hypothetical protein FLJ21870	NM_023016	1.76369
FLRT3	fibronectin leucine rich transmembrane protein 3	NM_013281	1.75891
SERPINB1	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	NM_030666	1.75773
LBH	likely ortholog of mouse limb-bud and heart gene	NM_030915	1.75731
BCL2A1	BCL2-related protein A1	NM_004049	1.75704
PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1	Z24725	1.75166
FVT1	follicular lymphoma variant translocation 1	NM_002035	1.75109
RCOR	REST corepressor	D31888	1.75083
C14orf117	chromosome 14 open reading frame 117	NM_018678	1.7447
MAP2K3	mitogen-activated protein kinase kinase 3	AA780381	1.74044
ELL2	elongation factor, RNA polymerase II, 2	NM_012081	1.73687
FLJ23186	hypothetical protein FLJ23186	NM_024616	1.73546
SAA2	serum amyloid A2	M23699	1.72444
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	NM_002467	1.72323
KIAA1416	KIAA1416 protein	NM_017780	1.7191
PLAU	plasminogen activator, urokinase	K03226	1.71778
FLJ23231	hypothetical protein FLJ23231	NM_025079	1.71666
VLDLR	very low density lipoprotein receptor	L22431	1.71423
XTP2	HBxAg transactivated protein 2	BE729523	1.71261
IL6R	interleukin 6 receptor	NM_000565	1.71201
WEE1	WEE1 homolog (S. pombe)	X62048	1.70943
DDEF2	development and differentiation enhancing factor 2	NM_003887	1.70326
TRIO	triple functional domain (PTPRF interacting)	NM_007118	1.69537
MAFK	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	NM_002360	1.69499
RINZF	zinc finger protein RINZF	NM_023929	1.69342
GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	AC_005390	1.69131
LOC113251	c-Mpl binding protein	AI743740	1.68804
PLEC1	plectin 1, intermediate filament binding protein 500kDa	Z54367	1.68562
FLJ12443	hypothetical protein FLJ12443	NM_024830	1.68207
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	AI857639	1.68201
KIAA1199	KIAA1199 protein	AB033025	1.68028
KPNB2	karyopherin (importin) beta 2	AW161626	1.67591
CXCL2	chemokine (C-X-C motif) ligand 2	M57731	1.67439
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	NM_016639	1.6742
KIAA0963	KIAA0963 protein	NM_014963	1.67023
CUGBP1	CUG triplet repeat, RNA binding protein 1	AI472139	1.66945
ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	1.66731
GRPEL1	GrpE-like 1, mitochondrial (E. coli)	AI984421	1.66699
HK2	hexokinase 2	AI761561	1.66617
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	X16354	1.66495
NR1D1	nuclear receptor subfamily 1, group D, member 1	NM_021724	1.66089
TMEM2	transmembrane protein 2	NM_013390	1.65737
SLC19A3	solute carrier family 19, member 3	NM_025243	1.65424
COL5A1	collagen, type V, alpha 1	AI983428	1.65357
GATA6	GATA binding protein 6	D87811	1.6521
NUPL1	nucleoporin like 1	NM_014778	1.65146
GK	glycerol kinase	X68285	1.65128
C1R	complement component 1, r subcomponent	AL573058	1.64849
PELI2	pellino homolog 2 (Drosophila)	NM_021255	1.64707
KIAA0767	KIAA0767 protein	AB018310	1.64616
SERPINE2	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	AL541302	1.64229
GALNAC4S-6ST	B cell RAG associated protein	NM_014863	1.63735
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	AI754404	1.636
TIAM1	T-cell lymphoma invasion and metastasis 1	U90902	1.62864
RAB27A	RAB27A, member RAS oncogene family	U38654	1.62739
RBMS1	RNA binding motif, single stranded interacting protein 1	AL517946	1.62661
C1S	complement component 1, s subcomponent	M18767	1.62531
DKFZP434J214	DKFZP434J214 protein	AL556438	1.62253
SLC39A8	solute carrier family 39 (metal ion transporter), member 8	NM_022154	1.61699
IRF1	interferon regulatory factor 1	NM_002198	1.61695
LAMA3	laminin, alpha 3	NM_000227	1.60814
HM74	putative chemokine receptor	NM_006018	1.60217
FLJ23306	hypothetical protein FLJ23306	NM_024530	1.59929
CASP4	caspase 4, apoptosis-related cysteine protease	U25804	1.59452
GG2-1	TNF-induced protein	BC005352	1.59366
SDC4	syndecan 4 (amphiglycan, ryudocan)	NM_002999	1.59037
CLMN	calmin (calponin-like, transmembrane)	NM_024734	1.58165
ATBF1	AT-binding transcription factor 1	NM_006885	1.57761
GRB10	growth factor receptor-bound protein 10	AF000017	1.57625
TFPI2	tissue factor pathway inhibitor 2	L27624	1.57622
PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	NM_014330	1.57379
LOXL2	lysyl oxidase-like 2	NM_002318	1.57232
DICER1	Dicer1, Dcr-1 homolog (Drosophila)	BF590131	1.56677
FLJ13910	hypothetical protein FLJ13910	BF671894	1.56386
CSDA	cold shock domain protein A	NM_003651	1.56191
TRAF4	TNF receptor-associated factor 4	NM_004295	1.56184
EPAS1	endothelial PAS domain protein 1	AF052094	1.56013
MSCP	mitochondrial solute carrier protein	BE677761	1.55428
CHD1	chromodomain helicase DNA binding protein 1	NM_001270	1.54828
DAPK3	death-associated protein kinase 3	BF686824	1.54704
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	AA148507	1.54436
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	U73844	1.53995
KIAA0346	KIAA0346 protein	AA521267	1.53929
STK17A	serine/threonine kinase 17a (apoptosis-inducing)	AW194730	1.5387
USP12	ubiquitin specific protease 12	AI820101	1.53785
KIAA1718	KIAA1718 protein	BE217882	1.53683
RARRES1	retinoic acid receptor responder (tazarotene induced) 1	AI669229	1.53623
P450RAI-2	cytochrome P450 retinoid metabolizing protein	NM_019885	1.53574
CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	NM_018413	1.53199
DPYD	dihydropyrimidine dehydrogenase	NM_000110	1.53095
TOP1	topoisomerase (DNA) I	AW025108	1.52805
PPIF	peptidylprolyl isomerase F (cyclophilin F)	NM_005729	1.52723
RAI3	retinoic acid induced 3	NM_003979	1.52696
PTPRF	protein tyrosine phosphatase, receptor type, F	AI762627	1.52564
SERPINB9	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9	BC002538	1.52483
MYLC2PL	myosin light chain 2, precursor lymphocyte-specific	BC002778	1.52351
ZYX	zyxin	NM_003461	1.52192
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	NM_002350	1.52019
SOLH	small optic lobes homolog (Drosophila)	AI796687	1.51954
JAK2	Janus kinase 2 (a protein tyrosine kinase)	AF001362	1.51837
DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	NM_004728	1.51802
MBNL2	muscleblind-like 2 (Drosophila)	NM_005757	1.51412
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	AW157070	1.51298
HARC	Hsp90-associating relative of Cdc37	NM_017913	1.51014
NP	nucleoside phosphorylase	NM_000270	1.50981
PPP3R1	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	NM_000945	1.50975
SAT	spermidine/spermine N1-acetyltransferase	BE971383	1.50706
AGTPBP1	ATP/GTP binding protein 1	NM_015239	1.5047
ENIGMA	enigma (LIM domain protein)	NM_005451	1.50443
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	AW517686	1.50177
ATP5G2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	NM_005176	1.50144
