Gene	GenBank accession no.	Description	PML/RAR?Fold change	P†	PLZF/RAR?Fold change	P†	Expression
ASAH	U70063	N-acylsphingosine amidohydrolase	153.6	0.05	159.7	0.06	Down-regulated gene
COL4A2	X05610	Collagen type IV, alpha-2; COL4A2	453.2	0.0002	6.8	0.0002	Down-regulated gene
RAB27A	U57094	RAB27A, member RAS oncogene family	3.1	0.1	8	0.07	Down-regulated gene
S100P	X65614	S100 calcium-binding protein P	8.8	0.009	4.5	0.02	Down-regulated gene
TUBA1	HG2259-HT2348	Tubulin Alpha 1, isoform 44	497.3	0.005	549.3	0.003	Down-regulated gene
RNASE3	X55990	Ribonuclease, RNase A family, 3 (eosinophil cationic protein)	3.5	0.005	4.1	0.004	Down-regulated gene
BTG1	X61123	B-cell translocation gene 1, antiproliferative	3	0.1	67.1	0.02	Down-regulated gene
ERBAL2	X12794	v-erbA—related ear-2 gene; nuclear receptor subfamily 2, group F, member 6	3.4	0.003	3.2	0.008	Down-regulated gene
P63	X69910	p63 transmembrane protein	3.2	0.008	4.3	0.006	Down-regulated gene
CTSD	M63138	Cathepsin D	3.8	0.02	3.3	0.03	Down-regulated gene
ZYX	X95735	Zyxin	4.1	0.02	3.4	0.02	Down-regulated gene
CORO1A	X89109	Coronin 1A	3	0.006	3.6	0.005	Down-regulated gene
CES1	L07765	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	5	0.03	7.6	0.03	Down-regulated gene
QSCN6	L42379	Quiescin Q6	2.4	0.0007	4.4	0.0003	Down-regulated gene
CHS1	U67615	Chediak-Higashi syndrome 1; lysosomal trafficking regulator (LYST)	3.1	0.03	5.6	0.02	Down-regulated gene
NEU1	X78687	Neuraminidase 1	3.9	0.03	88.5	0.04	Down-regulated gene
CTSB	HG417-HT417	Cathepsin B	3.9	0.005	5.9	0.009	Down-regulated gene
junB	U20734	Oncogene jun-B	2.6	0.1	2.7	0.09	Down-regulated gene
VAT1	U18009	Vesicle amine transport protein 1	5.1	0.001	2.6	0.0007	Down-regulated gene
FKBP5	U42031	FK506-binding protein 5	5.3	0.01	25	0.01	Down-regulated gene
PTPNS1	U06681	Protein tyrosine phosphatase, non-receptor type substrate 1	92.9	0.007	8.6	0.007	Down-regulated gene
SRPK1	U09564	Protein kinase, SR splicing factor specific, 1	4.3	0.0002	3.7	0.0002	Down-regulated gene
ENT1	U81375	Equilibrative nucleoside transporter 1; solute carrier family 29, member 1 (SLC29A1)	2.7	0.04	2.5	0.04	Down-regulated gene
NK4	M59807	Natural killer cell transcript 4	2.7	0.02	2.9	0.02	Down-regulated gene
TPRC	X99720	TFE3-PRCC fusion transcript; renal cell carcinoma, papillary, 1 (PRCC1)	3.5	0.1	3.6	0.1	Down-regulated gene
SRF	J03161	Serum response factor (c-fosserum response element-binding transcription factor)	3.2	0.002	3	0.003	Down-regulated gene
GLUL	X59834	Glutamate-ammonia ligase (glutamine synthase)	2.9	0.03	2.7	0.07	Down-regulated gene
PRKCA	X52479	Protein kinase C, alpha	3.2	0.02	2.6	0.02	Down-regulated gene
GPI	K03515	Glucose-6-phosphate isomerase	3	0.004	2.4	0.006	Down-regulated gene
MPO	M19507	Myeloperoxidase	1237.1	< .0001	1794.3	0.0003	Up-regulated gene
PKCI-1	U51004	Putative protein kinase C inhibitor	4.3	0.005	4.5	0.001	Up-regulated gene
TMSB10	S54005	Thymosin, beta-10	3.9	0.004	3.7	0.0008	Up-regulated gene
STIP1	M86752	Stress-induced phosphoprotein, STIP1	2.4	0.0006	2.4	0.009	Up-regulated gene
PSME2	D45248	Proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	2.9	0.2	3.3	0.07	Up-regulated gene
MPO	M19508	Myeloperoxidase precursor A	2.2	0.03	3.9	0.006	Up-regulated gene
PSMB9	X66401	Proteasome (prosome, macropain) subunit, beta type, 9	3.5	0.0006	3.3	0.0002	Up-regulated gene
SELPLG	U25956	Selectin P ligand	2.7	0.02	2.8	0.01	Up-regulated gene
SOX4	X70683	SRY (sex-determining region Y)-box 4	7.7	< .0001	8.6	0.004	Up-regulated gene
AHR	L19872	Aryl hydrocarbon receptor	6	0.06	5	0.05	Up-regulated gene
SUCLG1	Z68204	Succinate-CoA ligase, GDP-forming, alpha subunit	3	0.0002	2.7	0.0006	Up-regulated gene
UFD2	D50916	Homolog of yeast(S cerevisiae)ufd2	3	0.2	4.4	0.03	Up-regulated gene
ANX1	X05908	Annexin I (lipocortin I)	44.5	0.03	43.9	0.06	Up-regulated gene
GZMA	M18737	Granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	44.4	0.03	139.6	0.004	Up-regulated gene
MEF2C	L08895	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	27.7	0.001	36.9	0.04	Up-regulated gene
