Fold Change	Primary Name	Accession Code	Description	P-value
1.52	B930041F14Rik	NM_178699	RIKEN cDNA B930041F14 gene (B930041F14Rik), mRNA	1.12E-08
1.52	Hip1	AK011828	Huntingtin interacting protein 1 (Hip1), mRNA	1.75E-06
1.5	Dio3	NM_172119	Deiodinase, iodothyronine type III (Dio3), mRNA	1.19E-05
-1.51	Sms	AK049780	Mus musculus 12 days embryo spinal cord cDNA,spermine synthase	2.69E-06
-1.52	10-Sep	BC053752	septin 10	2.05E-06
-1.55	B130050K08	NM_175010	hypothetical protein B130050K08	2.83E-10
-1.57		AK048751	Erythrocyte protein band 4.1-like 4a, mRNA	9.60E-05
-1.59	Sema5b	NM_013661	Sema domain, seven thrombospondin repeats (type 1 and type 1-like)	5.89E-09
-1.65	F9	M23109	Coagulation factor IX (F9), mRNA	8.60E-09
-1.66	Utx	AK079313	Ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	5.13E-11
-1.66	Cwf19l2	AK031423	CWF19-like 2, cell cycle control (S. pombe) (Cwf19l2), mRNA	4.66E-12
-1.67	Trib3	NM_175093	Tribbles homolog 3 (Drosophila) (Trib3), transcript variant 1, mRNA	4.31E-08
-1.74	9530029O12Rik	AK035394	Expressed sequence AI642036, mRNA	9.10E-06
-1.75	5830417C01Rik	AK089161	RIKEN cDNA 5830417C01 gene (5830417C01Rik), mRNA	1.25E-14
-1.77	Fkbp11	NM_024169	FK506 binding protein 11, mRNA	1.73E-05
-1.79	Rshl3	AK038980	PREDICTED: similar to radial spokehead-like 1 [Mus musculus]	5.65E-13
-1.82	CB845695	CB845695	7 days embryo whole body cDNA, RIKEN C430029M22	6.83E-05
-1.88	NAP052136-1	null	Unknown	5.78E-06
-1.94	Pygb	NM_153781	Brain glycogen phosphorylase (Pygb), mRNA	7.64E-05
-2.16	Chac1	NM_026929	RIKEN cDNA 1810008K03 gene (1810008K03Rik), mRNA	6.32E-07
-2.48	Nr1i3	NM_009803	Nuclear receptor subfamily 1, group I, member 3, mRNA	8.48E-04
-2.61	Fzd8	NM_008058	Frizzled homolog 8 (Drosophila) (Fzd8), mRNA	2.70E-04
-2.62	Fgr	NM_010208	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog (Fgr), mRNA	6.05E-24
-2.71	Entpd6	NM_172117	Ectonucleoside triphosphate diphosphohydrolase 6, mRNA	3.35E-06
-3.17	Tmem33	BC016570	Transmembrane protein 33, mRNA	7.85E-04
