Accession no. c	Symbol	Title	Function b	Median d
U37100	AKR1B10	Aldo–keto reductase family 1, member B10 (aldose reductase)	Bile acid biosynthesis	-6.988414261
D00408	CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	Drug metabolism	-6.943817124
NM_001275	CHGA	Chromogranin A (parathyroid secretory protein 1)	Neuroendocrine negative modulator	-6.398707092
AB018283	RHOBTB1	Rho-related BTB domain containing 1	Signal transduction, protein binding	-6.197027765
BE970031	CLPS	Colipase, pancreatic	Enzyme, lipid catabolism	-6.144322204
BE868254		ESTs	Unknown	-5.941929445
U57961	13CDNA73	Hypothetical protein CG003	Unknown	-5.910096103
BF973589	MT1X	Metallothionein 1X	Heavy metal transportation	-5.888563301
AA564381	KRT20	Keratin 20	Cytoskeleton	-5.804261199
AK024409	DKFZP586A0522	DKFZP586A0522 protein	Unknown	-5.801520054
AV702143	GSTA3	Glutathione S-transferase A3	Defense response	-5.757357962
M18963	REG1A	Regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	Cell proliferation	-5.714284913
AI970797		ESTs	Unknown	-5.577186347
AA868345	RNASE1	Ribonuclease, RNase A family, 1 (pancreatic)	RNA binding protein	-5.575601794
AF034803	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	DNA integration	-5.181314162
AI278995		Homo sapiens cDNA FLJ37907 fis, clone COLON2009337.	Unknown	-5.157417787
AA476677	MGC11324	Hypothetical protein MGC11324	Unknown	-5.108701604
NM_005036	PPARA	Peroxisome proliferative-activated receptor, alpha	Transcription factor, fatty acid metabolism	-5.061877465
AL080177	UBL3	Ubiquitin-like 3	Ubiquitination	-5.008658426
BE675124	JFC1	NADPH oxidase-related, C2 domain-containing protein	Membranetrafficking	-4.918163001
M77477	ALDH3A1	Aldehyde dehydrogenase 3 family, memberA1	Aldehyde metabolism	-4.904053163
BF106962	FAM3B	Chromosome 21 open reading frame 11	Cytokine activity	-4.671527904
AA628346		ESTs	Unknown	-4.590544114
J03037	CA2	Carbonic anhydrase II	Carbondioxide metabolism	-4.494765303
AK000188	ACAS2	Acetyl-Coenzyme A synthetase 2 (ADP forming)	Lipid metabolism	-4.367872099
AW954291	CGI-40	CGI-40 protein	Unknown	-4.314783694
AA478113	LOC283385	Morn	Unknown	-4.27957966
NM_005518	HMGCS2	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	Cholesterol biosynthesis	-4.274855877
X59770	IL1R2	Interleukin 1 receptor, type II	Immune response	-4.034032544
AV682257	FABP1	Fatty acid binding protein 1, liver	Fatty acid metabolism	-4.030921493
BF971884	MT2A	Metallothionein 2A	Heavy metal transportation	-3.965939867
Z69881	ATP2A3	ATPase, Ca++ transporting, ubiquitous	Electron transportation	-3.909188751
NM_012244	SLC7A8	Solute carrier family 7 (cationic amino-acid transporter, y+ system), member 8	Small molecule transportation	-3.902622755
D17793	AKR1C3	Aldo–keto reductase family 1, member C3	Lipid metabolism	-3.899483839
S68287	AKR1C4	Aldo–keto reductase family 1, member C4	Lipid metabolism	-3.872209776
AA573793	TFF1	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	Defense response	-3.777161641
AL122066	FKBP5	FK506 binding protein 5	Protein folding	-3.763801026
AI633883	LOC92558	Hypothetical protein LOC92558	Unknown	-3.710260693
AA259255		ESTs	Unknown	-3.682262717
AW014155		ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	Unknown	-3.656475021
AB018263	KIAA0720	KIAA0720 protein	Unknown	-3.64599766
AI985579	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	Signal transduction	-3.637604549
L10320	FBP1	Fructose-1,6-bisphosphatase 1	Fructose metabolism	-3.583676033
D84239	FCGBP	Fc fragment of IgG binding protein	Immune response	-3.519272848
AI433935	REG1B	Regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	Islet cell regeneration	-3.50240627
AF227899	BCAA	RBP1-like protein	Tumor-associated Ag	-3.501043543
AK027077	ERBB2IP	Erbb2 interacting protein	Signal transduction	-3.443668435
AW242997		ESTs, Weakly similar to S10590 cysteine proteinase (EC 3.4.22.-) – human [H.sapiens]	Unknown	-3.412788641
AI356283	FLJ34443	Hypothetical protein FLJ34443	Unknown	-3.412680583
AK024449	PP2135	PP2135 protein	Unknown	-3.400982961
BF448529	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	Glycolipid biosynthesis	-3.383794412
X04299	ADH1C	Alcohol dehydrogenase 1C (class I), gamma polypeptide	Alcohol metabolism	-3.383024368
