GenBank	 aYoung	 aOld	 aWS	Old b 4NQO	Y	UV	WS b 4NQO	Y	UV	Gene name	Synonym	Function
 NM_014578	14 IE	NA	7.6 IE	+	NA	+	+	+	+	Ras homolog gene family, member D	ARHD	GTPase-mediated signal transduction
 W56754	9.9/-3.0	NA	NA	+	NA	+	NA	NA	+	Integrin, beta 8	ITGB8	Integrin receptor signalling
 NM_001968	7.5 IE	10.1 IE	6 IE	+	+	+	+	+	+	Eucaryotic translation initiation factor 4E	EIF4E	Nucleic acid binding
 W02101	6.5	5.3	NA	+	+	+	NA	+	+	Heterogeneous nuclear ribonucleoprotein A2/B1	HNRPA2B1	Nucleic acid binding
 H63976	5.8 IE	NA	5.1 IE	NA	NA	NA	+	+	+	Eucaryotic translation initiation factor 3, subunit 6 interacting	EIF3S6IP	Nucleic acid binding
 AA188179	5.1	5.2	NA	+	+	+	NA	NA	NA	Actin-related protein 2/3 complex, subunit 1B, 41 kDa	ARPC1B	Nucleic acid binding
 NM_005679	4.4	NA	NA	NA	NA	NA	NA	NA	NA	TATA box-binding protein (TBP)-associated factor, RNA polymerase I, C	TAF1C	Nucleic acid binding
 AA455111	-6.3 IE	-6.3	NA	—	—	—	NA	—	—	Heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	Nucleic acid binding
 NM_002089	11.8 IE	16.5 IE	10.4 IE	+	+	+	+	+	+	Chemokine (C-X-C motif) ligand 2	CXCL2	Pathogenesis
 NM_003177	-11.1	NA	NA	NA	—	—	NA	NA	—	Spleen tyrosine kinase	SYK	Proliferation
 R52654	6.6 IE	4.8	3.7	+	+	+	+	+	+	Cytochrome c, somatic	CYCS	Signal transducer (other)
 AA428778	4.4 IE	3.7	NA	+	+	+	+	NA	+	Ephrin-B1	EFNB1	Signal transducer (other)
 BM903615c	8.9 IE	5.3	9.9	+	+	+	+	+	+	Ornithine decarboxylase antizyme 1	OAZ1	Stress response
 NM_000700c	8.4 IE	8.2 IE	6.9 IE	+	+	+	+	+	+	Annexin A1	ANXA1	Stress response
 NM_000972c	7.6 IE	6.7 IE	4.2	+	+	+	+	+	+	Ribosomal protein L7a	RPL7A	Stress response
 N80129c	6.1	9.4 IE	7.6	+	+	+	+	+	+	Metallothionein 1X	MT1X	Stress response
 R67915	5.8	6.7 IE	4.6	+	+	+	+	+	+	Chromosome 13 open reading frame 12	HSPC014	Stress response
 NM_006096c	5.3 IE	NA	NA	NA	NA	+	NA	NA	NA	N-myc downstream-regulated gene 1	NDRG1	Stress response
 NM_002122c	4.9 IE	NA	NA	+	NA	NA	NA	NA	NA	Major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1	Stress response
 NM_000454	4.3	4.5	NA	+	+	+	+	NA	NA	Superoxide dismutase 1	SOD1	Stress response
 NM_004040	4.1 IE	NA	NA	+	NA	NA	NA	+	NA	Ras homolog gene family, member B	ARHB	Stress response
 NM_006406c	4	4.6	NA	+	+	+	NA	+	+	Peroxiredoxin 4	PRDX4	Stress response
 NM_000090	8.9 IE	11.4 IE	11.2 IE	+	+	+	+	+	+	Collagen, type III, alpha 1	COL3A1	Structural protein
 NM_000090	5.2 IE	8.5 IE	6.0 IE	+	+	+	+	+	+	Collagen, type III, alpha 1	COL3A1	Structural protein
 NM_006314	-4.3	NA	NA	—	NA	NA	NA	—	—	Connector enhancer of KSR-like (Drosophila kinase suppressor of ras)	CNK1	Structural protein
 NM_003292	8.5 IE	NA	4.6 IE	+	+	NA	+	+	+	Translocated promoter region (to activated MET oncogene)	TPR	Transport
 AA431433	5.6 IE	4.5 IE	NA	+	+	+	NA	NA	+	ATP synthase, H+ transporting, mitochondrial F0 complex	ATP5I	Transport
 NM_004644	4.5 IE	NA	4.2	+	NA	NA	+	+	+	Adaptor-related protein complex 3, beta 2 subunit	AP3B2	Transport
 AA134753	-4.2 IE	NA	NA	—	NA	NA	NA	NA	NA	Solute carrier family 30 (zinc transporter), member 5	SLC30A5	Transport
 N74229	-5.3	NA	-4.2	NA	—	NA	—	—	—	Solute carrier family 18 (vesicular monoamine), member 2	SLC18A2	Transport
 AA025276	-6.3	NA	NA	—	NA	—	NA	NA	—	Catenin (cadherin-associated protein), delta 1	CTNND1	Other
