Accession no.	Gene	Description	WT-vehvs.WT-P4	WT-P4vs.PRKO-P4	WT-P4vs.PRKOveh	Functional Category
M21285	Scd1	Stearoyl-CoA desaturase 1	?2.63	?2.00	?2.45	Signal transduction
AJ242912	Adamdec1	ADAM-like, decysin 1	?2.83	?2.12	?2.35	Signal transduction
AA710564	Npl	N-Acetylneuraminate pyruvate lyase	3.02	5.45	5.48	Structural protein
AW120739	Nde1	Nuclear distribution gene E homolog 1	2.1	1.93	2.33	Structural protein
X57437	Hdc	Histidine decarboxylase	1.67	2.95	4.61	Structural protein
AW122310	Myo1d	Myosin ID	?1.35	?1.38	?1.38	Structural protein
AW107884	Rod1	ROD1 regulator of differentiation 1 (S. pombe)	?1.39	?1.51	?1.50	Structural protein
AF053943	Aebp1	AE-binding protein 1	?1.48	?1.61	?1.64	Structural protein
AW123904	Gabarapl1	GABA(A) receptor-associated protein-like 1	?1.49	?1.41	?1.55	Structural protein
AJ010045	Net1	Neuroepithelial cell transforming gene 1	?1.65	?1.64	?1.44	Structural protein
Y08027	Art3	ADP-ribosyltransferase 3	?1.67	?1.52	?1.64	Structural protein
AA755126	Krt2-7	Keratin complex 2, basic, gene 7	?1.67	?1.57	?1.45	Structural protein
AW226939	Ces3	Carboxylesterase 3	?1.78	?1.53	?1.71	Structural protein
U82758	Cldn5	Claudin 5	?1.80	?1.61	?1.67	Structural protein
X65021	Gsta3	Glutathione-S-transferase-?3	?1.80	?1.62	?1.92	Structural protein
AF064748	S3-12	Plasma membrane-associated protein, S3–12	?1.82	?1.50	?1.54	Structural protein
M63695	Cd1d1	CD1d1 antigen	?1.86	?1.59	?1.76	Structural protein
AW226939	Ces3	Carboxylesterase 3	?1.88	?1.60	?1.88	Structural protein
AW122933	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	?1.95	?1.89	?1.94	Structural protein
AI848343	Sec23b	SEC23B (S. cerevisiae)	2.19	2.72	2.47	Transport
U24181	Alox12e	Arachidonate lipoxygenase, epidermal	1.72	1.77	1.62	Transport
X60367	Rbp1	Retinol-binding protein 1, cellular	1.65	1.32	1.53	Transport
AI854156	Slc2a3	Solute carrier family 2, member 3	1.66	2.13	1.99	Transport
M75135	Slc2a3	Solute carrier family 2, member 3	1.46	1.75	1.74	Transport
AV150997		Solute carrier family 16, member 2	1.39	1.93	1.85	Transport
AF089751	P2rx4	Purinergic receptor P2X ligand-gated ion channel4	?1.44	?1.50	?1.43	Transport
U49430	Cp	Ceruloplasmin	?1.48	?1.43	?1.64	Transport
L42115	Slc1a5	Solute carrier family 1, member 5	?1.66	?2.05	?2.00	Transport
X75129	Xdh	Xanthine dehydrogenase	?1.77	?1.80	?1.96	Transport
X01026	Cyp2e1	Cytochrome P450, family 2, subfamily e1	?2.24	?2.37	?2.41	Transport
J03298	Ltf	Lactotransferrin	?2.36	?1.70	?2.04	Transport
U49915	Acdc	Adipocyte, C1Q and collagen domain containing	?2.57	?2.38	?2.90	Transport
U63146	Rbp4	Retinol-binding protein 4, plasma	?2.71	?2.07	?2.29	Transport
AV373378	Clca3	Chloride channel calcium-activated 3	?10.89	?4.92	?4.69	Transport
AF028071	Calb3	Calbindin 3	3.1	6.55	5.71	Unspecified
AI852661		RIKEN cDNA D430019H16 gene	2.01	1.41	1.97	Unspecified
D13003	Rcn1	Reticulocalbin 1	1.84	1.38	1.79	Unspecified
AA711773		RIKEN cDNA 6330500D04 gene	1.79	1.51	1.76	Unspecified
