probeID	Gene Symbol	Gene description	Binreg coefficient
219000_s_at	DCC1	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	0.043036
207165_at	HMMR	hyaluronan-mediated motility receptor (RHAMM)	0.042288
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	0.042202
218782_s_at	ATAD2	ATPase family, AAA domain containing 2	0.042144
202705_at	CCNB2	cyclin B2	0.042024
209714_s_at	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	0.042005
218585_s_at	DTL	denticleless homolog (Drosophila)	0.04151
204244_s_at	DBF4	DBF4 homolog (S. cerevisiae)	0.041381
203214_x_at	CDC2	cell division cycle 2, G1 to S and G2 to M	0.040878
209408_at	KIF2C	kinesin family member 2C	0.040429
205240_at	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	0.040353
204146_at	RAD51AP1	RAD51 associated protein 1	0.040259
213226_at	CCNA2	cyclin A2	0.040153
222077_s_at	RACGAP1	Rac GTPase activating protein 1	0.039563
213599_at	OIP5	Opa interacting protein 5	0.039158
219306_at	KIF15	kinesin family member 15	0.039022
204510_at	CDC7	CDC7 cell division cycle 7 (S. cerevisiae)	0.038823
209172_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	0.038253
204240_s_at	SMC2	structural maintenance of chromosomes 2	0.037489
203554_x_at	PTTG1	pituitary tumor-transforming 1	0.037289
218662_s_at	NCAPG	non-SMC condensin I complex, subunit G	0.037241
218726_at	DKFZP762E1312	hypothetical protein DKFZp762E1312	0.037191
206364_at	KIF14	kinesin family member 14	0.037015
201014_s_at	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	0.036917
202503_s_at	KIAA0101	KIAA0101	0.035783
213007_at	KIAA1794	KIAA1794	0.035241
200783_s_at	STMN1	stathmin 1/oncoprotein 18	0.035062
209421_at	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	0.035028
204023_at	RFC4	replication factor C (activator 1) 4, 37kDa	0.034979
204767_s_at	FEN1	flap structure-specific endonuclease 1	0.034874
222037_at	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	0.034348
204026_s_at	ZWINT	ZW10 interactor	0.034253
201663_s_at	SMC4	structural maintenance of chromosomes 4	0.033494
203625_x_at	SKP2	S-phase kinase-associated protein 2 (p45)	0.033162
218875_s_at	FBXO5	F-box protein 5	0.03292
201897_s_at	CKS1B	CDC28 protein kinase regulatory subunit 1B	0.031898
220865_s_at	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	0.031736
201664_at	SMC4	structural maintenance of chromosomes 4	0.030923
219004_s_at	C21ORF45	chromosome 21 open reading frame 45	0.029794
204709_s_at	KIF23	kinesin family member 23	0.029411
214061_at	WDR67	WD repeat domain 67	0.028973
208808_s_at	HMGB2	high-mobility group box 2	0.02895
209709_s_at	HMMR	hyaluronan-mediated motility receptor (RHAMM)	0.028742
218239_s_at	GTPBP4	GTP binding protein 4	0.028669
212949_at	NCAPH	non-SMC condensin I complex, subunit H	0.02637
209825_s_at	UCK2	uridine-cytidine kinase 2	0.025977
212141_at	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	0.025926
201930_at	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	0.025834
206499_s_at	RCC1	regulator of chromosome condensation 1	0.025398
205024_s_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	0.025328
211042_x_at	MCAM	melanoma cell adhesion molecule	0.025152
218984_at	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	0.024173
203095_at	MTIF2	mitochondrial translational initiation factor 2	0.023922
38158_at	ESPL1	extra spindle poles like 1 (S. cerevisiae)	0.022773
201463_s_at	TALDO1	transaldolase 1	0.022523
206055_s_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A	0.021752
204817_at	ESPL1	extra spindle poles like 1 (S. cerevisiae)	0.021316
219481_at	TTC13	tetratricopeptide repeat domain 13	0.020854
212766_s_at	ISG20L2	interferon stimulated exonuclease gene 20kDa-like 2 /// interferon stimulated exonuclease gene 20kDa-like 2	0.019078
221685_s_at	CCDC99	coiled-coil domain containing 99	0.017942
202808_at	C10ORF26	chromosome 10 open reading frame 26	-0.019084
208611_s_at	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	-0.019253
200811_at	CIRBP	cold inducible RNA binding protein	-0.028512
216264_s_at	LAMB2	laminin, beta 2 (laminin S)	-0.032877
204863_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	-0.044529
201360_at	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	-0.045838
201508_at	IGFBP4	insulin-like growth factor binding protein 4	-0.047523
