Accession no.	Difference	P	Symbol	Gene name
AL832642.2	2.022123591	5.38E+06	CD44	CD44 molecule (Indian blood group)
NM_005891.1	2.020215882	8.92E+11	ACAT2	Acetyl-CoA acetyltransferase 2
AF070632.1	2.020131066	2.51E+15		EST
AA742701.1	2.017839777	4.39E+10	LCP1	Lymphocyte cytosolic protein 1(L-plastin)
NM_014841.1	2.007560931	5.59E+05	SNAP91	Synaptosomal-associated protein, 91 kDa homologue(mouse)
M62831.1	2.005374607	3.91E+11	IER2	Immediate early response 2
NM_178835.2	1.975475229	3.50E+05	LOC152485	Hypothetical protein LOC152485
NM_024709.2	1.96745649	3.60E+05	C1orf115	Chromosome 1 open reading frame 115
DA313595.1	1.961835426	2.05E+05	HLA-A	MHC, class I, A
X04481.1	1.915026305	6.40E+06	C2	Complement component 2
NM_173653.1	1.912986031	2.69E+09	SLC9A9	Solute carrier family 9(sodium/hydrogen exchanger),member 9
NM_002228.3	1.872688976	3.02E+05	JUN	V-jun sarcoma virus 17 oncogene homologue (avian)
X07549.1	1.852416069	1.51E+07	CTSH	Cathepsin H
L05779.1	1.835437702	7.24E+08	EPHX2	Epoxide hydrolase 2, cytoplasmic
BC012037.1	1.832746195	5.02E+06	NBL1	Neuroblastoma, suppression of tumorigenicity 1
L13288.1	1.830209324	1.63E+08	VIPR1	Vasoactive intestinal peptide receptor 1
NM_004842.2	1.817118309	7.01E+12	AKAP7	A kinase (PRKA) anchor protein 7
NM_016573.2	1.813774769	1.80E+11	GMIP	GEM interacting protein
AF237813.1	1.811745708	1.59E+08	ABAT	4-Aminobutyrate aminotransferase
U47025.1	1.752036006	3.21E+08	PYGB	Phosphorylase, glycogen; brain
NM_005080.2	1.745150156	1.13E+08	XBP1	X-box binding protein 1
BQ182018.1	1.709983737	1.27E+07	SSU72	SSU72 RNA polymerase II CTD phosphatase homologue
AK129574.1	1.702855987	1.32E+05	DOCK5	Dedicator of cytokinesis 5
AK026400.1	1.691754511	1.85E+07	FLJ42562	Similar to echinoderm microtubule associated protein like 5
X51345.1	1.688349706	1.63E+09	JUNB	Jun B proto-oncogene
NM_014010.3	1.66324122	6.53E+05	ASTN2	Astrotactin 2
NM_000527.2	1.647252497	1.35E+05	LDLR	Low density lipoprotein receptor(familial hypercholesterolemia)
NM_014174.2	1.645153682	1.13E+05	THYN1	Thymocyte nuclear protein 1
AA523303.1	1.63829997	2.70E+08	DEF6	Differentially expressed in FDCP 6 homologue (mouse)
X12548.1	1.620216872	1.61E+08	ACP2	Acid phosphatase 2, lysosomal
BX648582.1	1.611126501	5.56E+09	SPRY2	Sprouty homologue 2 (Drosophila)
NM_005951.1	1.598742883	5.62E+08	MT1H	Metallothionein 1H
NM_014553.1	1.594509479	8.36E+05	TFCP2L1	Transcription factor CP2-like 1
M96824.1	1.593941987	1.88E+09	NUCB1	Nucleobindin 1
U79240.1	1.567475917	5.60E+08	PASK	PAS domain containing serine/threonine kinase
NM_006633.1	1.564791961	7.99E+05	IQGAP2	IQ motif containing GTPase activating protein 2
NM_017679.2	1.547638171	5.30E+09	BCAS3	Breast carcinoma amplified sequence 3
NM_000295.3	1.545151445	6.49E+06	SERPINA1	Serpin peptidase inhibitor, clade A, member 1
AL390079.1	1.52908521	4.32E+08	LOC58489	Hypothetical protein from EUROIMAGE 588495
NM_000282.2	1.527984534	3.77E+10	PCCA	Propionyl CoA carboxylase, ? polypeptide
