GenBank ID	Gene Symbol	Gene Name	Gene Information
J03260	GNAZ	guanine nucleotide binding protein (G protein), alpha z polypeptide	Known Genes
D63997	GOLGA3	golgi autoantigen, golgin subfamily a, 3	Known Genes
X62320	GRN	granulin	Known Genes
D87119	GS3955	GS3955 protein	Known Genes
AA652197	GW112	differentially expressed in hematopoietic lineages	Known Genes
J04501	GYS1	glycogen synthase 1 (muscle)	Known Genes
M60756	H2BFQ	H2B histone family, member Q	Known Genes
AA608605	HCS	cytochrome c	Known Genes
D16431	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	Known Genes
X63187	HE4	epididymis-specific, whey-acidic protein type, four-disulfide core	Known Genes
AA714394	HMG2	high-mobility group (nonhistone chromosomal) protein 2	Known Genes
X92518	HMGIC	high-mobility group (nonhistone chromosomal) protein isoform I-C	Known Genes
X06985	HMOX1	heme oxygenase (decycling) 1	Known Genes
N92060	HNRPL	Heterogeneous nuclear ribonucleoprotein L	Known Genes
M16937	HOXB7	homeo box B7	Known Genes
AA495868	hPAD-colony10	peptidylarginine deiminase type I	Known Genes
AF070616	HPCAL1	hippocalcin-like 1	Known Genes
AF064084	ICMT	isoprenylcysteine carboxyl methyltransferase	Known Genes
AA328385	ICSBP1	interferon consensus sequence binding protein 1	Known Genes
AA573936	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	Known Genes
AI341760	IFI27	interferon, alpha-inducible protein 27	Known Genes
AI081175	IFITM1	interferon induced transmembrane protein 1 (9-27)	Known Genes
X16302	IGFBP2	insulin-like growth factor binding protein 2 (36kD)	Known Genes
M87789	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	Known Genes
M87790		immunoglobulin lambda locus	Known Genes
S74221	IK	IK cytokine, down-regulator of HLA II	Known Genes
X59770	IL1R2	interleukin 1 receptor, type II	Known Genes
J05272	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	Known Genes
AB003184	ISLR	immunoglobulin superfamily containing leucine-rich repeat	Known Genes
M15395	ITGB2	integrin, beta 2	Known Genes
L38961	ITM1	integral membrane protein 1	Known Genes
AA574178	KAI1	Kangai 1	Known Genes
M55513	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5	Known Genes
U63743	KNSL6	kinesin-like 6 (mitotic centromere-associated kinesin)	Known Genes
U70322	KPNB2	karyopherin (importin) beta 2	Known Genes
J00269	KRT6A	keratin 6A	Known Genes
X53305	LAP18	leukemia-associated phosphoprotein p18 (stathmin)	Known Genes
AA742701	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	Known Genes
AA826336	LHFPL2	lipoma HMGIC fusion partner-like 2	Known Genes
U24576	LMO4	LIM domain only 4	Known Genes
AA555023	LOC51191	cyclin-E binding protein 1	Known Genes
AI299952	LOC51765	serine/threonine protein kinase MASK	Known Genes
U89942	LOXL2	lysyl oxidase-like 2	Known Genes
U15128	MGAT2	mannosyl (alpha,6-)-glycoprotein beta,2-N-acetylglucosaminyltransferase	Known Genes
J03746	MGST1	microsomal glutathione S-transferase 1	Known Genes
AA531437	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 4	Known Genes
X57766	MMP11	matrix metalloproteinase 11 (stromelysin 3)	Known Genes
J05070	MMP9	matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)	Known Genes
AF034374	MOCS1	molybdenum cofactor biosynthesis protein A; molybdenum cofactor biosynthesis protein C	Known Genes
M74905	MPG	N-methylpurine-DNA glycosylase	Known Genes
AA458825	MTIF2	mitochondrial translational initiation factor 2	Known Genes
X13293	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2	Known Genes
D32002	NCBP1	nuclear cap binding protein subunit 1, 80kD	Known Genes
AA729022	NCOA3	nuclear receptor coactivator 3	Known Genes
AF047434	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5 (15kD) (NADH-coenzyme Q reductase)	Known Genes
AA602490	NOP5	nucleolar protein NOP5/NOP58	Known Genes
X04371	OAS1	2,5-oligoadenylate synthetase 1 (40-46 kD)	Known Genes
M23204	OAT	ornithine aminotransferase (gyrate atrophy)	Known Genes
U65785	ORP150	oxygen regulated protein (150kD)	Known Genes
AI223298	P125	Sec23-interacting protein p125	Known Genes
M24486	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	Known Genes
M80482	PACE4	paired basic amino acid cleaving system 4	Known Genes
L11370	PCDH1	protocadherin 1 (cadherin-like 1)	Known Genes
D38554	PCOLN3	procollagen (type III) N-endopeptidase	Known Genes
AA034069	PDK1	pyruvate dehydrogenase kinase, isoenzyme 1	Known Genes
AA586974	PI3	protease inhibitor 3, skin-derived (SKALP)	Known Genes
M16750	PIM1	pim oncogene	Known Genes
AA234962	PKP3	plakophilin 3	Known Genes
X02419	PLAU	plasminogen activator, urokinase	Known Genes
AA308562	PLEK2	pleckstrin 2 (mouse) homolog	Known Genes
U97519	PODXL	podocalyxin-like	Known Genes
AI185998	PPIC	peptidylprolyl isomerase C (cyclophilin C)	Known Genes
AA931981	PPM1B	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	Known Genes
L42373	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	Known Genes
AF044588	PRC1	protein regulator of cytokinesis 1	Known Genes
X74496	PREP	prolyl endopeptidase	Known Genes
M65066	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	Known Genes
AA972414	PRO2975	hypothetical protein PRO2975	Known Genes
D00860	PRPS1	phosphoribosyl pyrophosphate synthetase 1	Known Genes
D87258	PRSS11	protease, serine, 11 (IGF binding)	Known Genes
AF043498	PSCA	prostate stem cell antigen	Known Genes
D26598	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	Known Genes
X62006	PTB	polypyrimidine tract binding protein (heterogeneous nuclear ribonucleoprotein I)	Known Genes
M77836	PYCR1	pyrroline-5-carboxylate reductase 1	Known Genes
X12953	RAB2	RAB2, member RAS oncogene family	Known Genes
AA346311	RAI3	retinoic acid induced 3	Known Genes
X64652	RBMS1	RNA binding motif, single stranded interacting protein 1	Known Genes
S45545	RCV1	recoverin	Known Genes
AA316525	REGIV	Regenerating gene type IV	Known Genes
AB008109	RGS5	regulator of G-protein signalling 5	Known Genes
AA778308	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	Known Genes
AA811043	RNASE6PL	ribonuclease 6 precursor	Known Genes
L05096	RPL39	Homo sapiens ribosomal protein L39 mRNA, complete cds	Known Genes
X76302	RY1	putative nucleic acid binding protein RY	Known Genes
D38583	S100A11	S100 calcium-binding protein A11 (calgizzarin)	Known Genes
AA308062	S100P	S100 calcium-binding protein P	Known Genes
AA452018	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	Known Genes
D49737	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kD	Known Genes
AA579861	SEC23A	Sec23 (S. cerevisiae) homolog A	Known Genes
AA430643	SEPW1	selenoprotein W, 1	Known Genes
AF029082	SFN	stratifin	Known Genes
AA639599	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	Known Genes
L20859	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	Known Genes
L02785	SLC26A3	solute carrier family 26, member 3	Known Genes
K03195	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	Known Genes
U09873	SNL	singed (Drosophila)-like (sea urchin fascin homolog like)	Known Genes
X13482	SNRPA1	small nuclear ribonucleoprotein polypeptide A
	Known Genes
M37716	SNRPE	small nuclear ribonucleoprotein polypeptide E	Known Genes
J03040	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	Known Genes
M32313	SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1	Known Genes
M95787	TAGLN	transgelin	Known Genes
M81601	TCEA1	transcription elongation factor A (SII), 1	Known Genes
AF033095	TEGT	testis enhanced gene transcript (BAX inhibitor 1)	Known Genes
L12350	THBS2	thrombospondin 2	Known Genes
M77142	TIA1	TIA1 cytotoxic granule-associated RNA-binding protein	Known Genes
K02581	TK1	thymidine kinase 1, soluble	Known Genes
AA429631	TK2	thymidine kinase 2, mitochondrial	Known Genes
U09087	TMPO	thymopoietin	Known Genes
AF065388	TSPAN	tetraspan 1	Known Genes
U73379	UBCH10	ubiquitin carrier protein E2-C	Known Genes
AA977545	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (homologous to yeast UBC4/5)	Known Genes
U45328	UBE2I	ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)	Known Genes
M57899	UGT1A1	UDP glycosyltransferase 1 family, polypeptide A1	Known Genes
AA315189	UQCRB	ubiquinol-cytochrome c reductase binding protein	Known Genes
AB000450	VRK2	vaccinia related kinase 2	Known Genes
AA079060	WFDC2	WAP four-disulfide core domain 2	Known Genes
AA043277	WFS1	Wolfram syndrome 1 (wolframin)	Known Genes
AA581940	WHSC1	Wolf-Hirschhorn syndrome candidate 1	Known Genes
AI185056	ZNF134	zinc finger protein 134 (clone pHZ5)	Known Genes
AA709155	FLJ10134	hypothetical protein FLJ10134	unknown genes
AA806630	FLJ10540	hypothetical protein FLJ10540	unknown genes
AA115015	FLJ10633	hypothetical protein FLJ10633	unknown genes
AA394229	FLJ10637	hypothetical protein FLJ10637	unknown genes
AA633302	FLJ20063	hypothetical protein FLJ20063	unknown genes
AA918811	FLJ20225	hypothetical protein	unknown genes
R09189	FLJ20281	hypothetical protein FLJ20281	unknown genes
AA112198	FLJ20296	hypothetical protein FLJ20296	unknown genes
AI033837	FLJ20406	hypothetical protein FLJ20406	unknown genes
AA974462	FLJ23053	hypothetical protein FLJ23053	unknown genes
D14657	KIAA0101	KIAA0101 gene product	unknown genes
D61862	KIAA0332	KIAA0332 protein	unknown genes
AB014566	KIAA0666	KIAA0666 protein	unknown genes
AB014570	KIAA0670	KIAA0670 protein/acinus	unknown genes
AA665890	KIAA0729	KIAA0729 protein	unknown genes
W80765	KIAA0731	KIAA0731 protein	unknown genes
AF052170	KIAA0750	KIAA0750 gene product	unknown genes
D20853	KIAA0776	KIAA0776 protein	unknown genes
AA031775	KIAA0990	KIAA0990 protein	unknown genes
R39794	KIAA1624	KIAA1624 protein	unknown genes
AA434045	KIAA1808	ESTs	unknown genes
AI074410	KIAA1863	Homo sapiens cDNA FLJ13996 fis, clone Y79AA1002211	unknown genes
AF070638	CGI-57	hypothetical protein	unknown genes
N38882		H.sapiens gene from PAC 106H8	unknown genes
AI142828		Homo sapiens adlican mRNA, complete cds	unknown genes
AA028961		Homo sapiens cDNA FLJ12150 fis, clone MAMMA1000422	unknown genes
AA933635		Homo sapiens cDNA FLJ13154 fis, clone NT2RP3003427	unknown genes
AA523117		Homo sapiens cDNA: FLJ21504 fis, clone COL05662	unknown genes
AA555187		Homo sapiens cDNA: FLJ22277 fis, clone HRC03740	unknown genes
AF035315		Homo sapiens clone 23664 and 23905 mRNA sequence	unknown genes
AA968840		Homo sapiens HSPC285 mRNA, partial cds	unknown genes
R55322		Homo sapiens mRNA; cDNA DKFZp547K204 (from clone DKFZp547K204)	unknown genes
W55876		Homo sapiens mRNA; cDNA DKFZp586A0424 (from clone DKFZp586A0424)	unknown genes
AA789332		ESTs, Moderately similar to  KIAA1215 protein [H.sapiens]	unknown genes
AI310156		ESTs, Weakly similar to  A4P_HUMAN INTESTINAL MEMBRANE A4 PROTEIN [H.sapiens]	unknown genes
C01335		ESTs, Weakly similar to  FLDED [H.sapiens]	unknown genes
AI349804		ESTs, Weakly similar to  IQGA_HUMAN RAS GTPASE-ACTIVATING-LIKE PROTEIN IQGAP1	unknown genes
AA683373		ESTs	unknown genes
H28960		ESTs	unknown genes
AA429665		ESTs	unknown genes
R17093		ESTs	unknown genes
AA806114		ESTs	unknown genes
AA707966		ESTs	unknown genes
D85376		ESTs	unknown genes
AA419568		ESTs	unknown genes
AA251355		ESTs	unknown genes
W63676		ESTs	unknown genes
AA570186		ESTs	unknown genes
AI239432		ESTs	unknown genes
AI264318		ESTs	unknown genes
AA553741		ESTs	unknown genes
N70804		ESTs	unknown genes
R61891		ESTs	unknown genes
W01507		ESTs	unknown genes
W31174		ESTs	unknown genes
AA587884		ESTs	unknown genes
AA830326		ESTs	unknown genes
AI240520		ESTs	unknown genes
AA453716		ESTs	unknown genes
AI199761		ESTs	unknown genes
AI271678		ESTs	unknown genes
AA242941		ESTs	unknown genes
AI027791		ESTs	unknown genes
