#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAB5519		Hs.13804		0.968		-0.048
hAC6864	-	Hs.129319		0.948		-0.077
hAC0092	CLIC4	Hs.25035	1.048	2.465	0.068	1.302
hAA8956	RUNX3	Hs.170019	1.702	1.451	0.767	0.537
hAB6747	STMN1	Hs.250811	1.323	5.301	0.404	2.406
hAB9412	PAFAH2	Hs.234392	1.181	0.437	0.24	-1.196
hAA0445	LOC51042	Hs.102419	1.09	2.144	0.124	1.101
hAA5765	CNK1	Hs.16232	1.43	1.044	0.516	0.061
hAC7979	CDW52	Hs.276770		0.488		-1.036
hAB6207	SES2	Hs.8026	1.441	1.197	0.527	0.26
hAA9340	LOC51189	Hs.241336	0.853	3.591	-0.229	1.844
hAA7233	DNAJC8	Hs.74711	1.576	0.913	0.656	-0.131
hAA0130	RPA2	Hs.79411	1.31	2.016	0.39	1.012
hAA3143	ICB-1	Hs.10649		0.284		-1.815
hAE0119	PPP1R8	Hs.356590		0.49		-1.029
hAC3326	MGC14797	Hs.106823	1.411	0.726	0.497	-0.462
hAA1620	G1P3	Hs.265827	1.479	1.794	0.565	0.843
hAA1099	FGR	Hs.1422	1.069	0.9	0.096	-0.153
hAC8732	GPR3	Hs.66542	1.059	0.401	0.083	-1.32
hAD1245	MAP3K6	Hs.194694	1.053	1.892	0.075	0.92
hAC7263	JFC1	Hs.25895		1.577		0.657
hAB7612	KIAA1037	Hs.172825	1.282	2.013	0.358	1.009
hAA0090	SLC9A1	Hs.170222	1.43	0.319	0.516	-1.648
hAB8289	NUDC	Hs.263812	1.171	5.03	0.228	2.331
hAA8695	NR0B2	Hs.11930	1.192	0.758	0.253	-0.399
hAC8553	SFN	Hs.184510	1.33	2.273	0.411	1.185
hAA9744	DKFZp667O2416	Hs.19066	1.275	2.06	0.35	1.043
hAC8335	SMARCF1	Hs.123090	1.419	1.665	0.505	0.736
hAB1620	FLJ20477	Hs.26994		3.516		1.814
hAA1445	RPS6KA1	Hs.149957	1.054	1.823	0.076	0.866
hAA2325	CHC1	Hs.84746	1.572	2.055	0.653	1.039
hAA9580	SECP43	Hs.266935		8.746		3.129
hAA0733	TAF2J	Hs.82037	1.488	2.155	0.573	1.108
hAC1280	GMEB1	Hs.4069	1.083	2.305	0.115	1.205
hAA8195	EPB41	Hs.37427	1.608	3.651	0.685	1.868
hAA1533	SFRS4	Hs.76122	1.207	0.756	0.271	-0.404
hAB9114	LOC51102	Hs.19513		0.883		-0.18
hAB4994	FHL3	Hs.57687	0.933	2.048	-0.1	1.034
hAA0363	SF3A3	Hs.77897	1.525	0.919	0.609	-0.122
hAA5282	MTF1	Hs.211581	0.666	0.753	-0.586	-0.408
hAA6682	FLJ23476	Hs.46736	1.052	3.176	0.073	1.667
hAA3112	-	Hs.7988		1.231		0.3
hAA2091	HUMAUANTIG	Hs.75528	1.08	5.697	0.111	2.51
hAA6284	P28	Hs.33846	1.033	2.044	0.047	1.031
hAC4773	FLJ12553	Hs.99601	1.421	0.728	0.507	-0.459
hAA5795	FLJ11730	Hs.17118	1.198	0.479	0.261	-1.062
hAB8555	-	Hs.17118	1.205	0.572	0.269	-0.806
hAC2159	FLJ23231	Hs.288300	1.644	1.91	0.717	0.934
hAC0306	LOC51118	Hs.111449	0.991	4.407	-0.013	2.14
hAC5186	MYCBP	Hs.78221	1.161	1.334	0.215	0.416
hAB3372	MYCBP	Hs.78221	1.26	1.44	0.333	0.526
hAD1924	MATN1	Hs.150366	1.28	1.79	0.356	0.84
hAA0581	LAPTM5	Hs.79356	1.05	2.303	0.07	1.203
hAB1632	KIAA0468	Hs.158287	1.22		0.287
hAC5610	HEYL	Hs.23823	1.324	2.847	0.405	1.51
hAB9162	-	Hs.75668	1.155	0.943	0.208	-0.085
hAC1037	BAI2	Hs.200586		1.303		0.382
hAA1316	COL16A1	Hs.26208	1.363	2.051	0.447	1.036
hAB0209	HCRTR1	Hs.150968	1.425	2.213	0.511	1.146
hAA9557	HPRP8BP	Hs.10290	0.955	3.867	-0.066	1.951
hAA5393	FABP3	Hs.49881	1.446	1.549	0.532	0.631
hAA3355	RP4-622L5	Hs.272299	1.175	1.288	0.233	0.365
hAB2174	RP4-622L5	Hs.272299	1.474	0.696	0.56	-0.523
hAB7247	EIF3S2	Hs.192023	1.46	4.414	0.546	2.142
hAA2388	LCK	Hs.1765	1.653	0.345	0.725	-1.537
hAB7343	HDAC1	Hs.88556	1.307	0.841	0.386	-0.249
hAE0763	MACMARCKS	Hs.75061	1.4	2.484	0.485	1.313
hAB9134	FLJ10276	Hs.333149	1.3	0.752	0.379	-0.412
hAB9647	-	Hs.333149		1.236		0.305
hAA1463	RBBP4	Hs.16003	1.131	0.568	0.178	-0.817
hAA5107	SYNCOILIN	Hs.348415		0.521		-0.941
hAA5007	MYCL1	Hs.92137	0.893	0.755	-0.163	-0.405
hAA0771	MYCL1	Hs.92137	1.014	1.163	0.02	0.218
hAB5113	IPT	Hs.356554	1.16	1.613	0.214	0.689
hAB7204	BMP8	Hs.99948	1.175	0.858	0.233	-0.22
hAA2884	PPIE	Hs.33251	1.281	0.724	0.357	-0.466
chAC1078	PPIE	Hs.33251		1.274		0.349
hAB2911	HPCAL4	Hs.272891		0.437		-1.194
hAA0952	HPCA	Hs.288654	1.28	0.745	0.356	-0.424
hAA8576	AK2	Hs.171811	0.801	1.866	-0.32	0.9
hAC4117	FLJ10759	Hs.15921		0.904		-0.145
hAB5170	GJB5	Hs.198249	0.939	0	-0.091
hAD1531	GJB3	Hs.98485		0.761		-0.395
hAB7331	GJA4	Hs.296310	1.256	1.201	0.329	0.264
hAA5201	FLJ23151	Hs.137260	1.524	0.477	0.608	-1.068
hAB8526	-	Hs.112023	1.181	1.649	0.24	0.722
hAB5974	EIF2C1	Hs.14520	1.432	1.157	0.518	0.21
hAA6518	TRAP150	Hs.108319	1.657	0.993	0.729	-0.009
hAD9338	FLJ22938	Hs.87016	1.577	0.538	0.657	-0.894
hAC4930	LSM10	Hs.3496	1.267	4.75	0.341	2.248
hAC2878	MRPS15	Hs.107707	0.993	9.492	-0.01	3.247
hAA1212	CSF3R	Hs.2175	0.921	0.446	-0.119	-1.166
hAA8362	PPT1	Hs.3873		1.852		0.889
hAA0725	RLF	Hs.13321	0.916	0.998	-0.127	-0.003
hAB0164	RLF	Hs.13321	1.064	0.923	0.089	-0.116
hAB8144	ZMPSTE24	Hs.25846		1.076		0.106
hAB8215	COL9A2	Hs.37165	1.733	0.819	0.793	-0.287
hAB7046	KIAA0237	Hs.78748	1.26	0.595	0.333	-0.749
hAA3640	NFYC	Hs.168157	1.559	0.992	0.641	-0.012
hAD1206	EDN2	Hs.1407	1.204	0.731	0.268	-0.453
hAC5799	FLJ11838	Hs.72531	1.203	0.722	0.267	-0.471
chAB5037	PPIH	Hs.9880	0.988	2.757	-0.017	1.463
hAA2084	NSEP1	Hs.74497	1.369	3.722	0.453	1.896
hAC5578	GROS1	Hs.10114	1.349	1.351	0.432	0.434
hAB9092	ERMAP	Hs.181223	0.936		-0.095
hAA2434	SLC2A1	Hs.169902	0.889	1.594	-0.17	0.673
hAC2542	SLC2A1	Hs.169902	1.339	0.694	0.421	-0.527
hAC3502	SLC2A1	Hs.169902	1.474	1.49	0.56	0.575
hAC3024	ELOVL1	Hs.25597	1.328	2.243	0.409	1.165
hAA1707	CDC20	Hs.82906	1.408	0.528	0.494	-0.922
hAA1392	TIE	Hs.78824	1.45	1.172	0.536	0.229
hAC0074	-	Hs.104476	1.642	3.004	0.715	1.587
hAA0423	-	Hs.346868	1.385	6.005	0.47	2.586
hAB1705	KIAA0677	Hs.155983	1.154		0.207
hAB2111	SIAT6	Hs.48793	1.241	0.708	0.312	-0.499
hAC9440	IMP13	Hs.158497	1.423	1.327	0.509	0.408
hAC7550	DPH2L2	Hs.324830	1.363	2.061	0.447	1.043
hAA0454	ATP6F	Hs.7476	1.236	3.413	0.306	1.771
hAC6598	FLJ10597	Hs.90375	1.032	1.079	0.045	0.11
hAB6367	FLJ22353	Hs.22157	1.06	0	0.084
hAA8385	KNSL6	Hs.69360		1.8		0.848
hAB7384	RPS8	Hs.151604	1.202	1.666	0.265	0.736
hAC8461	CNK	Hs.153640	0.987	0.333	-0.019	-1.587
hAA1688	CNK	Hs.153640	1.222	0.694	0.289	-0.528
hAB0433	FLJ21156	Hs.26058	1.626	1.996	0.701	0.997
hAA2378	UROD	Hs.78601		1.786		0.837
hAA5280	MUTYH	Hs.271353	1.476	1.528	0.562	0.612
hAD1739	TESK2	Hs.8980	1.199	1.016	0.262	0.023
hAA2564	DKFZP564I122	Hs.13024	1.61	2.649	0.687	1.405
hAB7213	PRDX1	Hs.180909	0.758	19.713	-0.4	4.301
hAA3514	-	Hs.18912	1.199	0.439	0.262	-1.189
hAA7772	SP192	Hs.169854		0.802		-0.318
hAB5876	LOC51249	Hs.184456	1.559	1.297	0.641	0.375
hAC1927	MAST205	Hs.101474	1.489	1.921	0.574	0.942
hAD1610	PIK3R3	Hs.88051	1.012	0.313	0.017	-1.675
hAA0664	PIK3R3	Hs.88051	1.244	1.186	0.315	0.246
hAD1872	TSPAN-1	Hs.38972	1.337	0.931	0.419	-0.103
hAA6249	FLJ20277	Hs.183860		0.68		-0.557
hAD1434	RAD54L	Hs.66718		1.367		0.451
hAB6716	MUF1	Hs.172210	1.33	4.279	0.411	2.097
hAB9248	-	Hs.288828	1.311	1.038	0.391	0.054
hAA5287	FAAH	Hs.326190	1.236	0.785	0.306	-0.349
hAA8416	MKNK1	Hs.5591	1.423	0.785	0.509	-0.349
hAA7910	KIAA0494	Hs.62515	0.745	0.529	-0.425	-0.918
hAA9097	CYP4B1	Hs.687	1.114	0.816	0.156	-0.293
hAC1112	DD96	Hs.271473	1.5	2.613	0.585	1.386
hAA1404	TAL1	Hs.73828	1.656	3.495	0.728	1.805
hAC1038	SIL	Hs.323032	1.101	0.418	0.139	-1.26
hAC0119	UMP-CMPK	Hs.11463	0.949	0.395	-0.076	-1.341
hAD1652	ELAVL4	Hs.75236	1.267	1.398	0.341	0.483
hAA9306	FAF1	Hs.25821	0.717	2.631	-0.48	1.396
hAA2727	FAF1	Hs.25821	1.027	1.504	0.038	0.589
hAA8646	CDKN2C	Hs.4854	1.125	1.944	0.17	0.959
hAA2599	-	Hs.96334	1.351	0.361	0.434	-1.472
hAA1150	EPS15	Hs.79095		0.524		-0.932
hAA0696	CPT2	Hs.274336	1.392	0.694	0.477	-0.528
hAC8541	FLJ20580	Hs.146861	1.181	0.56	0.24	-0.836
hAC0420	FLJ10407	Hs.30738	1.119	0.531	0.162	-0.914
hAC0521		Hs.11923	1.195	1.193	0.257	0.255
hAB2008	LOC51668	Hs.46967	0.776	2.445	-0.366	1.29
hAA4419	-	Hs.40094	0.949	0.736	-0.076	-0.441
hAD5167	FLJ21031	Hs.25982	1.107	0.432	0.147	-1.213
hAB1178	MRPL37	Hs.4209		5.251		2.393
hAA6747	-	Hs.143251	0.786	0	-0.347
hAB5322	CL683	Hs.43728		0.873		-0.196
hAA2414	KIAA0191	Hs.12413	1.429	0.616	0.515	-0.7
hAA9380	FLJ14936	Hs.5301	1.179	2.018	0.238	1.013
hAA8369	ORC1L	Hs.17908	1.405	1.508	0.491	0.592
hAB1235	-	Hs.7307		2.274		1.185
hAB5277	-	Hs.93748		1.947		0.961
hAD1821	MADHIP	Hs.194716	1.129	1.442	0.175	0.528
hAB9835	KIAA1836	Hs.318773	1.331	1.117	0.413	0.16
hAC2292	FLJ12492	Hs.21938	1.086	1.193	0.119	0.255
hAB0368	NRD1	Hs.4099	1.364	1.602	0.448	0.68
hAC4943	KIAA0707	Hs.234786	1.619	1.472	0.695	0.558
hAA3008	DKFZP727A071	Hs.13036	1.469	0.929	0.555	-0.106
hAB7717	-	Hs.7243	1.155	0.733	0.208	-0.448
hAB0395	USP24	Hs.7243		0.461		-1.117
hAC7645	PPAP2B	Hs.173717	0.999	0.981	-0.001	-0.027
hAB2175	PPAP2B	Hs.173717	1.159	0.646	0.213	-0.63
hAA1932	-	Hs.173717	1.224	2.182	0.292	1.126
hAA1210	C8A	Hs.93210	1.455	1.09	0.541	0.125
hAA2592	-	Hs.8108	1.55	0.803	0.632	-0.317
hAA0251	TACSTD2	Hs.23582	1.416	2.347	0.502	1.231
hAC4025	KIAA1915	Hs.12915	1.002	0.144	0.003	-2.799
hAA2424	JUN	Hs.78465	1.066	1.041	0.092	0.058
hAA9048	CYP2J2	Hs.152096	0.933	0.849	-0.1	-0.236
hAA2471	KIAA1771	Hs.93560		0.801		-0.321
hAA9863	-	Hs.22869	1.461	0.744	0.547	-0.427
hAD9421	ANGPTL3	Hs.209153	1.251	0.608	0.323	-0.717
hAC3623	AUTL1	Hs.7353	1.035	0.781	0.05	-0.357
hAA8560	ITGB3BP	Hs.82084		0.668		-0.583
hAB1854	DLEU2	Hs.43628	1.064		0.089
hAD4532	KIAA1579	Hs.49933	1.015	0.898	0.021	-0.155
hAD6267	JAK1	Hs.50651	0.945	0.453	-0.082	-1.143
hAB7273	JAK1	Hs.50651		0.575		-0.799
hAD1130	AK3	Hs.274691	1.29	1.571	0.367	0.652
hAC0481	AK3	Hs.355972	1.498	0.816	0.583	-0.294
hAB5919	DNAJC6	Hs.44896		0.359		-1.477
hAA1052	HSOBRGRP	Hs.23581	1.052	0.478	0.073	-1.064
hAA1518	PDE4B	Hs.188	1.01	0.359	0.014	-1.477
hAD2905	-	Hs.49421	1.195	1.293	0.257	0.371
hAA4924	KIAA1610	Hs.222746		0.511		-0.968
hAA0532	UGTREL7	Hs.82635	1.271	0.776	0.346	-0.365
hAC8203	IL12RB2	Hs.73165		1.102		0.14
hAA2776	PAI-RBP1	Hs.165998	1.705	3.746	0.77	1.905
hAA2282	GADD45A	Hs.80409	1.21	3.044	0.275	1.606
hAD4450	LOC55970	Hs.118520	1.208	0.578	0.273	-0.79
hAB0408	ARHI	Hs.194695	1.098	0.779	0.135	-0.361
hAB8256	FLJ23091	Hs.250746	1.609	2.99	0.686	1.58
hAA0718	SFRS11	Hs.11482		0.703		-0.509
hAB7732	SFRS11	Hs.11482		0.491		-1.025
hAA6155	DKFZP566D1346	Hs.22612	1.25	0.532	0.322	-0.909
hAA1200	CTH	Hs.19904		0.778		-0.363
hAA0172	PTGER3	Hs.170917	1.413	0.845	0.499	-0.242
hAB6182	ZNF265	Hs.194718		0.321		-1.637
hAB5508	-	Hs.216381	1.245	1.368	0.316	0.452
hAC4327	FUBP1	Hs.118962	1.264	0.868	0.338	-0.205
hAA0886	GS3686	Hs.75470	1.357	0.644	0.44	-0.636
hAC5544	KIAA1097	Hs.173694		0.533		-0.909
hAB5099	MGC3184	Hs.274323	1.609	0	0.686
hAA4135	-	Hs.34596		0.703		-0.509
hAA8847	FPGT	Hs.150926	1.245	0.408	0.316	-1.295
hAA8740	CDC7L1	Hs.28853	0.972	1.491	-0.041	0.576
hAA0043	TGFBR3	Hs.342874	1.425	1.511	0.511	0.595
hAB8651	TGFBR3	Hs.342874		0.472		-1.083
hAA1331	ACADM	Hs.79158		0.993		-0.011
hAB7104	CYR61	Hs.8867		0.526		-0.927
hAC0267	BCL10	Hs.193516	1.286	0.953	0.363	-0.069
hAA8160	PRKACB	Hs.87773	1.512	0.71	0.596	-0.493
hAB6238	PRKACB	Hs.87773		0.158		-2.659
hAA2474	DKFZp586J1119	Hs.193669	1.147	0.475	0.198	-1.073
hAA0320	GBP2	Hs.171862		0.392		-1.352
hAA0604	PRKCL2	Hs.69171	1.087		0.12
hAC0184	PRKCL2	Hs.69171		0.273		-1.874
hAA1098	GTF2B	Hs.258561	0.881	0.925	-0.183	-0.113
hAD6181	GTF2B	Hs.258561		1.101		0.138
hAA2214	GBP1	Hs.62661	1.359	1.912	0.443	0.935
hAB4978	GFI1	Hs.73172	0.762	0.365	-0.392	-1.456
hAC3815	BCAR3	Hs.6564	1.118	0.957	0.161	-0.064
hAA1169	DPYD	Hs.1602		0.25		-1.998
hAD1789	SLC35A3	Hs.159322		0.365		-1.452
hAA2523	CDC14A	Hs.65993	0.925	0.24	-0.112	-2.061
hAB7267	CDC14A	Hs.65993		0.113		-3.14
hAA0015	VCAM1	Hs.109225	1.242	1.779	0.313	0.831
hAA1355	VCAM1	Hs.109225		1.388		0.473
hAC7844	EDG1	Hs.154210		0.038		-4.72
hAE0053	COL11A1	Hs.82772		0.406		-1.299
hAA6361	VAV3	Hs.267659	1.276	0.881	0.352	-0.183
hAA9966	VAV3	Hs.267659	1.326	0.61	0.407	-0.713
hAA1088	GSTM3	Hs.2006	1.223	0.444	0.29	-1.172
hAA1087	GSTM1	Hs.301961	1.468	1.062	0.554	0.086
hAA1528	PSMA5	Hs.76913	1.215	2.377	0.281	1.249
hAB5824	MGC5338	Hs.99598	1.383	1.232	0.468	0.3
hAA0224	NGFB	Hs.2561	1.239	2.224	0.309	1.153
hAC1903	BCAS2	Hs.22960	1.344	1.827	0.427	0.87
hAD1248	XIP	Hs.80464	0.98	1.805	-0.029	0.852
hAA2367	CD53	Hs.82212		0.274		-1.869
hAA6416	FLJ22457	Hs.238707	1.369	0.187	0.453	-2.418
hAA1467	RAP1A	Hs.865	1.138	0.452	0.187	-1.144
hAA7145	DDX20	Hs.65412	1.184	1.007	0.244	0.01
hAE0228	WNT2B	Hs.258575	1.66	1.604	0.731	0.682
hAC6270	CAPZA1	Hs.184270	1.014	1.043	0.02	0.061
hAC7790	CAPZA1	Hs.184270	1.226	0.91	0.294	-0.136
hAA1946	CAPZA1	Hs.184270	1.435	1.328	0.521	0.409
hAD1866	ARHC	Hs.179735	1.167	2.25	0.223	1.17
hAC5789	PTPN22	Hs.87860	1.159	0.884	0.213	-0.178
hAC8075	CD2	Hs.89476		0.11		-3.188
hAD1183	TTF2	Hs.142157	1.21	1.211	0.275	0.277
hAC0080	NOTCH2	Hs.8121	1.421	1.434	0.507	0.52
hAB2967	LOC64182	Hs.333512	1.423	0.518	0.509	-0.949
hAA5138	PRKAB2	Hs.50732	1.314	0.936	0.394	-0.096
hAA4038	ITGA10	Hs.158237	1.222	0.63	0.289	-0.666
hAB1352	LOC51107	Hs.108408		1.943		0.958
hAA0643	ECM1	Hs.81071	1.437	1.052	0.523	0.073
hAA2334	CTSS	Hs.181301	1.06	0.288	0.084	-1.795
hAA1266	CTSK	Hs.83942	1.481	0.663	0.567	-0.592
hAA3356	ARNT	Hs.166172	1.491	0.404	0.576	-1.309
hAC2209	ANXA9	Hs.279928	1.363	0.741	0.447	-0.433
hAB8985	SPEC1	Hs.22065		0.207		-2.27
hAA1955	PSMD4	Hs.148495	1.095	4.132	0.131	2.047
hAC8005	PIK4CB	Hs.154846	1.329	1.213	0.41	0.279
hAA2069	PIK4CB	Hs.154846		1.612		0.689
