ProbeID	Ratio	REF.MACS	WT.MACS	p-value	qvalue	Accession	Symbol	geneID	UniGene	Name	Chr	Pathway
1425458_a_at	-4.64E+00	6.8536	11.4985	8.42E-10	9.89E-07	AF022072	Grb10	14783	Mm.273117	growth factor receptor bound protein 10	chr11 A1|11 8.0 cM	---
1434273_at	3.83E+00	11.0301	7.2011	9.64E-10	1.08E-06	BG073439	A830073O21Rik	320262	Mm.271969	RIKEN cDNA A830073O21 gene	chr7 D1	---
1439739_at	-3.07E+00	5.3856	8.4518	1.04E-09	1.11E-06	BB295899	1700112C13Rik /// Tsp50	235631 /// 74306	Mm.87419	RIKEN cDNA 1700112C13 gene /// testes-specific pro	chr9 F3|9 63.98 cM /// chr9 F3|9 63.99 cM	---
1420944_at	4.58E+00	10.1373	5.5534	1.30E-09	1.33E-06	AK014497	Zfp185	22673	Mm.1161	zinc finger protein 185	chrX A7.3|X 28.95 cM	---
1434091_at	3.51E+00	8.5186	5.0087	1.92E-09	1.80E-06	BB189927	Faah	14073	Mm.256025	fatty acid amide hydrolase	chr4 D1|4 56.5 cM	---
1449111_a_at	2.20E+00	12.5138	10.3129	1.90E-09	1.80E-06	BG064712	Grb2	14784	Mm.383426	growth factor receptor bound protein 2	chr11 E2|11 75.0 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1428284_at	2.07E+00	10.3925	8.3195	2.37E-09	2.15E-06	AK018446	8430427H17Rik	329540	Mm.50600	RIKEN cDNA 8430427H17 gene	chr2 H1	---
1418106_at	3.62E+00	8.6631	5.0419	2.87E-09	2.32E-06	NM_013904	Hey2	15214	Mm.103573	hairy/enhancer-of-split related with YRPW motif 2	chr10 A4	---
1433110_at	-2.68E+00	6.0249	8.7004	2.69E-09	2.32E-06	AK018053	5830474E16Rik	76094	---	RIKEN cDNA 5830474E16 gene	---	---
1433465_a_at	2.08E+00	13.9193	11.8408	2.85E-09	2.32E-06	BB234337	AI467606	101602	Mm.284102	expressed sequence AI467606	chr7 F3	---
1438322_x_at	2.43E+00	12.7911	10.3652	2.99E-09	2.35E-06	BB028312	Fdft1	14137	Mm.386760	farnesyl diphosphate farnesyl transferase 1	chr14 D1|14 3.0 cM	Cholesterol_Biosynthesis // GenMAPP /// Cholesterol_Biosynthesis // GenMAPP
1450780_s_at	-1.94E+00	6.9409	8.8789	3.21E-09	2.43E-06	X58380	Hmga2	15364	Mm.157190	high mobility group AT-hook 2	chr10 D2|10 67.5 cM	---
1429881_at	-4.14E+00	5.1596	9.2956	3.58E-09	2.54E-06	AK018058	Arhgap15	76117	Mm.217350	Rho GTPase activating protein 15	chr2 B	---
1435374_at	-2.54E+00	4.7888	7.3329	3.68E-09	2.54E-06	BG071670	---	---	Mm.269151	Transcribed locus	---	---
1450700_at	-4.41E+00	6.297	10.7021	3.53E-09	2.54E-06	BB012489	Cdc42ep3	260409	Mm.140601	CDC42 effector protein (Rho GTPase binding) 3	chr17 E3	---
1419573_a_at	-4.33E+00	8.1595	12.4868	3.88E-09	2.61E-06	NM_008495	Lgals1	16852	Mm.43831	lectin, galactose binding, soluble 1	chr15 E|15 44.9 cM	---
1426887_at	4.40E+00	9.2567	4.8607	4.06E-09	2.65E-06	BQ174833	Nudt11	58242	Mm.41198	nudix (nucleoside diphosphate linked moiety X)-typ	chrX A1.1	---
1417777_at	-3.99E+00	7.5568	11.5454	4.25E-09	2.70E-06	BC014865	Ltb4dh	67103	Mm.34497	leukotriene B4 12-hydroxydehydrogenase	chr4 C1	---
1420385_at	1.98E+00	9.6914	7.7113	5.01E-09	3.10E-06	NM_008137	Gna14	14675	Mm.313181	guanine nucleotide binding protein, alpha 14	chr19 A-B|19 9.0 cM	G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP
1426044_a_at	3.08E+00	10.2925	7.2134	5.60E-09	3.38E-06	AB062122	Prkcq	18761	Mm.329993	protein kinase C, theta	chr2 A1|2 2.0 cM	G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1431352_s_at	2.31E+00	11.0515	8.7423	6.26E-09	3.68E-06	BI453402	Pvt1	19296	Mm.4608	plasmacytoma variant translocation 1	chr15 D2-D3|15 32.0 cM	---
1417104_at	1.99E+00	13.2103	11.2248	6.46E-09	3.70E-06	BC001999	Emp3	13732	Mm.20829	epithelial membrane protein 3	chr7 B3|7 24.5 cM	---
1424135_at	1.68E+00	11.7226	10.0398	7.22E-09	4.04E-06	BG073177	Rspry1	67610	Mm.109074	ring finger and SPRY domain containing 1	chr8 C5	---
1416368_at	-4.01E+00	6.008	10.0191	8.08E-09	4.04E-06	NM_010357	Gsta4	14860	Mm.2662	glutathione S-transferase, alpha 4	chr9 E1	---
1417429_at	3.96E+00	9.561	5.6008	8.37E-09	4.04E-06	BC011229	Fmo1	14261	Mm.976	flavin containing monooxygenase 1	chr1 H1|1 92.6 cM	---
1428229_at	-3.71E+00	6.0306	9.7437	7.81E-09	4.04E-06	BF160591	Prkcn	75292	Mm.252776	protein kinase C, nu	chr17 E3	---
1428667_at	-2.53E+00	6.8788	9.4047	7.91E-09	4.04E-06	AW986246	Maoa	17161	Mm.21108	monoamine oxidase A	chrX A2|X 5.2 cM	Biogenic_Amine_Synthesis // GenMAPP /// Glycine, serine and threonine metabolism // KEGG /// Arginine and proline metabolism // KEGG /// Histidine metabolism // KEGG /// Tyrosine metabolism // KEGG /// Phenylalanine metabolism // KEGG /// Tryptophan metabolism // KEGG
1433466_at	2.09E+00	11.6158	9.5305	8.32E-09	4.04E-06	BB234337	AI467606	101602	Mm.284102	expressed sequence AI467606	chr7 F3	---
1434990_at	2.64E+00	9.459	6.8206	8.43E-09	4.04E-06	BB346082	Ppm1e	320472	Mm.341988	protein phosphatase 1E (PP2C domain containing)	chr11 C	---
1447791_s_at	2.06E+00	9.1402	7.0792	7.72E-09	4.04E-06	AV230778	Gna14	14675	Mm.313181	guanine nucleotide binding protein, alpha 14	chr19 A-B|19 9.0 cM	G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP
1419137_at	2.72E+00	12.1853	9.4619	8.77E-09	4.04E-06	NM_021423	Shank3	58234	Mm.146855	SH3/ankyrin domain gene 3	chr15 E3	---
1420641_a_at	-3.31E+00	5.4128	8.7231	8.66E-09	4.04E-06	AF174535	Sqrdl	59010	Mm.28986	sulfide quinone reductase-like (yeast)	chr2 F2	---
1458159_at	2.52E+00	7.8586	5.3352	1.05E-08	4.74E-06	BB486509	Gnaq	14682	Mm.391165	Guanine nucleotide binding protein, alpha q polype	chr19 A|19 9.0 cM	G_Protein_Signaling // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1445837_at	-2.27E+00	6.6883	8.9589	1.24E-08	5.51E-06	BB461843	Ga17	98221	Mm.336519	Dendritic cell protein GA17	chr2 E2	---
1427929_a_at	-2.00E+00	8.0643	10.0646	1.39E-08	6.06E-06	BG063905	Pdxk	216134	Mm.206159	pyridoxal (pyridoxine, vitamin B6) kinase	chr10 C1|10 42.1 cM	---
1417420_at	-2.72E+00	7.2706	9.9922	1.53E-08	6.55E-06	NM_007631	Ccnd1	12443	Mm.273049	cyclin D1	chr7 F5|7 72.3 cM	G1_to_S_cell_cycle_Reactome // GenMAPP /// Wnt_Signaling // GenMAPP
1426812_a_at	2.73E+00	10.9055	8.1722	1.57E-08	6.57E-06	BF166604	9130404D14Rik	227737	Mm.301646	RIKEN cDNA 9130404D14 gene	chr2 B	---
1449424_at	2.80E+00	10.7419	7.944	1.62E-08	6.57E-06	NM_013738	Plek2	27260	Mm.103380	pleckstrin 2	chr12 D2	---
1453317_a_at	-2.41E+00	5.1106	7.5252	1.62E-08	6.57E-06	AK014353	Khdrbs3	13992	Mm.17964	KH domain containing, RNA binding, signal transduc	chr15 D3|15 37.5 cM	---
1425967_a_at	-3.24E+00	5.0689	8.305	2.03E-08	8.08E-06	BC026198	Mcpt4	17227	Mm.266575	mast cell protease 4	chr14 C3|14 20.0 cM	---
1440275_at	-3.07E+00	6.2822	9.3546	2.15E-08	8.43E-06	AV233043	Runx3	12399	Mm.378894	runt related transcription factor 3	chr4 D3|4 65.7 cM	TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP
1452232_at	-3.77E+00	6.5043	10.2776	2.46E-08	9.47E-06	AV302406	Galnt7	108150	Mm.62886	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-	chr8 B3.2	---
1428347_at	-2.73E+00	6.4196	9.1521	2.53E-08	9.59E-06	AK005148	Cyfip2	76884	Mm.154358	cytoplasmic FMR1 interacting protein 2	chr11 B1.2	---
1422079_at	3.58E+00	9.8005	6.2163	2.57E-08	9.60E-06	NM_008856	Prkch	18755	Mm.341677	protein kinase C, eta	chr12 C3-D1	G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1426389_at	2.20E+00	7.4897	5.2864	2.96E-08	1.09E-05	BG071931	Camk1d	227541	Mm.191949	calcium/calmodulin-dependent protein kinase ID	chr2 A1	---
1419156_at	-3.25E+00	5.0631	8.3146	3.23E-08	1.17E-05	AI428101	Sox4 /// LOC672274	20677 /// 672274	Mm.240627	SRY-box containing gene 4 /// similar to Transcrip	chr13 A3-A5|13 20.0 cM	---
1417749_a_at	1.55E+00	12.0914	10.5445	3.28E-08	1.17E-05	NM_009386	Tjp1	21872	Mm.4342	tight junction protein 1	chr7 C|7 28.5 cM	---
1431351_at	2.01E+00	9.0307	7.0231	3.44E-08	1.21E-05	BI453402	Pvt1	19296	Mm.4608	plasmacytoma variant translocation 1	chr15 D2-D3|15 32.0 cM	---
1453366_at	-3.35E+00	5.036	8.3817	3.51E-08	1.21E-05	AK012596	Tdrkh	72634	Mm.331198	tudor and KH domain containing protein	chr3 F2	---
1452833_at	-2.85E+00	6.0803	8.9316	3.63E-08	1.24E-05	AK018008	Rapgef2	76089	Mm.31220	Rap guanine nucleotide exchange factor (GEF) 2	chr3 E3	---
1416229_at	3.21E+00	13.8215	10.6135	4.00E-08	1.34E-05	NM_019437	Rfk	54391	Mm.7013	riboflavin kinase	chr19 B	Riboflavin metabolism // KEGG
1422804_at	2.01E+00	10.4001	8.3867	4.23E-08	1.37E-05	NM_011454	Serpinb6b	20708	Mm.36526	serine (or cysteine) peptidase inhibitor, clade B,	chr13 A3.2|13 12.3 cM	---
1428786_at	-2.10E+00	7.3505	9.4473	4.25E-08	1.37E-05	BM238906	Nckap1l	105855	Mm.30805	NCK associated protein 1 like	chr15 F3	---
1437621_x_at	-3.58E+00	8.8744	12.4523	4.18E-08	1.37E-05	AV216768	Phgdh /// LOC668771 /// LOC671972 /// LOC673015	236539 /// 668771 /// 671972 /// 673015	Mm.16898	3-phosphoglycerate dehydrogenase /// similar to 3-	chr3 E1 /// chr7 F3	---
1421307_at	2.52E+00	10.6441	8.1243	4.87E-08	1.48E-05	AK010166	Car13	71934	Mm.158776	carbonic anhydrase 13	chr3 A2	---
1422808_s_at	-2.28E+00	6.3182	8.603	4.75E-08	1.48E-05	NM_033374	Dock2	94176	Mm.217288	dedicator of cyto-kinesis 2	chr11 A5	---
1435645_at	-2.19E+00	6.2452	8.4379	4.84E-08	1.48E-05	AA472735	Mmd /// LOC676546	67468 /// 676546	Mm.277518	monocyte to macrophage differentiation-associated	chr11 C	---
1435697_a_at	2.27E+00	11.275	9.0065	4.81E-08	1.48E-05	BB503614	Pscdbp	227929	Mm.273905	pleckstrin homology, Sec7 and coiled-coil domains,	chr2 C1.1	---
1457191_at	2.51E+00	7.4278	4.9204	4.90E-08	1.48E-05	AV264602	---	---	---	---	---	---
1423294_at	4.70E+00	11.3607	6.6592	5.06E-08	1.50E-05	AW555393	Mest	17294	Mm.335639	mesoderm specific transcript	chr6 B1|6 7.5 cM	Arachidonic acid metabolism // KEGG /// Tetrachloroethene degradation // KEGG /// Metabolism of xenobiotics by cytochrome P450 // KEGG
1455439_a_at	-4.27E+00	8.9407	13.2096	5.66E-08	1.66E-05	AI642438	Lgals1	16852	Mm.43831	lectin, galactose binding, soluble 1	chr15 E|15 44.9 cM	---
1420943_at	3.72E+00	8.6405	4.9196	5.77E-08	1.68E-05	AK014497	Zfp185	22673	Mm.1161	zinc finger protein 185	chrX A7.3|X 28.95 cM	---
1417164_at	2.03E+00	8.6761	6.6427	6.53E-08	1.87E-05	NM_022019	Dusp10	63953	Mm.266191	dual specificity phosphatase 10	chr1 H5	Calcium signaling pathway // KEGG /// Apoptosis // KEGG /// Wnt signaling pathway // KEGG /// TGF-beta signaling pathway // KEGG /// Axon guidance // KEGG /// VEGF signaling pathway // KEGG /// Focal adhesion // KEGG /// Tight junction // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Long-term potentiation // KEGG /// Long-term depression // KEGG /// Insulin signaling pathway // KEGG /// Cell adhesion molecules (CAMs) // KEGG /// Adherens junction // KEGG /// Jak-STAT signaling pathway // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Leukocyte transendothelial migration // KEGG /// Insulin signaling pathway // KEGG /// Adipocytokine signaling pathway // KEGG /// Type I diabetes mellitus // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG
1417849_at	-2.09E+00	5.1684	7.261	6.90E-08	1.94E-05	AW413620	Gig1	170753	Mm.212908	glucocorticoid induced gene 1	chr3 A1	---
1455079_at	-1.98E+00	5.1425	7.1273	6.93E-08	1.94E-05	BQ176904	Dcun1d4	100737	Mm.220312	DCN1, defective in cullin neddylation 1, domain co	chr5 C3.3	---
1418480_at	-3.98E+00	6.9813	10.9576	7.20E-08	1.99E-05	NM_023785	Cxcl7	57349	Mm.293614	chemokine (C-X-C motif) ligand 7	chr5 E2	---
1450995_at	3.79E+00	10.1163	6.3234	7.39E-08	2.02E-05	BG245669	Folr1	14275	Mm.2135	folate receptor 1 (adult)	chr7 E2	---
1455786_at	-3.16E+00	4.8704	8.0264	7.81E-08	2.11E-05	BB476620	2610036F08Rik	628054	Mm.271252	RIKEN cDNA 2610036F08 gene	chr17 A3.2	---
1432466_a_at	3.94E+00	13.3531	9.4136	8.07E-08	2.16E-05	AK019319	Apoe	11816	Mm.305152	apolipoprotein E	chr7 A3|7 4.0 cM	Statin_Pathway_PharmGKB // GenMAPP /// Statin_Pathway_PharmGKB // GenMAPP
1419470_at	1.82E+00	11.1638	9.3411	8.66E-08	2.26E-05	BI713933	Gnb4	14696	Mm.139192	guanine nucleotide binding protein, beta 4	chr3 B	G_Protein_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1424410_at	-2.05E+00	5.2536	7.3061	8.67E-08	2.26E-05	BC017523	Ttc8	76260	Mm.282660	tetratricopeptide repeat domain 8	chr12 E	---
1443231_at	2.27E+00	9.333	7.065	9.54E-08	2.46E-05	BG064470	Magi1	14924	Mm.217216	Membrane associated guanylate kinase, WW and PDZ d	chr6 D3	---
1420116_s_at	1.56E+00	12.097	10.5396	9.73E-08	2.49E-05	AW413496	Golph3	66629	Mm.250936	golgi phosphoprotein 3	chr15 A1	---
1434248_at	2.84E+00	10.3891	7.5536	9.91E-08	2.51E-05	BM243756	Prkch	18755	Mm.341677	protein kinase C, eta	chr12 C3-D1	G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// G_Protein_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1435959_at	-2.97E+00	6.6955	9.6679	1.04E-07	2.60E-05	BM246535	Arhgap15	76117	Mm.217350	Rho GTPase activating protein 15	chr2 B	---
1460436_at	-2.72E+00	6.803	9.5222	1.06E-07	2.61E-05	BI652065	Ndst1	15531	Mm.181862	N-deacetylase/N-sulfotransferase (heparan glucosam	chr18 D2	---
1421308_at	2.72E+00	9.7937	7.0708	1.12E-07	2.74E-05	AK010166	Car13	71934	Mm.158776	carbonic anhydrase 13	chr3 A2	---
1423064_at	-2.55E+00	5.2672	7.8203	1.16E-07	2.80E-05	BB795491	Dnmt3a	13435	Mm.5001	DNA methyltransferase 3A	chr12 A2-A3	---
1452251_at	2.84E+00	8.5678	5.7303	1.21E-07	2.86E-05	AA986379	Nbea	26422	---	neurobeachin	chr3 C|3 28.9 cM	---
1458738_at	1.75E+00	9.2465	7.4977	1.20E-07	2.86E-05	C87678	Gna14	14675	Mm.313181	Guanine nucleotide binding protein, alpha 14	chr19 A-B|19 9.0 cM	G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP
1416046_a_at	-3.24E+00	7.8163	11.0573	1.25E-07	2.90E-05	BM054266	Fuca2	66848	Mm.26625	fucosidase, alpha-L- 2, plasma	chr10 A2	N-Glycan degradation // KEGG /// Glycan structures - degradation // KEGG
1434196_at	2.21E+00	9.6364	7.4241	1.24E-07	2.90E-05	BQ176119	Dnaja4	58233	Mm.52319	DnaJ (Hsp40) homolog, subfamily A, member 4	chr9 A5.3	---
1460121_at	-4.10E+00	6.4804	10.5796	1.26E-07	2.90E-05	BI076710	9630010G10Rik	399612	---	RIKEN cDNA 9630010G10 gene	---	---
1434129_s_at	-3.36E+00	6.0968	9.4537	1.30E-07	2.97E-05	BG917242	Lhfpl2	218454	Mm.316553	lipoma HMGIC fusion partner-like 2	chr13 D1	---
1434277_a_at	3.81E+00	10.4459	6.6364	1.34E-07	3.00E-05	BG069663	6430570G24	327989	Mm.191894	hypothetical protein 6430570G24	chr11 C	---
1457759_at	-3.09E+00	5.6251	8.7116	1.33E-07	3.00E-05	BM244095	A630081D01Rik	98754	Mm.404411	RIKEN cDNA A630081D01 gene	---	---
1416230_at	3.22E+00	13.592	10.3725	1.36E-07	3.02E-05	NM_019437	Rfk	54391	Mm.7013	riboflavin kinase	chr19 B	Riboflavin metabolism // KEGG
1424367_a_at	-3.47E+00	5.1633	8.6318	1.38E-07	3.03E-05	AB017136	Homer2	26557	Mm.228	homer homolog 2 (Drosophila)	chr7 D3	---
1434130_at	-3.24E+00	5.3642	8.6079	1.39E-07	3.03E-05	BG917242	Lhfpl2	218454	Mm.316553	lipoma HMGIC fusion partner-like 2	chr13 D1	---
1456014_s_at	1.14E+00	14.7806	13.6415	1.42E-07	3.07E-05	BB113173	BC032204	108101	Mm.157591	cDNA sequence BC032204	chr19 A	---
1425581_s_at	-3.27E+00	5.7131	8.9844	1.52E-07	3.14E-05	AF349573	Galnt7	108150	Mm.62886	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-	chr8 B3.2	---
1428230_at	-3.95E+00	5.993	9.9456	1.47E-07	3.14E-05	BF160591	Prkcn	75292	Mm.252776	protein kinase C, nu	chr17 E3	---
1435285_at	3.52E+00	9.7638	6.2451	1.51E-07	3.14E-05	BB731805	Mpped2	77015	Mm.45628	metallophosphoesterase domain containing 2	chr2 E3|2 59.0 cM	---
1451210_at	-3.00E+00	6.2706	9.2695	1.49E-07	3.14E-05	BC010332	Ppap2c	50784	Mm.28873	phosphatidic acid phosphatase type 2c	chr10 C1|10 42.0 cM	---
1459923_at	-2.14E+00	5.6249	7.7657	1.51E-07	3.14E-05	AA185889	Bex6	328660	---	brain expressed gene 6	chr16 B2	---
1421969_a_at	2.72E+00	8.7715	6.0512	1.63E-07	3.28E-05	U82536	Faah	14073	Mm.256025	fatty acid amide hydrolase	chr4 D1|4 56.5 cM	---
1433626_at	2.01E+00	8.1908	6.1792	1.65E-07	3.28E-05	BB826296	Plscr4	235527	Mm.55289	phospholipid scramblase 4	chr9 E3.3	---
1440041_at	-1.95E+00	6.0456	8	1.64E-07	3.28E-05	AV363424	Tgfbr3	21814	Mm.200775	Transforming growth factor, beta receptor III	chr5 E5	TGF_Beta_Signaling_Pathway // GenMAPP
1453572_a_at	-1.99E+00	8.9695	10.9642	1.61E-07	3.28E-05	AK012816	Plp2	18824	Mm.18565	proteolipid protein 2	chrX A2-A3.1|X 1.6 cM	---
1418508_a_at	2.05E+00	10.4647	8.4174	1.68E-07	3.32E-05	BG064712	Grb2	14784	Mm.383426	growth factor receptor bound protein 2	chr11 E2|11 75.0 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1432431_s_at	1.54E+00	9.7857	8.246	1.80E-07	3.53E-05	AK004072	2900006F19Rik	72899	Mm.229466	RIKEN cDNA 2900006F19 gene	chr2 F3	---
1451206_s_at	2.46E+00	10.3147	7.8529	1.92E-07	3.73E-05	BC007144	Pscdbp	227929	Mm.273905	pleckstrin homology, Sec7 and coiled-coil domains,	chr2 C1.1	---
1437821_at	1.75E+00	11.4778	9.7309	1.96E-07	3.77E-05	BB408240	Diap1	13367	Mm.195916	Diaphanous homolog 1 (Drosophila)	chr18 B3|18 16.0 cM	G13_Signaling_Pathway // GenMAPP /// G13_Signaling_Pathway // GenMAPP
1418436_at	1.25E+00	10.8571	9.6083	2.01E-07	3.84E-05	AB019212	Stx7	53331	Mm.248042	syntaxin 7	chr10 A3	---
1422303_a_at	2.55E+00	10.0336	7.4818	2.06E-07	3.85E-05	AF229434	Tnfrsf18	21936	Mm.3180	tumor necrosis factor receptor superfamily, member	chr4 E	---
1426908_at	-3.92E+00	5.9814	9.9016	2.08E-07	3.85E-05	AV302406	Galnt7	108150	Mm.62886	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-	chr8 B3.2	---
1454714_x_at	-3.40E+00	8.714	12.1177	2.07E-07	3.85E-05	AA561726	Phgdh /// LOC668771 /// LOC670155 /// LOC671972 /// LOC673015	236539 /// 668771 /// 670155 /// 671972 /// 673015	Mm.16898	3-phosphoglycerate dehydrogenase /// similar to 3-	chr3 E1 /// chr7 F3	---
1456020_at	-2.71E+00	5.7111	8.4254	2.06E-07	3.85E-05	BB487775	Sh3tc2	225608	Mm.262320	SH3 domain and tetratricopeptide repeats 2	chr18 E1	---
1424134_at	1.65E+00	12.6016	10.9476	2.10E-07	3.86E-05	BG073177	Rspry1	67610	Mm.109074	ring finger and SPRY domain containing 1	chr8 C5	---
1428306_at	2.65E+00	10.2044	7.5586	2.13E-07	3.88E-05	AK017926	Ddit4	74747	Mm.21697	DNA-damage-inducible transcript 4	chr10 B3	---
1423025_a_at	3.10E+00	10.5073	7.4059	2.15E-07	3.89E-05	NM_013928	Schip1	30953	Mm.331064	schwannomin interacting protein 1	chr3 E2	---
1418398_a_at	1.15E+00	11.8018	10.6516	2.19E-07	3.93E-05	AF175771	Tspan32	27027	Mm.28172	tetraspanin 32	chr7 F5|7 69.0 cM	---
