Gene Symbol	Gene Description	Fold Change	Biological Process
LTA4H	leukotriene A4 hydrolase	0.5	inflammatory response
PRCP	prolylcarboxypeptidase	0.49	proteolysis and peptidolysis
GPNMB	glycoprotein (transmembrane) nmb	0.49	negative regulation of cell proliferation
PRPY5	purinergic receptor P2Y, G-protein coupled, 5	0.49	G-protein coupled receptor protein signaling pathway
TBFAIP2	umor necrosis factor, alpha-induced protein 2	0.49	angiogenesis
GSTA4	glutathione S-transferase A4	0.48	metabolism, response to stress
FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	0.47	protein amino acid phosphorylation, JAK-STAT cascade, MAPKKK cascade, Fibroblast growth factor receptor signaling pathway, cell growth
CUL3	cullin 3	0.47	positive regulation of cell proliferation, G1/S transition of mitotic cell cycle, cell cycle arrest, induction of apoptosis by intracellular signal pathway
STK24	serine/heroine kinase 24	0.46	protein amino acid phosphorylation, signal
CTSB	cathepsin B	0.46	proteolysis and peptidolysis
NFE2L2	nuclear factor-like 2	0.46	regulation of transcription, DNA-depondent (Prion disease Pathway)
PLP2	proteolipid protein 2	0.44	ion transport
	cellular ligand of annexinII(p11)	0.44	unknown
OVOL1	ovo (Drosophila) homolog-like 1	0.43	regulation of transcription, DNA-dependent
SERPINB1	serine (or cysteine) proteinase inhibitor, clade B, member 1	0.43	unknown
ARF5	ADP-ribosylation factor 5	0.43	intracellular protein transport, small GTPase mediated signal transduction
FMO2	flavin containing monooxygenase 2	0.43	electron transport
EMP2	epithelial membrane protein 2	0.42	cell death, development, cell proliferation
DSG1	desmoglein 1	0.39	homophilic cell adhesion, intercellular junction assembly, calcium-dependent cell-cell adhesion
KLK6	kallikrein 6 (neurosin, zyme)	0.38	metabolism, regulation of cell differentiation, collagen catabolism, tissue regeneration
KLK7	kallikrein 7	0.35	proteolysis and peptidolysis, epidermis development
SPRR3	small proline-rich protein 3	0.33	unknown
JUP	junction plakoglobin	0.32	cell adhesion
S100A8	S100 calcium-binding protein A8	0.23	inflammatory response
AQP3	aquaporin 3	0.19	tansport, excretion
