Gene Symbol	Gene Name	Accession Number	Fold Change
PDCD2	programmed cell death 2	BF446180	0.58867
PRKR	protein kinase, interferon-inducible double stranded RNA dependent	NM_002759	0.58871
MOAP1	modulator of apoptosis 1	AK024029	0.58999
FAM13A1	family with sequence similarity 13, member A1	NM_014883	0.59153
SMP1	small membrane protein 1	NM_014313	0.59195
NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	NM_024047	0.59234
IQGAP2	IQ motif containing GTPase activating protein 2	NM_006633	0.59365
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	NM_002130	0.59377
RAB40B	RAB40B, member RAS oncogene family	NM_006822	0.59809
UBE2L6	ubiquitin-conjugating enzyme E2L 6	NM_004223	0.59862
SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1	NM_004733	0.60063
BET1	BET1 homolog (S. cerevisiae)	BC000899	0.60111
FLJ10781	hypothetical protein FLJ10781	NM_018215	0.60162
ZAP	zinc finger antiviral protein	NM_020119	0.60173
HIST2H2AA	histone 2, H2aa	AI313324	0.60237
SFRS5	splicing factor, arginine/serine-rich 5	AW084582	0.6035
G1P3	interferon, alpha-inducible protein (clone IFI-6-16)	NM_022873	0.60681
SSA1	Sjogren syndrome antigen A1 (52kDa, ribonucleoprotein autoantigen SS-A/Ro)	NM_003141	0.60685
NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	BC001165	0.61098
EHF	ets homologous factor	NM_012153	0.61223
NPR2L	homologous to yeast nitrogen permease (candidate tumor suppressor)	BC002791	0.61268
RHOBTB1	Rho-related BTB domain containing 1	AB018283	0.6151
RETSDR2	retinal short-chain dehydrogenase/reductase 2	NM_016245	0.61599
DKFZP434D1335	DKFZP434D1335 protein	BG054966	0.6177
PLCB4	phospholipase C, beta 4	AL535113	0.61786
C1orf25	chromosome 1 open reading frame 25	NM_030934	0.61827
LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	NM_006055	0.61849
NCALD	neurocalcin delta	AF251061	0.62
KIAA0436	putative L-type neutral amino acid transporter	AB007896	0.62027
PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	NM_006814	0.62038
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	NM_001046	0.62053
DKFZp434L142	hypothetical protein DKFZp434L142	NM_016613	0.62304
MID1	midline 1 (Opitz/BBB syndrome)	NM_000381	0.62341
FLJ20811	hypothetical protein FLJ20811	AK000818	0.62363
TMEM14B	transmembrane protein 14B	NM_030969	0.62388
MX2	myxovirus (influenza virus) resistance 2 (mouse)	NM_002463	0.62577
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593	0.62812
PROL4	proline rich 4 (lacrimal)	BF665706	0.62832
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	NM_002858	0.6286
GTF2I	general transcription factor II, i	AF035737	0.62885
EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	BC005248	0.62958
SCD4	stearoyl-CoA desaturase 4	NM_024906	0.63035
LOC58486	transposon-derived Buster1 transposase-like protein	NM_021211	0.63055
PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	NM_002800	0.63056
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	AF098951	0.63133
NR4A2	nuclear receptor subfamily 4, group A, member 2	AI935096	0.6324
SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	NM_000346	0.63327
CCNG1	cyclin G1	BC000196	0.63451
KIAA0082	KIAA0082 protein	D43949	0.63537
DKFZP564B167	DKFZP564B167 protein	NM_015415	0.63541
FLJ20618	hypothetical protein FLJ20618	N37081	0.63634
	genomic large histone family cluster	AL353759	0.63719
INSL4	insulin-like 4 (placenta)	NM_002195	0.63762
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	BC001971	0.63824
PNRC2	proline-rich nuclear receptor coactivator 2	NM_017761	0.63854
DKFZP434G2226	kinesin family member 18A	NM_031217	0.63926
GCLC	glutamate-cysteine ligase, catalytic subunit	BF676980	0.64029
C1orf29	chromosome 1 open reading frame 29	NM_006820	0.64052
CYB5-M	cytochrome b5 outer mitochondrial membrane precursor	NM_030579	0.64074
P2RY5	purinergic receptor P2Y, G-protein coupled, 5	NM_005767	0.64204
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	NM_014034	0.64269
PLSCR1	phospholipid scramblase 1	NM_021105	0.64449
VPS45A	vacuolar protein sorting 45A (yeast)	AF165513	0.64534
FANCL	Fanconi anemia, complementation group L	NM_018062	0.64543
SP100	nuclear antigen Sp100	NM_003113	0.64545
HLA-DMA	major histocompatibility complex, class II, DM alpha	X76775	0.6455
FLJ21820	hypothetical protein FLJ21820	NM_021925	0.64611
RFX5	regulatory factor X, 5 (influences HLA class II expression)	AW027312	0.64655
TST	thiosulfate sulfurtransferase (rhodanese)	D87292	0.64674
EGFL5	EGF-like-domain, multiple 5	W68084	0.64683
TP53I3	tumor protein p53 inducible protein 3	BC000474	0.6469
SAMHD1	SAM domain and HD domain 1	NM_015474	0.64803
TAZ	transcriptional co-activator with PDZ-binding motif (TAZ)	BF674349	0.64811
C6orf37	chromosome 6 open reading frame 37	AW246673	0.64819
PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	M68874	0.65007
TAF9L	TAF9-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	AF220509	0.65244
AD-017	glycosyltransferase AD-017	NM_018446	0.65329
BTN3A3	butyrophilin, subfamily 3, member A3	NM_006994	0.65351
HHEX	hematopoietically expressed homeobox	Z21533	0.6538
RAB11A	RAB11A, member RAS oncogene family	NM_004663	0.654
PEX11B	peroxisomal biogenesis factor 11B	NM_003846	0.65545
C14orf109	chromosome 14 open reading frame 109	AI346504	0.65547
C6orf211	chromosome 6 open reading frame 211	NM_024573	0.65671
TBPL1	TBP-like 1	NM_004865	0.65756
ISG20	interferon stimulated gene 20kDa	NM_002201	0.65778
FKBP3	FK506 binding protein 3, 25kDa	NM_002013	0.65804
ANGPTL6	angiopoietin-like 6	AI862559	0.6581
ZNF302	zinc finger protein 302	NM_018443	0.65866
FLJ20315	hypothetical protein FLJ20315	NM_017763	0.65914
PDGFRL	platelet-derived growth factor receptor-like	NM_006207	0.66182
SIPL	SIPL protein	NM_018269	0.66263
PSPHL	phosphoserine phosphatase-like	NM_003832	0.66271
MTCP1	mature T-cell proliferation 1	BC002600	0.66317
PDE3A	phosphodiesterase 3A, cGMP-inhibited	NM_000921	0.66333
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	AW576457	0.66391
CAST	calpastatin	AA195244	0.66408
PAMCI	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor	AF056209	0.6644
PXMP3	peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)	BC005375	0.66465
MOCS2	molybdenum cofactor synthesis 2	NM_004531	0.66554
HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	AW000964	0.66651
