Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0438gpr ST vs LT	4578LTSTgpr LT vs ST	4579LTSTgpr ST vs LT	5343gpr LT vs ST	5357gpr ST vs LT	5358gpr LT vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AI007070	Tek	endothelial-specific receptor tyrosine kinase	Mm.14313	21687		4		-0.9377	-1.4195	-1.5096	-1.2728	-1.104	-1.2319	6	0.425325319	2.351141477	-3.272478883	-1.245916667	0.380725655	0.811435066
NA	NA	NA	NA		NA			-1.0635	-1.0952	-1.1621	-1.2231	-0.868	-1.0373	6	0.476151394	2.100172365	-3.109204167	-1.074866667	0.345704756	0.811435066
AV065302				NA	AA473390 EST:blastocyst:Mus musculus	NA		-1.0698	-1.0945	-1.1582	-1.2815	-1.4427	-0.8946	6	0.451649455	2.214106516	-3.102843978	-1.156883333	0.372846119	0.811435066
AV093558				NA	apolipoprotein E (apoE)	NA		-1.3097	-1.3155	-1.6732	-0.8428	-1.2375	-1.9115	6	0.394371904	2.53567759	-3.089714044	-1.3817	0.447193488	0.811435066
AV060358				NA	AA189817 EST:lymph node:Mus musculus	NA		-1.4377	-1.1186	-1.3094	-0.7599	-1.2861	-1.2308	6	0.443310155	2.255757031	-3.037177865	-1.190416667	0.391948289	0.811435066
AV028955	Cttn	cortactin	Mm.205601	13043		7		-1.4414	-1.4403	-1.2441	-0.9004	-0.9226	-1.1482	6	0.445559177	2.244370786	-3.005952546	-1.182833333	0.393497008	0.811435066
BG072291	Cttn	cortactin	Mm.205601	13043		7		-1.0596	-1.7716	-1.5694	-0.9883	-0.9669	-1.5876	6	0.409666231	2.441011544	-2.995197123	-1.3239	0.442007636	0.811435066
BG065213	Grb10	growth factor receptor bound protein 10	Mm.273117	14783		11		-0.9396	-1.8866	-1.9786	-1.5135	-0.8237	-1.9891	6	0.368784095	2.711613689	-2.978717517	-1.52185	0.510907795	0.811435066
AV141255				NA	D86962 KIAA0207:myeloblast:Homo sapiens	NA		-1.8587	-1.4746	-2.0439	-1.1163	-1.8654	-0.6662	6	0.373991967	2.673854222	-2.937685224	-1.504183333	0.512030125	0.811435066
AV083596	Fhl1	four and a half LIM domains 1	Mm.3126	14199		X	X A6-A7.1	-1.5388	-1.7161	-1.6452	-1.0347	-0.6684	-1.2861	6	0.415937267	2.404208711	-2.852219191	-1.314883333	0.461003606	0.811435066
BG074511	Clca1	chloride channel calcium activated 1	Mm.275745	12722		3		-2.2151	-3.7514	-3.1455	-2.5487	0.1369	-2.9801	6	0.299969711	3.333669915	-2.843995461	-2.417316667	0.849972055	0.811435066
AV025995	Trpc6	transient receptor potential cation channel, subfamily C, member 6	Mm.8027	22068		9		-1.6664	-1.112	-1.3839	-0.6005	-1.0657	-1.356	6	0.448133722	2.231476789	-2.694790136	-1.197416667	0.444345053	0.811435066
BG066421	Ndn	necdin	Mm.250919	17984		7		-1.2729	-1.1305	-1.1314	-1.5841	-0.6374	-1.0581	6	0.463954054	2.155385843	-2.693478184	-1.135733333	0.421660491	0.811435066
BG070626	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.1421	-1.6742	-1.4092	-1.2839	-0.8473	-0.7267	6	0.452292027	2.21096093	-2.68136819	-1.180566667	0.440285177	0.811435066
AV095122	Gdf3	growth differentiation factor 3	Mm.299742	14562	growth differentiation factor 3	6		-1.5127	-1.1939	-1.7017	-1.2646	-0.5096	-2.1765	6	0.405806942	2.46422596	-2.658893202	-1.393166667	0.523964883	0.811435066
AV087698				NA	P8	NA		-1.5205	-0.9	-1.4132	-0.8642	-1.4063	-0.759	6	0.46291075	2.160243631	-2.637724855	-1.143866667	0.433656552	0.811435066
AV078279	D630039A03Rik	RIKEN cDNA D630039A03 gene	Mm.23214	242484		4	4 B3	-1.715	-1.4028	-1.4814	-1.0087	-0.5464	-1.1126	6	0.447519739	2.234538307	-2.605361655	-1.21115	0.464868283	0.811435066
AA017865	Gjb5	gap junction membrane channel protein beta 5	Mm.26859	14622		4		-0.7447	-1.3062	-1.5902	-1.3515	-0.7037	-1.1777	6	0.463539591	2.15731303	-2.603661542	-1.145666667	0.44002135	0.811435066
NA	NA	NA	NA		NA			-0.796	-1.0748	-0.9934	-1.408	-0.8573	-1.7055	6	0.464734439	2.151766506	-2.593864564	-1.139166667	0.439177389	0.811435066
NA	NA	NA	NA		NA			-0.864	-1.771	-1.2478	-1.7039	-1.2095	-0.565	6	0.446475266	2.23976573	-2.519743074	-1.226866667	0.486901494	0.811435066
AV025617	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	Mm.28222	68278		8	8 C2	-0.951	-1.1564	-1.5493	-0.5411	-1.2184	-1.024	6	0.486056173	2.057375373	-2.484859264	-1.073366667	0.43196276	0.811435066
BG075744	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-0.6475	-1.1783	-1.2293	-1.1814	-0.6856	-1.0153	6	0.510696311	1.958110875	-2.459282227	-0.989566667	0.402380278	0.811435066
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-2.5864	-1.4366	-1.9517	-1.8758	-1.2956		5	0.412381927	2.424936535	-2.390264076	-1.53612	0.642657025	0.811435066
NA	NA	NA	NA		NA			-1.7051	-1.1386	-1.6072	-1.5781	-0.3303	-0.9037	6	0.458990462	2.178694509	-2.360505998	-1.2105	0.512813778	0.811435066
AV088805	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.3267	-1.3635	-1.1782	-1.2361		-1.2098	5	0.51434453	1.944222097	-2.348607887	-1.095006667	0.466236477	0.811435066
AV007786	Rhoj	ras homolog gene family, member J	Mm.27467	80837		12	12 C3	-1.3217	-1.0896	-0.9158	-1.0142	-1.2596		5	0.552127882	1.811174608	-2.347254905	-1.003781667	0.427640673	0.811435066
BG074855	Pbx1	pre B-cell leukemia transcription factor 1	Mm.43358	NA		NA		-0.8847	-1.1461	-0.7966	-0.9806	-0.6451	-0.7178	6	0.553898475	1.805385004	-2.325274271	-0.861816667	0.370630113	0.811435066
AI854113	Sdc2	syndecan 2	Mm.234266	15529		15		-1.0125	-1.3162	-1.6088	-1.1341	-0.2968	-1.9333	6	0.459442248	2.176552124	-2.318745583	-1.21695	0.524831188	0.811435066
AV095221	LOC406217	RIKEN cDNA 2410004M13 gene	Mm.336245	406217		X	XE3	-0.9703	-1.3623	-1.4064	-1.9418	-0.4129	-0.9255	6	0.469085836	2.131805999	-2.29856938	-1.169866667	0.508954255	0.811435066
AV061254				NA	AI115072 EST:Sugano mouse embryo mewa:Mus musculus	NA		-1.0019	-1.2243	-1.3275	-0.9367	-0.3614	-1.6024	6	0.492661534	2.029791104	-2.293944062	-1.0757	0.468930353	0.811435066
NA	NA	NA	NA		NA			-0.8155	-1.3951	-1.4157	-1.2647	-0.8471	-0.4612	6	0.503621077	1.985619836	-2.280865572	-1.033216667	0.452993232	0.811435066
BG072195	Jam3	junction adhesion molecule 3	Mm.28770	83964		9	9 A4	-1.2598	-1.7028	-1.5478	-1.1055	-0.1812	-1.2235	6	0.473629236	2.111356151	-2.278914137	-1.1701	0.513446286	0.811435066
AV095207	BC026991	cDNA sequence BC026991	Mm.246385	231004		4	4 E2	-1.225	-0.7877	-0.8482	-0.8221	-0.7342	-0.6913	6	0.558101096	1.791790067	-2.275197384	-0.851416667	0.374216616	0.811435066
AA259766	Pomc1	pro-opiomelanocortin-alpha	Mm.277996	18976		12		-0.7206	-0.8012	-0.9766	-1.1984	-1.1435		5	0.596218496	1.677237468	-2.272576509	-0.9017	0.39677432	0.811435066
AA718788	Tek	endothelial-specific receptor tyrosine kinase	Mm.14313	21687		4		-0.6754	-1.2418	-1.5283	-1.0968	-1.4454	-0.3817	6	0.499660729	2.001358006	-2.2142048	-1.061566667	0.479434724	0.811435066
AV032265	Apoe	apolipoprotein E	Mm.305152	11816		7		-2.0842	-0.9033	-1.5486		-1.2011	-1.1108	5	0.501718596	1.993149165	-2.199150968	-1.191126667	0.54163024	0.811435066
NA	NA	NA	NA		NA			-1.3861	-0.9351	-0.8897	-0.9481	-0.5516	-2.1534	6	0.478448359	2.090089729	-2.178773056	-1.144	0.525066159	0.811435066
AV033151	Fcgrt	Fc receptor, IgG, alpha chain transporter	Mm.3303	14132		7		-0.8318	-0.6685	-0.7148	-0.8144	-0.5773	-0.7661	6	0.604524105	1.654193755	-2.174703157	-0.728816667	0.335133862	0.811435066
BG075578	Ccnd3	cyclin D3	Mm.246520	12445		17		-1.0488	-0.955	-1.0032	-0.5001	-0.6167	-0.9537	6	0.562271532	1.778500143	-2.173776068	-0.84625	0.389299529	0.811435066
AV053914				NA	Enx-2	NA		-1.1569	-0.7388	-0.8691	-0.5898	-0.6492	-1.0104	6	0.565613071	1.767993087	-2.169142588	-0.8357	0.385267435	0.811435066
AA031143	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	Mm.168789	12577		7		-1.3268	-0.7183	-1.0755	-0.7351	-0.983	-0.5168	6	0.547765778	1.825597801	-2.149915291	-0.892583333	0.415171396	1.253527275
AV025941				NA	Aqp1 (aquaporin 1)	NA		-1.0653	-0.7983	-1.4282	-1.1152	-0.2723	-1.3592	6	0.517319645	1.933040839	-2.145311902	-1.006416667	0.469123705	1.253527275
AV003497	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	Mm.17339	20887	sulfotransferase, phenol preferring 1	7		-1.6994	-1.5042	-1.6475	-1.304	-0.2618	-0.5655	6	0.482400355	2.072966964	-2.144062086	-1.163733333	0.542770352	1.253527275
BG074978	Fhl1	four and a half LIM domains 1	Mm.3126	14199		X	X A6-A7.1	-1.1331	-1.805	-1.6554	-1.2744	-0.8796		5	0.502746815	1.989072769	-2.098780083	-1.14292	0.544563963	1.253527275
AI841348	Snrpn	small nuclear ribonucleoprotein N	Mm.274995	20646; 84704; 386485		7		-0.9764	-1.2965	-1.3421		-0.1095	-1.2163	5	0.611183247	1.636170503	-2.096657424	-1.016036667	0.484598321	1.253527275
AV024845	Plxdc2	plexin domain containing 2	Mm.313938	67448		2	2 A2-24.3	-1.9858	-1.2742	-1.513	-1.166	-1.6945		5	0.461821002	2.165341106	-2.095442749	-1.250753333	0.596892153	1.253527275
BG074320	B130017I01Rik	RIKEN cDNA B130017I01 gene	Mm.229287	214137		3	3 G1	-1.1834	-1.5858	-0.7105	-1.0618	-0.4034	-0.8365	6	0.529944938	1.886988492	-2.08035851	-0.963566667	0.463173372	1.253527275
AA407888	5730453H04Rik	RIKEN cDNA 5730453H04 gene	Mm.203911	105072		13	13 A3.3	-1.6415	-0.6688	-0.724	-1.5398	-2.0378	-0.4042	6	0.483015405	2.070327345	-2.074955928	-1.16935	0.563554138	1.253527275
AV053708				NA	AI463673 EST:mammary gland:Mus musculus	NA		-2.922	-2.4533	-2.1833	-1.8308	-0.168		5	0.450982129	2.217382763	-2.061986144	-1.613378333	0.782438979	1.253527275
AA189608	Socs2	suppressor of cytokine signaling 2	Mm.291261	216233		10		-0.8341	-1.0423	-0.9069	-1.179	-0.5251	-0.5184	6	0.56908827	1.757196646	-2.05548002	-0.8343	0.405890591	1.253527275
AV053967				NA	AU021505 EST:Mouse eight-cell stage embryo cDNA:Mus musculus	NA		-0.8632	-1.8472	-1.6118	-1.261	-0.4499	-0.4982	6	0.502031798	1.991905701	-2.042264324	-1.08855	0.533011318	1.253527275
BG071335	5730469M10Rik	RIKEN cDNA 5730469M10 gene	Mm.27227	70564		14	14 B	-1.1513	-0.9188	-0.837	-1.3784	-0.5058	-0.5315	6	0.553287423	1.807378876	-2.035859529	-0.887133333	0.435753705	1.253527275
BG073564	App	amyloid beta (A4) precursor protein	Mm.277585	11820		16		-0.8938	-1.2843	-0.7886	-0.9763	-0.4599	-0.603	6	0.570228662	1.753682457	-2.01269619	-0.834316667	0.414526877	1.473741525
AV078236				NA	necdin	NA		-1.6196	-1.0706	-0.6716	-0.8224	-0.9027	-0.4314	6	0.545213946	1.83414237	-1.992903248	-0.919716667	0.461495894	1.473741525
AV085136	Nphp1	nephronophthisis 1 (juvenile) homolog (human)	Mm.210766	53885		2	2 F1	-0.6562	-0.6974	-0.532	-1.0674	-0.6404	-0.8414	6	0.603273388	1.657623261	-1.980113916	-0.739133333	0.373278187	1.473741525
AV028985	App	amyloid beta (A4) precursor protein	Mm.277585	11820		16		-0.7738	-0.887	-0.8237	-0.5043	-0.5502	-0.7041	6	0.615392746	1.62497853	-1.974519812	-0.707183333	0.35815459	1.473741525
AV029004				NA	gene trap locus 2	NA		-1.0018	-1.9877	-2.9477	-1.4406	-0.0215	-0.9102	6	0.461144148	2.168519333	-1.962201189	-1.384916667	0.705797486	1.473741525
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.58	-1.5469	-1.463	-1.5154	-0.5706	-0.4181	6	0.524248714	1.907491564	-1.961442566	-1.015666667	0.517816165	1.473741525
AA000222	Aldoc	aldolase 3, C isoform	Mm.7729	11676		11		-0.5444	-1.0237	-1.2271	-0.6551	-0.651	-0.6634	6	0.584660639	1.710393918	-1.958909341	-0.794116667	0.405387146	1.473741525
NA	NA	NA	NA		NA			-0.7868	-1.4969	-1.5848	-1.1672	-0.5994		5	0.562104371	1.779029041	-1.954091552	-0.988201667	0.505708991	1.473741525
BG064638	Krt2-8	keratin complex 2, basic, gene 8	Mm.29389	16691; 16679; 16012; 223920; 209039		15		-1.732	-1.1827	-0.8629	-1.4565		-0.287	5	0.579231243	1.726426209	-1.945983807	-1.011898333	0.519993193	1.473741525
BG071256	5730469M10Rik	RIKEN cDNA 5730469M10 gene	Mm.27227	70564		14	14 B	-1.6908	-0.767	-0.7488	-1.3427	-0.7356	-0.3952	6	0.541287641	1.847446578	-1.931749713	-0.946683333	0.490065212	1.473741525
BG073809	Bgn	biglycan	Mm.2608	12111		X		-1.9469	-0.9411	-1.1868	-1.3838	0.0944	-1.2077	6	0.51721207	1.933442892	-1.918508881	-1.095316667	0.570920822	1.473741525
AV029813	Polb	polymerase (DNA directed), beta	Mm.228484	18970		8		-0.6744	-0.756	-0.886	-0.3046	-1.0381	-1.1649	6	0.583745185	1.713076228	-1.915227715	-0.804	0.419793424	1.473741525
NA	NA	NA	NA		NA			-0.9214	-0.9901	-0.6746	-1.0199	-0.2174	-1.0458	6	0.582597679	1.716450367	-1.901335872	-0.811533333	0.426822712	1.473741525
C85808				NA		NA		-0.8473	-0.9517	-0.9783	-0.6784	-0.6523	-0.3355	6	0.605676133	1.651047392	-1.879912587	-0.740583333	0.393945622	2.39159809
AV023779	Mtvr2	mammary tumor virus receptor 2	Mm.24281	17826		19		-1.0693	-1.1721	-0.9778		-0.2961	-0.6473	5	0.646833953	1.545991821	-1.872799013	-0.804883333	0.429775607	2.39159809
BG066067	Gdf3	growth differentiation factor 3	Mm.299742	14562		6		-1.3902	-1.7225	-1.5178	-0.6734	0.0682	-1.1207	6	0.528176466	1.893306622	-1.872684143	-1.0594	0.565712058	2.39159809
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.4957	-0.8124	-0.9743	-0.7371	-0.7354	-0.3035	6	0.573984849	1.742206266	-1.85334924	-0.843066667	0.454888182	2.39159809
BG070955		Transcribed sequence with weak similarity to protein ref:NP_083358.1 (M.musculus) RIKEN cDNA 5830411J07 [Mus musculus]	Mm.36882					-1.3384	-0.8394	-0.332	-0.3894	-1.6771	-2.586	6	0.498578973	2.00570031	-1.843579263	-1.193716667	0.647499509	2.39159809
C81585	6330403K07Rik	RIKEN cDNA 6330403K07 gene	Mm.27768	103712		11	11 B4	-0.4836	-1.2943	-1.2742	-0.9031	-0.2432	-0.9888	6	0.569980256	1.754446737	-1.842595388	-0.864533333	0.469193258	2.39159809
NA	NA	NA	NA		NA			-0.8948	-0.9708	-0.9065	-0.7234	-0.2857	-0.6242	6	0.609385641	1.640996984	-1.835655869	-0.734233333	0.399984194	2.39159809
BG074330		Transcribed sequences	Mm.337491			1		-0.7419	-2.0805	-1.0861	-2.0846		-0.9737	5	0.508396125	1.966970144	-1.831705794	-1.154605	0.630344133	2.39159809
AV024112	Gata1	GATA binding protein 1	Mm.335973	14460		X		-0.6222	-0.3826	-0.8928	-1.1913	-1.1669	-0.5031	6	0.59069595	1.692918329	-1.818434506	-0.79315	0.436171882	2.39159809
BG070622	Dlgh3	discs, large homolog 3 (Drosophila)	Mm.4615	53310		X	X C3	-0.67	-1.1191	-0.9156	-1.4584		-0.5553	5	0.610570498	1.637812509	-1.80636216	-0.838898333	0.464413146	2.39159809
NA	NA	NA	NA		NA				-0.8144	-1.0167	-0.7112	-0.7796	-2.3508	5	0.575377993	1.737987917	-1.800880958	-1.026346667	0.569913665	2.39159809
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.5028	-0.5846	-0.4718	-1.0144	-0.6885	-0.9422	6	0.621600968	1.608749103	-1.799634802	-0.700716667	0.389366035	2.39159809
BG072812	Ghr	growth hormone receptor	Mm.3986	14600		15		-0.8802	-1.9416	-1.6062	-1.9752	0.5118	-1.3647	6	0.533426655	1.874671975	-1.78419853	-1.20935	0.677811342	3.622057976
BG066310	Ccnd3	cyclin D3	Mm.246520	12445		17		-0.5331	-0.6234	-0.7529	-1.0546	-0.3735	-1.2587	6	0.600812608	1.664412475	-1.773535116	-0.766033333	0.431924537	3.622057976
AA072842	Slc6a15	solute carrier family 6 (neurotransmitter transporter), member 15	Mm.45843	103098		10	10 D1	0.2599	-1.3364	-1.3803	-1.2004	-0.7916	-1.7725	6	0.547183491	1.827540515	-1.770627653	-1.036883333	0.585602135	3.622057976
AV104213	Esam1	endothelial cell-specific adhesion molecule	Mm.41751	69524		9	9 A4	-0.7506	-0.8529	-0.9911	-0.7615	-0.1377	-1.1459	6	0.600313087	1.665797434	-1.769426646	-0.773283333	0.437024804	3.622057976
BG074141	Tnk2	tyrosine kinase, non-receptor, 2	Mm.251115	51789		16	16 A1	-0.978	-0.6539	-0.6089	-1.0059	-0.2266	-1.063	6	0.605030198	1.652810063	-1.769074116	-0.75605	0.427370449	3.622057976
AV087195				NA	AA869690 EST:Barstead stromal cell line MPLRB8:Mus musculus	NA		-0.3669	-1.0564	-1.2295	-0.8469	-0.7594	-0.3856	6	0.599153872	1.66902034	-1.765589601	-0.774116667	0.438446549	3.622057976
NA	NA	NA	NA		NA			-0.932	-0.7671	-0.5462	-1.2202	-0.5459	-0.4147	6	0.610152145	1.638935483	-1.763545627	-0.737683333	0.418295576	3.622057976
AV061135				NA	W65974 EST:embryo:Mus musculus	NA		-0.7232	-0.3772	-0.785	-0.8133	-0.6288	-0.4948	6	0.646914595	1.545799103	-1.739558486	-0.63705	0.366213614	3.622057976
AV033809				NA	S72537 zebrin II::Mus sp.	NA		-0.4898	-1.2587	-1.1783	-0.8715	-0.4987	-0.3941	6	0.597867084	1.672612571	-1.739005213	-0.78185	0.449596122	3.622057976
AV048302	Siah2	seven in absentia 2	Mm.2847	20439	seven in absentia 2	3		-1.4106	-0.8207	-0.9524	-0.493	-0.6214	-0.3789	6	0.598117336	1.671912751	-1.73839904	-0.7795	0.448401076	3.622057976
AV087499				NA	secretory component P85	NA		-0.8901	-0.9852	-0.9486	-1.3026	-3.917	-0.4094	6	0.46456666	2.15254362	-1.736965105	-1.408816667	0.811079429	3.622057976
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.1829	-0.4349	-0.4825	-1.1424	-1.1308	-0.3861	6	0.59513494	1.680291196	-1.735772921	-0.793266667	0.457010625	3.622057976
BG071136	D430039N05Rik	RIKEN cDNA D430039N05 gene	Mm.330351	241520		2	2 D	-0.1074	-1.6571	-0.9141	-1.0086	-1.3571	-0.4495	6	0.56595021	1.766939888	-1.732244256	-0.915633333	0.528582115	3.622057976
AV103571				NA	AA655821 EST:Tcell:Mus musculus	NA		-0.482	-0.8969	-0.5251	-1.147	-0.4106	-0.7604	6	0.623690182	1.603360177	-1.708027536	-0.703666667	0.411976184	4.281614817
AV149939	Ndrg2	N-myc downstream regulated gene 2	Mm.26722	29811		14	14 C1	-0.9933	-1.0175	-0.9	-0.7328	-0.7872	-0.0665	6	0.611390043	1.635617086	-1.70379009	-0.74955	0.439930954	4.281614817
AV061493	Irf6	interferon regulatory factor 6	Mm.305674	54139; 338517		1	1 H6	-0.5095	-1.0548	-0.9557	-1.0262	-0.7341	-0.1806	6	0.612325301	1.633118864	-1.702938942	-0.743483333	0.436588368	4.281614817
NA	NA	NA	NA		NA			-0.5001	-0.6778	-1.2089	-1.7392		-0.4132	5	0.635877581	1.572629749	-1.698606877	-0.858706667	0.505535847	4.281614817
AA546583	Socs2	suppressor of cytokine signaling 2	Mm.291261	216233		10		-0.5769	-0.9621	-0.6735	-1.0584	-0.1463	-1.4069	6	0.595257664	1.679944772	-1.69520329	-0.804016667	0.474289232	4.281614817
AV104474				NA	W74919 EST:embryo:Mus musculus	NA		-0.9211	-0.639	-0.6712	-0.6173	-2.2344	-0.592	6	0.554345036	1.803930648	-1.694410041	-0.945833333	0.558208055	4.281614817
AV223320				NA		NA		-0.5868	-0.3894	-0.7931	-0.4115	-0.9753	-0.8522	6	0.636797094	1.570358926	-1.691582022	-0.66805	0.394926165	4.281614817
AV011695	Snap23	synaptosomal-associated protein 23	Mm.245715	20619		2		-0.6607	-0.4266	-0.5908	-0.6814	-0.6987	-0.4429	6	0.669316739	1.494060946	-1.689671887	-0.583516667	0.345343182	4.281614817
AV035083				NA	cellular repressor of E1A-stimulated genes	NA		-0.5821	-0.6687	-0.7827	-0.6373	-0.4254	-0.4538	6	0.666001072	1.501499084	-1.685271956	-0.591666667	0.351080824	4.281614817
BG075567	D130026O08Rik	RIKEN cDNA D130026O08 gene	Mm.236401	259302		6	6 E3	-1.1844	-0.9189	-0.6947	-0.7546	-0.192	-0.5913	6	0.619767331	1.613508731	-1.674271157	-0.72265	0.431620647	4.281614817
AV013356	Col16a1	procollagen, type XVI, alpha 1	Mm.41860	107581		4	4 D2.2	-0.5459	-0.9927	-0.8611	-1.4711	0.0169	-1.3342	6	0.584522529	1.710798045	-1.668324341	-0.864683333	0.518294502	4.281614817
BG065311		Similar to senescence downregulated leo1-like (LOC235497), mRNA	Mm.41508	235497		9	9 D	-1.449	-1.1009	-0.3805	-0.6869	-2.2276	-0.1763	6	0.553390438	1.807042425	-1.65677911	-1.003533333	0.605713415	4.281614817
BG072471				NA		NA		-1.0231	-0.8763	-0.7072	-1.0388		-0.1508	5	0.672801903	1.4863216	-1.653306331	-0.719495	0.435185535	4.281614817
BG072558	Col4a1	procollagen, type IV, alpha 1	Mm.738	12826		8		-0.6758	-0.5547	-0.1344	-0.7819	-1.8448	-1.5508	6	0.569857889	1.754823472	-1.651315717	-0.923733333	0.559392322	6.074290263
AA042074	Hoxa5	homeo box A5	Mm.173	NA		NA		-0.5922	-0.6879	-0.8563	-0.6204	-0.6081	-0.2882	6	0.660321435	1.514413961	-1.639504133	-0.60885	0.371362284	6.074290263
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.5868	-0.7535	-0.6559	-0.6598	-0.5383	-0.3165	6	0.669703972	1.493197058	-1.637284324	-0.585133333	0.357380404	6.074290263
BG074185	Pacsin2	protein kinase C and casein kinase substrate in neurons 2	Mm.23978	23970		15	15 E1	-0.6531	-0.606	-0.5215	-0.7786	-1.2995		5	0.663129092	1.508002005	-1.636336449	-0.701708333	0.428828884	6.074290263
AV087043				NA	D18792 EST:Mouse 3-directed:Mus musculus	NA		-1.0402	-0.8355	-0.7169	-0.3317	-0.3868	-0.6491	6	0.642025661	1.557570142	-1.627123015	-0.660033333	0.405644396	6.074290263
BG072258	2310046K01Rik	RIKEN cDNA 2310046K01 gene	Mm.258262	69698		2	2 H1	-0.2219	-1.4106	-0.5608	-1.0964		-1.3884	5	0.626864515	1.595241039	-1.626122849	-0.834295	0.513057793	6.074290263
AA170620				NA		NA		-0.2137	-1.1092	-0.884	-1.4158	-0.51	-0.5062	6	0.608139271	1.644360178	-1.618334171	-0.77315	0.477744346	6.074290263
AV093772				NA	Mus musculus carboxyl terminal LIM domain protein (Ldb3) mRN	NA		-0.5829	-0.5099	-0.372	-0.6964	-0.7695	-0.5027	6	0.675352948	1.480707241	-1.613758206	-0.572233333	0.354596699	6.074290263
AA833182	Efna1	ephrin A1	Mm.15675	13636		3		-0.8615	-1.6806	-2.0186		-0.5247	-0.5758	5	0.579191366	1.726545074	-1.611808514	-0.961593333	0.596592787	6.074290263
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.626	-1.3867	-1.1955	-0.762	-0.5529	-0.1328	6	0.608405101	1.643641709	-1.61099312	-0.775983333	0.481680104	6.074290263
