Affymetrix HG U133 Probe ID	Function Code	GenBank Accession	Gene Symbol	Gene Title	Time
209765_at	P/MMP	Y13786.2	ADAM19 / MADDAM	A disintegrin and metalloproteinase domain 19 (meltrin beta)	2 hours
232505_at	ICT/S	AU147214	DCTN2	Dynactin 2 (p50)	2 hours
213844_at	H/TF	NM_019102.1	HOXA5	Homeo box A5	2 hours
234740_at	CFD/M	AK024886.1	CDC14B	Dual specificity protein phosphatase CDC14B (CDC14 cell division cycle 14 homolog B)	2 hours
224409_s_at	ST	AF348077.1	SSTK / FKSG82	Serine/Threonine protein kinase SSTK	2 hours
201286_at	CA/CSO	Z48199	SDC1	Syndecan 1	2 hours
33304_at	CFD/M/RNAP	U88964	ISG20 / HEM45	Interferon stimulated gene 20kDa	2 hours
241710_at	ICT/S	AI436290	PLEKHH2	Pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	2 hours
209081_s_at	CA	NM_030582.1	COL18A1	Collagen, type XVIII, alpha 1	2 hours
232122_s_at	M/CT	AK022666.1	VEPH1	Ventricular Zone Expressed PH domain homolog 1	2 hours
201354_s_at	H/TF	NM_013449.1	BAZ2A	Bromodomain adjacent to zinc finger domain, 2A	2 hours
202756_s_at	CA	NM_002081.1	GPC1	Glypican 1	2 hours
218451_at	CA	NM_022842.1	CDCP1 / SIMA135	CUB domain containing protein 1	2 hours
241748_x_at	UF	AI954654	DGCR14 / DGSI	DiGeorge syndrome critical region gene 14	2 hours
234725_s_at	AF/GC	AK026133.1	SEMA4B / SEMAC	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	2 hours
230963_at	H/TF anti-sense	BF592111	EMX2OS	Empty spiracles homolog 2 (Drosophila) opposite strand	2 hours
208690_s_at	ICT/S	BC000915.1	PDLIM1 / CLIM1	PDZ and LIM domain 1 (elfin)	2 hours
210032_s_at	M/CT	AI651156	SPAG6	Sperm associated antigen 6	2 hours
202743_at	ST	BE622627	PIK3R3	Phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	2 hours
232315_at	H/TF	AU149712	ZNF528	Zinc finger protein 528	2 hours
203543_s_at	H/TF	NM_001206.1	KLF9 / BTEB1	Kruppel-like factor 9/basic transcription element binding protein 1	2 hours
203789_s_at	AF/GC	NM_006379.1	SEMA3C / SEMAE	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	2 hours
203723_at	ST	NM_002221.1	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	2 hours
206074_s_at	H/TF	NM_002131.1	HMGA1	High mobility group AT-hook 1	2 hours
210150_s_at	ECM	BC003355.1	LAMA5	Laminin, alpha 5	2 hours
242519_at	CA/DEF	BF432331	SEPP1	Selenoprotein P precursor (SeP).	2 hours
212463_at	DEF	BE379006	CD59	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2 hours
224540_at	ICT/S	AF238867.1	LACRT	Lacritin	2 hours
204990_s_at	CA	NM_000213.1	ITGB4	Integrin, beta 4	2 hours
216986_s_at	H/TF	D78261.1	IRF4	Interferon regulatory factor 4	2 hours
202391_at	ICT/S/M/CT	NM_006317.1	BASP1	Brain abundant, membrane attached signal protein 1	2 hours
206467_x_at	DEF	NM_003823.1	TNFRSF6B	Tumor necrosis factor receptor superfamily, member 6b, decoy	2 hours
213421_x_at	P/MMP	AW007273	PRSS3	Protease, serine, 3 (mesotrypsin)	2 hours
207375_s_at	DEF	NM_002189.1	IL15RA	Interleukin 15 receptor, alpha	2 hours
230815_at	ICT/S	AI684760	KIF27A	Kinesin family member 27	2 hours
207760_s_at	H/TF	NM_006312.1	NCOR2 / SMRT / TRAC	Nuclear receptor co-repressor 2	2 hours
1007_s_at	CA	U48705	DDR1 / NTRK4 / NEP	Discoidin domain receptor family, member 1	2 hours
222799_at	ST	AK001606.1	HSPC049 / NM_014149	HSPC049 protein	2 hours
46665_at	M/CT	AI949392	SEMA4C / SEMAF	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	2 hours
230836_at	CA	AI422986	ST8SIA4 / PST1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	4 hours
225368_at	CFD/M	BF218115	HIPK2	Homeodomain interacting protein kinase 2	4 hours
207643_s_at	CFD/M	NM_001065.1	TNFRSF1A	Tumor necrosis factor receptor superfamily, member 1A	4 hours
212495_at	H/TF	AW237172	JMJD2B	Jumonji domain containing 2B	4 hours
223589_at	H/TF	BC000130.1	ZNF416 / NM_017879	Zinc finger protein 416/Hypothetical protein FLJ20557	4 hours
203278_s_at	H/TF	NM_016621.1	PHF21A / BHC80	PHD finger protein 21A	4 hours
235052_at	H/TF	AV758821	FLJ38451 / NM_175872	FLJ38451 protein	4 hours
204431_at	H/TF	NM_003260.1	TLE2 / ESG2	Transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	4 hours
213230_at	H/TF	AI422335	HUMPPA	Paraneoplastic antigen	4 hours
227287_at	H/TF	AW027167	CITED2 / MRG1	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG1 protein) (P35srj).	4 hours
213625_at	H/TF	AW190088	ZNF307	Zinc finger protein 307	4 hours
202815_s_at	H/TF/CFD/M	NM_006460.1	HIS1	Hexamethylene bisacetamide-inducible protein	4 hours
222557_at	ICT/S	AL353715	STMN3	Stathmin-like 3	4 hours
236718_at	ICT/S	AI278445	MYO10	Myosin X	4 hours
202315_s_at	M/CT	NM_004327.2	BCR	Breakpoint Cluster Region	4 hours
225649_s_at	M/CT	AA001414	STK35 / Clik1	Serine/Threonine kinase 35	4 hours
226673_at	M/CT	AW665063	SH2D3C	SH2 domain containing 3C	4 hours
225685_at	M/CT	AI801777	CDC42EP3 / CEP3 / BORG2	CDC42 effector protein (Rho GTPase binding) 3	4 hours
224469_s_at	M/CT	BC006173.1	C14orf151 / MGC13251	Chromosome 14 open reading frame 151	4 hours
203962_s_at	M/CT	NM_006393.1	NEBL	Nebulette	4 hours
236163_at	M/CT	AW136983	LIX1 / C5orf11	Lix1 homolog (mouse)	4 hours
202934_at	MET	AI761561	HK2	Hexokinase 2	4 hours
202499_s_at	MT	NM_006931.1	SLC2A3 / GLUT3	Solute carrier family 2 (facilitated glucose transporter), member 3	4 hours
228836_at	MT	AI344200	FLJ40217 / NM_201520	Hypothetical protein FLJ40217	4 hours
226506_at	P/MMP	AI742570	FLJ13710 / NM_024817	Hypothetical protein FLJ13710?	4 hours
219282_s_at	R	NM_015930.1	TRPV2 / VRL-1	Transient receptor potential cation channel, subfamily V, member 2	4 hours
31637_s_at	R/L-MET	X72631	THRA / NR1A1	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	4 hours
223538_at	RP	AF073518.1	SERF1A	Small EDRK-rich factor 1A (telomeric)	4 hours
227512_at	SF	AW248508	LOC92312 / FLJ43493 / AK125482	Hypothetical protein LOC92312?	4 hours
244608_at	ST	AA412686	WWTR1 / TAZ-1	WW domain containing transcription regulator 1/transcriptional co-activator with PDZ-binding motif	4 hours
223199_at	ST	AA404592	MKNK2	MAP kinase interacting serine/threonine kinase 2	4 hours
225510_at	UF	BG033561	NS5ATP13TP2	NS5ATP13TP2 protein	4 hours
221565_s_at	UF	BC000039.1	FAM26B	Family with sequence similarity 26, member B	4 hours
238465_at	UF	AI265933	MGC33648	Hypothetical protein MGC33648	4 hours
204295_at	MET	NM_003172.1	SURF1	Surfeit 1	8 hours
203000_at	ICT/S	BF967657	STMN2	Stathmin-like 2	8 hours
