ID	Gene Name	Gene symbol	List score†	MLD‡	Position in cluster§
AF118079	056M17_Homo sapiens PRO1854 mRNA, complete cds		789	0.8142	51
AK024175	Programmed cell death 6	PDCD6	633	0.7635	52
AK021640	Serologically defined colon cancer antigen 8	SDCCAG8	600	0.8486	53
BC014119	Homo sapiens, clone IMAGE:4549923, mRNA, partial cds		645	0.7178	54
NM_053043	Proline rich 8	MGC20460	363	0.7856	55
AK023865	Protein kinase C, epsilon	PRKCE	490	0.7389	56
NM_000197	Hydroxysteroid (17-beta) dehydrogenase 3	HSD17B3	432	0.7960	57
AF083383	054E23_Homo sapiens 38kDa splicing factor mRNA, complete cds		450	0.7788	58
NM_001013	Ribosomal protein S9	RPS9	347	1.1615	59
BC014598	Similar to CG6405 gene product	LOC137392	345	1.4980	60
NM_005373	Myeloproliferative leukemia virus oncogene	MPL	375	-1.0604	61
NM_020215	Chromosome 14 open reading frame 132	C14orf132	463	-0.8062	62
AK026966	Adenylate kinase 3-like 1	AK3	387	-0.7723	63
NM_024880	040N09_Hypothetical protein FLJ23556		358	-0.9289	64
NM_003508	Frizzled homolog 9 (Drosophila)	FZD9	351	-1.0056	65
NM_000111	Solute carrier family 26, member 3	SLC26A3	738	-0.9933	66
AK026816	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	380	-0.7366	67
AK054633	SVAP1 protein	IMAGE3451454	702	-1.5192	68
AB002354	Pleckstrin homology domain containing, family M (with RUN domain) member 1	PLEKHM1	443	-1.2507	69
NM_000304	Peripheral myelin protein 22	PMP22	324	-1.0414	70
M34428	Pvt1 oncogene homolog, MYC activator (mouse)	PVT1	913	-0.7281	71
NM_005592	Muscle, skeletal, receptor tyrosine kinase	MUSK	329	-1.3017	72
AK022386	024N04_Homo sapiens cDNA FLJ12324 fis, clone MAMMA1002118		653	-0.7216	73
NM_003558	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	PIP5K1B	963	-0.9948	74
NM_018423	Serine/threonine/tyrosine kinase 1	STYK1	519	-0.9537	75
AK000257	Tubulin tyrosine ligase-like family, member 2	TTLL2	468	-0.7502	76
NM_018699	PR domain containing 5	PRDM5	876	-1.3780	77
AF146760	Septin 10	SEPT10	787	-1.1316	78
X78931	Zinc finger protein 272	ZNF272	323	-1.0846	79
NM_001142	Amelogenin (amelogenesis imperfecta 1, X-linked)	AMELX	382	-1.1608	80
AK023204	Lamina-associated polypeptide 1B	LAP1B	466	-0.7952	81
AK024896	Mitochondrial ribosomal protein S6	MRPS6	522	-0.8162	82
AK024896	Mitochondrial ribosomal protein S6	MRPS6	354	-0.7428	83
AB037771	Ubiquitin specific protease 53	USP53	517	-0.8702	84
NM_003758	Eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	EIF3S1	689	-0.7283	85
AF247167	AD031 protein	AD031	852	-0.9495	86
AK023666	Hypothetical protein FLJ32810	FLJ32810	938	-1.2376	87
AK023666	Hypothetical protein FLJ32810	FLJ32810	536	-1.1980	88
AL137529	Acid phosphatase-like 2	ACPL2	433	-0.7664	89
AK025007	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13	ALS2CR13	340	-0.8123	90
AK025007	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13	ALS2CR13	312	-0.7091	91
NM_005470	Abl-interactor 1	ABI1	496	-0.7326	92
NM_002438	Mannose receptor, C type 1	MRC1	677	-0.9692	93
AK057999	Zinc finger protein 533	ZNF533	740	-0.7605	94
AB046832	Hypothetical protein FLJ10826	FLJ10826	457	-1.1822	95
NM_000901	Nuclear receptor subfamily 3, group C, member 2	NR3C2	500	-0.7853	96
AL360137	Hypothetical protein LOC123722	LOC123722	460	-0.9936	97
AL109678	Similar to RIKEN cDNA B230218L05 gene		341	-1.2084	98
NM_004616	Tetraspanin 8	TM4SF3	599	-0.9131	99
NM_012121	CDC42 effector protein (Rho GTPase binding) 4	CDC42EP4	355	-0.9822	100
S76346	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	431	-0.9843	101
NM_007064	020F15_Serine/threonine kinase with Dbl- and pleckstrin homology domains		404	-0.8364	102
NM_000823	Growth hormone releasing hormone receptor	GHRHR	458	-0.8354	103
AB067481	CUB and Sushi multiple domains 3	CSMD3	414	-0.8065	104
BC007910	SPOC domain containing 1	SPOCD1	439	-0.9149	105
AK054714	Hypothetical protein LOC126661	LOC126661	642	-0.8233	106
NM_016553	Nucleoporin 62kDa	NUP62	319	-1.0514	107
AK055123	CDNA FLJ30561 fis, clone BRAWH2004580		531	-1.0113	108
NM_003567	Breast cancer anti-estrogen resistance 3	BCAR3	324	-0.8579	109
AK026938	Hypothetical gene supported by AL713796		352	-1.5456	110
NM_002423	Matrix metalloproteinase 7 (matrilysin, uterine)	MMP7	328	-0.8700	111
NM_031904	FKSG44 gene	FKSG44	624	-1.5278	112
AK056177	Chromosome 20 open reading frame 102	C20orf102	654	-0.8049	113
AK022403	DEP domain containing 6	DEPDC6	362	-1.0166	114
NM_020388	Dystonin	DST	689	-0.9846	115
NM_003238	Transforming growth factor, beta 2	TGFB2	304	-1.0769	116
NM_012230	POM (POM121 homolog, rat) and ZP3 fusion	POMZP3	335	-0.7076	117
AB037806	Gephyrin	GPHN	380	-0.7928	118
NM_003649	D-aspartate oxidase	DDO	340	-0.7158	119
NM_018723	Ataxin 2-binding protein 1	A2BP1	502	-0.7476	120
AF090883	Hypothetical protein FLJ11286	FLJ11286	314	-0.8052	121
NM_032918	RAS-like, estrogen-regulated, growth inhibitor	RERG	323	-0.8769	122
