probeset	M	Gene Title	Gene Symbol	Ensembl	Entrez Gene	SwissProt	RefSeq Protein ID	RefSeq Transcript ID
211502_s_at	1.129792132	PFTAIRE protein kinase 1	PFTK1	ENSG00000058091	5218	O94921	NP_036527.1	NM_012395
236518_at	1.129566006	KIAA1984	KIAA1984	ENSG00000196642	84960	Q6P2D9 /// Q8NAI4 /// Q8NBE1 /// Q8TF18 /// Q96IG8 /// Q96NE7	NP_001034463.3	NM_001039374
229802_at	1.126318745	CDNA FLJ14388 fis, clone HEMBA1002716	NA	NA	NA	NA	NA	NA
213926_s_at	1.111679339	HIV-1 Rev binding protein	HRB	ENSG00000173744	3267	P52594	NP_004495.2	NM_004504
211981_at	1.106099704	collagen, type IV, alpha 1	COL4A1	ENSG00000187498	1282	P02462 /// Q1P9S9 /// Q59F15 /// Q86X41 /// Q8NF88 /// Q9NYC5	NP_001836.1	NM_001845
202672_s_at	1.102343652	activating transcription factor 3	ATF3	ENSG00000162772	467	P18847 /// Q59GS7 /// Q6ICQ9 /// Q7Z566 /// Q7Z567 /// Q8NG55 /// Q8WYM6	NP_001025458.1 /// NP_001035709.1 /// NP_001665.1 /// NP_004015.4	NM_001030287 /// NM_001040619 /// NM_001674 /// NM_004024
237094_at	1.101282626	family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	FAM19A5	NA	25817	Q7Z5A7	NP_056196.2	NM_015381
203364_s_at	1.101040998	KIAA0652	KIAA0652	ENSG00000175224	9776	O75143	NP_055556.2	NM_014741
242691_at	1.098787385	CDNA FLJ41369 fis, clone BRCAN2006117	NA	NA	NA	NA	NA	NA
232412_at	1.086801671	CDNA: FLJ21037 fis, clone CAE10055	NA	NA	NA	NA	NA	NA
202821_s_at	1.084636073	LIM domain containing preferred translocation partner in lipoma	LPP	ENSG00000145012	4026	Q6UXS4 /// Q6ZTR9 /// Q6ZVL7 /// Q93052	NP_005569.1	NM_005578
210365_at	1.079053138	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	ENSG00000159216	861	Q01196 /// Q15342 /// Q15344 /// Q2TAM6 /// Q9H7H1	NP_001001890.1 /// NP_001745.2	NM_001001890 /// NM_001754
217678_at	1.07737535	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	ENSG00000151012	23657	Q9BYH2 /// Q9UPY5	NP_055146.1	NM_014331
219179_at	1.072418625	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	DACT1	ENSG00000165617	51339	Q5DM88 /// Q9NYF0	NP_057735.2	NM_016651
222670_s_at	1.069202125	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	ENSG00000204103	9935	Q9Y5Q3	NP_005452.2	NM_005461
235655_at	1.066852828	Transcribed locus, weakly similar to XP_209041.2 PREDICTED: similar to KIAA1503 protein [Homo sapiens]	NA	NA	NA	NA	NA	NA
228139_at	1.064633196	receptor-interacting serine-threonine kinase 3	RIPK3	ENSG00000129465	11035	Q5J795 /// Q5J796 /// Q6P5Y1 /// Q8IUR8 /// Q8N2G9 /// Q9Y572	NP_006862.2	NM_006871
215021_s_at	1.06463097	neurexin 3	NRXN3	ENSG00000021645	9369	Q6NUR0 /// Q86TS2 /// Q8IUD8 /// Q8IUE3 /// Q9Y4C0	NP_004787.2 /// NP_620426.2	NM_004796 /// NM_138970
206942_s_at	1.062404965	pro-melanin-concentrating hormone	PMCH	ENSG00000183395	5367	P20382 /// Q8WVG0	NP_002665.2	NM_002674
211121_s_at	1.061891204	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1	ENSG00000115325	1796	Q14CB2 /// Q2TA81 /// Q53GP8 /// Q53TY2 /// Q99704	NP_001372.1	NM_001381
205329_s_at	1.060530787	sorting nexin 4	SNX4	ENSG00000114520	8723	O95219 /// P15880 /// Q9H398	NP_003785.1	NM_003794
236787_at	1.060354438	CDNA FLJ35091 fis, clone PLACE6005786	NA	NA	NA	NA	NA	NA
228153_at	1.059471031	IBR domain containing 2	IBRDC2	ENSG00000137393	255488	Q7Z419	NP_877434.2	NM_182757
215069_at	1.058378799	N-myristoyltransferase 2	NMT2	NA	9397	O60551 /// Q9BS83	NP_004799.1	NM_004808
226388_at	1.057170899	transcription elongation factor A (SII), 3	TCEA3	ENSG00000204219	6920	O75764 /// Q5DR83	NP_003187.1	NM_003196
215931_s_at	1.056430029	retinoic acid receptor, alpha /// ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	RARA /// ARFGEF2	ENSG00000124198	10564 /// 5914	P06748 /// P10276 /// Q59FR3 /// Q658K5 /// Q6I9R7 /// Q6ZW73 /// Q6ZWH6 /// Q86TH5 /// Q9Y6D5	NP_000955.1 /// NP_001019980.1 /// NP_001028775.1 /// NP_006411.1	NM_000964 /// NM_001024809 /// NM_001033603 /// NM_006420
204672_s_at	1.051745582	ankyrin repeat domain 6	ANKRD6	ENSG00000135299	22881	Q8IUQ8 /// Q9BVM3 /// Q9Y2G4	NP_055757.2	NM_014942
1557521_a_at	1.051413344	CDNA clone IMAGE:5311184	NA	NA	NA	NA	NA	NA
218855_at	1.04918147	G protein-coupled receptor 175	GPR175	ENSG00000163870	131601	Q86W33	NP_057456.1	NM_016372
204439_at	1.048460966	interferon-induced protein 44-like	IFI44L	ENSG00000137959	10964	Q53G44 /// Q86TE1 /// Q96B64 /// Q99984	NP_006811.1	NM_006820
225803_at	1.045660943	F-box protein 32	FBXO32	ENSG00000156804	114907	Q498Y9 /// Q969P5	NP_478136.1 /// NP_680482.1	NM_058229 /// NM_148177
1553538_s_at	1.041155943	NA	NA	ENSG00000198804	NA	Q86VP1 /// Q96P65	NA	NA
229748_x_at	1.039010569	similar to Tektin-3 /// similar to hypothetical protein MGC27019 /// similar to Tektin-3 /// similar to CG32820-PA, isoform A	LOC389830 /// LOC389833 /// LOC642282 /// LOC653071	NA	389830 /// 389833 /// 642282 /// 653071	Q3SWV3 /// Q6GMR3 /// Q6ZW97 /// Q8NAE5 /// Q8TEH8 /// Q8WZ33	NP_001028687.1 /// XP_930871.1 /// XP_930911.1 /// XP_931012.1 /// XP_935710.1 /// XP_935721.1 /// XP_935749.1 /// XP_935764.1 /// XP_935777.1 /// XP_935790.1 /// XP_935801.1 /// XP_935814.1 /// XP_935825.1 /// XP_935836.1 /// XP_935847.1 /// XP_935863.1 /// XP_935882.1 /// XP_935894.1 /// XP_935904.1 /// XP_935915.1 /// XP_935930.1 /// XP_935937.1 /// XP_935948.1 /// XP_935958.1 /// XP_935968.1	NM_001033515 /// XM_925778 /// XM_925818 /// XM_925919 /// XM_930617 /// XM_930628 /// XM_930656 /// XM_930671 /// XM_930684 /// XM_930697 /// XM_930708 /// XM_930721 /// XM_930732 /// XM_930743 /// XM_930754 /// XM_930770 /// XM_930789 /// XM_930801 /// XM_930811 /// XM_930822 /// XM_930837 /// XM_930844 /// XM_930855 /// XM_930865 /// XM_930875
209016_s_at	1.038180025	keratin 7	KRT7	ENSG00000135480	3855	P08729 /// Q3B834 /// Q3KNV1 /// Q96GE1 /// Q9HCM9	NP_005547.3	NM_005556
210754_s_at	1.032483477	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	LYN	ENSG00000147507	4067	P07948 /// Q6NUK7	NP_002341.1	NM_002350
205740_s_at	1.02987684	hypothetical protein MGC10433	MGC10433	ENSG00000126254	79171	Q8N5R7 /// Q9BTD8 /// Q9BU66	NP_077297.2	NM_024321
206237_s_at	1.028143457	neuregulin 1	NRG1	ENSG00000157168	3084	Q02297 /// Q15491 /// Q53F54 /// Q6ICV5 /// Q6PK61 /// Q7Z2R7 /// Q86WJ0 /// Q96IB3	NP_004486.1 /// NP_039250.1 /// NP_039251.1 /// NP_039252.1 /// NP_039253.1 /// NP_039254.1 /// NP_039255.1 /// NP_039256.1 /// NP_039258.1	NM_004495 /// NM_013956 /// NM_013957 /// NM_013958 /// NM_013959 /// NM_013960 /// NM_013961 /// NM_013962 /// NM_013964
206932_at	1.026089011	cholesterol 25-hydroxylase	CH25H	ENSG00000138135	9023	O95992	NP_003947.1	NM_003956
201926_s_at	1.025845889	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD55	ENSG00000196352	1604	P08174 /// Q14UF2 /// Q14UF3 /// Q14UF4 /// Q14UF5 /// Q14UF6 /// Q8TD11 /// Q8TD12 /// Q8TD13 /// Q8TD14	NP_000565.1	NM_000574
204802_at	1.023944634	Ras-related associated with diabetes	RRAD	ENSG00000166592	6236	P55042	NP_004156.1	NM_004165
201690_s_at	1.022986962	tumor protein D52	TPD52	ENSG00000076554	7163	P55327 /// Q53EK8 /// Q6FGP3 /// Q6FGS3 /// Q86YZ2	NP_001020423.1 /// NP_001020424.1 /// NP_005070.1	NM_001025252 /// NM_001025253 /// NM_005079
214373_at	1.020502369	CDNA clone IMAGE:3613219	NA	NA	NA	NA	NA	NA
1558706_a_at	1.018100254	Atonal homolog 8 (Drosophila)	ATOH8	ENSG00000168874	84913	Q504S2 /// Q659B0 /// Q96SQ7	NP_116216.1	NM_032827
203896_s_at	1.011405577	phospholipase C, beta 4	PLCB4	NA	5332	Q15147	NP_000924.2 /// NP_877949.1	NM_000933 /// NM_182797
231766_s_at	1.010832664	collagen, type XII, alpha 1	COL12A1	ENSG00000111799	1303	O43853 /// Q86TG9 /// Q99715	NP_004361.3 /// NP_542376.2	NM_004370 /// NM_080645
211506_s_at	1.009230612	interleukin 8	IL8	ENSG00000169429	3576	P10145	NP_000575.1	NM_000584
226216_at	1.006634612	CDNA: FLJ21874 fis, clone HEP02488	NA	NA	NA	NA	NA	NA
219340_s_at	1.005421094	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	CLN8	ENSG00000182372	2055	Q9UBY8	NP_061764.2	NM_018941
235653_s_at	1.004903931	THAP domain containing 6	THAP6	ENSG00000174796	152815	Q5HYJ7 /// Q5JPC6 /// Q8TBB0	NP_653322.1	NM_144721
214991_s_at	1.003141504	phosphatidylinositol glycan anchor biosynthesis, class O	PIGO	ENSG00000165282	84720	Q8TEQ8	NP_116023.2 /// NP_690577.2	NM_032634 /// NM_152850
238013_at	1.002865995	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	PLEKHA2	NA	59339	Q9HB19	XP_496973.2 /// XP_936957.1 /// XP_945579.1	XM_496973 /// XM_931864 /// XM_940486
