Probe ID	Fold change	p-value	Gene Symbol	Gene Bank	Description
204260_at	4.41	4.78E-03	CHGB	NM_001819	chromogranin B (secretogranin 1)
219148_at	4.41	1.59E-03	PBK	NM_018492	PDZ binding kinase
205122_at	4.4	2.66E-02	TMEFF1	BF439316	transmembrane protein with EGF-like and two follistatin-like domains 1
205311_at	4.37	3.82E-02	DDC	NM_000790	dopa decarboxylase (aromatic L-amino acid decarboxylase)
205047_s_at	4.37	2.38E-03	ASNS	NM_001673	asparagine synthetase
201946_s_at	4.34	1.07E-02	CCT2	AL545982	chaperonin containing TCP1, subunit 2 (beta)
201664_at	4.28	8.75E-03	SMC4	AL136877	structural maintenance of chromosomes 4
204465_s_at	4.27	3.07E-02	INA	NM_004692	internexin neuronal intermediate filament protein, alpha
206140_at	4.18	3.75E-02	LHX2	NM_004789	LIM homeobox 2
204767_s_at	4.16	1.34E-03	FEN1	BC000323	flap structure-specific endonuclease 1
210105_s_at	4.1	1.70E-03	FYN	M14333	FYN oncogene related to SRC, FGR, YES
208079_s_at	4.04	4.14E-03	AURKA	NM_003158	aurora kinase A
209291_at	4.01	2.63E-04	ID4	AW157094	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
204822_at	3.95	2.63E-03	TTK	NM_003318	TTK protein kinase
202107_s_at	3.95	5.56E-03	MCM2	NM_004526	minichromosome maintenance complex component 2
205751_at	3.92	2.30E-02	SH3GL2	NM_003026	SH3-domain GRB2-like 2
206023_at	3.92	3.37E-02	NMU	NM_006681	neuromedin U
205601_s_at	3.91	1.04E-02	HOXB5	NM_002147	homeobox B5
201195_s_at	3.89	7.10E-03	SLC7A5	AB018009	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
38158_at	3.88	1.36E-03	ESPL1	D79987	extra spindle pole bodies homolog 1 (S. cerevisiae)
205828_at	3.88	1.76E-02	MMP3	NM_002422	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
210052_s_at	3.87	9.62E-03	TPX2	AF098158	TPX2, microtubule-associated, homolog (Xenopus laevis)
204146_at	3.81	3.97E-03	RAD51AP1	BE966146	RAD51 associated protein 1
203554_x_at	3.81	1.14E-02	PTTG1	NM_004219	pituitary tumor-transforming 1
218350_s_at	3.75	2.36E-03	GMNN	NM_015895	geminin, DNA replication inhibitor
218662_s_at	3.73	6.20E-03	NCAPG	NM_022346	non-SMC condensin I complex, subunit G
203440_at	3.7	3.48E-02	CDH2	M34064	cadherin 2, type 1, N-cadherin (neuronal)
203284_s_at	3.69	3.25E-04	HS2ST1	AW151887	heparan sulfate 2-O-sulfotransferase 1
201853_s_at	3.66	1.83E-03	CDC25B	NM_021873	cell division cycle 25 homolog B (S. pombe)
201202_at	3.61	4.28E-04	PCNA	NM_002592	proliferating cell nuclear antigen
209122_at	3.56	3.91E-03	ADFP	BC005127	adipose differentiation-related protein
205909_at	3.55	2.77E-04	POLE2	NM_002692	polymerase (DNA directed), epsilon 2 (p59 subunit)
201761_at	3.54	5.73E-04	MTHFD2	NM_006636	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
203213_at	3.54	3.61E-03	CDC2	AL524035	cell division cycle 2, G1 to S and G2 to M
204688_at	3.51	1.62E-03	SGCE	NM_003919	sarcoglycan, epsilon
204510_at	3.51	6.45E-03	CDC7	NM_003503	cell division cycle 7 homolog (S. cerevisiae)
205961_s_at	3.5	2.44E-03	PSIP1	NM_004682	PC4 and SFRS1 interacting protein 1
205229_s_at	3.5	1.17E-03	COCH	AA669336	coagulation factor C homolog, cochlin (Limulus polyphemus)
205825_at	3.48	2.06E-02	PCSK1	NM_000439	proprotein convertase subtilisin/kexin type 1
204165_at	3.39	2.30E-03	WASF1	NM_003931	WAS protein family, member 1
219255_x_at	3.39	1.56E-05	IL17RB	NM_018725	interleukin 17 receptor B
216973_s_at	3.38	3.22E-03	HOXB7	S49765	homeobox B7
205366_s_at	3.38	5.53E-03	HOXB6	NM_018952	homeobox B6
211980_at	3.36	8.84E-03	COL4A1	AI922605	collagen, type IV, alpha 1
209324_s_at	3.32	8.77E-03	RGS16	BF304996	regulator of G-protein signaling 16
201313_at	3.31	1.79E-02	ENO2	NM_001975	enolase 2 (gamma, neuronal)
209337_at	3.27	6.64E-03	PSIP1	AF063020	PC4 and SFRS1 interacting protein 1
203744_at	3.27	8.54E-04	HMGB3	NM_005342	high-mobility group box 3
202310_s_at	3.2	3.38E-02	COL1A1	K01228	collagen, type I, alpha 1
203743_s_at	3.18	5.00E-04	TDG	NM_003211	thymine-DNA glycosylase
221261_x_at	3.17	9.40E-03	MAGED4B	NM_030801	melanoma antigen family D, 4 /// melanoma antigen family D, 4B
201577_at	3.15	7.41E-03	NME2	NM_000269	non-metastatic cells 1, protein (NM23A) expressed in /// non-metastatic cells 2, protein (NM23B) expressed in
203209_at	3.14	8.64E-04	RFC5	BC001866	replication factor C (activator 1) 5, 36.5kDa
202363_at	3.13	1.11E-02	SPOCK1	AF231124	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
204162_at	3.12	4.77E-03	NDC80	NM_006101	NDC80 homolog, kinetochore complex component (S. cerevisiae)
206404_at	3.11	4.48E-02	FGF9	NM_002010	fibroblast growth factor 9 (glia-activating factor)
204444_at	3.11	6.69E-03	KIF11	NM_004523	kinesin family member 11
205046_at	3.1	1.54E-03	CENPE	NM_001813	centromere protein E, 312kDa
201516_at	3.09	8.00E-04	SRM	NM_003132	spermidine synthase
200679_x_at	3.09	2.04E-03	HMGB1	BE311760	high-mobility group box 1
218003_s_at	3.08	1.11E-04	FKBP3	NM_002013	FK506 binding protein 3, 25kDa
209421_at	3.07	2.76E-03	MSH2	U04045	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)
206214_at	3.05	3.46E-02	PLA2G7	NM_005084	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
201584_s_at	3.05	5.86E-03	DDX39	NM_005804	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
201088_at	3.05	2.08E-02	KPNA2	NM_002266	karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// karyopherin alpha-2 subunit like
221729_at	3.03	7.80E-03	COL5A2	AL575735	collagen, type V, alpha 2
219306_at	3	1.95E-02	KIF15	NM_020242	kinesin family member 15
201555_at	3	8.69E-04	MCM3	NM_002388	minichromosome maintenance complex component 3
202633_at	2.99	4.53E-03	TOPBP1	NM_007027	topoisomerase (DNA) II binding protein 1
203046_s_at	2.98	3.05E-03	TIMELESS	NM_003920	timeless homolog (Drosophila)
200052_s_at	2.98	6.10E-04	ILF2	NM_004515	interleukin enhancer binding factor 2, 45kDa
202246_s_at	2.98	4.97E-04	CDK4	NM_000075	cyclin-dependent kinase 4
204127_at	2.97	7.19E-03	RFC3	BC000149	replication factor C (activator 1) 3, 38kDa
205174_s_at	2.97	2.95E-02	QPCT	NM_012413	glutaminyl-peptide cyclotransferase
201897_s_at	2.96	1.01E-02	CKS1B	NM_001826	CDC28 protein kinase regulatory subunit 1B
202998_s_at	2.96	5.21E-04	LOXL2	NM_002318	ectonucleoside triphosphate diphosphohydrolase 4 /// lysyl oxidase-like 2
202413_s_at	2.96	8.65E-04	USP1	NM_003368	ubiquitin specific peptidase 1
202483_s_at	2.95	1.19E-03	RANBP1	NM_002882	RAN binding protein 1
202854_at	2.89	7.67E-03	HPRT1	NM_000194	hypoxanthine phosphoribosyltransferase 1
203270_at	2.89	1.02E-03	DTYMK	NM_012145	deoxythymidylate kinase (thymidylate kinase) /// similar to Deoxythymidylate kinase (thymidylate kinase)
200790_at	2.89	2.34E-02	ODC1	NM_002539	ornithine decarboxylase 1
210511_s_at	2.88	1.35E-02	INHBA	M13436	inhibin, beta A
201472_at	2.87	3.23E-04	VBP1	NM_003372	von Hippel-Lindau binding protein 1
221776_s_at	2.84	2.13E-02	BRD7	AI885109	bromodomain containing 7
218757_s_at	2.84	2.45E-03	UPF3B	NM_023010	UPF3 regulator of nonsense transcripts homolog B (yeast)
203418_at	2.82	4.10E-03	CCNA2	NM_001237	cyclin A2
209172_s_at	2.82	2.27E-02	CENPF	U30872	centromere protein F, 350/400ka (mitosin)
208029_s_at	2.8	6.77E-03	LAPTM4B	NM_018407	lysosomal protein transmembrane 4 beta
209642_at	2.79	3.70E-03	BUB1	AF043294	budding uninhibited by benzimidazoles 1 homolog (yeast)
213253_at	2.78	2.11E-03	SMC2	AU154486	structural maintenance of chromosomes 2
204995_at	2.74	2.26E-02	CDK5R1	AL567411	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
202613_at	2.73	8.92E-04	CTPS	NM_001905	CTP synthase
218755_at	2.73	9.82E-03	KIF20A	NM_005733	kinesin family member 20A
200745_s_at	2.72	4.09E-03	GNB1	AF070603	guanine nucleotide binding protein (G protein), beta polypeptide 1
218875_s_at	2.71	1.24E-02	FBXO5	NM_012177	F-box protein 5
205656_at	2.71	7.89E-03	PCDH17	NM_014459	protocadherin 17
204252_at	2.71	4.91E-03	CDK2	M68520	cyclin-dependent kinase 2
200750_s_at	2.69	6.51E-03	RAN	AF054183	RAN, member RAS oncogene family
217963_s_at	2.69	1.71E-03	NGFRAP1	NM_014380	nerve growth factor receptor (TNFRSF16) associated protein 1
202330_s_at	2.68	2.96E-03	UNG	NM_003362	uracil-DNA glycosylase
201518_at	2.66	1.85E-03	CBX1	NM_006807	chromobox homolog 1 (HP1 beta homolog Drosophila )
204641_at	2.66	5.98E-03	NEK2	NM_002497	NIMA (never in mitosis gene a)-related kinase 2
222201_s_at	2.66	2.38E-02	CASP8AP2	AB037736	caspase 8 associated protein 2
205053_at	2.66	6.17E-03	PRIM1	NM_000946	primase, DNA, polypeptide 1 (49kDa)
213226_at	2.65	1.18E-02	CCNA2	AI346350	cyclin A2
201393_s_at	2.64	2.05E-02	IGF2R	NM_000876	insulin-like growth factor 2 receptor
212037_at	2.63	1.04E-03	PNN	BF508848	pinin, desmosome associated protein
208964_s_at	2.62	1.92E-03	FADS1	AL512760	fatty acid desaturase 1
201589_at	2.6	1.96E-03	SMC1A	D80000	structural maintenance of chromosomes 1A
201263_at	2.59	9.81E-03	TARS	NM_003191	threonyl-tRNA synthetase
204805_s_at	2.59	2.52E-02	H1FX	NM_006026	H1 histone family, member X
209433_s_at	2.59	1.68E-04	PPAT	AI457120	phosphoribosyl pyrophosphate amidotransferase
M27830_5_at	2.57	9.24E-03		M27830
200934_at	2.56	2.54E-04	DEK	NM_003472	DEK oncogene
212320_at	2.56	5.91E-03	TUBB	BC001002	tubulin, beta
201833_at	2.53	9.34E-04	HDAC2	NM_001527	histone deacetylase 2
200853_at	2.53	9.95E-04	H2AFZ	NM_002106	H2A histone family, member Z
202043_s_at	2.53	1.34E-03	SMS	NM_004595	spermine synthase
202517_at	2.52	4.97E-02	CRMP1	NM_001313	collapsin response mediator protein 1
209956_s_at	2.52	2.58E-02	CAMK2B	U23460	calcium/calmodulin-dependent protein kinase II beta
208694_at	2.52	1.53E-02	PRKDC	U47077	protein kinase, DNA-activated, catalytic polypeptide
204173_at	2.51	1.21E-03	MYL6B	NM_002475	myosin, light chain 6B, alkali, smooth muscle and non-muscle
208986_at	2.51	5.46E-03	TCF12	AL559478	transcription factor 12
203022_at	2.5	1.78E-02	RNASEH2A	NM_006397	ribonuclease H2, subunit A
202557_at	2.5	4.75E-03	HSPA13	AI718418	heat shock protein 70kDa family, member 13
205348_s_at	2.5	3.56E-02	DYNC1I1	NM_004411	dynein, cytoplasmic 1, intermediate chain 1
203344_s_at	2.49	1.18E-04	RBBP8	NM_002894	retinoblastoma binding protein 8
203564_at	2.48	7.54E-04	FANCG	NM_004629	Fanconi anemia, complementation group G
217988_at	2.45	3.25E-03	CCNB1IP1	NM_021178	cyclin B1 interacting protein 1
208925_at	2.44	2.06E-04	CLDND1	AF161522	claudin domain containing 1
210371_s_at	2.43	2.97E-02	RBBP4	BC003092	retinoblastoma binding protein 4
213262_at	2.43	1.43E-03	SACS	AI932370	spastic ataxia of Charlevoix-Saguenay (sacsin)
201479_at	2.41	8.00E-04	DKC1	NM_001363	dyskeratosis congenita 1, dyskerin
209526_s_at	2.41	1.29E-03	HDGFRP3	AB029156	hepatoma-derived growth factor, related protein 3
203917_at	2.4	2.87E-04	CXADR	NM_001338	coxsackie virus and adenovirus receptor
206089_at	2.4	4.88E-03	NELL1	NM_006157	NEL-like 1 (chicken)
201051_at	2.4	7.78E-03	ANP32A	BE560202	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
M33197_5_at	2.4	2.08E-02	GAPDH	M33197	glyceraldehyde-3-phosphate dehydrogenase
209054_s_at	2.39	8.24E-03	WHSC1	AF083389	Wolf-Hirschhorn syndrome candidate 1
204114_at	2.38	8.17E-03	NID2	NM_007361	nidogen 2 (osteonidogen)
40020_at	2.38	3.05E-04	SLC26A6	AB011536	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) /// solute carrier family 26, member 6
209139_s_at	2.38	1.60E-03	PRKRA	AF083033	protein kinase, interferon-inducible double stranded RNA dependent activator
208691_at	2.38	3.52E-02	TFRC	BC001188	transferrin receptor (p90, CD71)
218308_at	2.37	1.98E-02	TACC3	NM_006342	transforming, acidic coiled-coil containing protein 3
203276_at	2.36	4.44E-03	LMNB1	NM_005573	lamin B1
207030_s_at	2.36	8.27E-03	CSRP2	NM_001321	cysteine and glycine-rich protein 2
204299_at	2.36	2.49E-02	FUSIP1	NM_021993	FUS interacting protein (serine/arginine-rich) 1 /// similar to FUS interacting protein (serine-arginine rich) 1
208398_s_at	2.35	7.94E-03	TBPL1	NM_004865	TBP-like 1
218683_at	2.35	4.74E-02	PTBP2	NM_021190	polypyrimidine tract binding protein 2
201714_at	2.34	2.90E-02	TUBG1	NM_001070	tubulin, gamma 1
210027_s_at	2.33	2.04E-03	APEX1	M80261	APEX nuclease (multifunctional DNA repair enzyme) 1
219229_at	2.33	1.91E-02	SLCO3A1	NM_013272	solute carrier organic anion transporter family, member 3A1
204224_s_at	2.32	2.18E-03	GCH1	NM_000161	GTP cyclohydrolase 1
200959_at	2.31	5.48E-03	FUS	NM_004960	fusion (involved in t(12;16) in malignant liposarcoma)
209030_s_at	2.31	2.91E-02	CADM1	NM_014333	cell adhesion molecule 1
204244_s_at	2.3	2.66E-03	DBF4	NM_006716	DBF4 homolog (S. cerevisiae)
212624_s_at	2.3	1.14E-02	CHN1	BF339445	chimerin (chimaerin) 1
202088_at	2.3	7.25E-06	SLC39A6	AI635449	solute carrier family 39 (zinc transporter), member 6
201697_s_at	2.3	1.38E-02	DNMT1	NM_001379	DNA (cytosine-5-)-methyltransferase 1
216237_s_at	2.3	1.85E-02	MCM5	AA807529	minichromosome maintenance complex component 5
202466_at	2.29	3.59E-04	POLS	NM_006999	polymerase (DNA directed) sigma
203313_s_at	2.29	1.16E-02	TGIF1	NM_003244	TGFB-induced factor homeobox 1
202983_at	2.29	1.34E-02	HLTF	AI760760	helicase-like transcription factor
200608_s_at	2.27	1.22E-02	RAD21	NM_006265	RAD21 homolog (S. pombe)
200665_s_at	2.27	1.45E-02	SPARC	NM_003118	secreted protein, acidic, cysteine-rich (osteonectin)
212190_at	2.27	1.35E-02	SERPINE2	AL541302	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
218237_s_at	2.26	7.16E-03	SLC38A1	NM_030674	solute carrier family 38, member 1
207625_s_at	2.26	9.94E-03	CBFA2T2	NM_005093	core-binding factor, runt domain, alpha subunit 2; translocated to, 2
217815_at	2.26	1.39E-04	SUPT16H	NM_007192	suppressor of Ty 16 homolog (S. cerevisiae)
201839_s_at	2.26	1.31E-02	EPCAM	NM_002354	epithelial cell adhesion molecule
209012_at	2.26	9.89E-03	TRIO	AV718192	triple functional domain (PTPRF interacting)
201448_at	2.26	4.95E-02	TIA1	AL046419	TIA1 cytotoxic granule-associated RNA binding protein
202668_at	2.25	5.19E-03	EFNB2	BF001670	ephrin-B2
202501_at	2.24	1.28E-05	MAPRE2	NM_014268	microtubule-associated protein, RP/EB family, member 2
208549_x_at	2.24	4.51E-02	PTMAP7	NM_016171	prothymosin, alpha pseudogene 7
210809_s_at	2.23	3.76E-03	POSTN	D13665	periostin, osteoblast specific factor
201222_s_at	2.22	7.30E-03	RAD23B	AL527365	RAD23 homolog B (S. cerevisiae)
203247_s_at	2.22	1.10E-02	ZNF24	BC003566	zinc finger protein 24
209695_at	2.21	6.89E-04	LOC100131062 /// PTP4A3	BC003105	similar to protein tyrosine phosphatase type IVA, member 3 /// protein tyrosine phosphatase type IVA, member 3
200039_s_at	2.21	3.38E-02	PSMB2	NM_002794	proteasome (prosome, macropain) subunit, beta type, 2
202218_s_at	2.21	3.08E-02	FADS2	NM_004265	fatty acid desaturase 2
208644_at	2.2	6.10E-03	PARP1	M32721	poly (ADP-ribose) polymerase 1
217975_at	2.2	4.58E-03	WBP5	NM_016303	WW domain binding protein 5
212160_at	2.2	4.29E-04	XPOT	AI984005	exportin, tRNA (nuclear export receptor for tRNAs)
213609_s_at	2.2	5.00E-02	SEZ6L	AB023144	seizure related 6 homolog (mouse)-like
202911_at	2.19	9.71E-03	MSH6	NM_000179	mutS homolog 6 (E. coli)
204092_s_at	2.19	1.38E-02	AURKA	NM_003600	aurora kinase A
212681_at	2.18	3.63E-03	EPB41L3	AI770004	erythrocyte membrane protein band 4.1-like 3
204905_s_at	2.18	4.73E-02	EEF1E1	NM_004280	eukaryotic translation elongation factor 1 epsilon 1
201111_at	2.17	2.27E-02	CSE1L	AF053641	CSE1 chromosome segregation 1-like (yeast)
208761_s_at	2.15	1.12E-02	SUMO1	U67122	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)
202268_s_at	2.15	1.82E-03	NAE1	NM_003905	NEDD8 activating enzyme E1 subunit 1
202260_s_at	2.15	2.48E-02	STXBP1	NM_003165	syntaxin binding protein 1
201362_at	2.15	5.06E-03	IVNS1ABP	AF205218	influenza virus NS1A binding protein
201666_at	2.15	4.61E-02	TIMP1	NM_003254	TIMP metallopeptidase inhibitor 1
201791_s_at	2.14	4.08E-02	DHCR7	NM_001360	7-dehydrocholesterol reductase
211148_s_at	2.13	1.71E-02	ANGPT2	AF187858	angiopoietin 2
201013_s_at	2.13	3.10E-04	PAICS	AA902652	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
214437_s_at	2.13	3.83E-02	SHMT2	NM_005412	serine hydroxymethyltransferase 2 (mitochondrial)
218250_s_at	2.13	6.56E-04	CNOT7	NM_013354	CCR4-NOT transcription complex, subunit 7
213587_s_at	2.12	3.26E-02	ATP6V0E2	AI884867	ATPase, H+ transporting V0 subunit e2
207714_s_at	2.12	1.64E-03	SERPINH1	NM_004353	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
201760_s_at	2.12	1.37E-02	WSB2	NM_018639	WD repeat and SOCS box-containing 2
209449_at	2.11	3.80E-03	LSM2	AF196468	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)
218499_at	2.11	2.65E-02		NM_016542	serine/threonine protein kinase MST4
201698_s_at	2.11	2.14E-03	SFRS9	NM_003769	splicing factor, arginine/serine-rich 9
217811_at	2.1	3.30E-02	SELT	NM_016275	selenoprotein T
206052_s_at	2.1	1.14E-02	SLBP	NM_006527	stem-loop binding protein
204835_at	2.1	9.37E-04	POLA1	NM_016937	polymerase (DNA directed), alpha 1, catalytic subunit
203349_s_at	2.1	2.21E-02	ETV5	NM_004454	ets variant 5
202306_at	2.09	3.98E-03	POLR2G	NM_002696	polymerase (RNA) II (DNA directed) polypeptide G
209520_s_at	2.08	3.16E-03	NCBP1	BC001450	nuclear cap binding protein subunit 1, 80kDa
203665_at	2.08	8.57E-03	HMOX1	NM_002133	heme oxygenase (decycling) 1
201105_at	2.08	2.27E-02	LGALS1	NM_002305	lectin, galactoside-binding, soluble, 1
203832_at	2.08	7.75E-03	SNRPF	NM_003095	small nuclear ribonucleoprotein polypeptide F
204559_s_at	2.08	1.61E-02	LSM7	NM_016199	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)
200078_s_at	2.07	7.28E-03	ATP6V0B	BC005876	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
X00351_M_at	2.07	2.47E-02	ACTB	X00351	actin, beta
203228_at	2.07	4.62E-03	PAFAH1B3	NM_002573	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa
203145_at	2.07	1.03E-02	SPAG5	NM_006461	sperm associated antigen 5
200940_s_at	2.07	1.56E-02	RERE	AB036737	arginine-glutamic acid dipeptide (RE) repeats
214086_s_at	2.07	6.08E-03	PARP2	AK001980	poly (ADP-ribose) polymerase 2
201565_s_at	2.07	3.11E-02	ID2	NM_002166	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
201055_s_at	2.06	6.54E-03	HNRNPA0	NM_006805	heterogeneous nuclear ribonucleoprotein A0
208002_s_at	2.05	1.56E-03	ACOT7	NM_007274	acyl-CoA thioesterase 7
202397_at	2.05	6.32E-03	NUTF2	NM_005796	nuclear transport factor 2
218497_s_at	2.05	3.50E-02	RNASEH1	NM_002936	ribonuclease H1
204225_at	2.05	4.02E-03	HDAC4	NM_006037	histone deacetylase 4
212321_at	2.05	1.50E-02	SGPL1	AB033078	sphingosine-1-phosphate lyase 1
209259_s_at	2.03	3.09E-02	SMC3	AF020043	structural maintenance of chromosomes 3
202370_s_at	2.02	1.92E-03	CBFB	NM_001755	core-binding factor, beta subunit
208828_at	2.02	1.33E-02	POLE3	BC004170	polymerase (DNA directed), epsilon 3 (p17 subunit)
205794_s_at	2.02	3.71E-02	NOVA1	NM_002515	neuro-oncological ventral antigen 1
201438_at	2.01	3.85E-02	COL6A3	NM_004369	collagen, type VI, alpha 3
202146_at	2.01	6.14E-05	IFRD1	AA747426	interferon-related developmental regulator 1
205548_s_at	2.01	2.10E-02	BTG3	NM_006806	BTG family, member 3
201386_s_at	2	6.05E-04	DHX15	AF279891	DEAH (Asp-Glu-Ala-His) box polypeptide 15
204649_at	2	1.05E-02	TROAP	NM_005480	trophinin associated protein (tastin)
201302_at	-2.02	3.42E-02	ANXA4	NM_001153	annexin A4
203359_s_at	-2.02	2.46E-02	MYCBP	AL525412	c-myc binding protein
210947_s_at	-2.02	2.60E-02	MSH3	J04810	mutS homolog 3 (E. coli)
205241_at	-2.02	1.49E-02	SCO2	NM_005138	SCO cytochrome oxidase deficient homolog 2 (yeast)
211004_s_at	-2.02	1.76E-02	ALDH3B1	BC002553	aldehyde dehydrogenase 3 family, member B1
215800_at	-2.02	1.54E-03	DUOX1	AL137592	dual oxidase 1
221666_s_at	-2.02	2.20E-02	PYCARD	BC004470	PYD and CARD domain containing
