RAE230A Affymetrix Sequence code	Accession No.	Gene Name	Gene Description	D (day -13.8)	P (day -13.8)	D (day -13)	P (day -13)	D (day 3)	P (day 3)	Ontology
1388046_at	AF268593.1	ITGAM	integrin alpha M	2	2.60E-03	3.8	1.70E-15	6.4	3.30E-18	cell adhesion
1382027_at	BI296880	ITGB3	integrin beta 3 (Cd61)	1.5	7.00E-03			2.1	2.30E-03	cell adhesion
1371106_at	AF003598.1	ITGB7	integrin beta 7	2	8.90E-14	1.6	1.20E-03	1.9	1.10E-06	cell adhesion
1388069_at	U56936.1	KLRB1B	killer cell lectin-like receptor subfamily B member 1B					3	6.40E-03	cell adhesion
1368464_at	NM_022393.1	MGL	macrophage galactose N-acetyl-galactosamine specific lectin			2.1	7.30E-08	2.1	2.30E-11	cell adhesion
1370348_at	U72660.1	NINJ1	ninjurin 1					1.8	6.60E-28	cell adhesion
1382943_at	BE097805	PCDHGC3	protocadherin gamma subfamily C, 3			1.8	3.00E-03			cell adhesion
1371112_at	AJ299017.1	RET	ret proto-oncogene					2.8	1.60E-08	cell adhesion
1367855_at	AF071495.1	SCARB1	scavenger receptor class B, member 1					1.8	6.90E-03	cell adhesion
1388018_at	L25527.1	SELE	selectin, endothelial cell			3.1	3.60E-04			cell adhesion
1369801_at	D10831.1	SELL	selectin, lymphocyte	1.6	9.30E-05			1.8	6.90E-06	cell adhesion
1391946_at	BI296054	SELP	selectin, platelet	1.8	7.10E-08	1.9	2.60E-07	2.2	4.20E-13	cell adhesion
1373401_at	AI176034	TNC	tenascin C					2.6	3.70E-26	cell adhesion
1371194_at	AF159103.1	TNFIP6	tumor necrosis factor induced protein 6	2.2	6.20E-04	2.2	3.10E-05	5	1.30E-21	cell adhesion
1369484_at	NM_031590.1	WISP2	WNT1 inducible signaling pathway protein 2					2.6	0.00E+00	cell adhesion
1368693_at	NM_024145.1	FGR	FGR	3.3	1.20E-11	2.7	1.40E-24	3.9	7.80E-13	cell growth and/or maintenance
1387734_at	NM_021670.1	BMP15	bone morphogenetic protein 15					2.2	4.00E-03	cell growth and/or maintenance
1374065_at	BG378920	MET	met proto-oncogene			2.9	1.70E-03			cell growth and/or maintenance
1386986_at	NM_053340.1	OGFR	opioid growth factor receptor					3.5	4.10E-05	cell growth and/or maintenance
1368128_at	NM_031598.1	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)			2.5	7.50E-04			cell growth and/or maintenance
1367780_at	NM_022391.1	PTTG1	pituitary tumor-transforming 1					2.1	3.30E-09	cell growth and/or maintenance
1389030_a_at	BI282912	SRC	tyrosine protein kinase pp60-c-src					2	2.30E-05	cell growth and/or maintenance
1368742_at	NM_053619.1	C5AR1	complement component 5, receptor 1	1.6	5.00E-06	2.4	9.60E-21	2.7	2.80E-32	chemotaxis
1387319_at	NM_019205.1	CCL11	small inducible cytokine subfamily A11	3.9	2.30E-03	3.7	2.30E-07			chemotaxis
1370118_at	NM_057151.1	CCL17	small inducible cytokine subfamily A (Cys-Cys), member 17	2.2	1.10E-05					chemotaxis
1369814_at	AF053312.1	CCL20	small inducible cytokine subfamily A20	8.3	7.30E-19	10.2	2.80E-10	15.5	3.50E-32	chemotaxis
1369815_at	U22414.1	CCL3	chemokine (C-C motif) ligand 3	15.3	1.70E-19	3.2	3.80E-05	2.1	1.10E-08	chemotaxis
1370832_at	U06434.1	CCL4	small inducible cytokine A4	6	1.50E-17					chemotaxis
1369983_at	NM_031116.1	CCL5	chemokine (C-C motif) ligand 5			2.6	5.90E-11	2	1.10E-03	chemotaxis
1370083_at	NM_020542.1	CCR1	macrophage inflammatory protein-1 alpha receptor gene	5.2	1.40E-15	2.1	3.00E-05	2.1	3.20E-03	chemotaxis
1387742_at	NM_021866.1	CCR2	chemokine receptor CCR2 gene	5.1	2.70E-07	3.3	2.90E-05	6.9	2.70E-13	chemotaxis
1369290_at	NM_053960.1	CCR5	chemokine (C-C) receptor 5	6.2	4.30E-19	6	1.80E-09	6	1.40E-10	chemotaxis
1370634_x_at	D87927.1	CINC2	cytokine-induced neutrophil chemoattractant-2	3.5	7.00E-03					chemotaxis
1387984_at	AF253065.2	CKLF1	chemokine-like factor 1	3.3	6.30E-09	3	2.70E-07	8.2	8.60E-08	chemotaxis
1398292_at	NM_022218.1	CMKLR1	chemokine-like receptor 1			2.5	3.40E-03			chemotaxis
1387969_at	U22520.1	CXCL10	chemokine (C-X-C motif) ligand 10	3.2	4.40E-09	2.5	9.00E-03	1.4	1.30E-03	chemotaxis
1368760_at	NM_053647.1	CXCL2	chemokine (C-X-C motif) ligand 2	38.7	1.60E-07	2.3	9.10E-03	2.6	1.00E-03	chemotaxis
1369697_at	NM_017183.1	CXCR2	interleukin 8 receptor, beta	10.6	1.50E-07	3.6	1.30E-03			chemotaxis
1368192_at	NM_053415.1	CXCR3_V1	G protein-coupled receptor 9					1.9	9.50E-04	chemotaxis
1373661_a_at	AA945737	CXCR4	Chemokine receptor (LCR1)	1.6	1.70E-03	1.7	3.90E-04	3.4	2.70E-15	chemotaxis
1387316_at	NM_030845.1	GRO	gro	17.1	0.00E+00	23	2.40E-04	19.8	1.80E-12	chemotaxis
1398256_at	NM_031512.1	IL1b	interleukin 1 beta	22	1.10E-30	9.5	4.50E-15	5.7	1.60E-35	chemotaxis
1387675_at	X63434.1	PLAU	plasminogen activator, urokinase					1.8	2.90E-14	chemotaxis
1369299_at	NM_053321.1	PTAFR	platelet-activating factor receptor			2.5	2.00E-03			chemotaxis
1367973_at	NM_031530.1	SCYA2	chemokine (C-C motif) ligand 2	3.4	6.00E-26	3.2	1.80E-16	6	0.00E+00	chemotaxis
1389470_at	_	C2	complement component 2	6.9	9.20E-42	3.5	1.28E-11	16.8	0.00E+00	complement activation
1368000_at	NM_016994.1	C3	complement component 3	2.7	2.00E-10	3	5.40E-12	10.4	0.00E+00	complement activation
1390585_at	AI169829	MASP1	mannose-binding protein associated serine protease-1					2.4	8.50E-08	complement activation
1368783_at	NM_022610.1	AILIM	activation-inducible lymphocyte immunomediatory molecule					5.3	4.80E-08	defense response
1369294_at	NM_030848.1	BST1	bone marrow stromal cell antigen 1	3.3	8.00E-05	2.6	8.30E-05	8.8	4.50E-14	defense response
1387273_at	NM_013037.1	IL1RL1	interleukin 1 receptor-like 1			2.7	4.10E-03	9.4	1.60E-08	defense response
1387868_at	BF289368	LBP	lipopolysaccharide binding protein			1.9	8.70E-05	10.5	0.00E+00	defense response
1370987_at	BF550890	SPN	sialophorin					1.9	2.40E-10	defense response
1388275_at	AW919577	TCRB	T-cell receptor beta chain			2.6	8.70E-03	6.6	1.50E-13	defense response
1387302_at	D16465.1	ADCYAP1R1	adenylate cyclase activating polypeptide 1 receptor 1					3.4	7.90E-03	G-protein coupled receptor protein signaling pathway
1389651_at	AI177057	APELIN	apelin					2.1	9.30E-04	G-protein coupled receptor protein signaling pathway
1389512_at	BF410571	CX3CR1	Rbs11 protein					2.1	4.60E-03	G-protein coupled receptor protein signaling pathway
1388243_at	BG663422	HB954	putative G protein coupled receptor					1.8	1.40E-03	G-protein coupled receptor protein signaling pathway
1369456_at	NM_017250.1	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B			1.9	2.10E-04	5.5	6.90E-21	G-protein coupled receptor protein signaling pathway
1368941_at	NM_032076.1	PTGER4	prostaglandin E receptor 4 (subtype EP4)					3.7	6.10E-03	G-protein coupled receptor protein signaling pathway
1369126_at	NM_013115.1	PTGFR	prostaglandin F receptor					3.3	5.80E-03	G-protein coupled receptor protein signaling pathway
1369770_at	NM_012719.1	SSTR1	somatostatin receptor 1					1.9	7.70E-04	G-protein coupled receptor protein signaling pathway
1388213_a_at	XM_215303		MHC class Ib RT1.S3			2	0.0012	1.6	1.50E-03	immune response / inflamamtory response
1370822_at	AF307302.1	BTNL2	butyrophilin-like 2 (MHC class II associated)			2.1	1.00E-15	3.2	0.00E+00	Immune response / inflammatory response
1368490_at	NM_021744.1	CD14	CD14 antigen	2.8	7.80E-18	2	4.40E-06	1.7	7.30E-05	Immune response / inflammatory response
1369483_at	NM_012705.1	CD4	CD4 antigen					1.8	1.30E-07	Immune response / inflammatory response
1367679_at	NM_013069.1	CD74	CD74 antigen (invariant polpypeptide of major histocompatibility class II antigen-associated)			2.2	3.50E-18	2.7	1.10E-31	Immune response / inflammatory response
1369877_at	NM_031538.1	CD8a	CD8 antigen, alpha chain			9.5	2.70E-03	10.9	6.20E-07	Immune response / inflammatory response
1387648_at	NM_022214.1	CXCL6	CXC chemokine LIX	2.2	2.30E-04			7.5	3.20E-06	Immune response / inflammatory response
1376150_at	BI282755	EDG3	endothelial differentiation sphingolipid G-protein-coupled receptor 3					2.1	5.90E-03	Immune response / inflammatory response
1371079_at	X73371.1	FCGR2	Fc receptor, IgG, low affinity IIb	3.1	1.40E-20	3.8	2.40E-08	6.5	0.00E+00	Immune response / inflammatory response
1367850_at	NM_053843.1	FCGR3	Fc receptor, IgG, low affinity III	2.2	3.30E-15	2	2.80E-12	2.6	0.00E+00	Immune response / inflammatory response
1368332_at	NM_133624.1	GBP2	guanylate binding protein 2, interferon-inducible	3.4	6.20E-35			1.5	3.80E-06	Immune response / inflammatory response
1370772_a_at	AF176534.1	HFE	hemochromatosis					1.8	6.60E-03	Immune response / inflammatory response
1370904_at	XM_215347	HLA-DMA	major histocompatibility complex, class II, DM alpha			2	1.22E-14	2.7	0.00E+00	Immune response / inflammatory response
1370882_at	_	HLA-DMB	major histocompatibility complex, class II, DM beta			2	5.42E-15	3.2	1.10E-13	Immune response / inflammatory response
1368407_at	NM_022605.1	HPSE	heparanase					1.9	3.00E-09	Immune response / inflammatory response
1387749_at	NM_133533.1	IGB	immunoglobulin-associated beta					2.9	8.40E-09	Immune response / inflammatory response
1369031_at	NM_053374.1	IGIFBP	interferon gamma inducing factor binding protein			2.2	7.20E-03			Immune response / inflammatory response
1371170_a_at	AJ245643.1	IL1a	interleukin 1 alpha	2.7	1.20E-03					Immune response / inflammatory response
1387180_at	NM_053953.1	IL1R2	interleukin 1 receptor, type II	2.5	1.90E-15					Immune response / inflammatory response
1387835_at	NM_022194.1	IL1RN	interleukin 1 receptor antagonist gene	7.4	2.80E-03					Immune response / inflammatory response
1369191_at	NM_012589.1	IL6	interleukin 6	10	7.30E-17	20.7	7.90E-04	21.4	5.50E-17	Immune response / inflammatory response
1369207_at	NM_013110.1	IL7	interleukin 7					2.8	2.40E-04	Immune response / inflammatory response
1368073_at	NM_012591.1	IRF1	interferon regulatory factor 1	2.9	4.70E-13	2.6	2.80E-08	3.3	2.00E-13	Immune response / inflammatory response
1387011_at	NM_130741.1	LCN2	lipocalin 2	2.4	1.70E-09	3.4	9.80E-12	13.2	0.00E+00	Immune response / inflammatory response
1390797_at	BF282471	LCP2	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)	2.6	2.20E-04	3.3	2.40E-04	6.2	4.40E-06	Immune response / inflammatory response
1370119_at	NM_022634.1	LST1	leucocyte specific transcript 1	4.9	6.20E-14	6.3	6.40E-14	16.7	2.00E-36	Immune response / inflammatory response
1368604_at	NM_031634.1	MEFV	Mediterranean fever	2.7	1.90E-07			1.9	7.40E-05	Immune response / inflammatory response
1371015_at	X52711.1	MX1	myxovirus (influenza virus) resistance			2.8	4.90E-07	1.9	2.10E-15	Immune response / inflammatory response
1387283_at	NM_134350.1	MX2	myxovirus (influenza virus) resistance 2			2.9	5.90E-04			Immune response / inflammatory response
1387413_at	NM_053734.1	NCF1	neutrophil cytosolic factor 1			2	9.40E-16	2	3.70E-06	Immune response / inflammatory response
1370968_at	AA858801	NFKB1	nuclear factor kappa B p105 subunit	2.1	1.10E-12					Immune response / inflammatory response
1389538_at	AW672589	NFKBIA	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	2.5	5.20E-36					Immune response / inflammatory response
1387667_at	L12562.1	NOS2A	nitric oxide synthase 2, inducible	6	1.90E-05					Immune response / inflammatory response
1371152_a_at	Z18877.1	OAS1	25 oligoadenylate synthetase	1.6	8.40E-06	2.4	3.80E-06	1.8	3.70E-06	Immune response / inflammatory response
1368731_at	NM_053288.1	ORM1	orosomucoid 1			2	7.00E-04	3.1	9.80E-19	Immune response / inflammatory response
1387568_at	NM_031713.1	PIRB	paired-Ig-like receptor B	2.4	3.90E-06	2.5	2.60E-06	3.3	7.60E-10	Immune response / inflammatory response
1370636_at	AF349115.1	PPBP	pro-platelet basic protein					3.2	8.50E-03	Immune response / inflammatory response
1367786_at	NM_080767.1	PSMB8	proteosome (prosome, macropain) subunit, beta type 8	1.5	3.00E-03	2.3	2.00E-09	3.3	0.00E+00	Immune response / inflammatory response
1370186_at	AI599350	PSMB9	proteosome (prosome, macropain) subunit, beta type 9	2	2.00E-07	2.1	7.40E-09	3.7	2.30E-25	Immune response / inflammatory response
1368014_at	AB048730.1	PTGES	prostaglandin E synthase	8.2	8.10E-40	3.9	1.00E-04	2.4	6.70E-04	Immune response / inflammatory response
1371209_at	NM_012645	RT1Aw2	RT1 class Ib gene(Aw2)			3.3	0.000334	5.4	2.70E-10	Immune response / inflammatory response
1388149_at	X57523.1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	1.6	2.80E-04	1.6	9.80E-03	2.4	5.60E-07	Immune response / inflammatory response
1370082_at	NM_021578.1	TGFB1	transforming growth factor, beta 1			2.1	8.40E-06	2.6	1.70E-10	Immune response / inflammatory response
1391384_at	AA819227	TNF	tumor necrosis factor  superfamily, member 2	11.1	1.30E-27	2.5	1.90E-04			Immune response / inflammatory response
1392731_at	BM390522	TNFRSF1b	tumor necrosis factor receptor superfamily, member 1b	14.3	8.20E-19	3.7	4.20E-06	8	3.50E-06	Immune response / inflammatory response
1372294_at	_	UNR	unr protein					2	0.00E+00	Immune response / inflammatory response
1369387_at	NM_012759.1	VAV1	vav 1 oncogene	4.6	7.10E-05	7.6	1.20E-07	10.8	1.20E-12	Immune response / inflammatory response
1368370_at	NM_019285.1	ADCY4	adenylyl cyclase 4					2.3	3.50E-05	Intracellular signaling cascade
1368201_at	NM_012613.1	NPR1	natriuretic peptide receptor 1					3.3	1.90E-03	intracellular signaling cascade
1370585_a_at	X04440.1	PRKCB1	protein kinase C, beta 1					1.8	3.30E-08	intracellular signaling cascade
1370042_at	BG668493	STMN2	stathmin-like 2			2.3	2.60E-06	14	7.20E-42	intracellular signaling cascade
1368186_a_at	U21683.1	SYK	spleen tyrosine kinase					1.8	2.10E-05	intracellular signaling cascade
1370071_at	NM_130399.1	ADA	adenosine deaminase					2	3.10E-18	metabolism
1368270_at	NM_012907.1	APOBEC1	apolipoprotein B editing complex 1			2.4	4.50E-05	3.5	1.20E-12	metabolism
1368587_at	NM_012824.1	APOC1	apolipoprotein C-I			2.6	6.00E-05			metabolism
1384417_at	_	APOC4	apolipoprotein C-IV					2	2.90E-04	metabolism
1368266_at	NM_017134.1	ARG1	arginase 1	8.9	3.60E-08	3	1.80E-07	4.6	7.50E-40	metabolism
1371073_at	BI286141	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1			1.5	2.50E-05	2.1	4.70E-11	metabolism
1370313_at	D88891.1	BACH	brain acyl-CoA hydrolase					1.8	1.70E-04	metabolism
1370219_at	AI232788	CYBA	cytochrome b558 alpha-subunit			1.8	4.20E-13	2.4	0.00E+00	metabolism
1388188_at	BF283070	CYP7B1	cytochrome P450, subfamily 7B, polypeptide 1					2	3.70E-03	metabolism
1370047_at	NM_053535.1	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1					2.9	9.40E-05	metabolism
1370256_at	AA944349	FZD1	frizzled homolog 1 (Drosophila)					2.4	2.10E-34	metabolism
1387491_at	NM_024381.1	GYK	glycerol kinase	6.7	2.70E-04					metabolism
1370491_a_at	M38759.1	HDC	histidine decarboxylase			4.6	3.00E-03			metabolism
1368915_at	NM_021593.1	KMO	kynurenine 3-hydroxylase					5.7	1.00E-05	metabolism
1367905_at	NM_019370.1	LOC54410	alkaline phosphodiesterase			2.5	4.20E-07	2.1	3.00E-08	metabolism
1368570_at	NM_022280.2	LRAT	lecithin-retinol acyltransferase					2.7	3.60E-04	metabolism
1370687_a_at	M55292.1	NTRK2	neurotrophic tyrosine kinase, receptor, type 2					8.5	5.30E-05	metabolism
1370163_at	BF281299	ODC1	ornithine decarboxylase 1					2.1	4.30E-11	metabolism
1371014_at	BE097028	PLCB1	phospholipase C, beta 1					1.8	3.70E-04	metabolism
1389279_at	BM386204	RAN	RAN, member RAS oncogene family					1.8	7.90E-03	metabolism
1387808_at	AF200684.1	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+system), member 7			1.5	4.00E-06	1.8	2.60E-16	metabolism
1370172_at	AA892254	SOD2	superoxide dismutase 2	2.8	5.30E-31	2.5	4.00E-28	3	0.00E+00	metabolism
1369636_at	BI285149	SORD	sorbitol dehydrogenase					2.1	5.70E-04	metabolism
1393933_at	AW144823	SORL1	sortilin-related receptor, LDLR class A repeats-containing	1.8	6.00E-06			1.9	1.20E-04	metabolism
1369940_at	NM_031811.1	TALDO1	transaldolase 1			2.1	3.10E-06	2.2	1.10E-09	metabolism
1388650_at	BM385445	TOP2a	topoisomerase (DNA) 2 alpha					2	3.00E-18	metabolism
1370459_at	AY007690.1	A5D3	A5D3 protein					2.2	1.70E-04	Miscellaneous / unknown
1387219_at	NM_012715.1	ADM	adrenomedullin	3.1	7.90E-08			1.6	2.30E-03	Miscellaneous / unknown
1370505_at	M86341.1	ADPRH	ADP-ribosylarginine hydrolase			1.6	1.40E-03	1.9	1.20E-06	Miscellaneous / unknown
1370393_at	BF418951	AF092207	unknown protein					2.3	1.30E-05	Miscellaneous / unknown
1368558_s_at	NM_017196.1	AIF1	allograft inflammatory factor 1	1.5	1.00E-06	2.4	1.20E-16	3.4	0.00E+00	Miscellaneous / unknown
1389660_at	BE096098	AMIGO3	amphoterin induced gene and ORF 3					5.9	4.20E-13	Miscellaneous / unknown
1387276_at	NM_021584.1	ANIA4	activity and neurotransmitter-induced early gene protein 4 (ania-4)					2.3	1.80E-20	Miscellaneous / unknown
1386877_at	NM_022952.1	AP2S1	clathrin-associated protein 17					1.8	3.40E-36	Miscellaneous / unknown
1374735_at	BE111827	ARHGAP4	Rho GTPase activating protein 4			2.2	2.40E-04	3.1	6.80E-03	Miscellaneous / unknown
1386925_at	NM_019289.1	ARPC1B	actin related protein 2/3 complex, subunit 1B					1.8	2.60E-26	Miscellaneous / unknown
1387446_at	NM_022950.1	C1GALT1	core1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase (C1galt1)	1.9	7.40E-03	1.8	2.50E-03			Miscellaneous / unknown
1368555_at	NM_017124.1	CD37	CD37 antigen	1.9	1.30E-05	1.9	1.20E-06	3.4	1.20E-13	Miscellaneous / unknown
1368518_at	NM_012523.1	CD53	CD53 antigen	2.6	1.70E-14	3.1	3.20E-26	3.4	0.00E+00	Miscellaneous / unknown
1368215_at	NM_031357.1	CLN2	ceroid-lipofuscinosis, neuronal 2			1.6	4.00E-04	2.2	2.10E-12	Miscellaneous / unknown
1369964_at	NM_130411.1	CORO1A	coronin, actin binding protein 1A	3.1	1.80E-08	2.7	1.80E-17	6.6	0.00E+00	Miscellaneous / unknown
1398769_at	NM_019222.1	CORO1B	coronin, actin-binding protein, 1B			2.2	9.80E-03	2.9	2.00E-04	Miscellaneous / unknown
1369828_at	NM_133555.1	CSF2RB1	colony stimulating factor 2 receptor, beta 1, low-affinity (granulocyte-macrophage)	1.8	1.50E-05					Miscellaneous / unknown
1372577_at	XM_238365	CST3	cystatin C					1.9	4.60E-07	Miscellaneous / unknown
1373054_at	AA801076	CTL1	transporter-like protein					1.9	1.70E-28	Miscellaneous / unknown
1387935_at	AF030243.1	CYRL	cytokine receptor-like protein CYRL					2	2.10E-04	Miscellaneous / unknown
1390185_at	BE109709	DCPS	mRNA decapping enzyme					2	3.20E-03	Miscellaneous / unknown
1372247_at	XM_233581	DDOST	dolichyl-di-phosphooligosaccharide-protein glycotransferase			1.5	0.00169	1.8	3.50E-10	Miscellaneous / unknown
1368938_at	NM_032063.1	DLL1	delta-like 1 (Drosophila)					1.8	9.50E-03	Miscellaneous / unknown
1376307_a_at	BI289591	DRB1	developmentally regulated RNA-binding protein 1			1.7	7.70E-03	2.1	6.40E-04	Miscellaneous / unknown
1387439_at	NM_022955.1	EGFL3	MEGF6					2.7	2.10E-05	Miscellaneous / unknown
1374399_at	AA801107	EHD4	pincher			2.2	2.30E-03	1.8	4.60E-03	Miscellaneous / unknown
1387547_a_at	NM_022294.1	ELTD1	ETL protein					1.9	3.30E-08	Miscellaneous / unknown
1371100_at	AA859049	ES2	esterase 2			2.1	6.50E-04			Miscellaneous / unknown
1370623_at	AF323608.2	FGL2	fibrinogen-like 2	2	2.40E-03					Miscellaneous / unknown
1387843_at	NM_012561.1	FST	follistatin	5.6	2.80E-05					Miscellaneous / unknown
1398272_at	NM_022860.1	GALGT1	beta-4N-acetylgalactosaminyltransferase					2.6	4.70E-07	Miscellaneous / unknown
1368253_at	NM_012793.1	GAMT	guanidinoacetate methyltransferase					1.8	1.50E-05	Miscellaneous / unknown
1392784_at	BF555051	GAS6	growth arrest specific 6					2.8	1.90E-16	Miscellaneous / unknown
