GenBank no.	MDCK-Snail	MDCK-E47	MDCK-Slug	Description
g9888193	3.31	8.27	8.55	TIMP1, tissue inhibitor of metalloproteinase1
AA479202	-4.2	-1.9	1.01	TIMP3, tissue inhibitor of metalloproteinase 3
AA287196	1.62	1.67	3.17	TSPAN-3, tetraspan 3
AA486728	1.75	2.44	3.06	VCL, vinculin
AA283699	3.89	3.64	4.75	WASPIP, Wiskott-Aldrich syndrome protein interacting protein
AA864524	-1.09	1.81	2.61	AIB3, nuclear receptor coactivator RAP250
AA026120	1.01	2.64	5.23	bHLHB2, basic helix-loop-helix, class B2
AA115076	-1.33	1.67	2.37	CITED2, Cbp/p300-interacting transactivator
AA973283	1.5	2.99	-1.56	HDAC3, histone deacetylase 3
AA482119	1.02	3.38	2.27	ID3, inhibitor helix-loop-helix protein 3
AA454080	1.14	4.29	2.08	ID4, inhibitor helix-loop-helix protein 4
T50121	1.07	11.75	3.46	KRML, Kreisler maf-related leucine zipper
N21609	-1.35	2.15	2.8	MAFG, v-maf musculoaponeurotic fibrosarcoma oncogene
N66177	-4.3	-3.1	-2.6	MITF, microphthalmia-associated transcription factor
AA496787	-2.32	1.7	2.67	SFRS4, splicing factor, arginine/serine-rich 4
AA133216	-1.63	1.3	2.79	SMARCC1, SWI/SNF related, regulator of chromatin
T81155	-1.03	1.68	3.2	SP2, Sp2 transcription factor
AA487973	-1.16	1.75	2.77	SRF, serum response factor
AA669136	2.42	2.04	8.77	TCF4, transcription factor 4, E2-2
AI268473	1.52	1.69	4.18	TLE1, transducin-like enhancer of split 1
AI220198	1.24	5.02	3.76	TWIST, Twist (Drosophila) homologue (acrocephalosyndactyly 3; Saethre-Chotzen syndrome)
AA454673	-1.88	1.45	3.81	ZNF162, zinc finger protein 162
R08850	1.29	1.69	4.96	ZNF275, zinc finger protein 275
AA136910	1.88	2.59	2.49	ACVR1, activin A receptor, type I
AA775325	1.84	2.35	2.87	AK1, adenylate kinase 1
AA991950	1.57	2.5	2.73	AK3, adenylate kinase 3
AA026354	-1.72	-1.35	-3.23	ARHGAP5, Rho GTPase activating protein 5
AA459400	-1.49	1.52	2.62	ARHGDIA, Rho GDP dissociation
N74741	2	2.06	3.23	BTG3, BTG family protein 3
AA487700	-2.17	2.33	4.43	CCND1, cyclin D1
g873830	1.76	2.55	4.07	CD63, CD63 antigen (melanoma 1 antigen)
R22625	-1.64	-1.43	-2.38	CDK7, cyclin-dependent kinase 7
g783509	1.25	2.56	5.16	CDKN1A, cyclin-dependent kinase inhibitor 1A (p21, Cip1)
N72115	1.48	2.77	2.9	CDKN2C, cyclin-dependent kinase inhibitor 2C (p18)
AA456063	1.72	2.19	2.86	CORO1C, Coronin, actin-binding protein, 1C
T77840	1.06	2.01	4.68	DLG5, Discs large (Drosophila) homologue 5
N93476	2.06	1.01	4.4	EDG1, sphingolipid G-protein coupled receptor 1
AA486628	-1.49	2.02	3.39	EGR1, early growth response 1
H13623	-2.27	2.16	1.09	EPS8, epidermal growth factor receptor pathway substrate 8
g892048	-1.81	-2	-2.27	FGF13, fibroblast growth factor 13
g1839737	1.07	1.79	2.28	FGF19, fibroblast growth factor 19
AI287541	-1.11	-1.41	-2.27	FZD4, frizzled (Drosophila) homologue 4
N68193	-1.37	-2.27	-3.57	GAB1, GRB2-associated binding protein
R92806	-1.49	2.03	2.44	GDI2, GDP dissociation inhibitor 2
AA454540	1.11	1.57	2.31	GNAQ, guanine nucleotide binding protein, q polypeptide
AA999901	2.07	6.48	2.54	GNG11, guanine nucleotide binding protein 11
AA775405	1.49	4.09	2.68	GPR51, G protein-coupled receptor 51
H57494	-1.25	3.45	1.8	H11, protein kinase H11
AA453831	-2.7	1.68	3.22	HDGF, hepatoma-derived growth factor
AA866115	-1.03	-1.68	-2.94	HELLS, helicase, lymphoid-specific
g1875225	3.95	7.03	15.72	IGFBP4, insulin-like growth factor-binding protein 4
AA431428	-1.04	2.61	2.74	INHBB, inhibin h B
AA406020	-1.96	-1.81	-2.08	ISG15, IFN-stimulated protein
AI268273	-2.32	-1.49	-3.22	MAP3K5, mitogen-activated protein kinase kinase kinase 5
AA173453	-4.34	-2.7	-6.25	MST1R, c-met-related tyrosine kinase
R24543	-2.04	-1.2	-2.38	NET1, neuroepithelial cell transforming gene
AA630376	1.56	2.53	2.39	NOTCH2, Notch (Drosophila) homologue 2
AA701502	1.27	2	5.17	PDGFA, platelet-derived growth factor a
AA973492	1.7	3.01	-1.09	PFTK1, PFTAIRE protein kinase 1
T47442	-1.52	-1.07	-2.44	PROCR, protein C receptor, endothelial (EPCR)
g5766201	1.67	1.57	2.57	PTGIS, prostaglandin I2 synthase
AA845432	1.9	1.02	2.52	PTHLH, parathyroid hormone-like hormone
AA019459	-1.96	-1.89	-2.27	PTK9, protein tyrosine kinase 9
T57321	-1.28	2.1	3.35	PTPN1, protein tyrosine phosphatase, nonreceptor type 1
AA417279	1.06	6.4	5.78	PTPNS1, protein tyrosine phosphatase, nonreceptor type substrate 1
H26426	4.51	1.22	3.24	PTPRM, protein tyrosine phosphatase, receptor type M
g1921092	1.55	1.94	2.48	REL, v-rel oncogene homologue
AI675670	-10	-14.28	-5.88	RGS2, regulator of G-protein signaling 2
AI356363	-1.35	1.8	2.06	SFN, stratifin
R23241	-1.96	-1.35	-2.86	STATI2, STAT-induced STAT inhibitor-2
AI340883	-2	-2.04	-7.14	TACSTD1, tumor-associated calcium signal transducer 1
R83270	-2.5	-1.54	-2.63	TGIF, TGFB-induced factor (TALE family)
g1852393	1.05	1.9	2.32	TIEG, TGFB inducible early growth response
AA486088	-1.23	1.63	2.79	TOB2, transducer of ERBB2, 2
W93592	8.2	6.92	7.33	WNT5A, wingless-type, member 5A
W44518	3.71	1.05	4.09	WNT5B, wingless-type, member 5B
N36882	-1.89	-1.56	-3.23	YES1, v-yes-1
