Accession no.	Unigene ID	Symbol	Description	Fold of change	Functional Group
AA677306	Hs.158560	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kDa	13.32	Cell growth and/or maintenance (307 genes)
AA055979	Hs.524484	ITGA7	Integrin, ? 7	13.06	Cell growth and/or maintenance (307 genes)
AA490459	Hs.417948	TCN2	Transcobalamin II; macrocytic anemia	12.68	Cell growth and/or maintenance (307 genes)
AA194983	Hs.81791	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	?95.28	Cell communication (277 genes)
R55809	Hs.284122	WIF1	WNT inhibitory factor 1	31.12	Cell communication (277 genes)
AA598794	Hs.410037	CTGF	Connective tissue growth factor	?27.45	Cell communication (277 genes)
H13623	Hs.26139	EPS8	Epidermal growth factor receptor pathway substrate 8	?20.60	Cell communication (277 genes)
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	?20.51	Cell communication (277 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Cell communication (277 genes)
AA442092	Hs.476018	CTNNB1	Catenin (cadherin-associated protein), ? 1, 88 kDa	13.15	Cell communication (277 genes)
AA055979	Hs.524484	ITGA7	Integrin, ? 7	13.06	Cell communication (277 genes)
AA464532	Hs.164226	THBS1	Thrombospondin 1	12.53	Cell communication (277 genes)
H11003	Hs.511899	EDN1	Endothelin 1	?12.02	Cell communication (277 genes)
AA194983	Hs.81791	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	?95.28	Signal transduction (141 genes)
H13623	Hs.26139	EPS8	Epidermal growth factor receptor pathway substrate 8	?20.60	Signal transduction (141 genes)
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	?20.51	Signal transduction (141 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Signal transduction (141 genes)
T51538	Hs.368592	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	14.85	Signal transduction (141 genes)
AA055979	Hs.524484	ITGA7	Integrin, ? 7	13.06	Signal transduction (141 genes)
AA464246	Hs.534125	HLA-C	MHC, class I, C	?12.07	Signal transduction (141 genes)
H11003	Hs.511899	EDN1	Endothelin 1	?12.02	Signal transduction (141 genes)
AA676805	Hs.336994	MTSS1	Metastasis suppressor 1	11.37	Signal transduction (141 genes)
H15574	Hs.127826	EPOR	Erythropoietin receptor	?10.53	Signal transduction (141 genes)
AA858175	Hs.535845	RUNX2	Runt-related transcription factor 2	25.8	Transcriptional regulation (117 genes)
R25377	Hs.484813	DEK	DEK oncogene (DNA binding)	?9.22	Transcriptional regulation (117 genes)
AA970865	Hs.21145	ODAG	GATA zinc finger domain containing 1	7.48	Transcriptional regulation (117 genes)
N71628	Hs.437905	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	7.26	Transcriptional regulation (117 genes)
AA101617	Hs.220971	FOSL2	FOS-like antigen 2	7.18	Transcriptional regulation (117 genes)
AA664389	Hs.507916	TGFB1I4	TSC22 domain family 1	?6.68	Transcriptional regulation (117 genes)
AI364369	Hs.493096	PBX1	Pre–B cell leukemia transcription factor 1	?6.58	Transcriptional regulation (117 genes)
R42479	Hs.517296	ETS2	V-ets erythroblastosis virus E26 oncogene homologue 2 (avian)	?6.34	Transcriptional regulation (117 genes)
AA912448	Hs.46523	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	6.33	Transcriptional regulation (117 genes)
AA495962	Hs.412293	NCOA1	Nuclear receptor coactivator 1	6.08	Transcriptional regulation (117 genes)
AA194983	Hs.81791	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	?95.28	Cell death (70 genes)
AA629591	Hs.35052	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	?26.86	Cell death (70 genes)
AA227885	Hs.80395	MAL	Mal, T cell differentiation protein	8.97	Cell death (70 genes)
AI129421	Hs.83077	IL18	Interleukin 18 (IFN ?-inducing factor)	7.25	Cell death (70 genes)
AA281635	Hs.411311	IL24	Interleukin 24	6.16	Cell death (70 genes)
AA598601	Hs.450230	IGFBP3	Insulin-like growth factor binding protein 3	?5.96	Cell death (70 genes)
N62514	Hs.283454	BNIP2	BCL2/adenovirus E1B 19 kDa interacting protein 2	?5.83	Cell death (70 genes)
AA418744	Hs.55220	BAG2	BCL2-associated athanogene 2	?5.77	Cell death (70 genes)
N69521	Hs.397465	HIPK2	Homeodomain interacting protein kinase 2	?5.62	Cell death (70 genes)
N70463	Hs.255935	BTG1	B cell translocation gene 1, antiproliferative	5.32	Cell death (70 genes)
R53942	Hs.246506	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	28.43	Transporter (54 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Transporter (54 genes)
H06516	Hs.212838	A2M	?-2-macroglobulin	16.64	Transporter (54 genes)
AA487429	Hs.352018	TAP1	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	?14.88	Transporter (54 genes)
T51538	Hs.368592	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	14.85	Transporter (54 genes)
AA490459	Hs.417948	TCN2	Transcobalamin II; macrocytic anemia	12.68	Transporter (54 genes)
AA705237	Hs.370480	ABCB7	ATP-binding cassette, subfamily B (MDR/TAP), member 7	12.2	Transporter (54 genes)
AA043133	Hs.75231	SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	?11.70	Transporter (54 genes)
AA404486	Hs.522767	SLC25A5	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	10.28	Transporter (54 genes)
AA227885	Hs.80395	MAL	Mal, T cell differentiation protein	8.97	Transporter (54 genes)
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22	Cell motility (18 genes)
AA496691	Hs.76111	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)	6.72	Cell motility (18 genes)
AA056693	Hs.405156	PPAP2B	Phosphatidic acid phosphatase type 2B	?6.70	Cell motility (18 genes)
H20759	Hs.224008	FEZ1	Fasciculation and elongation protein ? 1 (zygin I)	?6.17	Cell motility (18 genes)
N94616	Hs.213861	LAMA4	Laminin, ? 4	?5.6	Cell motility (18 genes)
N70463	Hs.255935	BTG1	B cell translocation gene 1, antiproliferative	5.32	Cell motility (18 genes)
R59598	Hs.371720	SYK	Spleen tyrosine kinase	3.23	Cell motility (18 genes)
AA398400	Hs.465929	CNN1	Calponin 1, basic, smooth muscle	?3.21	Cell motility (18 genes)
AA496565	Hs.476209	PLXNB1	Plexin B1	3.12	Cell motility (18 genes)
AA676840	Hs.133135	UTRN	Utrophin (homologous to dystrophin)	?2.98	Cell motility (18 genes)
AA424956	Hs.151777	EIF2S1	Eukaryotic translation initiation factor 2, subunit 1 ?, 35 kDa	?9.34	Translational regulation (15 genes)
AA878570	Hs.534314	EIF5A	Eukaryotic translation initiation factor 5A	4.84	Translational regulation (15 genes)
AA669443	Hs.433702	EIF5	Eukaryotic translation initiation factor 5	4.49	Translational regulation (15 genes)
AA460838	Hs.355348	GTF2H3	General transcription factor IIH, polypeptide 3, 34 kDa	?3.85	Translational regulation (15 genes)
AA459999	Hs.534582	MTIF3	Mitochondrial translational initiation factor 3	?3.84	Translational regulation (15 genes)
AA053129	Hs.396644	PAIP2	Poly(A) binding protein interacting protein 2	3.6	Translational regulation (15 genes)
R43766	Hs.515070	EEF2	Eukaryotic translation elongation factor 2	3.34	Translational regulation (15 genes)
AA486233	Hs.528780	GSPT1	G1 to S phase transition 1	3.3	Translational regulation (15 genes)
R15111	Hs.530727	CUGBP1	CUG triplet repeat, RNA binding protein 1	2.92	Translational regulation (15 genes)
R51607	Hs.150580	SUI1	Putative translation initiation factor	?2.64	Translational regulation (15 genes)
AA486444	Hs.505687	PYM	Within bgcn homologue (Drosophila)	?30.49	Other/unknown (146 genes)
AA917374	Hs.104839	TIMP2	Tissue inhibitor of metalloproteinase 2	?25.98	Other/unknown (146 genes)
H88540	Hs.187199	MALAT1	Metastasis associated lung adenocarcinoma transcript 1 (noncoding RNA)	?16.50	Other/unknown (146 genes)
R09561	Hs.527653	DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	?13.88	Other/unknown (146 genes)
AA598817	Hs.30743	PRAME	Preferentially expressed antigen in melanoma	?13.75	Other/unknown (146 genes)
N21573	Hs.514685	TWSG1	Twisted gastrulation homologue 1 (Drosophila)	?11.10	Other/unknown (146 genes)
AI084613	Hs.56186	EGFL3	EGF-like domain, multiple 3	?9.36	Other/unknown (146 genes)
AA400234	Hs.523789	TncRNA	Trophoblast-derived noncoding RNA	?7.81	Other/unknown (146 genes)
AA464417	Hs.374650	IFITM3	IFN induced transmembrane protein 3 (1-8U)	?7.65	Other/unknown (146 genes)
AA424824	Hs.304192	DSTN	Destrin (actin depolymerizing factor)	?7.40	Other/unknown (146 genes)
