Unigene ID	Gene Name	Description	Map	Avg. tumor/ Avg. mucosa
Hs.413843	S100A2	S100 calcium binding protein A2	1q21	2.7842
Hs.409602	SULF1	sulfatase 1	8q13.2	2.7716
Hs.434059	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	17q21	2.7373
Hs.70704	C20orf129	chromosome 20 open reading frame 129	20q11.22-q12	2.7327
Hs.1528	KIAA0053	KIAA0053 gene product	2p13.3	2.7175
Hs.332422	MGC34646	hypothetical protein MGC34646	8q12.2	2.7128
Hs.9730	TAC3	tachykinin 3 (neuromedin K, neurokinin beta)	12q13-q21	2.7017
Hs.446641	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	Xp11.3-p11.23	2.6978
Hs.14912	KIAA0286	KIAA0286 protein	12q13.2	2.6756
Hs.439726	LAMB2	laminin, beta 2 (laminin S)	3p21	2.6534
Hs.77329	PTDSS1	phosphatidylserine synthase 1	8q22	2.6262
Hs.308242	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	13q32.1-q32.2	2.6251
Hs.151408	PLCB4	phospholipase C, beta 4	20p12	2.6000
Hs.233240	COL6A3	collagen, type VI, alpha 3	2q37	2.5898
Hs.16611	TPD52L1	tumor protein D52-like 1	6q22-q23	2.5865
Hs.226390	RRM2	ribonucleotide reductase M2 polypeptide	2p25-p24	2.5526
Hs.69089	GLA	galactosidase, alpha	Xq22	2.5489
Hs.110713	DEK	DEK oncogene (DNA binding)	6p23	2.5272
Hs.73793	VEGF	vascular endothelial growth factor	6p12	2.5261
Hs.107513	DOCK11	dedicator of cytokinesis 11	Xq24	2.5020
Hs.89643	TKT	transketolase (Wernicke-Korsakoff syndrome)	3p14.3	2.4864
Hs.169294	TCF7	transcription factor 7 (T-cell specific, HMG-box)	5q31.1	2.4648
Hs.88977	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	6p24.3-p25.1	2.4454
Hs.383913	BLM	Bloom syndrome	15q26.1	2.4294
Hs.32393	DARS	aspartyl-tRNA synthetase	2q22.1	2.4176
Hs.374334	CCT4	chaperonin containing TCP1, subunit 4 (delta)	2p15	2.4140
Hs.203963	HELLS	helicase, lymphoid-specific	10q24.2	2.4119
Hs.111779	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	5q31.3-q32	2.3914
Hs.7049	FLJ11305	hypothetical protein FLJ11305	13q34	2.3874
Hs.12702	ARID5B	AT rich interactive domain 5B (MRF1-like)	10q21.3	2.3517
Hs.405958	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	17q21.3	2.3325
Hs.63220	ACBD6	acyl-Coenzyme A binding domain containing 6	1q25.1	2.3305
Hs.30114	CDCA3	cell division cycle associated 3	12p13	2.3225
Hs.122121	RNF12	ring finger protein 12	Xq13-q21	2.3142
Hs.44155	FTHFSDC1	formyltetrahydrofolate synthetase domain containing 1	6q25.1	2.3040
Hs.183803	TRAP1	heat shock protein 75	16p13.3	2.3036
Hs.439320	ITGA1	integrin, alpha 1	5q11.2	2.2975
Hs.306291	FLJ11712	hypothetical protein FLJ11712	13q14.13	2.2914
Hs.271926	SDCCAG16	serologically defined colon cancer antigen 16	Xq26.1	2.2889
Hs.376064	NOL5A	nucleolar protein 5A (56kDa with KKE/D repeat)	20p13	2.2845
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2	9q22	2.2787
Hs.182018	IRAK1	interleukin-1 receptor-associated kinase 1	Xq28	2.2704
Hs.90315	KIAA0007	KIAA0007 protein	2p23.3	2.2510
Hs.435169	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	8q13.3	2.2489
Hs.442733	ANXA3	annexin A3	4q13-q22	2.2488
Hs.392004	PNPT1	polyribonucleotide nucleotidyltransferase 1	2p15	2.2419
Hs.178576	CTNNBL1	catenin, beta like 1	20q11.23-q12	2.2291
Hs.111244	DDIT4	DNA-damage-inducible transcript 4	10pter-q26.12	2.2181
Hs.102171	ISLR	immunoglobulin superfamily containing leucine-rich repeat	15q23-q24	2.2129
Hs.106242	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	19p13.2	2.2014
Hs.3873	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	1p32	2.1920
Hs.298229	PFDN2	prefoldin 2	1q23.1	2.1910
Hs.90073	CSE1L	CSE1 chromosome segregation 1-like (yeast)	20q13	2.1526
Hs.296398	LAPTM4B	lysosomal associated protein transmembrane 4 beta	8q22.1	2.1276
Hs.446546	ASNS	asparagine synthetase	7q21.3	2.1268
Hs.3566	NOB1P	likely ortholog of mouse nin one binding protein	16q22.3	2.1236
Hs.377155	LYRIC	LYRIC/3D3	8q22.1	2.1164
Hs.333418	FXYD5	FXYD domain containing ion transport regulator 5	19q12-q13.1	2.0869
Hs.356223	C12orf14	chromosome 12 open reading frame 14	12p11	2.0535
Hs.268849	GLO1	glyoxalase I	6p21.3-p21.1	2.0367
Hs.91448	DUSP14	dual specificity phosphatase 14	17q12	2.0345
Hs.250822	STK6	serine/threonine kinase 6	20q13.2-q13.3	2.0341
Hs.280378	SNRPB2	small nuclear ribonucleoprotein polypeptide B	20p12.2-p11.22	2.0291
Hs.77171	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	22q13.1	2.0285
Hs.282359	GSK3B	glycogen synthase kinase 3 beta	3q13.3	2.0277
Hs.415749	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	8q11	2.0222
Hs.410774	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	21q22.3	2.0210
Hs.30570	PQBP1	polyglutamine binding protein 1	Xp11.23	1.9928
Hs.5710	CREG	cellular repressor of E1A-stimulated genes	1q24	1.9812
Hs.409065	FEN1	flap structure-specific endonuclease 1	11q12	1.9731
Hs.396644	PAIP2	poly(A) binding protein interacting protein 2	5q31.3	1.9581
Hs.156326	NA	Similar to bA145L22.2 (novel KRAB box containing C2H2 type zinc finger protein) (LOC346171), mRNA	6p21.32	1.9560
Hs.6459	FLJ11856	putative G-protein coupled receptor GPCR41	8q24.3	1.9532
Hs.267289	POLA	polymerase (DNA directed), alpha	Xp22.1-p21.3	1.9480
Hs.16426	PODXL	podocalyxin-like	7q32-q33	1.9453
NA	NA	Homo sapiens, clone IMAGE:4563468, mRNA, partial cds	NA	1.9441
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.9418
Hs.4747	DKC1	dyskeratosis congenita 1, dyskerin	Xq28	1.9305
Hs.179565	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	6p12	1.9294
Hs.78771	PGK1	phosphoglycerate kinase 1	Xq13	1.9257
Hs.178292	POFUT1	protein O-fucosyltransferase 1	20q11	1.9208
Hs.355533	ADK	adenosine kinase	10q22	1.9165
Hs.180909	PRDX1	peroxiredoxin 1	1p34.1	1.9164
Hs.5198	DSCR2	Down syndrome critical region gene 2	21q22.3	1.9130
Hs.295014	KIAA0095	KIAA0095 gene product	16q13	1.9121
Hs.279903	RHEB	Ras homolog enriched in brain	7q36	1.9046
Hs.437084	NRF	NF-kappa B-repressing factor	Xq25	1.8976
Hs.436664	SEC5L1	SEC5-like 1 (S. cerevisiae)	6p25.3	1.8956
Hs.438550	KIAA0056	KIAA0056 protein	11q25	1.8845
Hs.436187	TRIP13	thyroid hormone receptor interactor 13	5p15.33	1.8547
Hs.14202	ARHT1	ras homolog gene family, member T1	17q12	1.8525
Hs.421107	C10orf35	chromosome 10 open reading frame 35	10q22.2	1.8491
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8473
Hs.439152	NIT2	Nit protein 2	3q12.3	1.8444
Hs.293885	GARS	glycyl-tRNA synthetase	7p15	1.8410
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8382
Hs.274351	ZDHHC9	zinc finger, DHHC domain containing 9	9	1.8346
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8327
Hs.194698	CCNB2	cyclin B2	15q21.3	1.8309
Hs.77204	CENPF	centromere protein F, 350/400ka (mitosin)	1q32-q41	1.8300
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8174
NA	NA	Homo sapiens, Similar to RuvB (E coli homolog)-like 1, clone MGC:11137 IMAGE:3836890, mRNA, complete	NA	1.8160
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8134
Hs.2795	LDHA	lactate dehydrogenase A	11p15.4	1.8040
Hs.356509	HSPC195	hypothetical protein HSPC195	5q31.3	1.8018
Hs.113503	KPNB3	karyopherin (importin) beta 3	13q32.2	1.7811
Hs.281434	NA	CDNA clone IMAGE:4800042, partial cds	17	1.7744
NA	FKBP1A	FK506 binding protein 1A (12kD)	NA	1.7734
Hs.419815	EGF	epidermal growth factor (beta-urogastrone)	4q25	1.7661
Hs.10842	RAN	RAN, member RAS oncogene family	6p21	1.7651
Hs.69360	KIF2C	kinesin family member 2C	1p34.1	1.7591
Hs.408754	MAPRE1	microtubule-associated protein, RP/EB family, member 1	20q11.1-11.23	1.7378
Hs.112694	CGI-18	CGI-18 protein	10pter-q25.3	1.7071
Hs.20830	KIFC1	kinesin family member C1	6p21.3	1.7069
Hs.25292	JUNB	jun B proto-oncogene	19p13.2	1.6925
Hs.433466	PRO1853	hypothetical protein PRO1853	2p22.3	1.6438
Hs.528514	CGI-27	C21orf19-like protein	2p23.2	1.6395
Hs.505059	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	1q21.3	1.5796
Hs.74405	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	2p25.2-p25.1	1.5497
Hs.144057	GMPS	guanine monphosphate synthetase	3q24	1.4997
Hs.12503	IL15RA	interleukin 15 receptor, alpha	10p15-p14	1.4237
Hs.279900	DCPS	mRNA decapping enzyme	11q24.2	0.6684
Hs.433618	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	3p21.3	0.5979
Hs.6434	C14orf132	chromosome 14 open reading frame 132	14q32.2	0.5788
Hs.22302	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	9q34.3	0.5765
Hs.150423	CDK9	cyclin-dependent kinase 9 (CDC2-related kinase)	9q34.1	0.5717
Hs.33461	FMNL2	formin-like 2	2q24.1	0.5662
Hs.61960	KCTD5	potassium channel tetramerisation domain containing 5	16p13.3	0.5615
Hs.244616	KIAA0763	KIAA0763 gene product	3p25.2	0.5493
Hs.9788	NDFIP1	Nedd4 family interacting protein 1	5q31.3	0.5455
Hs.78877	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B	1q42.13	0.5449
Hs.96149	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	18q23	0.5370
Hs.306735	NA	CDNA: FLJ21297 fis, clone COL02035	NA	0.5345
Hs.1867	PGC	progastricsin (pepsinogen C)	6p21.3-p21.1	0.5322
Hs.512733	FLJ23058	hypothetical protein FLJ23058	17q25.3	0.5258
Hs.259048	AQP10	aquaporin 10	1q22	0.5238
Hs.3903	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	17q24-q25	0.5234
Hs.4996	DKFZP564D166	putative ankyrin-repeat containing protein	17q24.1	0.5104
Hs.188661	ADAT1	adenosine deaminase, tRNA-specific 1	16q23.1	0.5097
Hs.126608	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	5q31	0.5047
Hs.348883	FOXC1	forkhead box C1	6p25	0.5046
Hs.47061	ULK1	unc-51-like kinase 1 (C. elegans)	12q24.3	0.4992
Hs.11114	C20orf110	chromosome 20 open reading frame 110	20q11.22	0.4991
Hs.27373	NA	Clone IMAGE:4816940, mRNA	15	0.4939
Hs.318529	FLJ37478	hypothetical protein FLJ37478	4p16.3	0.4892
Hs.272284	SLITRK4	SLIT and NTRK-like family, member 4	Xq27.3	0.4881
Hs.381928	DVL3	dishevelled, dsh homolog 3 (Drosophila)	3q27	0.4823
Hs.377484	BAG1	BCL2-associated athanogene	9p12	0.4787
Hs.22907	NA	Clone IMAGE:4791553, mRNA	NA	0.4775
Hs.75219	TYRP1	tyrosinase-related protein 1	9p23	0.4769
Hs.920	ARID5A	AT rich interactive domain 5A (MRF1-like)	2q11.2	0.4742
Hs.77955	MEF2D	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D)	1q12-q23	0.4737
Hs.221974	SNAP25	synaptosomal-associated protein, 25kDa	20p12-p11.2	0.4688
Hs.93764	CPA4	carboxypeptidase A4	7q32	0.4653
Hs.1288	ACTA1	actin, alpha 1, skeletal muscle	1q42.13-q42.2	0.4588
Hs.26608	C20orf100	chromosome 20 open reading frame 100	20q13.12	0.4544
Hs.31095	MAP4	microtubule-associated protein 4	3p21	0.4534
Hs.369063	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	13q32	0.4510
Hs.528368	CPN2	carboxypeptidase N, polypeptide 2, 83kD	8p23-p22	0.4500
Hs.19223	HCCA2	HCCA2 protein	11p15.5	0.4493
Hs.419149	JAM3	junctional adhesion molecule 3	11q25	0.4489
Hs.6829	KIAA1644	KIAA1644 protein	22	0.4391
Hs.169825	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	Xq22	0.4391
Hs.260523	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	1p13.2	0.4374
Hs.8035	MGC2827	hypothetical protein MGC2827	4q12	0.4366
Hs.236025	MGC15429	hypothetical protein MGC15429	3p21.31	0.4264
Hs.1309	CD1A	CD1A antigen, a polypeptide	1q22-q23	0.4254
Hs.104349	FGD1	faciogenital dysplasia (Aarskog-Scott syndrome)	Xp11.21	0.4249
Hs.48403	FLJ10847	hypothetical protein FLJ10847	17p11.2	0.4246
Hs.377028	C4.4A	GPI-anchored metastasis-associated protein homolog	19q13.32	0.4177
Hs.149156	GLDC	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	9p22	0.4173
Hs.430299	PXMP2	peroxisomal membrane protein 2, 22kDa	12q24.33	0.4157
Hs.429437	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	Xp11.23	0.4147
Hs.333428	NA	CDNA FLJ11575 fis, clone HEMBA1003531.	NA	0.4142
Hs.19192	CDK2	cyclin-dependent kinase 2	12q13	0.4132
Hs.279627	C9orf70	chromosome 9 open reading frame 70	9p24.2	0.4101
Hs.11849	MGC15827	hypothetical protein MGC15827	Xq28	0.4097
Hs.334370	BEX1	brain expressed, X-linked 1	Xq21-q23	0.4095
Hs.356231	MGC2615	hypothetical protein MGC2615	19p13.3	0.4090
Hs.406135	NA	Novel human gene mapping to chomosome 22	NA	0.4078
Hs.115467	LOC90624	hypothetical protein LOC90624	5q31.1	0.4073
Hs.496511	PRKCI	protein kinase C, iota	3q26.3	0.4064
Hs.371282	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	19p13.3	0.4041
Hs.274235	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	11q13	0.4009
Hs.61268	C2orf7	chromosome 2 open reading frame 7	2p13.2	0.4008
Hs.158304	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	10q22.2	0.3998
Hs.387787	KLRK1	killer cell lectin-like receptor subfamily K, member 1	12p13.2-p12.3	0.3978
Hs.177446	CA5A	carbonic anhydrase VA, mitochondrial	16q24.3	0.3925
Hs.15243	HOM-TES-103	HOM-TES-103 tumor antigen-like	12p13.3	0.3910
Hs.84162	HUMAGCGB	chromosome 3p21.1 gene sequence	3p21.31	0.3888
Hs.146180	LOC161291	hypothetical protein LOC161291	14q23.1	0.3853
Hs.422585	TWIST2	twist homolog 2 (Drosophila)	2q37.3	0.3853
Hs.171942	RREB1	ras responsive element binding protein 1	6p25	0.3780
Hs.411157	HEXA	hexosaminidase A (alpha polypeptide)	15q23-q24	0.3774
Hs.415033	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	15q26	0.3740
Hs.272336	KRTHB4	keratin, hair, basic, 4	12q13	0.3726
Hs.21355	DCAMKL1	doublecortin and CaM kinase-like 1	13q13	0.3660
Hs.73172	GFI1	growth factor independent 1	1p22	0.3629
Hs.21537	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	2p23	0.3539
Hs.438037	GREB1	GREB1 protein	2p25.1	0.3525
Hs.418062	B3GALT3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	3q25	0.3490
Hs.8364	PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	7q21.3-q22.1	0.3482
Hs.428446	CA11	carbonic anhydrase XI	19q13.3	0.3388
Hs.6189	KIAA1467	KIAA1467 protein	12p13.2	0.3379
Hs.423901	GCG	glucagon	2q36-q37	0.3333
Hs.28309	UGDH	UDP-glucose dehydrogenase	4p15.1	0.3316
Hs.27441	ZNF529	zinc finger protein 529	19q13.13	0.3301
Hs.76798	FBXL7	F-box and leucine-rich repeat protein 7	5p15.1	0.3279
Hs.66196	NTHL1	nth endonuclease III-like 1 (E. coli)	16p13.3	0.3198
Hs.505758	KIAA0415	KIAA0415 gene product	7p22.2	0.3162
Hs.127610	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	12q22-qter	0.3134
Hs.349109	IGF2	insulin-like growth factor 2 (somatomedin A)	11p15.5	0.3126
Hs.405497	LOC90529	hypothetical protein LOC90529	1p36.11	0.3125
Hs.170079	NA	Transcribed sequences	NA	0.3116
Hs.153479	ESPL1	extra spindle poles like 1 (S. cerevisiae)	8	0.3105
Hs.368605	RAI14	retinoic acid induced 14	5p13.3-p13.2	0.3093
Hs.440760	STAR	steroidogenic acute regulatory protein	8p11.2	0.3054
Hs.26102	TRPS1	trichorhinophalangeal syndrome I	8q24.12	0.3020
Hs.154437	PDE2A	phosphodiesterase 2A, cGMP-stimulated	11q13.3	0.3015
Hs.289242	EFHD1	EF hand domain containing 1	2q37.1	0.2971
Hs.407506	INHA	inhibin, alpha	2q33-q36	0.2970
Hs.286073	NA	Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	17	0.2922
Hs.3797	RAB26	RAB26, member RAS oncogene family	16p13.3	0.2860
Hs.149473	PRSS7	protease, serine, 7 (enterokinase)	21q21	0.2834
Hs.371282	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	19p13.3	0.2831
Hs.6298	NAV1	neuron navigator 1	1	0.2805
Hs.109439	OGN	osteoglycin (osteoinductive factor, mimecan)	9q22	0.2798
Hs.166017	MITF	microphthalmia-associated transcription factor	3p14.2-p14.1	0.2596
Hs.376984	SOX10	SRY (sex determining region Y)-box 10	22q13.1	0.2576
Hs.403931	HP	haptoglobin	16q22.1	0.2524
Hs.389415	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	3p21.3	0.2505
Hs.78867	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	7q31.3	0.2493
Hs.355929	EDRF1	erythroid differentiation-related factor 1	10q26.2	0.2488
Hs.317659	DPPA4	developmental pluripotency associated 4	3q13.13	0.2480
Hs.22559	NUP160	nucleoporin 160kDa	11p11.12	0.2412
Hs.417332	HIST2H2AA	histone 2, H2aa	1q21.3	0.2387
Hs.1657	ESR1	estrogen receptor 1	6q25.1	0.2385
Hs.162105	NA	Transcribed sequence with moderate similarity to protein sp:P23959 (H.sapiens)	NA	0.2384
Hs.406184	DKFZp564O1863	DKFZp564O1863 protein	12p12.1	0.2380
Hs.50929	FLJ13842	hypothetical protein FLJ13842	8p11.21	0.2270
Hs.432750	HPN	hepsin (transmembrane protease, serine 1)	19q11-q13.2	0.2252
Hs.122986	TPTE	transmembrane phosphatase with tensin homology	21p11	0.2251
Hs.44424	SLC6A15	solute carrier family 6 (neurotransmitter transporter), member 15	12q21.3	0.2102
Hs.82101	PHLDA1	pleckstrin homology-like domain, family A, member 1	12q15	0.2059
Hs.54056	C5orf6	chromosome 5 open reading frame 6	5q31	0.2056
Hs.351851	NANOS1	nanos homolog 1 (Drosophila)	10q26.13	0.2054
Hs.424907	MGC35366	hypothetical protein MGC35366	12q23.1	0.1964
Hs.55999	NKX3-1	NK3 transcription factor related, locus 1 (Drosophila)	8p21	0.1914
