Gene name	Accession number	Fold overexpression in 4Nversus 2N cellsa	Function
KIAA0097 (XMAP 215 homologue)	D43948	1.8	G2-M transition (n = 9)
EZH2 (Enhancer of zeste homologue 2)	U61145	2	G2-M transition (n = 9)
	X14850	2.4	G2-M transition (n = 9)
CHC1 (chromosome condensation 1)	D00591	1.5	G2-M transition (n = 9)
	X05855	1.8	G2-M transition (n = 9)
TUBA1	X06956	1.7	G2-M transition (n = 9)
TUBG1	M61764	1.8	G2-M transition (n = 9)
RBBP7	X72841	1.5	G2-M transition (n = 9)
HNRPA1	U00947	1.7	G2-M transition (n = 9)
	M37583	1.8	G2-M transition (n = 9)
HNRPA2B1	M29064	1.5	G2-M transition (n = 9)
CHAF1A (chromatin assembly factor 1 subunit A)	U20979	1.7	G2-M transition (n = 9)
TROAP	U04810	7.7	Cell adhesion (n = 4)
RHAMM	U29343	3.7	Cell adhesion (n = 4)
MCAM (JuSo MUC18 glycoprotein)	M28882	1.7	Cell adhesion (n = 4)
ITGB3BP	U37139	1.8	Cell adhesion (n = 4)
YWAH (14-3-3 protein ? chain)	D78577	1.6	Other (n = 14)
BIRC3	U37547	1.7	Other (n = 14)
BARD1 (BRCA1-associated RING domain protein)	U76638	2	Other (n = 14)
DDXL (nuclear RNA helicase)	U90426	2	Other (n = 14)
KPNA2 (nuclear localization sequence receptor)	U28386	5.4	Other (n = 14)
NUP153 (nuclear pore complex protein hnup153)	Z25535	1.7	Other (n = 14)
a-MYB	X66087	2.1	Other (n = 14)
b-MYB	X13293	2	Other (n = 14)
PSIP2	U94319	1.5	Other (n = 14)
HUMGT198A	L38933	1.9	Other (n = 14)
GABPB1	HG1686–HT4572	2.2	Other (n = 14)
ARL6IP	D31885	2.4	Other (n = 14)
RPL39L	HG2874–HT3018	1.7	Other (n = 14)
NR4A1	L13740	1.5	Other (n = 14)
MAC30	L19183	1.5	Unknown function (n = 6)
HPV 16 E1 protein-binding protein	U96131	2.1	Unknown function (n = 6)
Ifp35	L78833	1.9	Unknown function (n = 6)
KIAA0008	D13633	4.3	Unknown function (n = 6)
KIAA0175	D79997	2.5	Unknown function (n = 6)
KIAA0186	D80008	1.8	Unknown function (n = 6)
