Genbank ID	Gene Title	Gene Symbol	5 h  FC ± SEM	8 d  FC ± SEM	1.5 mos   FC ± SEM	6 mos   FC ± SEM	Gene sequence
BB277834	CDC28 protein kinase 1b	Cks1b	-1.7 ± 0.4	N.C.	N.C.	N.C.	97
BB297543	RIKEN cDNA 5730405I09 gene	5730405I09Rik	N.C.	N.C.	N.C.	-1.9 ± 0.4	98
BB442341	androgen-induced proliferation inhibitor	Aprin	-2.1 ± 0.4	N.C.	N.C.	N.C.	99
BB467195	WD repeat domain 9	Wdr9	-1.6 ± 0.4	N.C.	N.C.	N.C.	100
BB467915	Protein phosphatase 3, catalytic subunit, alpha isoform	Ppp3ca	-1.5 ± 0.4	N.C.	N.C.	N.C.	101
BB522265	interferon (alpha and beta) receptor 2	Ifnar2	-2.8 ± 0.4	N.C.	N.C.	N.C.	102
BB794831	phospholipase C, beta 1	Plcb1	-1.6 ± 0.4	-1.7 ± 0.4	-1.7 ± 0.4	-2.2 ± 0.4	103
BB814564	transformation related protein 53 binding protein 2	Trp53bp2	-1.5 ± 0.4	N.C.	N.C.	N.C.	104
BE949427	cell division cycle 37 homolog (S. cerevisiae)-like 1	Cdc37l1	-2.0 ± 0.4	N.C.	N.C.	N.C.	105
BM118747	bromodomain adjacent to zinc finger domain, 1B	Baz1b	-1.8 ± 0.4	N.C.	N.C.	N.C.	106
BM238926	cyclin-dependent kinase 6	Cdk6	-1.5 ± 0.3	N.C.	N.C.	-1.5 ± 0.4	107
BM239405	protein kinase C binding protein 1	Prkcbp1	-1.9 ± 0.4	N.C.	N.C.	N.C.	108
BM240873	B and T lymphocyte associated	Btla	N.C.	N.C.	-2.7 ± 0.4	N.C.	109
BQ176645	septin 3	3-Sep	N.C.	N.C.	N.C.	-2.1 ± 0.4	110
NM_007631	cyclin D1	Ccnd1	-1.8 ± 0.4	N.C.	-1.6 ± 0.4	N.C.	111
NM_011407	schlafen 1	Slfn1	-2.1 ± 0.4	N.C.	-2.4 ± 0.4	N.C.	112
NM_033374	dedicator of cyto-kinesis 2	Dock2	N.C.	N.C.	-1.6 ± 0.4	N.C.	113
AA208652	ribosomal protein S27	Rps27	N.C.	-1.6 ± 0.4	N.C.	N.C.	114
NM_009627	adrenomedullin	Adm	N.C.	-2.5 ± 0.5	N.C.	N.C.	115
NM_029550	kidney expressed gene 1	Keg1	N.C.	-2.2 ± 0.4	N.C.	N.C.	116
BC027434	hemoglobin, beta adult major chain /// hemoglobin, beta adult minor chain	Hbb-b1 /// Hbb-b2	N.C.	-2.1 ± 0.4	N.C.	N.C.	117
NM_010237	fyn-related kinase	Frk	N.C.	-2.2 ± 0.4	N.C.	N.C.	118
NM_009791	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	Aspm	N.C.	-1.9 ± 0.4	N.C.	N.C.	119
AV275615	synaptonemal complex protein 1	Sycp1	N.C.	-2.3 ± 0.4	N.C.	N.C.	120
BC020014	EH-domain containing 2	Ehd2	N.C.	-2.2 ± 0.4	N.C.	N.C.	121
AK005146	CLIP associating protein 2	Clasp2	N.C.	-2.8 ± 0.5	N.C.	N.C.	122
AK019911	WW domain-containing oxidoreductase	Wwox	N.C.	-1.6 ± 0.4	N.C.	N.C.	123
NM_010239	ferritin heavy chain 1	Fth1	N.C.	-1.6 ± 0.4	N.C.	N.C.	124
NM_020572	aurora kinase C	Aurkc	N.C.	-1.9 ± 0.4	N.C.	N.C.	125
NM_010544	Indian hedgehog	Ihh	N.C.	-1.6 ± 0.4	N.C.	N.C.	126
AB018574	cell division cycle 7 (S. cerevisiae)	Cdc7	-1.7 ± 0.4	N.C.	N.C.	N.C.	127
AK004668	tumor necrosis factor receptor superfamily, member 13b	Tnfrsf13b	N.C.	N.C.	-2.3 ± 0.4	N.C.	128
AW536452	cullin 4B	Cul4b	-2.1 ± 0.4	N.C.	N.C.	N.C.	129
BB756379	septin 8	8-Sep	-1.7 ± 0.4	N.C.	N.C.	N.C.	130
BC004727	loss of heterozygosity, 11, chromosomal region 2, gene A homolog (human)	Loh11cr2a	-1.8 ± 0.3	N.C.	N.C.	N.C.	131
BC007176	SET domain, bifurcated 1	Setdb1	-1.5 ± 0.4	N.C.	N.C.	N.C.	132
BC021484	sarcospan	Sspn	-1.7 ± 0.4	N.C.	N.C.	N.C.	133
BI872151	cyclin T2	Ccnt2	-1.6 ± 0.4	-2.0 ± 0.4	N.C.	N.C.	134
D11374	signal-induced proliferation associated gene 1	Sipa1	-1.7 ± 0.4	N.C.	N.C.	N.C.	135
NM_007462	adenomatosis polyposis coli	Apc	-2.6 ± 0.4	N.C.	N.C.	N.C.	136
NM_007642	CD28 antigen	Cd28	N.C.	-3.1 ± 0.5	-1.6 ± 0.4	N.C.	137
NM_008989	purine rich element binding protein A /// RIKEN cDNA 6330411E07 gene	Pura /// 6330411E07Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	140
NM_009352	telomeric repeat binding factor 1	Terf1	-1.7 ± 0.3	N.C.	N.C.	N.C.	141
NM_009829	cyclin D2	Ccnd2	N.C.	N.C.	-1.5 ± 0.4	N.C.	142
NM_011210	protein tyrosine phosphatase, receptor type, C	Ptprc	-1.5 ± 0.4	N.C.	-1.8 ± 0.4	N.C.	143
NM_011237	RAD9 homolog (S. pombe)	Rad9	-1.5 ± 0.4	N.C.	N.C.	N.C.	144
NM_013642	dual specificity phosphatase 1	Dusp1	N.C.	-1.7 ± 0.4	N.C.	-1.6 ± 0.4	146
NM_018879	tumor suppressor candidate 4	Tusc4	-1.6 ± 0.4	N.C.	N.C.	N.C.	147
NM_021399	B-cell leukemia/lymphoma 11B	Bcl11b	N.C.	N.C.	-7.1 ± 1.0	N.C.	148
NM_023117	cell division cycle 25 homolog B (S. cerevisiae)	Cdc25b	-1.6 ± 0.4	N.C.	N.C.	N.C.	149
NM_023243	cyclin H	Ccnh	-1.8 ± 0.4	N.C.	N.C.	N.C.	150
NM_028075	tumor necrosis factor receptor superfamily, member 13c	Tnfrsf13c	N.C.	N.C.	-2.1 ± 0.4	N.C.	151
NM_133244	pleckstrin homology domain containing, family K member 1	Plekhk1	-1.8 ± 0.4	N.C.	N.C.	N.C.	152
NM_134138	tumor necrosis factor superfamily, member 5-induced protein 1	Tnfsf5ip1	-1.7 ± 0.4	N.C.	N.C.	N.C.	153
U32332	mature T-cell proliferation 1 /// similar to p13MTCP1	Mtcp1 /// LOC436530	-2.1 ± 0.4	N.C.	N.C.	N.C.	154
U95826	cyclin G2	Ccng2	-1.5 ± 0.4	N.C.	N.C.	N.C.	155
X82786	antigen identified by monoclonal antibody Ki 67	Mki67	N.C.	N.C.	N.C.	-1.7 ± 0.4	156
NM_011295	ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to 40S ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12 /// similar to ribosomal protein S12	Rps12 /// LOC432865 /// LOC627835 /// LOC668354 /// LOC670751 /// LOC670832 /// LOC671641 /// LOC672008 /// LOC672415 /// LOC676277	N.C.	-1.7 ± 0.4	N.C.	N.C.	1
NM_025876	CDK5 regulatory subunit associated protein 1	Cdk5rap1	-1.6 ± 0.4	N.C.	N.C.	N.C.	43
BB468082	p21 (CDKN1A)-activated kinase 3	Pak3	N.C.	-2.9 ± 0.4	N.C.	N.C.	119
BB531653	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	Smarcad1	N.C.	-1.8 ± 0.4	N.C.	N.C.	149
BB135507	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Smarca5	N.C.	-2.4 ± 0.4	N.C.	N.C.	145
BB367621	CDC42 effector protein (Rho GTPase binding) 2	Cdc42ep2	-2.1 ± 0.4	N.C.	N.C.	N.C.	659
BB510904	cell division cycle 2-like 6 (CDK8-like)	Cdc2l6	-1.7 ± 0.4	N.C.	N.C.	N.C.	718
BF715043	dedicator of cytokinesis 10	Dock10	-1.6 ± 0.4	N.C.	N.C.	N.C.	840
BF731393	B-cell CLL/lymphoma 11A (zinc finger protein)	Bcl11a	-2.8 ± 0.4	N.C.	-3.0 ± 0.5	N.C.	843
BQ176938	protocadherin 17	Pcdh17	N.C.	-4.2 ± 0.4	-1.7 ± 0.4	N.C.	1000
BC006868	Dedicator of cytokinesis 7	Dock7	-1.9 ± 0.4	N.C.	N.C.	N.C.	1498
AK017170	dedicator of cytokinesis 11	Dock11	N.C.	N.C.	-1.5 ± 0.3	N.C.	1335
BB770873	Cd200 receptor 4	Cd200r4	-1.7 ± 0.4	N.C.	N.C.	N.C.	768
BM240074	kinesin family member 18A	Kif18a	N.C.	-9.6 ± 0.7	N.C.	N.C.	265
BB390006	Kinesin family member 16B	Kif16b	N.C.	-2.1 ± 0.4	N.C.	N.C.	199
BM250725	proliferin /// proliferin 2 /// mitogen regulated protein, proliferin 3 /// mitogen regulated protein, proliferin 4 /// similar to mitogen regulated protein, proliferin 4 /// similar to mitogen regulated protein, proliferin 4 /// similar to mitogen regulated protein, proliferin 4	Plf /// Plf2 /// Mrpplf3 /// Mrpplf4 /// LOC666317 /// LOC672240 /// LOC676034	N.C.	-3.4 ± 0.5	N.C.	N.C.	122
