Accession no. c	Symbol	Title	Function b	Median d
BE621666	LAPTM4B	Lysosomal-associated protein transmembrane 4 beta	Membrane integrity	2.300573197
M77349	TGFBI	Transforming growth factor, beta-induced, 68 kDa	Cell proliferation, cell adhesion	2.215203495
AF001601	PON2	Paraoxonase 2	Organophosphate catabolism	2.129971645
M12670	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	ECM remodeling	2.092756794
NM_007274	BACH	Brain acyl-CoA hydrolase	lipid metabolism	2.073257092
M13755	G1P2	Interferon, alpha-inducible protein (clone IFI-15 K)	Immune response	1.919872602
AF026166	CCT2	Chaperonin containing TCP1, subunit 2 (beta)	Cell-cycle regulation	1.917393514
BF727014	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	Signal transduction, calcium binding protein	1.880840314
AA625198		ESTs, Weakly similar to S10889 proline-rich protein – human [H.sapiens]	Unknown	1.880031974
NM_000310	PPT1	Palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	Lipid-modified protein catabolism	1.878755527
X05610	COL4A2	Collagen, type IV, alpha 2	ECM	1.878270024
D42073	RCN1	Reticulocalbin 1, EF-hand calcium binding domain	Calcium binding protein	1.841472524
NM_005787	NOT56L	Not56 (D. melanogaster)-like protein	Membrane integrity	1.834076317
AB042646	TGIF2	TGFB-induced factor 2 (TALE family homeobox)	TGFbeta-induced transcription factor	1.819070249
NM_000700	ANXA1	Annexin A1	Cell motility, signal transduction	1.814148773
NM_003979	RAI3	Retinoic acid-induced 3	Signal transduction	1.813389648
NM_001436	FBL	Fibrillarin	RNA processing	1.775163278
U44839	USP11	Ubiquitin-specific protease 11	Unknown	1.769244784
AA706499		Homo sapiens cDNA FLJ32269 fis, clone PROST1000526.	Unknown	1.7622519
M33680	CD81	CD81 antigen (target of antiproliferative antibody 1)	Cell motility, signal Transduction	1.736299903
AA536113	TMEPAI	Transmembrane, prostate androgen-induced RNA	TGFbeta signaling pathway	1.695098803
J03004	GNAI2	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	Oncogenesis, signal transduction	1.686220648
D21853	KIAA0111	KIAA0111 gene product	Unknown	1.680174948
X03212	KRT7	Keratin 7	Cytoskeleton	1.671195308
AI127415	PRKDC	Protein kinase, DNA-activated, catalytic polypeptide	Protein modification	1.598914278
NM_000581	GPX1	Glutathione peroxidase 1	Glutathione metabolism	1.59105557
NM_002085	GPX4	Glutathione peroxidase 4 (phospholipid hydroperoxidase)	Glutathione metabolism	1.589020836
X94991	ZYX	Zyxin	Cell adhesion	1.579104324
AK024245	FLJ20736	Hypothetical protein FLJ20736	Unknown	1.570844127
J04208	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	Purine biosynthesis	1.567535435
AF077350	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	Apoptosis inhibitor	1.544943286
NM_021874	CDC25B	Cell division cycle 25B	Cell cycle regulation, oncogenesis	1.539860782
AK022241	FLJ10774	Hypothetical protein FLJ10774	Unknown	1.516671984
NM_001255	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Cell cycle regulation	1.511488165
AA143060	FLJ22283	Hypothetical protein FLJ22283	Unknown	1.508073355
L20688	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Cytoskeleton	1.491020602
N30179	PLAB	Prostate differentiation factor	TGFbeta receptor signaling pathway	1.482028239
NM_001679	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	Electron transportation	1.467881262
AW957113		Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 1499812	Unknown	1.460990905
AK027260	KIAA1268	KIAA1268 protein	Unknown	1.45155437
M61831	AHCY	S-adenosylhomocysteine hydrolase	Carbon compound metabolism	1.448553035
AA143048	DKFZP564O0463	DKFZP564O0463 protein	Unknown	1.443429831
AI273886	HSPCB	Heat-shock 90 kDa protein 1, beta	Heat shock protein	1.436606731
D16294	ACAA2	Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	Lipid metabolism	1.430780056
BE793569	NME1	Nonmetastatic cells 1, protein (NM23A) expressed in	Nucleic acid metabolism	1.398911778
M85217	KCNA3	Potassium voltage-gated channel, shaker-related subfamily, member 3	Potassium ion transportation	1.394269542
Y10805	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	Methylation	1.380666396
L16510	CTSB	Cathepsin B	Lysosome, proteolysis	1.378887483
D00172	ANXA5	Annexin A5	Signal transduction	1.334294834
