Refseq	Gene.ID	Gene Symbol	Gene.Name	Fold Change	q-value (%)	Negative Fold Change	Primary effect	Net effect
NM_005146	9092	SART1	squamous cell carcinoma antigen recognised by T cells	1.89312336	8.1979458	NA	+	+
NM_013376	29950	SERTAD1	SERTA domain containing 1	2.23574905	2.9727196	NA	+	+
NM_032637	6502	SKP2	S-phase kinase-associated protein 2 (p45)	2.47416887	1.9393426	NA	+	+
NM_182965	8877	SPHK1	sphingosine kinase 1	3.45332988	0.637618	NA	+	+
NM_003236	7039	TGFA	transforming growth factor, alpha	1.62011835	5.0573729	NA	+	+
NM_001252	970	TNFSF7	tumor necrosis factor (ligand) superfamily, member 7	3.35525253	0.637618	NA	+	+
NM_005426	7159	TP53BP2	tumor protein p53 binding protein, 2	0.39604076	1.7079054	-2.52499263	-	+
NM_017853	54957	TXNL4B	thioredoxin-like 4B	2.10264599	4.9341886	NA	+	+
NM_003904	8882	ZNF259	zinc finger protein 259	3.44099684	0.637618	NA	+	+
NM_013367	29945	ANAPC4	anaphase promoting complex subunit 4	0.38889158	3.753678	-2.571410777	+	-
NM_004656	8314	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	1.58129909	8.0395314	NA	-	-
NM_078467	1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.7066705	7.6537443	NA	-	-
NM_058197	1029	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	2.23613957	1.219488	NA	-	-
NM_004083	1649	DDIT3	DNA-damage-inducible transcript 3	1.74557956	6.5999626	NA	-	-
NM_201282	1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.39907153	3.6724243	-2.505816438	+	-
NM_001432	2069	EREG	epiregulin	0.16244104	1.7079054	-6.156079769	+	-
NM_212492	2873	GPS1	G protein pathway suppressor 1	2.32282145	3.9508566	NA	-	-
NM_004489	2874	GPS2	G protein pathway suppressor 2	1.99544049	8.0395314	NA	-	-
NM_001552	3487	IGFBP4	insulin-like growth factor binding protein 4	2.71099323	0.637618	NA	-	-
NM_172200	3601	IL15RA	interleukin 15 receptor, alpha	0.40364348	6.3497914	-2.477433799	+	-
NM_016162	51147	ING4	inhibitor of growth family, member 4	1.86217653	8.8660141	NA	-	-
NM_003749	8660	IRS2	insulin receptor substrate 2	0.53776741	6.5999626	-1.859539982	+	-
NM_006533	8190	MIA	melanoma inhibitory activity	2.09430562	2.6012277	NA	-	-
NM_003581	8440	NCK2	NCK adaptor protein 2	1.85840738	6.3497914	NA	-	-
NM_003873	8829	NRP1	neuropilin 1	0.18981477	3.2351467	-5.268293927	+	-
NM_006600	10726	NUDC	nuclear distribution gene C homolog (A. nidulans)	1.82111594	3.9508566	NA	-	-
NM_033010	57060	PCBP4	poly(rC) binding protein 4	1.93011622	7.2505573	NA	-	-
NM_002768	5119	PCOLN3	procollagen (type III) N-endopeptidase	1.98630485	5.0573729	NA	-	-
NM_002634	5245	PHB	prohibitin	2.40169469	3.3991674	NA	-	-
NM_002884	5906	RAP1A	RAP1A, member of RAS oncogene family	1.84626959	7.2505573	NA	-	-
NM_005620	6282	S100A11	S100 calcium binding protein A11 (calgizzarin)	1.66708592	8.7274414	NA	-	-
NM_194292	163786	SASS6	spindle assembly 6 homolog (C. elegans)	0.30933455	1.7079054	-3.232745906	+	-
NM_003073	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	1.93340941	6.8159167	NA	-	-
NM_016399	51499	TRIAP1	TP53 regulated inhibitor of apoptosis 1	1.92506308	8.1979458	NA	-	-
NM_007275	11334	TUSC2	tumor suppressor candidate 2	2.12649208	8.0395314	NA	-	-
