Gene symbol	Accession no.	Change	Name, aliases	Functional Group
TRAT1	AJ240085	?2.46	TCR-associated TM adaptor 1	Receptors
CCR8	NM_005201	?2.3	NA	Receptors
CCR4	NM_005508	?2.14	NA	Receptors
PDCD1	NM_005018	?2.0	PD-1	Receptors
CXCR3	Z79783	?1.62	NA	Receptors
KLRB1	NM_002258	?1.23	CD161	Receptors
B3GAT1	NM_018644	?1.15	CD57	Receptors
TNFSF15	NM_005118	6.06	VEGI, TL1A	Cytokines and effector molecules
STX10	NM_003765	4.29	Syntaxin 10	Cytokines and effector molecules
XCL2	NM_003175	4	SCYC2	Cytokines and effector molecules
PRF1	NM_005041	3.25	Perforin1	Cytokines and effector molecules
CCL3	NM_002983	2.64	MIP-1-a	Cytokines and effector molecules
LITAF	NM_004862	2.46	LPS-induced TNF factor	Cytokines and effector molecules
CCL4	NM_002984	2.3	MIP-1-b	Cytokines and effector molecules
IL15	Y09908	2.14	NA	Cytokines and effector molecules
FAF1	NM_007051	2.14	Fas-associated factor 1	Cytokines and effector molecules
GZMB	J03189	1.52	Granzyme B	Cytokines and effector molecules
GZMA	NM_006144	1.23	Granzyme A	Cytokines and effector molecules
TNF	NM_000594	?4.29	NA	Cytokines and effector molecules
LTB	NM_002341	?4.00	Lymphotoxin beta	Cytokines and effector molecules
GZMK	NM_002104	?3.48	Granzyme K	Cytokines and effector molecules
TXLNA	N29877	?3.03	IL-14	Cytokines and effector molecules
IL23A	NM_016584	?2.83	NA	Cytokines and effector molecules
IL1A	NM_000575	?2.64	NA	Cytokines and effector molecules
ITGAX	M81695.1	14.93	Integrin alpha X, CD11c	Migration and adhesion
CHL1	NM_006614.1	14.93	L1CAM2	Migration and adhesion
GJB1	NM_000166.1	6.06	Connexin 32	Migration and adhesion
ITGB2	L78790.1	4.59	Integrin beta 2, CD18	Migration and adhesion
SELPLG	U02297	3.48	Selectin P ligand, CD162, CLA	Migration and adhesion
ICAM1	AA284705	2.64	CD54	Migration and adhesion
PFN1	NM_005022	2.46	Profilin1	Migration and adhesion
CD99	U82164	2.46	MIC2	Migration and adhesion
ITGB7	NM_000889	2.3	Integrin beta 7	Migration and adhesion
MSN	NM_002444	2.3	Moesin	Migration and adhesion
FLNA	NM_001456	2.3	Filamin A	Migration and adhesion
PECAM1	M377780	2.14	CD31	Migration and adhesion
ITGAL	BC008777	1.74	CD11a	Migration and adhesion
ITGB1	NM_033669	1.52	CD29, integrin beta 1	Migration and adhesion
NCAM	W94001	1.32	CD56	Migration and adhesion
FN1	AJ276395	?73.5	Fibronectin 1	Migration and adhesion
SELE	NM_000450	?6.96	Selectin E, CD62E, ELAM	Migration and adhesion
ITGB3	NM_000212	?3.48	Integrin beta 3, CD61	Migration and adhesion
ALCAM	AA156721	?3.03	Act. leukocyte adhesion molecule	Migration and adhesion
ITGBL1	NM_0054791	?3.03	Integrin beta like 1	Migration and adhesion
PCDH18	AW189885	?2.83	Protocadherin	Migration and adhesion
CFL2	AV726166	?2.46	Cofilin 2	Migration and adhesion
CDH18	NM_004934	?2.30	Cadherin18	Migration and adhesion
SELL	NM_000655	?1.1	CD62L	Migration and adhesion
HLA-DRA	M60334.1	11.31	NA	MHC
HLA-DQB1	M16276.1	6.96	NA	MHC
HLA-DQA1	X00452	4.9	NA	MHC
HLA-DRB1	AJ297586.1	3.73	NA	MHC
HLA-DPA1	M27487	3.48	NA	MHC
HLA-G	M90684	2.64	NA	MHC
HLA-B	D83043	2.64	NA	MHC
HLA-DPB1	NM_002121	2.3	NA	MHC
HLA-C	U62824	2.3	NA	MHC
