Gene Name	Gene Symbol	CpG methylation Location	KG1	U937	THP1	Position	mRNA expression KG1	U937	THP1	N	Probe Set ID
transmembrane protein 39A	TMEM39A	3q13.33	1.61	1.48	1.64	prom	NC/P	NC/P	0.6	P	222690_s_at
zinc finger protein 483	ZNF483	9q31.3	1.98	1.71	2.43	down	NC/A	NC/P	NC/P	A	1570534_a_at
zinc finger protein 565	ZNF565	19q13.12	2.08	1.74	1.8	down	NC/P	NC/P	0.9	P	228305_at
hypothetical gene	AF086288	9p24	1.75	1.34	-0.52	proximal	NC/A	NC/A	NC/A	A	237421_at
hypothetical gene	AY358245	15q24	1.02	1.33	0.01	proximal	ND	ND	ND	ND	NA
hypothetical gene	BC026095	11q12.1	1.4	1.26	-0.11	down	NC/A	NC/A	NC/A	A	1570068_at
bone morphogenetic protein 4	BMP4	14q22-q23	2.07	1.1	0.82	down	NC/A	NC/A	NC/A	A	211518_s_at
chromosome 16 open reading frame 45	C16orf45	16p13.11	1	1.17	-0.23	proximal	NC/A	NC/A	NC/A	A	239971_at
chromosome 1 open reading frame 126	C1orf126	1p36.21	1.84	1.44	-0.4	proximal	ND	ND	ND	ND	NA
chromosome 20 open reading frame 39	C20orf39	20p11.21	1.08	1.7	0.08	down		NC/A	NC/A	A	231619_at
calponin 1, basic, smooth muscle	CNN1	19p13.2-p13.1	1.31	1.27	-0.37	proximal	NC/A	NC/A	NC/A	A	203951_at
hypothetical gene	CR611340	6p22.1	2.15	1.7	0.38	proximal	ND	ND	ND	ND	NA
chemokine (C-X-C motif) ligand 5	CXCL5	4q12-q13	1.22	1.35	0.84	proximal	NC/A	NC/A	NC/A	A	207852_at
cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	2p21	1.25	2.83	0.9	down	1.7	-6.6	-2.1	P	202435_s_at
fatty acid desaturase 3	FADS3	11q12-q13.1	1.01	1.15	-0.13	up	NC/A	NC/A	NC/A	A	204257_at
hypothetical protein	FLJ42262	8q12.3	2.67	2.22	0.96	up	NC/A	NC/A	-3.4	A	242193_at
homeo box D10	HOXD10	2q31.1	1.91	1.7	0.72	up	-1.5	-1.2	NC/A	A	229490_at
hypothetical protein	KIAA1465	15q24.1	1.34	1.49	0.3	up/down	NC/A	NC/A	NC/A	A	232208_at
Kruppel-like factor 5	KLF5	13q22.1	1.82	2.09	0.29	down	-3.7	NC/A	NC/A	A	209212_s_at
ladybird homeobox homolog 1 (Drosophila)	LBX1	10q24	1.03	1.64	0.97	up	NC/A	NC/A	NC/A	A	208380_at
LIM homeobox 9	LHX9	1q31-q32	2.65	1.6	0.59	up/down	NC/A	NC/A	NC/A	A	1565407_at
hypothetical protein	LOC282992	10q24.32	1.52	2.34	0.6	down	NC/A	NC/A	NC/A	A	244209_at
myeloid leukemia factor 1	MLF1	3q25.1	1.68	1.79	0.23	proximal	-2.9	-1.3	2	A	204784_s_at
5-nucleotidase, cytosolic IA	NT5C1A	1p34.3-p33	1.53	1.57	0.8	up	NC/A	NC/A	NC/A	A	224529_s_at
phosphodiesterase 4B, cAMP-specific	PDE4B	1p31	1.64	1.01	-0.28	proximal	-4.7	-3.6	-4.8	P	211302_s_at
properdin P factor, complement	PFC	Xp11.3-p11.23	1.31	1.79	0.44	down	-5.9	-7.8	-8.2	P	206380_s_at
retina and anterior neural fold homeobox	RAX	18q21.32	1.54	1.27	-0.26	down	NC/A	NC/A	NC/A	A	208242_at
RGM domain family, member A	RGMA	15q26.1	1.33	1.92	0.46	up	-0.9	-0.8	NC/A	A	223468_s_at
Rap2-binding protein 9	RPIB9	7q21.12	1.31	1.68	0.2	up	6.7	NC/A	NC/A	A	215321_at
SHC (Src homology 2 domain containing) family, member 4	SHC4	15q21.1-q21.2	1.45	1.48	-0.11	up	NC/A		NC/A	A	230538_at
SET binding protein 1	SETBP1	18q21.1	1.47	1.75	-0.07	down	-0.9	-0.7	-2.8	P	205933_at
SRY (sex determining region Y)-box 9	SOX9	17q24.3-q25.1	1.49	1	0.71	up	NC/A	NC/A	NC/A	A	202935_s_at
transcription factor 2, hepatic	TCF2	17cen-q21.3	1.99	2.92	-0.35	up	NC/A	NC/A	NC/A	A	205313_at
ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2	ELAVL2	9p21	1.15	0.61	1.55	up/down	NC/A	NC/A	NC/A	A	1560905_at
forkhead box A1	FOXA1	14q12-q13	1.03	0.92	1.47	up	NC/A	NC/A	NC/A	A	204667_at
potassium channel, subfamily T, member 2	KCNT2	1q31.3	2.52	0.63	1.45	up	NC/A	NC/A	NC/A	A	244455_at
multiple PDZ domain protein	MPDZ	9p24-p22	2.14	0.93	1.79	down	NC/A	NC/A	NC/A	A	213306_at
paired box gene 9	PAX9	14q12-q13	1.41	0.59	1.48	up	NC/M	NC/A	NC/A	A	207059_at
serum deprivation response	SDPR	2q32-q33	1.19	0.52	1.61	down	1.9	-5.4	-1.9	P	222717_at
complement component (3d/Epstein Barr virus) receptor 2	CR2	1q32	1.45	0.55	-0.17	down	NC/A	NC/A	NC/A	A	244097_at
hypothetical protein	FLJ40542	22q11.21	1.36	0.43	0.6	down	-1.5	-1	-2.8	P	1556072_at
glial cell derived neurotrophic factor	GDNF	5p13.1-p12	1.35	0.37	0.04	up/down	NC/A	NC/A	NC/A	A	221359_at
Kruppel-like factor 11	KLF11	2p25	1.79	0.86	-0.18	up	-3.8	-3.1	-1.4	P	218486_at
LIM homeobox 4	LHX4	1q25.2	2.26	0.89	0.51	down	NC/A	NC/P	NC/A	A	1553157_at
zinc finger protein 215	ZNF215	11p15.4	1.82	0.78	0.43	proximal	NC/A	NC/A	NC/A	A	1555510_at
A kinase (PRKA) anchor protein (gravin) 12	AKAP12	6q24-q25	0.9	1.5	1.66	up	-3.3	-6.1	-5.4	P	210517_s_at
hypothetical gene	LOC389372	6p22.1	0.46	2.99	2.21	proximal	NC/A	NC/A	NC/A	A	1568826_at
hypothetical protein	FLJ10159	6q21	0.78	2.25	1.46	up	NC/A	NC/A	NC/A	A	1563906_at
formin binding protein 1	FNBP1	9q34	0.47	1.18	1.09	up	NC/P	-2.7	-3	P	230389_at
homeo box A9	HOXA9	7p15-p14	-0.02	2.14	1.09	up	5.8	6.3	4.6	A	209905_at
zinc finger protein 312-like	LOC389549	7q31.32	ND	1.78	1.09	up	ND	ND	ND	ND	NA
v-maf musculoaponeurotic fibrosarcoma oncogene B	MAFB	20q11.2-q13.1	0.4	1.38	1.12	up	-10.9	-10.6	-6.1	P	218559_s_at
hypothetical protein	MGC33530	7p11.2	0.99	1.06	1.84	proximal	NC/A	NC/A	NC/A	A	1554530_at
netrin 4	NTN4	12q22-q23	0.91	2.82	2.43	up	NC/A	NC/A	NC/A	A	234202_at
orthopedia homolog (Drosophila)	OTP	5q13.3	0.89	1.45	1.4	down	NC/A	NC/A	NC/A	A	237906_at
protocadherin 19	PCDH19	Xq13.3	0.45	1.45	1.51	down	NC/A	NC/A	NC/A	A	227282_at
protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.2-23.1	0.8	1.52	1.75	down	NC/A	NC/A	NC/A	A	233770_at
toll-IL 1 receptor (TIR) domain containing adaptor protein	TIRAP	11q24.2	0.83	1.12	1.46	up	NC/P	NC/P	NC/P	P	1552360_a_at
zinc finger protein 37 homolog (mouse)	ZFP37	9q32	0.91	1.71	1.24	proximal	NC/A	NC/A	NC/A	A	207068_at
zinc finger protein 229	ZNF229	19q13.31	0.23	2.64	1.37	proximal	NC/P	NC/A	NC/A	A	1562789_at
zinc finger protein 312	ZNF312	3p14.2	0.22	2.02	1.05	up	NC/A	NC/A	NC/A	A	221086_s_at
zinc finger protein 629	ZNF629	16p11.2	0.98	1.27	1.5	down	-1.7	NC/P	1.2	P	213196_at
deleted in colorectal carcinoma	DCC	18q21.3	0.71	1.3	0.34	proximal	NC/A	NC/A	NC/A	A	206939_at
deleted in lung and esophageal cancer 1	DLEC1	3p22-p21.3	0.91	1.32	-0.12	proximal	NC/A	NC/A	NC/A	A	207896_s_at
distal-less homeo box 3	DLX3	17q21	0.21	1.22	-0.03	down	NC/A	NC/A	NC/A	A	231778_at
dual oxidase 2	DUOX2	15q15.3	0.82	1.97	-0.25	down	NC/A	NC/A	NC/A	A	219727_at
endothelial PAS domain protein 1	EPAS1	2p21-p16	0.21	2.57	-0.46	down	-3.9	1.8	1.6	P	200878_at
EPH receptor A10	EPHA10	1p34.3	0.65	1.15	0.54	up	NC/A	NC/A	NC/A	A	243717_at
ES cell expressed Ras	ERAS	Xp11.23	0.99	1	0.62	up	ND	ND	ND	ND	NA
FERM, RhoGEF and pleckstrin domain protein 1	FARP1	13q32.2	0.44	2.57	0.44	proximal/up	NC/A	NC/A	NC/A	A	227996_at
hypothetical protein	FLJ42461	17p13.2	0.45	2.18	0.4	proximal	NC/A	NC/A	NC/A	A	229730_at
gamma-glutamyl hydrolase	GGH	8q12.3	0.28	3.1	-0.1	proximal	4.4	-2.9	2.6	P	203560_at
glycoprotein V (platelet)	GP5	3q29	0.08	1.36	-0.18	down	NC/P	NC/P	NC/A	A	207926_at
hyperpolarization activated cyclic nucleotide-gated K+4	HCN4	15q24-q25	0.68	1.28	0.53	up	NC/A	NC/A	NC/A	A	206946_at
histone 1, H4l	HIST1H4L	6p22-p21.3	-0.63	3.21	ND	proximal	NC/A	NC/A	NC/A	A	214562_at
v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	1p32-p31	0.11	2.07	-0.08	up	-4.5	-5.1	-4.3	P	201466_s_at
potassium channel beta 3 chain	KCNAB1	3q26.1	0.66	1.48	0.98	down	NC/A	5.4	NC/A	A	210471_s_at
protocadherin 8	PCDH8	13q14.3-q21.1	0.79	1.66	-0.09	up	NC/P	NC/P	NC/P	A	206935_at
RAB38, member RAS oncogene family	RAB38	11q14	0.53	1.37	0.55	down	NC/P	NC/P	NC/P	A	234666_at
RAB3C, member RAS oncogene family	RAB3C	5q13	0	1.57	0.19	proximal	NC/A	NC/A	1.7	A	242328_at
ribonuclease P/MRP 30kDa subunit	RPP30	10q23.31	-0.22	1.68	-0.14	up	0.4	-1	NC/P	P	203436_at
secretogranin III	SCG3	15q21	0.96	2.3	0.12	down	NC/A	NC/A	NC/A	A	219196_at
sonic hedgehog homolog (Drosophila)	SHH	7q36	0.99	1.29	0.5	down	NC/A	NC/A	NC/A	A	207586_at
synaptojanin 2	SYNJ2	6q25.3	0.01	1.15	0.07	up	2.3	2.2	1.3	P	212828_at
zinc finger protein 36, C3H type-like 1	ZFP36L1	14q22-q24	-0.02	2.07	-0.03	down	-1.2	-5.5	-3.8	P	211965_at
zinc finger protein 222	ZNF222	19q13.2	0.06	1.56	0	proximal	2.2	NC/A	3.4	A	211965_at
zinc finger protein 516	ZNF516	18q23	-0.51	1.86	-0.12	down	NC/P	-1.6	NC/P	P	203604_at
zinc finger protein 582	ZNF582	19q13.43	0.1	1.27	0.47	proximal	NC/P	NC/P	NC/P	A	1553221_at
zinc finger protein 610	ZNF610	19q13.41	0.96	1.72	0.47	up/down	1.9	NC/A	NC/P	A	235953_at
zinc finger protein 610	AK055761	12q24.2	0.43	0.75	2.18	down	ND	ND	ND	ND	NA
doublesex and mab-3 related transcription factor 2	DMRT2	9p24.3	0.03	0.12	2.08	up	NC/A	NC/A	2.9	A	223704_s_at
NK6 transcription factor related, locus 1 (Drosophila)	NKX6-1	4q21.2-q22	-0.09	0.86	2.02	down	NC/A	NC/A	NC/A	A	221366_at
