UniGene	Description	Fold ind.	p value
Hs.592317	Transforming growth factor, beta 3	0.24	0.0056
Hs.241570	Tumor necrosis factor (TNF superfamily, member 2)	38.45	0.0003
Hs.81791	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	0.64	0.0084
Hs.478275	Tumor necrosis factor (ligand) superfamily, member 10	40.64	0
Hs.333791	Tumor necrosis factor (ligand) superfamily, member 11	2.65	0.0004
Hs.415839	Tumor necrosis factor (ligand) superfamily, member 12	1.05	0.695
Hs.54673	Tumor necrosis factor (ligand) superfamily, member 13	1.4	0.0916
Hs.525157	Tumor necrosis factor (ligand) superfamily, member 13b	1.78	0.0925
Hs.129708	Tumor necrosis factor (ligand) superfamily, member 14	ND	-
Hs.181097	Tumor necrosis factor (ligand) superfamily, member 4	32.33	0.0031
Hs.501497	CD70 molecule	129.34	0.0003
Hs.494901	Tumor necrosis factor (ligand) superfamily, member 8	1.07	0.4226
Hs.534255	Beta-2-microglobulin	1.8	0.1156
Hs.412707	Hypoxanthine phosphoribosyltransferase 1	0.21	0.0009
Hs.546356	Ribosomal protein L13a	0.51	0.0266
Hs.544577	Glyceraldehyde-3-phosphate dehydrogenase	0.25	0.0015
Hs.520640	Actin, beta	0.23	0.0005
