Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
BB475194	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	Adamts5	N.C.	-1.7 ± 0.4	N.C.	N.C.	20
BG064835	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10	Adamts10	-1.8 ± 0.4	N.C.	N.C.	N.C.	33
AI450842	ADAMTS20 B long isoform (Adamts20) mRNA, complete cds; alternatively spliced	Adamts20	N.C.	N.C.	-1.7 ± 0.4	N.C.	21
NM_009616	a disintegrin and metalloproteinase domain 19 (meltrin beta)	Adam19	-1.9 ± 0.4	N.C.	N.C.	N.C.	40
AK014312	lumican	Lum	N.C.	N.C.	-1.5 ± 0.4	N.C.	32
AV009181	matrilin 3	Matn3	N.C.	-4.3 ± 0.4	N.C.	N.C.	19
AV319507	multimerin 2	Mmrn2	N.C.	N.C.	N.C.	-1.5 ± 0.4	23
NM_007976	coagulation factor V	F5	N.C.	N.C.	-1.7 ± 0.4	N.C.	17
AV362920	PTK2 protein tyrosine kinase 2	Ptk2	-3.1 ± 0.4	N.C.	N.C.	N.C.	24
BI452538	Fras1 related extracellular matrix protein 1	Frem1	-2.9 ± 0.4	-1.6 ± 0.4	N.C.	N.C.	26
AK009453	repetin	Rptn	N.C.	-1.9 ± 0.4	N.C.	N.C.	29
AA223007	nephronectin	Npnt	N.C.	N.C.	N.C.	-1.5 ± 0.4	30
AB013898	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Tnfrsf11b	-3.3 ± 0.4	N.C.	-1.9 ± 0.5	N.C.	31
NM_009522	wingless-related MMTV integration site 3A	Wnt3a	-3.3 ± 0.9	N.C.	N.C.	N.C.	39
BB329489	serine (or cysteine) proteinase inhibitor, clade H, member 1	Serpinh1	N.C.	N.C.	N.C.	-1.8 ± 0.4	3
NM_011359	surfactant associated protein C	Sftpc	N.C.	-2.2 ± 0.4	N.C.	N.C.	1027
AV367948	Cathepsin C	Ctsc	-2.2 ± 0.4	N.C.	-1.7 ± 0.4	N.C.	467
NM_008216	hyaluronan synthase 2	Has2	N.C.	-2.9 ± 0.4	N.C.	N.C.	1028
AF251276	serine (or cysteine) peptidase inhibitor, clade I, member 2	Serpini2	N.C.	-2.2 ± 0.4	N.C.	N.C.	1068
BB667187	a disintegrin and metallopeptidase domain 4	Adam4	N.C.	-3.0 ± 0.4	N.C.	N.C.	1076
NM_027548	serine (or cysteine) peptidase inhibitor, clade B, member 7	Serpinb7	N.C.	-2.4 ± 0.5	N.C.	N.C.	1123
AF357006	lysyl oxidase-like 1	Loxl1	N.C.	N.C.	-3.8 ± 0.6	-1.7 ± 0.4	1198
AF426024	serine (or cysteine) peptidase inhibitor, clade B, member 1a	Serpinb1a	N.C.	N.C.	-1.9 ± 0.4	N.C.	1202
BC016197	procollagen, type IV, alpha 3 (Goodpasture antigen) binding protein	Col4a3bp	-2.0 ± 0.5	N.C.	N.C.	N.C.	1530
BF136544	fibrinogen-like protein 2	Fgl2	N.C.	N.C.	-1.5 ± 0.4	N.C.	1641
NM_008788	procollagen C-proteinase enhancer protein	Pcolce	N.C.	N.C.	-1.5 ± 0.4	-1.6 ± 0.4	1756
NM_011454	serine (or cysteine) proteinase inhibitor, clade B, member 6b	Serpinb6b	-1.6 ± 0.4	N.C.	N.C.	N.C.	1803
NM_021400	proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)	Prg4	N.C.	N.C.	-2.5 ± 0.5	N.C.	1847
NM_031878	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	Smarcd2	-1.6 ± 0.4	N.C.	N.C.	N.C.	1906
NM_033373	keratin complex 1, acidic, gene 23	Krt1-23	N.C.	N.C.	-1.5 ± 0.4	N.C.	1907
BI076611	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	Adamts6	N.C.	-6.0 ± 0.6	N.C.	N.C.	225
