Unigene ID	Gene Name	Description	Map	Avg M1 /   Avg M0
Hs.196769	CHC1	chromosome condensation 1	1p36.1	2.020
Hs.45207	CHD6	chromodomain helicase DNA binding protein 6	20q12-q13.11	2.123
Hs.22857	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1	11q14.3	2.671
Hs.248100	CHRM4	cholinergic receptor, muscarinic 4	11p12-p11.2	0.230
Hs.12109	CIAO1	WD40 protein Ciao1	2q11.2	4.865
NA	CIC	Capicua homolog (Drosophila)	NA	0.078
Hs.380627	CKLFSF6	chemokine-like factor super family 6	3p22.3	5.076
Hs.108614	CLASP2	cytoplasmic linker associated protein 2	3p22.3	2.775
Hs.2605	CMRF35	CMRF35 leukocyte immunoglobulin-like receptor	17q25.2	0.238
Hs.274579	CNNM1	cyclin M1	10q24.31	0.156
Hs.444851	CNOT10	CCR4-NOT transcription complex, subunit 10	3p22.3	2.159
Hs.82399	COG2	component of oligomeric golgi complex 2	1q42.2	2.213
Hs.105414	COG3	component of oligomeric golgi complex 3	13q14.11	5.536
Hs.185807	COG7	component of oligomeric golgi complex 7	16p12.3	5.477
Hs.380403	COMMD3	COMM domain containing 3	10pter-q22.1	0.354
Hs.75724	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	3q23	4.706
NA	COX6BP-3	Cytochrome c oxidase subunit VIb pseudogene-3	NA	0.347
Hs.144699	CPA5	carboxypeptidase A5	7q32	0.453
Hs.12743	CROT	carnitine O-octanoyltransferase	7q21.1	5.969
Hs.83114	CRYZ	crystallin, zeta (quinone reductase)	1p31-p22	4.348
Hs.24485	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	10q25	3.546
Hs.695	CSTB	cystatin B (stefin B)	21q22.3	0.350
Hs.180034	CSTF3	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	11p13	2.269
Hs.196083	CTBP1	C-terminal binding protein 1	4p16	0.173
Hs.178576	CTNNBL1	catenin, beta like 1	20q11.23-q12	1.859
Hs.128065	CTSC	cathepsin C	11q14.1-q14.3	4.934
Hs.82919	CUL2	cullin 2	10p11.22	2.416
Hs.333497	CYP2D6	cytochrome P450, family 2, subfamily D, polypeptide 6	22q13.1	0.402
Hs.449321	DCBLD1	discoidin, CUB and LCCL domain containing 1	6q22.31	4.286
Hs.363492	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	2q14.2	4.955
Hs.380774	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	Xp11.3-p11.23	5.308
Hs.5683	DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	4p15.3	4.420
Hs.9414	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3	2.492
Hs.374524	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1q25	2.590
Hs.377974	DKFZP434F2021	DKFZP434F2021 protein	3q13.2	4.339
Hs.528691	DKFZP434H2010	hypothetical protein DKFZp434H2010	1p36.33	0.552
Hs.120369	DKFZp434H2215	hypothetical protein DKFZp434H2215	17q21.1	0.285
Hs.374609	DKFZP434K1421	hypothetical protein DKFZp434K1421	17q11.2	3.634
Hs.333118	DKFZp434N035	hypothetical protein DKFZp434N035	22q11.21	0.425
Hs.334938	DKFZp586G0123	calcium-binding transporter	1p13.3	2.829
Hs.61976	DKFZp761B128	hypothetical protein DKFZp761B128	12q24.31	23.443
Hs.277533	DKFZp761B1514	hypothetical protein DKFZp761B1514	3q29	2.527
Hs.332795	DKFZp761O17121	hypothetical protein DKFZp761O17121	22q13.31	2.934
Hs.74635	DLD	dihydrolipoamide dehydrogenase	7q31-q32	4.940
Hs.129506	DMTF1	cyclin D binding myb-like transcription factor 1	7q21	3.006
Hs.6019	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	13q32	4.178
Hs.436928	DNASE1	deoxyribonuclease I	16p13.3	0.357
Hs.406156	DOCK7	dedicator of cytokinesis 7	1p32.1	6.138
Hs.289848	DOT1L	histone methyltransferase DOT1L	19p13.3	0.159
Hs.302028	DPEP3	dipeptidase 3	16q22.1	0.264
Hs.1925	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	18q12.1-q12.2	0.292
Hs.349499	DSP	desmoplakin	6p24	6.453
Hs.75842	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	21q22.13	4.370
Hs.191294	E46L	like mouse brain protein E46	22q13.31	2.441
Hs.43125	ECRG4	esophageal cancer related gene 4 protein	2q12.2	0.206
Hs.293257	ECT2	epithelial cell transforming sequence 2 oncogene	3q26.1-q26.2	6.780
Hs.334798	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	8q24.3	0.343
Hs.378808	eIF2A	eukaryotic translation initiation factor (eIF) 2A	3q25.1	4.333
Hs.102506	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	2p12	11.450
Hs.158688	EIF5B	eukaryotic translation initiation factor 5B	2p11.1-q11.1	3.352
Hs.184492	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	19p13.2	8.793
Hs.211556	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	4q25	4.628
Hs.386198	EML4	echinoderm microtubule associated protein like 4	2p22-p21	9.016
Hs.104925	ENC1	ectodermal-neural cortex (with BTB-like domain)	5q12-q13.3	5.169
Hs.132853	ENTH	enthoprotin	5q23.1-q33.3	4.465
Hs.528333	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1p33-p32	0.353
Hs.440387	EPB41L2	erythrocyte membrane protein band 4.1-like 2	6q23	4.150
Hs.443721	EPC1	enhancer of polycomb homolog 1, (Drosophila)	10p11	2.613
NA	EPHB1	EphB1	NA	0.462
Hs.171292	EPRS	glutamyl-prolyl-tRNA synthetase	1q41-q42	2.423
Hs.93659	ERP70	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)	7q35	3.646
Hs.76591	ETEA	expressed in T-cells and eosinophils in atopic dermatitis	5q35.3	3.558
Hs.77324	ETF1	eukaryotic translation termination factor 1	5q31.1	3.622
Hs.43697	ETV5	ets variant gene 5 (ets-related molecule)	3q28	0.495
Hs.86131	FADD	Fas (TNFRSF6)-associated via death domain	11q13.3	4.253
Hs.87295	FAM18B	family with sequence similarity 18, member B	17p11.2	5.140
Hs.434053	FAM3C	family with sequence similarity 3, member C	7q22.1-q31.1	2.687
Hs.387099	FBXO18	F-box only protein, helicase, 18	10p15.1	2.397
Hs.406787	FBXO3	F-box only protein 3	11p13	4.042
Hs.272027	FBXO5	F-box only protein 5	6q25-q26	3.567
NA	FEZ2	Fasciculation and elongation protein zeta 2 (zygin II)	NA	2.736
Hs.249200	FGF19	fibroblast growth factor 19	11q13.1	0.354
Hs.391168	FH	fumarate hydratase	1q42.1	2.809
Hs.334812	FIP1L1	FIP1 like 1 (S. cerevisiae)	4q12	2.760
Hs.130259	FLJ10006	hypothetical protein FLJ10006	2q21.1	2.374
Hs.159066	FLJ10188	CTCL tumor antigen L14-2	10q26.11	3.130
Hs.202023	FLJ10290	hypothetical protein FLJ10290	5q33.1	2.002
Hs.262823	FLJ10326	mitochondrial isoleucine tRNA synthetase	1q42.11	2.659
Hs.100914	FLJ10352	hypothetical protein FLJ10352	18p11.21	3.632
Hs.257300	FLJ10359	protein BAP28	1q42.3	3.805
Hs.388170	FLJ10534	hypothetical protein FLJ10534	17p13.3	2.891
Hs.144130	FLJ10618	hypothetical protein FLJ10618	3q23	4.942
Hs.17860	FLJ10851	hypothetical protein FLJ10851	10q11.23	0.096
Hs.432996	FLJ11021	similar to splicing factor, arginine/serine-rich 4	12q24.31	8.968
Hs.22383	FLJ11336	hypothetical protein FLJ11336	11p13	0.487
Hs.120425	FLJ11526	hypothetical protein FLJ11526	5q33.2	3.305
Hs.399984	FLJ12519	hypothetical protein FLJ12519	2q32.3	2.507
Hs.512696	FLJ12806	hypothetical protein FLJ12806	1q42.12	5.012
Hs.119699	FLJ12969	hypothetical protein FLJ12969	Xq22.1-q22.3	17.002
Hs.213392	FLJ13195	hypothetical protein FLJ13195 similar to stromal antigen 3	7p11.2-q11.2	0.309
Hs.190114	FLJ13213	hypothetical protein FLJ13213	15q21.3	6.261
Hs.242327	FLJ13576	hypothetical protein FLJ13576	7q31.32	5.108
Hs.13453	FLJ14753	hypothetical protein FLJ14753	9q22.32	7.752
Hs.334878	FLJ14775	hypothetical protein FLJ14775	17q25.1	6.911
Hs.356770	FLJ20308	hypothetical protein FLJ20308	17p11.2	2.486
Hs.387140	FLJ20323	hypothetical protein FLJ20323	7p22-p21	2.182
Hs.378826	FLJ20360	hypothetical protein FLJ20360	10p15.1	5.306
Hs.378857	FLJ20421	hypothetical protein FLJ20421	8q11.23	5.700
Hs.32356	FLJ20628	hypothetical protein FLJ20628	2p23.3	8.012
Hs.5111	FLJ20729	hypothetical protein FLJ20729	1p22.3	5.434
Hs.13277	FLJ22054	hypothetical protein FLJ22054	13q13.3	2.916
Hs.22795	FLJ22386	leucine zipper domain protein	16p13.3	0.466
Hs.370147	FLJ22490	hypothetical protein FLJ22490	8q13.1	32.050
Hs.106534	FLJ22625	hypothetical protein FLJ22625	5q31.2	0.354
Hs.454833	FLJ25222	CXYorf1-related protein	15q26.3	0.310
Hs.126519	FLJ25323	FLJ25323 protein	12q23.3	0.493
Hs.164495	FLJ31052	hypothetical protein FLJ31052	1q23.1	0.398
Hs.5518	FLJ31657	hypothetical protein FLJ31657	8q12.2	5.005
Hs.349306	FLJ31951	hypothetical protein FLJ31951	5q33.3	4.957
Hs.351431	FLJ32785	hypothetical protein FLJ32785	1q22	0.192
Hs.375551	FLJ32884	hypothetical protein FLJ32884	1q23.1	0.176
Hs.23853	FLJ35036	hypothetical protein FLJ35036	3q23	6.415
Hs.212613	FLJ36779	hypothetical protein FLJ36779	9q34.3	0.268
Hs.118962	FUBP1	far upstream element (FUSE) binding protein 1	1p31.1	3.048
Hs.98751	FUBP3	far upstream element (FUSE) binding protein 3	9q34.2	2.612
Hs.3530	FUSIP1	FUS interacting protein (serine-arginine rich) 1	1p36.11	5.139
Hs.169744	G22P1	thyroid autoantigen 70kDa (Ku antigen)	22q13.2-q13.31	3.027
Hs.48549	G3BP	Ras-GTPase-activating protein SH3-domain-binding protein	5q33.1	2.693
Hs.181202	GABPB2	GA binding protein transcription factor, beta subunit 2, 47kDa	15q21.2	4.656
Hs.414985	GCLC	glutamate-cysteine ligase, catalytic subunit	6p12	2.876
Hs.436288	GLI	glioma-associated oncogene homolog (zinc finger protein)	12q13.2-q13.3	0.225
Hs.442669	GLUL	glutamate-ammonia ligase (glutamine synthase)	1q31	3.243
Hs.5210	GMFG	glia maturation factor, gamma	19q13.2	0.297
Hs.155090	GNB5	guanine nucleotide binding protein (G protein), beta 5	15q21.1	0.470
Hs.334534	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	12q14	3.923
Hs.241572	GOLGA5	golgi autoantigen, golgin subfamily a, 5	14q32.12-q32.13	9.921
Hs.6880	GORASP2	golgi reassembly stacking protein 2, 55kDa	2q31.1-q31.2	3.187
Hs.350554	GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	12q12-q13	0.364
Hs.308709	GRP58	glucose regulated protein, 58kDa	15q15	3.926
Hs.309763	GRSF1	G-rich RNA sequence binding factor 1	4q13	3.649
Hs.132337	GSG1	germ cell associated 1	12p13.2	0.479
Hs.145381	GTF2E1	general transcription factor IIE, polypeptide 1, alpha 56kDa	3q21-q24	2.621
Hs.301005	H2AV	H2A histone family, member V	7p13	2.443
Hs.269878	HADHB	hydroxyacyl-Coenzyme A dehydrogenase, beta subunit	2p23	5.617
Hs.88556	HDAC1	histone deacetylase 1	1p34	3.296
Hs.89525	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	Xq25	2.182
Hs.427152	HDLBP	high density lipoprotein binding protein (vigilin)	2q37	2.404
Hs.99437	HELZ	helicase with zinc finger domain	17q24.3	2.443
Hs.412416	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	14q21-q24	5.053
Hs.12259	HIPK1	homeodomain interacting protein kinase 1	1p13.1	2.122
Hs.411695	HK3	hexokinase 3 (white cell)	5q35.2	0.517
Hs.434102	HMGB1	high-mobility group box 1	13q12	4.117
Hs.236774	HMGN4	high mobility group nucleosomal binding domain 4	6p21.3	3.762
Hs.241529	HNF4G	hepatocyte nuclear factor 4, gamma	8q13.3-q21.11	0.460
Hs.81361	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	5q35.3	1.993
Hs.202166	HNRPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	5q35.3	3.975
Hs.156481	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	10q22	2.684
Hs.282804	HPS3	Hermansky-Pudlak syndrome 3	3q24	10.526
Hs.132513	HSD17B12	hydroxysteroid (17-beta) dehydrogenase 12	11p11.2	2.669
Hs.430666	HSP70-4	likely ortholog of mouse heat shock protein, 70 kDa 4	10p14	7.783
Hs.90093	HSPA4	heat shock 70kDa protein 4	5q31.1-q31.2	3.713
Hs.371856	HSPC055	zinc-finger protein AY163807	16p13-p12	2.687
Hs.273213	HSPC117	hypothetical protein HSPC117	22q12	3.215
Hs.475848	HSRTSBETA	rTS beta protein	18p11.32	11.292
Hs.22180	HTR6	5-hydroxytryptamine (serotonin) receptor 6	1p36-p35	0.441
Hs.75528	HUMAUANTIG	nucleolar GTPase	1p34.2	2.379
Hs.250616	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	15q25.1-q25.2	6.479
Hs.421245	IK	IK cytokine, down-regulator of HLA II	2p15-p14	2.750
Hs.66	IL1RL1	interleukin 1 receptor-like 1	2q12	0.312
Hs.316977	IPO8	importin 8	12p11.22	4.580
Hs.511817	IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	6q14-q15	8.979
Hs.355827	IRF6	interferon regulatory factor 6	1q32.3-q41	0.211
Hs.212296	ITGA6	integrin, alpha 6	2q31.1	10.140
Hs.287850	ITM1	integral membrane protein 1	11q23.3	2.525
Hs.335118	JJAZ1	joined to JAZF1	17q11.2	7.784
Hs.63841	KBTBD7	kelch repeat and BTB (POZ) domain containing 7	13q13.3	9.408
Hs.121498	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	8q13.2	0.287
Hs.239155	KCTD3	potassium channel tetramerisation domain containing 3	1q41	3.420
Hs.443866	KIAA0020	KIAA0020	9p24.2	7.153
Hs.1191	KIAA0073	KIAA0073 protein	5q12.3	5.632
Hs.82432	KIAA0089	KIAA0089 protein	3p22.3	4.684
Hs.151761	KIAA0100	KIAA0100 gene product	17q11.2	3.183
Hs.437991	KIAA0196	KIAA0196 gene product	8p22	3.496
Hs.528724	KIAA0205	KIAA0205 gene product	1p36.13-q42.3	5.518
Hs.192881	KIAA0217	KIAA0217 protein	10p15.3	2.970
Hs.134792	KIAA0241	KIAA0241 protein	7p14.3	10.419
Hs.83419	KIAA0252	KIAA0252 protein	15q14	2.242
Hs.396443	KIAA0310	KIAA0310	9q34.3	3.036
Hs.435330	KIAA0372	KIAA0372	5q15	3.775
Hs.200594	KIAA0605	KIAA0605 gene product	9q34.3	0.531
Hs.460317	KIAA0625	senataxin	9q34.3	8.603
Hs.26163	KIAA0649	KIAA0649	9q34.3	2.587
Hs.149367	KIAA0776	KIAA0776	6q16.3	5.526
Hs.24656	KIAA0907	KIAA0907 protein	1q22	10.392
Hs.443005	KIAA0912	KIAA0912 protein	15q15.3	0.386
Hs.292925	KIAA1212	KIAA1212	2p16.3	0.329
Hs.104696	KIAA1324	maba1	1p13.2	0.188
Hs.284270	KIAA1340	KIAA1340 protein	12p12.1	6.803
Hs.130900	KIAA1387	KIAA1387 protein	2p16.2	7.118
Hs.42586	KIAA1560	glycerol 3-phosphate acyltransferase, mitochondrial	10q25.3	3.442
Hs.127243	KIAA1724	selenoprotein I, 1	2p24.1	7.365
Hs.182081	KIAA1811	KIAA1811 protein	19q13.4	0.420
Hs.102669	KIAA1892	KIAA1892	9p13.2	2.350
Hs.374201	KIF21A	kinesin family member 21A	12q12	5.001
Hs.301206	KIF3B	kinesin family member 3B	20q11.21	3.832
Hs.272234	KIRREL	kin of IRRE like (Drosophila)	1q21-q25	0.411
Hs.127310	KIS	kinase interacting with leukemia-associated gene (stathmin)	1q23.2	6.403
Hs.280792	KLC2	likely ortholog of kinesin light chain 2	11q13.1	0.506
Hs.84728	KLF5	Kruppel-like factor 5 (intestinal)	13q21.33	4.106
Hs.25441	KPTN	kaptin (actin binding protein)	19q13.33	0.354
Hs.433845	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	12q12-q13	0.410
Hs.307015	KRTAP4-14	keratin associated protein 4-14	17q12-q21	0.404
Hs.307019	KRTAP4-8	keratin associated protein 4-8	17q12-q21	0.388
Hs.122645	LAMB1	laminin, beta 1	7q22	4.700
Hs.334851	LASP1	LIM and SH3 protein 1	17q11-q21.3	3.325
Hs.435166	LBR	lamin B receptor	1q42.1	2.567
Hs.306230	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	19q13.4	0.203
Hs.154103	LIM	LIM protein (similar to rat protein kinase C-binding enigma)	4q22	7.450
Hs.122708	LMTK2	lemur tyrosine kinase 2	7q22.1	0.283
Hs.434124	LOC149086	hypothetical protein LOC149086	1p35.1	0.338
Hs.313847	LOC51061	hypothetical protein LOC51061	16p13.13	2.703
Hs.514869	LOC51320	hypothetical protein LOC51320	18q21.1	6.270
NA	LOC51685	Prothymosin a14	NA	2.784
Hs.134460	LOC56267	hypothetical protein 669	1p22.2	4.534
Hs.7750	LOC64744	hypothetical protein AL133206	1p35.3-p34.1	1.862
Hs.148590	LOC84518	protein related with psoriasis	19q13.31	0.328
Hs.334726	LOC92129	hypothetical protein BC007652	Xq22.3	0.375
Hs.110702	LOC93380	hypothetical protein LOC93380	Xq26.3	12.182
Hs.437425	LPIN2	lipin 2	18p11.31	7.444
Hs.180398	LPP	LIM domain containing preferred translocation partner in lipoma	3q27-q28	12.017
Hs.408355	LRP11	low density lipoprotein receptor-related protein 11	6q24.3	6.104
Hs.436066	LST1	leukocyte specific transcript 1	6p21.3	0.172
Hs.241586	LY6G6C	lymphocyte antigen 6 complex, locus G6C	6p21.31	0.506
Hs.446676	LYPLA1	lysophospholipase I	8q11.23	4.733
Hs.278672	M11S1	membrane component, chromosome 11, surface marker 1	11p13	1.832
Hs.134084	M6PR	mannose-6-phosphate receptor (cation dependent)	12p13	4.385
Hs.439599	MAN2A1	mannosidase, alpha, class 2A, member 1	5q21-q22	10.931
Hs.408932	MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha	20cen-q13	0.373
Hs.151988	MAP3K5	mitogen-activated protein kinase kinase kinase 5	6q22.33	3.002
Hs.254605	MAP7	microtubule-associated protein 7	6q23.2	2.451
Hs.99900	MAS1	MAS1 oncogene	6q25.3-q26	0.369
Hs.77502	MAT2A	methionine adenosyltransferase II, alpha	2p11.2	4.637
Hs.54642	MAT2B	methionine adenosyltransferase II, beta	5q34-q35.1	10.109
Hs.83532	MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	1q32	4.879
Hs.61418	MFAP1	microfibrillar-associated protein 1	15q15-q21	1.926
Hs.433673	MFN1	mitofusin 1	3q27.1	2.889
Hs.376681	MFN2	mitofusin 2	1p36.21	2.770
Hs.239500	MGC13114	hypothetical protein MGC13114	16p13.3	0.259
Hs.333414	MGC14151	hypothetical protein MGC14151	17p13.2	0.277
Hs.246914	MGC16202	hypothetical protein MGC16202	10q23.33	3.862
Hs.104476	MGC17299	hypothetical protein MGC17299	1p34.1	0.280
Hs.275711	MGC2452	hypothetical protein MGC2452	22q13.31	6.956
Hs.366	MGC27165	hypothetical protein MGC27165	14q32.33	0.246
Hs.317403	MGC2744	hypothetical protein MGC2744	17q21.31	0.378
Hs.241576	MGC3067	hypothetical protein MGC3067	8q24.13	3.051
Hs.350683	MGC33889	hypothetical protein MGC33889	Xp22.12	0.316
Hs.421054	MGC4701	hypothetical protein MGC4701	4p16.3	7.360
Hs.5555	MGC5347	hypothetical protein MGC5347	15q15.1	4.304
Hs.279921	MGC8721	hypothetical protein MGC8721	8p12	4.882
Hs.518608	MGC9651	hypothetical protein MGC9651	4p16.1	2.483
Hs.165551	MICAL3	flavoprotein oxidoreductase MICAL3	22q11.21	0.374
Hs.279474	MKRN2	makorin, ring finger protein, 2	3p25	4.106
Hs.409677	MOBP	myelin-associated oligodendrocyte basic protein	3p21.33	0.294
Hs.411358	MORF4L2	mortality factor 4 like 2	Xq22	3.309
Hs.201676	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	2p13.2	2.602
