Common name	Genbank	Affymetrix ID	Fold Change	P-value
LOC54103	AV700415	213142_x_at	0.655	0.0128
MAC30	BF038366	212282_at	1.514	0.0238
MALT1	AB026118	210018_x_at	2.004	0.032
MAPK8IP1	BG222394	213014_at	1.944	0.00571
MCM5	AA807529	216237_s_at	2.108	0.0062
MID1	BE967532	203636_at	0.384	0.00207
MLF1IP	NM_024629	218883_s_at	1.705	0.0288
MLLT3	AV756536	204917_s_at	0.534	0.0405
MTHFD2	NM_006636	201761_at	1.625	0.0274
MTMR1	AK001816	214975_s_at	1.61	0.0153
MYCBP2	NM_015057	201960_s_at	0.663	0.0012
MYH10	AK026977	212372_at	0.625	0.0497
MYRIP	AL050090	214156_at	0.632	0.00401
NAP1L3	NM_004538	204749_at	0.633	0.0462
NAV3	NM_014903	204823_at	1.795	0.00396
NEK2	NM_002497	204641_at	2.048	0.0193
NEK2	Z25425	211080_s_at	1.598	0.00988
NLGN1	NM_014932	205893_at	0.527	0.048
NUSAP1	NM_016359	218039_at	1.555	0.0338
OIP5	BE045993	213599_at	1.963	0.0207
OSR2	AI811298	213568_at	0.424	0.00706
PBEF1	BF575514	217738_at	0.541	0.016
PCLO	AB011131	213558_at	0.653	0.0221
PDE9A	NM_002606	205593_s_at	1.621	0.0435
PDIR	NM_006810	203857_s_at	1.537	0.0433
PER3	NM_016831	221045_s_at	0.607	0.00273
PIK3R1	AI679268	212240_s_at	0.619	0.0468
PINK1	BF432478	209018_s_at	0.63	0.000156
PIR51	BE966146	204146_at	1.885	0.000415
PLCB4	AL535113	203895_at	0.637	0.0463
PLK1	NM_005030	202240_at	2.001	0.0175
PMAIP1	AI857639	204285_s_at	1.556	0.00778
PMS2L11	U38980	210707_x_at	1.523	0.0271
PMSCL1	AI346350	213226_at	1.888	0.0196
PRC1	NM_003981	218009_s_at	1.615	0.0331
PRKWNK1	AI768512	211993_at	2.261	0.0318
PTBP1	AA679988	212016_s_at	1.793	0.0118
PTBP2	NM_021190	218683_at	0.662	0.0213
PTCD1	NM_015545	218956_s_at	1.559	0.0431
PTPN13	NM_006264	204201_s_at	0.65	0.0485
PTPRR	NM_002849	206084_at	0.598	0.028
RAB3B	BC005035	205924_at	1.837	0.0488
RACGAP1	AU153848	222077_s_at	1.669	0.0319
RBM30	BC003503	209497_s_at	0.642	0.00508
RFC3	NM_002915	204128_s_at	2.047	0.0189
RRM1	AI692974	201476_s_at	1.581	0.0216
RRM2	BE966236	201890_at	1.745	0.00336
RRM2	BC001886	209773_s_at	1.725	0.0166
SAS	NM_005981	203227_s_at	0.627	0.00488
SDC2	AI380298	212154_at	0.505	0.0225
SDC2	BE048514	212157_at	0.524	0.0219
SDC4	NM_002999	202071_at	0.641	0.0169
SEC6L1	AF055006	212630_at	0.531	0.00128
SHCBP1	NM_024745	219493_at	2.367	0.0322
SI	NM_001041	206664_at	0.504	0.0463
SLC29A1	AF079117	201801_s_at	1.757	0.00295
SLC7A6	AI660619	203579_s_at	1.668	0.0195
SMARCA2	AI535683	217707_x_at	0.653	0.00918
SMC4L1	NM_005496	201663_s_at	1.689	0.0144
SMC4L1	AL136877	201664_at	1.556	0.0322
SOCS2	NM_003877	203373_at	0.619	0.00114
SOD2	X15132	216841_s_at	1.68	0.0411
SOS1	AA700167	212780_at	0.645	0.0427
Spc25	AF225416	209891_at	1.533	0.0256
SS18	AF257501	216684_s_at	1.649	0.00127
STC2	BC000658	203439_s_at	1.646	0.03
STK3	NM_006281	204068_at	0.468	0.0239
STK6	NM_003600	204092_s_at	1.554	0.0104
TM4SF1	M90657	209387_s_at	2.237	0.039
TMPO	AF113682	209754_s_at	2.092	0.0117
TNFRSF10B	AF153687	210405_x_at	1.508	0.0402
TNFSF13; TNFSF12-TNFSF13; TWE-PRIL	AF114012	209500_x_at	0.57	0.0056
TOPK	NM_018492	219148_at	1.624	0.00185
TPBG	NM_006670	203476_at	0.651	0.0211
TPX2	AF098158	210052_s_at	1.519	0.0297
TRIB1	NM_025195	202241_at	0.65	0.0221
TTC3	D83077	210645_s_at	0.646	0.0437
TUBA3	AF141347	209118_s_at	0.495	0.0139
TYMS	NM_001071	202589_at	1.623	0.00401
UAP1	S73498	209340_at	1.562	0.0122
UBE3B	AL096740	212404_s_at	2.208	0.0249
USP3	AF077040	221654_s_at	0.592	0.000307
VEGF	M27281	211527_x_at	1.878	0.0382
ZNF175	NM_007147	205497_at	0.654	0.00175
ZNF292	BF223237	212366_at	0.597	0.00375
ZNF45	AI967981	222028_at	0.652	0.00975
ZWINT	NM_007057	204026_s_at	1.68	0.00878
NA	AI143879	205501_at	1.982	0.0186
NA	U79301	215441_at	0.542	0.0464
NA	AK025552	216783_at	1.793	0.043
