Functional Gene Group	Name	Genbank ID	Fold change	p value
Metabolism and Mitochondria	Ribonuclease P/MRP 40kDa subunit	NM_006638	4.9	0.008
Metabolism and Mitochondria	Acetylcholinesterase (Yt blood group)	M55040	4.6	0.008
Metabolism and Mitochondria	Phospholipase A1 member A	NM_015900	4.3	0.015
Metabolism and Mitochondria	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	Y11339	4.2	0.013
Metabolism and Mitochondria	Leucine carboxyl methyltransferase 2	NM_014793	4.1	0.008
Metabolism and Mitochondria	Cytochrome P450, family 2, subfamily B, polypeptide 6	NM_000767	3.8	0.008
Metabolism and Mitochondria	Phosphoserine phosphatase	NM_004577	3.3	0.002
Metabolism and Mitochondria	UDP-glucose ceramide glucosyltransferase-like 1	AU153746	3.3	0.01
Metabolism and Mitochondria	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	AK022632	3.1	0.021
Metabolism and Mitochondria	Carbonic anhydrase XII	BF752277	2.9	0.001
Metabolism and Mitochondria	Protein kinase C and casein kinase substrate in neurons 3	NM_016223	2.7	0.008
Metabolism and Mitochondria	Thyroid hormone responsive (SPOT14 homolog, rat)	AW272342	2.7	0.058
Metabolism and Mitochondria	Fatty acid binding protein 1 liver	NM_001443	-2.5	0.003
Metabolism and Mitochondria	Ubiquitin-like domain containing CTD phosphatase 1	H73636	-2.5	0
Metabolism and Mitochondria	Aldolase B, fructose-bisphosphate	NM_000035	-2.8	0.003
Metabolism and Mitochondria	Sucrase-isomaltase (alpha-glucosidase)	NM_001041	-3	0.006
Metabolism and Mitochondria	Hydroxysteroid (17-beta) dehydrogenase 2	NM_002153	-3.1	0.003
Metabolism and Mitochondria	Hydroxyprostaglandin dehydrogenase 15-(NAD)	J05594	-3.3	0.004
Signal Transduction	Membrane-spanning 4-domains, subfamily A, member 6A	BF338860	7.1	0.022
Signal Transduction	Ras homolog gene family, member A	AW173151	4	0.005
Signal Transduction	SMAD family member 6	AI193899	3.9	0.021
Signal Transduction	Corticotropin releasing hormone	NM_000756	2.6	0.016
Signal Transduction	Chemokine (C-X-C motif) ligand 3	NM_002090	2.5	0.01
Signal Transduction	Scotin	BC001463	2.5	0.048
Signal Transduction	Calcium/calmodulin-dependent protein kinase II inhibitor 1	N75559	-3	0.006
Nucleic Acid Binding and Transcription Factors	Zinc finger protein 671	NM_024833	8.2	0.006
Nucleic Acid Binding and Transcription Factors	Histone cluster 1, H2ag	NM_021064	7	0.004
Nucleic Acid Binding and Transcription Factors	Ribosomal protein L19	NM_000981	6.2	0.001
Nucleic Acid Binding and Transcription Factors	Pygopus homolog 1 (Drosophila)	AL049925	5.1	0.003
Nucleic Acid Binding and Transcription Factors	Forkhead box C1	NM_001453	4.8	0.022
Nucleic Acid Binding and Transcription Factors	Histone cluster 1, H2ae	NM_021052	4.7	0.013
Nucleic Acid Binding and Transcription Factors	Histone cluster 2, H2aa3	NM_003516	4.4	0.0001
Nucleic Acid Binding and Transcription Factors	Nucleolar protein 5A (56kDa with KKE/D repeat)	NM_006392	4.1	0.006
Nucleic Acid Binding and Transcription Factors	General transcription factor IIF, polypeptide 2, 30kDa	BC001771	3.8	0.0002
Nucleic Acid Binding and Transcription Factors	Tigger transposable element derived 1	NM_145702	3.6	0.016
Nucleic Acid Binding and Transcription Factors	Eukaryotic translation initiation factor 3, subunit C	BC000533	3.4	0.001
Nucleic Acid Binding and Transcription Factors	General transcription factor II, i	NM_001518	3.1	0.01
Nucleic Acid Binding and Transcription Factors	Zinc finger protein 7	NM_003416	3.1	0.004
Nucleic Acid Binding and Transcription Factors	Myeloid/lymphoid or mixed-lineage leukemia 3	AI479224	3.1	0.032
Nucleic Acid Binding and Transcription Factors	Ribonuclease P/MRP 25kDa subunit	NM_017793	2.9	0.008
Nucleic Acid Binding and Transcription Factors	ESF1, nucleolar pre-rRNA processing protein, homolog  -	NM_016649	2.9	0.004
Nucleic Acid Binding and Transcription Factors	(S.cerevisiae)
Nucleic Acid Binding and Transcription Factors	Zinc finger protein 148	AI669304	2.8	0.019
Nucleic Acid Binding and Transcription Factors	Eukaryotic translation initiation factor 2-alpha kinase 2	NM_002759	2.7	0.016
Nucleic Acid Binding and Transcription Factors	Nuclear transcription factor Y, gamma	BC005003	2.6	0.004
Nucleic Acid Binding and Transcription Factors	RNA binding motif protein 18	AA167623	2.5	0.003
Protein Binding	Fusion (involved in t(12;16) in malignant liposarcoma)	S75762	9	0.023
Protein Binding	F-box and WD repeat domain containing 2	AK025767	7.9	0.044
Protein Binding	Kelch-like 24 (Drosophila)	AI961401	4.1	0.032
Protein Binding	Kelch repeat and BTB (POZ) domain containing 2	BF000166	3.6	0.003
Protein Binding	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma	NM_173650	3.4	0.021
Protein Binding	Exosome component 4	NM_019037	3.1	0.0001
Protein Binding	GINS complex subunit 2 (Psf2 homolog)	BC003186	2.8	0.01
Protein Binding	Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	AA491236	2.6	0.003
Protein Binding	Dolichyl-phosphate mannosyltransferase polypeptide 3	NM_018973	2.5	0.017
Structural and Cytoskeleton	Solute carrier family 6, member 15	N25883	7.5	0.005
Structural and Cytoskeleton	Keratin 80	AL162069	5.2	0.001
Structural and Cytoskeleton	Ribosomal protein L39-like	L05096	4.9	0.001
Structural and Cytoskeleton	Centrosomal protein 250kDa	BF511695	4.5	0.041
Structural and Cytoskeleton	Kinesin family member C3	BC001211	4.3	0.019
Structural and Cytoskeleton	Mitochondrial ribosomal protein L9	BC004517	3.8	0.016
Structural and Cytoskeleton	Microtubule-actin crosslinking factor 1	AK023821	3.5	0.018
Structural and Cytoskeleton	Ribosomal protein L7	BG389744	3.4	0.009
Structural and Cytoskeleton	Neuroglobin	BF510662	3.4	0.011
Structural and Cytoskeleton	Plakophilin 3	BF001503	2.9	0.013
Structural and Cytoskeleton	Nucleoporin 153kDa	NM_005124	2.9	0.003
Structural and Cytoskeleton	Mitochondrial ribosomal protein S26	AF308301	2.7	0.008
Structural and Cytoskeleton	Tropomyosin 2 (beta)	NM_003289	2.7	0.004
Structural and Cytoskeleton	Copine I	NM_003915	2.5	0.01
Structural and Cytoskeleton	Tubulin, gamma 1	NM_001070	2.5	0.001
Structural and Cytoskeleton	Ankyrin 3, node of Ranvier (ankyrin G)	NM_020987	-2.7	0.003
Miscellaneous	Complement component 3	NM_000064	13.1	0.016
Miscellaneous	CUB and Sushi multiple domains 1	NM_033225	9.2	0.008
Miscellaneous	Postmeiotic segregation increased 2-like 1	D38435	6.3	0.003
Miscellaneous	Secernin 1	NM_014766	6	0.004
Miscellaneous	Williams Beuren syndrome chromosome region 19 pseudogene	AK024602	4.7	0.024
Miscellaneous	Coiled-coil domain containing 3	AL136562	4.2	0.006
Miscellaneous	ATH1, acid trehalase-like 1 (yeast)	NM_025092	4.1	0.003
Miscellaneous	GINS complex subunit 1 (Psf1 homolog)	NM_021067	3.2	0.005
Miscellaneous	CDK5 regulatory subunit associated protein 2	AK025867	3.1	0.003
Miscellaneous	Tubulin polymerization-promoting protein family member 3	NM_016140	3	0.004
Miscellaneous	RAP1, GTP-GDP dissociation stimulator 1	BC001851	3	0.008
Miscellaneous	ORM1-like 3 (S. cerevisiae)	BC000638	3	0.0003
Miscellaneous	Lysosomal associated multispanning membrane protein 5	AI589086	2.8	0.009
