Symbol	Gene name and/or description	Accession no.	Fold change	Gene Group
Pawr / Par4	PRKC, apoptosis, WT1, regulator	BB398886	1.89	Apoptosis
Plagl1 / Zac1	Pleiomorphic adenoma gene-like 1	NM_009538	1.84	Apoptosis
SIP27	Stress-induced protein 27	NM_021897	2.55	Apoptosis
Survivin / Birc5	Survivin/baculoviral IAP repeat-containing 5	BC004702	–2.14	Apoptosis
Tnfrsf10b	Tumor necrosis factor receptor superfamily, member 10b	NM_020275	2.15	Apoptosis
Tgm2	Transglutaminase 2, C polypeptide	BB041811	3.01	Apoptosis
Btg2 / TIS21	B-cell translocation gene 2, antiproliferative	BG965405	2.59	Cell growth and proliferation
Fos	FBJ osteosarcoma oncogene	NM_010234	3.02	Cell growth and proliferation
Gfer	Growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	NM_023040	2.48	Cell growth and proliferation
Gpc3	Glypican 3	AW107802	2.65	Cell growth and proliferation
Igfbp5	Insulin-like growth factor binding protein 5	BF225802	–2.87	Cell growth and proliferation
MKi67	Antigen identified by monoclonal antibody Ki67	X82786	–2.09	Cell growth and proliferation
Mxd3 / Mad3	Max dimerization protein 3	NM_016662	–2.31	Cell growth and proliferation
Pdgfa	Platelet-derived growth factor alpha	BB371842	2.32	Cell growth and proliferation
Rbbp4	Retinoblastoma binding protein 4	AU040918	–1.83	Cell growth and proliferation
RhoE / ArhEe	Ras homolog gene family, member E	NM_028810	2.2	Cell growth and proliferation
Src	Rous sarcoma oncogene	NM_001025	1.81	Cell growth and proliferation
Tgfbi	Transforming growth factor beta induced, 68 kDa	NM_009369	–1.78	Cell growth and proliferation
Actc1	Actin, alpha, cardiac	NM_009608	2.37	Development
Alcam	Activated leukocyte cell adhesion molecule	U95030	2.65	Development
BM88	BM88 antigen	NM_021316	3.12	Development
Bmp4	Bone morphogenetic protein 4	NM_007554	2.09	Development
Bmp6	Bone morphogenetic protein 6	NM_007556	1.84	Development
Bdnf	Brain-derived neurotrophic factor	NM_007540	2.69	Development
Ankrd1 / Crap	Cardiac responsive adriamycin protein/ankyrin repeat domain 1	NM_013468	2.16	Development
Col9a3	Procollagen, type IX, alpha 3	NM_009936	2.05	Development
Col10a1	Procollagen, type X, alpha 1	NM_009925	1.94	Development
Col19a1	Procollagen, type XIX, alpha 1	NM_007733	3.28	Development
Col15a1	Procollagen, type XV	AF011450	–2.41	Development
Ctnnd2	Catenin delta 2	NM_008729	2.39	Development
Crabp1	Cellular retinoic acid binding protein I	NM_013496	–2.69	Development
CryaB	Crystallin, alpha B	AV016515	2.1	Development
Dkk2	Dickkopf homolog 2 (Xenopus laevis)	NM_020265	–2.39	Development
Dlx3	Distal-less homeobox 3	NM_010055	–2.02	Development
Dm15	Dystrophia myotonica kinase, B15	AW108486	2.18	Development
Ebf2	Early B-cell factor 2	U71189	2.29	Development
Efna3	Ephrin A3	AA388313	2.92	Development
Foxm1	Forkhead box M1	NM_008021	–2.28	Development
Hells / Lsh	Helicase, lymphoid specific	NM_008234	–1.99	Development
Hmgb3	High-mobility-group box 3	NM_008253	–3.31	Development
Id4	Inhibitor of DNA binding 4	NM_031166	2.59	Development
Kdr	Kinase insert domain protein receptor	NM_010612	2.74	Development
Lmnb1	Lamin B1	BG064054	–1.97	Development
Lrp2	Low-density lipoprotein receptor-related protein 2	BM119915	2.57	Development
Mmp13	Matrix metalloproteinase 13	NM_008607	–2.11	Development
Mmp2	Matrix metalloproteinase 2	BF147716	2.1	Development
Myd116	Myeloid differentiation primary response gene 116	NM_008654	1.86	Development
Myom1	Myomesin 1	NM_010867	2.36	Development
Myh11	Myosin heavy chain 11, smooth muscle	NM_013607	2.13	Development
Myh6	Myosin heavy chain, cardiac muscle, adult	NM_010856	2.85	Development
Myl1	Myosin light chain, alkali	AK003182	2.34	Development
Mylpf	Myosin light chain, phosphorylatable	NM_016754	2.78	Development
Myh1	Myosin, heavy polypeptide 1	AJ002522	2.21	Development
Myh2	Myosin, heavy polypeptide 2, skeletal muscle, adult	NM_144961	2.25	Development
Myh3	Myosin, heavy polypeptide 3	M74753	4.89	Development
Ngfr	Nerve growth factor receptor	NM_033217	4.24	Development
Nrln1	Neuralin 1	NM_031258	–2.71	Development
Neurod6	Neurogenic differentiation 6	NM_009717	3.98	Development
Nnat	Neuronatin	NM_010923	2.05	Development
Ntf3	Neurotrophin 3	NM_008742	2.71	Development
Pdgfra	Platelet-derived growth factor receptor, alpha polypeptide	AW537708	–2.23	Development
Prox1	Prospero-related homeobox 1	NM_008937	2.36	Development
Rest	RE1-silencing transcription factor	AK004945	–12.47	Development
Sfxn1	Sideroflexin 1	BB478992	–1.98	Development
Sim1	Single-minded 1	NM_011376	2.19	Development
Suv39h2	Suppressor of variegation 3-9 homolog 2 (Drosophila)	NM_022724	–4.24	Development
Tslp	Thymic stromal lymphopoietin	NM_021367	2.79	Development
Tgfb2	Transforming growth factor beta 2	NM_009367	1.78	Development
Tgfbr1	Transforming growth factor beta receptor 1	NM_009370	–2.10	Development
Tpm1	Tropomyosin 1, alpha	NM_024427	1.78	Development
Tnnc1	Troponin C, cardiac/slow skeletal	NM_009393	2.04	Development
Tnnc2	Troponin C, fast skeletal	NM_009394	1.7	Development
Tnni1	Troponin 1, skeletal, slow 1	NM_021467	1.86	Development
Tph1	Tryptophan hydroxylase 1	NM_009414	2.5	Development
Wt1	Wilms tumor homolog	NM_144783	3.25	Development
