Affymetrix ID	Fold Induction	Common name	Description
1388271_at	3.003	Mt1a	Transcribed sequence with moderate similarity to protein sp:P04732 (H.sapiens) MT1E_HUMAN METALLOTHIONEIN-IE
1387659_at	2.941	Gda	guanine deaminase
1371583_at	2.904	Rbm3	RNA binding motif protein 3
1390049_at	2.895	Fhl1	four and a half LIM domains 1
1395073_at	2.892		Transcribed sequence with weak  similarity to protein pir:RGECDW (E. coli) RGECDW transcription activator of D-serine dehydratase - Escherichia coli
1374501_at	2.863		Similar to RNA-binding protein isoform G3BP-2a (LOC305240), mRNA
1368849_at	2.841	Csnk1g3	casein kinase 1 gamma 3 isoform
1392171_at	2.835	Chi3l1	chitinase 3-like 1 (cartilage glycoprotein-39)
1373335_at	2.828		Transcribed sequences
1388924_at	2.821		Transcribed sequence with strong similarity to protein ref:NP_065606.1 (M.musculus)  fibrinogen/angiopoietin-related protein; major histocompatibility complex region NG27 [Mus musculus]
1372390_at	2.816		Similar to mKIAA0287 protein (LOC308321), mRNA
1388054_a_at	2.811	Cspg2	chondroitin sulfate proteoglycan 2 (versican)
1388265_x_at	2.81	Cspg2	chondroitin sulfate proteoglycan 2 (versican)
1393668_at	2.782		Similar to RIKEN cDNA 1810022F11 (LOC288369), mRNA
1387074_at	2.772	Rgs2	regulator of G-protein signaling protein 2
1367616_at	2.771	Nppb	natriuretic peptide precursor type B
1367612_at	2.721	Mgst1	microsomal glutathione S-transferase 1
1375422_at	2.704		UI-R-AB1-yt-f-08-0-UI.s1 UI-R-AB1 Rattus norvegicus cDNA clone UI-R-AB1-yt-f-08-0-UI 3, mRNA sequence.
1380611_at	2.669		Similar to FKBP51 (LOC361810), mRNA
1396450_at	2.657		Similar to mena protein (LOC360891), mRNA
1371785_at	2.621	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a
1368597_at	2.613	Snf1lk	SNF1-like kinase
1384197_at	2.607		Transcribed sequences
1371232_a_at	2.565	Cspg2	chondroitin sulfate proteoglycan 2 (versican)
1370055_at	2.565	Rab3d	RAB3D, member RAS oncogene family
1393375_at	2.546		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1392785_at	2.525		Transcribed sequences
1391669_at	2.52		Similar to vascular endothelial protein tyrosine phosphatase (LOC314843), mRNA
1389831_at	2.495		Transcribed sequences
1393730_at	2.491		UI-R-CX0-bxk-b-09-0-UI.s1 UI-R-CX0 Rattus norvegicus cDNA clone UI-R-CX0-bxk-b-09-0-UI 3, mRNA sequence.
1385458_a_at	2.484		Similar to C11orf17 protein (LOC361624), mRNA
1397999_at	2.469		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1387868_at	2.465	Lbp	lipopolysaccharide binding protein
1397449_at	2.459		UI-R-C1-ld-a-07-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-ld-a-07-0-UI 3, mRNA sequence.
1386869_at	2.446	Actg2	actin, gamma 2
1391373_at	2.443		Transcribed sequences
1369961_at	2.44	Ppap2a	phosphatidate phosphohydrolase type 2a
1370239_at	2.434	Hba1	Similar to hemoglobin alpha chain (LOC367986), mRNA
1389172_at	2.434		Transcribed sequence with moderate similarity to protein sp:P20933 (H.sapiens) ASPG_HUMAN N
1383175_a_at	2.429		Similar to C11orf17 protein (LOC361624), mRNA
1367998_at	2.422	Slpi	secretory leukocyte protease inhibitor
1395695_at	2.407		Similar to aortic carboxypeptidase-like protein ACLP (LOC305494), mRNA
1368596_at	2.388	Snf1lk	SNF1-like kinase
1373972_at	2.365		Similar to neuron navigator 1 (LOC304818), mRNA
1388460_at	2.365		Similar to Capg protein (LOC297339), mRNA
1376513_a_at	2.359		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1369268_at	2.354	Atf3	activating transcription factor 3
1388932_at	2.351	Lama5	laminin, alpha 5
1382707_at	2.321		Similar to ribosomal protein S6 kinase 2 (LOC363468), mRNA
1370631_at	2.32	Pap3	pancreatitis-associated protein 3
1379440_at	2.317	Fstl3	follistatin-like 3
1369341_a_at	2.314	Acvrip1	activin receptor interacting protein 1
1375084_at	2.314		Similar to RIKEN cDNA 2310004K20 (LOC313057), mRNA
1395211_s_at	2.31		Transcribed sequences
1387124_at	2.304	Inha	inhibin alpha
1370380_s_at	2.303	Nr2f6	nuclear receptor subfamily 2, group F, member 6
1368128_at	2.302	Pla2g2a	synonym: sPLA2; eted enzyme type IIA phospholipase A2; Rattus norvegicus phospholipase A2, group IIA (platelets, synovial fluid) (Pla2g2a), mRNA.
1398246_s_at	2.29	Fcgr3	Fc receptor, IgG, low affinity III
1384707_at	2.287		Transcribed sequences
1387132_at	2.276	Lipe	lipase, hormone sensitive
1387301_at	2.261	Fgf1	fibroblast growth factor 1
1370203_at	2.258	Frag1	FGF receptor activating protein 1
1392938_s_at	2.254		Similar to C11orf17 protein (LOC361624), mRNA
1367755_at	2.252	Cdo1	cytosolic cysteine dioxygenase 1
1370019_at	2.244	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1
1385408_at	2.236		Transcribed sequence with strong similarity to protein pir:T00081 (H.sapiens) T00081 hypothetical protein KIAA0518 - human
1373781_a_at	2.235		Similar to suprabasin; suprabasal-specific protein suprabasin (LOC292793), mRNA
1379977_at	2.227		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1389490_at	2.221		Similar to endosialin (LOC293669), mRNA
1394109_at	2.214		UI-R-C0-hj-e-12-0-UI.r1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-hj-e-12-0-UI 5, mRNA sequence.
1376249_at	2.208		Similar to RIKEN cDNA 0610025O11 gene (LOC292485), mRNA
1387658_at	2.206	Eef2k	eukaryotic elongation factor-2 kinase
1370080_at	2.198	Hmox1	synonyms: Ho1, Heox, Hmox, Ho-1, HEOXG; Heme oxygenase; Heme oxygenase 1; Rattus norvegicus heme oxygenase  1 (Hmox1), mRNA.
1383176_at	2.194		Similar to C11orf17 protein (LOC361624), mRNA
1376102_at	2.193		Similar to RECS1 (LOC316516), mRNA
1373421_at	2.186		Similar to oriLyt TD-element binding protein 7 (LOC366994), mRNA
1369817_at	2.183	Hand2	dHand protein
1393766_at	2.174		UI-R-Y0-mn-e-04-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-mn-e-04-0-UI 3, mRNA sequence.
1375044_at	2.172		Transcribed sequences
1368685_at	2.172	Cspg4	membrane-spanning proteoglycan NG2
1375074_at	2.17		Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1392664_at	2.169	Admr	adrenomedullin receptor
1370834_at	2.162	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
1368440_at	2.157	Slc3a1	solute carrier family 3, member 1
1393917_at	2.155		Transcribed sequence with moderate similarity to protein ref:NP_444324.1 (M.musculus)  CD163 antigen [Mus musculus]
1395586_at	2.152	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
1394662_at	2.15		UI-R-DK0-cek.1-g-12-0-UI.s2 UI-R-DK0 Rattus norvegicus cDNA clone UI-R-DK0-cek.1-g-12-0-UI 3, mRNA sequence.
1397540_at	2.148		Transcribed sequences
1375498_at	2.137		Transcribed sequences
1387844_at	2.135	Lasp1	LIM and SH3 protein 1
1379767_at	2.129		Transcribed sequences
1380229_at	2.123		Transcribed sequences
1372729_at	2.122		Similar to endothelial cell protein C/APC receptor (LOC362248), mRNA
1391556_at	2.121		Transcribed sequences
1388210_at	2.121	Mte1	mitochondrial acyl-CoA thioesterase 1
1367928_at	2.12	Myh6	myosin heavy chain, polypeptide 7
1378413_at	2.117		Transcribed sequences
1374165_at	2.115		Similar to Ca2+-promoted Ras inactivator; GTPase activating protein-like; calcium-promoted Ras inactivator (LOC288589), mRNA
1371035_at	2.114	Gtf3a	UI-R-BJ1-atd-f-03-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-atd-f-03-0-UI 3, mRNA sequence.
1379521_at	2.11		Similar to DNA segment, Chr 16, ERATO Doi 36, expressed (LOC287983), mRNA
1367631_at	2.108	Ctgf	connective tissue growth factor
1387135_at	2.106	Adam15	a disintegrin and metalloproteinase domain (ADAM) 15 (metargidin)
1389234_at	2.097	Vwf	Von Willebrand factor
1372256_at	2.096		Transcribed sequence with strong similarity to protein ref:NP_001302.1 (H.sapiens)  cysteine-rich protein 1
1377452_at	2.09		Similar to tetranectin (LOC316099), mRNA
1367577_at	2.088	Hspb1	synonym: Hsp27; This sequence comes from Fig. 1; Heat shock 27 kDa protein; heat shock 27 kDa protein 1; Rattus norvegicus heat shock 27kDa protein 1 (Hspb1), mRNA.
1389381_at	2.088	Sqstm1	sequestosome 1
1371363_at	2.082	Gpd3	glycerol 3-phosphate dehydrogenase
1376300_at	2.08		Transcribed sequence with weak  similarity to protein ref:NP_057711.1 (H.sapiens)  hypothetical protein LOC51321 [Homo sapiens]
1382192_at	2.074		Similar to Extra cellular link domain-containing 1 (LOC293186), mRNA
1388792_at	2.074		Similar to GROWTH ARREST AND DNA-DAMAGE-INDUCIBLE PROTEIN GADD45 GAMMA (LOC291005), mRNA
1397954_at	2.07		UI-R-BT1-ajy-d-03-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-ajy-d-03-0-UI 3, mRNA sequence.
1374529_at	2.067		EST234947 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVDV40 3 end, mRNA sequence.
1393891_at	2.067		Similar to Collagen alpha 1(VIII) chain precursor (LOC304021), mRNA
1377578_at	2.066		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1395512_at	2.065		Similar to cytokine receptor like molecule 3 (LOC290655), mRNA
1392875_at	2.061		Similar to expressed sequence AI836810 (LOC313101), mRNA
1394025_at	2.058		Similar to Smad6 (LOC367100), mRNA
1376843_at	2.057		Similar to Bone morphogenetic protein type II receptor (LOC301443), mRNA
1382732_at	2.055		Similar to Extra cellular link domain-containing 1 (LOC293186), mRNA
1367661_at	2.052	S100a6	calcium binding protein A6 (calcyclin)
1367632_at	2.043	Glns	glutamine synthetase 1
1371250_at	2.043		Similar to Platelet factor 4 precursor (PF-4) (CXCL4) (LOC360918), mRNA
1389425_at	2.039		Similar to 5(3)-deoxyribonucleotidase (LOC363706), mRNA
1375713_at	2.033	Hes5	hairy and enhancer of split 5 (Drosophila)
1374393_at	2.032		Similar to protein tyrosine phosphatase-like protein PTPLB (LOC367631), mRNA
1371383_at	2.032		Similar to RIKEN cDNA 2310074H19 (LOC293674), mRNA
1378342_at	2.031	Ednra	endothelin receptor type A
1367850_at	2.03	Fcgr3	Fc receptor, IgG, low affinity III
1377551_at	2.03		Transcribed sequences
1382873_at	2.026		Similar to cDNA sequence BC003236 (LOC310760), mRNA
1388532_at	2.026		Similar to DKFZP586M1523 protein (LOC317408), mRNA
1374388_at	2.025		Similar to Swiprosin 1 (LOC298609), mRNA
1383379_at	2.025		UI-R-C1-kq-a-11-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-kq-a-11-0-UI 3, mRNA sequence.
1375795_at	2.019		Transcribed sequences
1372990_at	2.019		Similar to CAMP responsive element binding protein 3 (LOC298400), mRNA
1380236_at	2.019		Similar to integrin alpha 9 protein (LOC316055), mRNA
1379768_at	2.014		Transcribed sequences
1391022_at	2.009		Similar to Lamb3 protein (LOC360901), mRNA
1375861_at	2.009		Transcribed sequence with weak  similarity to protein ref:NP_068798.1 (H.sapiens)  nucleosome assembly protein 1-like 2 [Homo sapiens]
1378416_at	2.008		Similar to 0610012F22Rik protein (LOC299246), mRNA
1383853_at	2.007		UI-R-BT1-aqw-d-02-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqw-d-02-0-UI 3, mRNA sequence.
1384105_at	2.004		Similar to ligase III, DNA, ATP-dependent (LOC303369), mRNA
1368187_at	2.004	Gpnmb	glycoprotein (transmembrane) nmb
1379361_at	1.997	Pex11a	peroxisomal membrane protein Pmp26p (Peroxin-11)
1390336_at	1.996		Similar to Protein C21orf63 homolog precursor (LOC360695), mRNA
1390437_at	1.996		UI-R-BS1-ayc-f-05-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayc-f-05-0-UI 3, mRNA sequence.
1392264_s_at	1.996	Serpine1	serine (or cysteine) proteinase inhibitor, member 1
1395223_at	1.994		Similar to hypothetical protein MGC35097 (LOC306589), mRNA
1368536_at	1.992	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
1382268_at	1.991	Akap13	A kinase (PRKA) anchor protein 13
1370215_at	1.985	C1qb	complement component 1, q subcomponent, beta polypeptide
1381016_at	1.98		Transcribed sequences
1397489_at	1.979		Transcribed sequences
1382986_at	1.979		Transcribed sequences
1372640_at	1.977		Transcribed sequences
1388837_at	1.976		LOC363025 (LOC363025), mRNA
1390841_at	1.974		Transcribed sequences
1389533_at	1.971	Fbln2	fibulin 2
1374779_at	1.962	F13a	coagulation factor XIIIa
1376100_at	1.958		Similar to RIKEN cDNA 2310057H16 (LOC307351), mRNA
1371184_x_at	1.957	LOC286890	tropomyosin isoform 6
1384797_at	1.957		Similar to RIKEN cDNA 5730596K20 (LOC309187), mRNA
1368878_at	1.955	Idi1	isopentenyl-diphosphate delta isomerase
1387365_at	1.954	Nr1h3	nuclear receptor subfamily 1, group H, member 3
1382214_at	1.953		Similar to CG12547 gene product (LOC307986), mRNA
1371194_at	1.952	Tnfip6	tumor necrosis factor induced protein 6
1376583_at	1.948		Similar to RIKEN cDNA 6430548M08 (LOC307907), mRNA
1380754_at	1.947		Similar to RIKEN cDNA 5330426D11 (LOC312562), mRNA
1389095_at	1.946		Transcribed sequence with weak  similarity to protein ref:NP_150279.1 (H.sapiens)  brother of CDO [Homo sapiens]
1383675_at	1.944		UI-R-CW0-bvx-f-09-0-UI.s1 UI-R-CW0 Rattus norvegicus cDNA clone UI-R-CW0-bvx-f-09-0-UI 3, mRNA sequence.
1372639_at	1.94		Similar to RING-finger protein MURF (LOC362708), mRNA
1388872_at	1.939	Idi1	isopentenyl-diphosphate delta isomerase
1378831_at	1.939		Transcribed sequences
1376761_at	1.938	Hdac4	histone deacetylase 4
1388350_at	1.937		Similar to PxF protein (LOC289233), mRNA
1369672_at	1.937	Alox5ap	arachidonate 5-lipoxygenase activating protein
1397660_at	1.936		Similar to CG9109-PA (LOC288443), mRNA
1372316_at	1.935		Similar to AI115348 protein (LOC313860), mRNA
1388357_at	1.934		Transcribed sequence with weak  similarity to protein prf:2208351A (H.sapiens) 2208351A syntrophin:ISOTYPE=alpha1 [Homo sapiens]
1373322_at	1.927		Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1373604_at	1.926		Transcribed sequences
1367650_at	1.924	Lcn7	lipocalin 7
1396327_at	1.924		Similar to CYP2J4 (LOC313373), mRNA
1396559_at	1.921		UI-R-BS2-bdz-f-03-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bdz-f-03-0-UI 3, mRNA sequence.
1371537_at	1.92		Transcribed sequence with strong similarity to protein sp:O43286 (H.sapiens) B4G5_HUMAN Beta-1,4-galactosyltransferase 5
1388105_at	1.917	D123	D123 gene product
1384056_at	1.916	Fgfr3	fibroblast growth factor receptor 3
1385925_at	1.913		Transcribed sequences
1393250_at	1.913		Transcribed sequence with weak  similarity to protein prf:2001471A (H.sapiens) 2001471A glycoprotein D [Homo sapiens]
1391413_at	1.911		Similar to Cytosolic purine 5-nucleotidase (5-nucleotidase cytosolic II) (LOC294016), mRNA
1368490_at	1.91	Cd14	CD14 antigen
1377662_at	1.909		Similar to 2310042L19Rik protein (LOC363465), mRNA
1368213_at	1.906	Por	P450 (cytochrome) oxidoreductase
1379510_at	1.905		Transcribed sequences
1388541_at	1.902		Similar to Hypothetical protein KIAA0152 (LOC304543), mRNA
1380929_at	1.901		Similar to hypothetical protein FLJ34512 (LOC302996), mRNA
1372653_at	1.901		Similar to FK506 binding protein 11 (LOC300211), mRNA
1382118_at	1.9		Similar to mKIAA0287 protein (LOC308321), mRNA
1395687_at	1.899		Similar to activating transcription factor 7 interacting protein; ATFa-associated Modulator (LOC312800), mRNA
1383464_at	1.899		Similar to PxF protein (LOC289233), mRNA
1397453_at	1.898		UI-R-CN1-cjo-b-24-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjo-b-24-0-UI 3, mRNA sequence.
1388211_s_at	1.897	Cte1	mitochondrial acyl-CoA thioesterase 1
1370282_at	1.895	Csrp2	cysteine and glycine-rich protein 2
1390407_at	1.895		Similar to Protein C3orf4 homolog (LOC288182), mRNA
1383711_at	1.889	Nmt1	N-myristoyltransferase 1
1379910_at	1.889		UI-R-C2p-ny-b-02-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-ny-b-02-0-UI 3, mRNA sequence.
1367871_at	1.888	Cyp2e1	cytochrome P450, subfamily 2E, polypeptide 1
1379935_at	1.886		Similar to Small inducible cytokine A7 precursor (CCL7) (Monocyte chemotactic protein 3) (MCP-3) (Monocyte chemoattractant protein 3) (LOC287561), mRNA
AFFX-r2-Bs-phe-5_at	1.884
1398347_at	1.883		Similar to rat Axl shortform (LOC308444), mRNA
1370409_at	1.883	Slc38a1	solute carrier family 38, member 1
1371468_at	1.882		Transcribed sequences
1371152_a_at	1.881	Oas1	25 oligoadenylate synthetase
1396741_at	1.881	Avil	pervin
1380730_at	1.879		Similar to Cc1-3 (LOC304467), mRNA
1368731_at	1.875	Orm1	orosomucoid 1
1372107_at	1.872	Fhl1	four and a half LIM domains 1
1377800_at	1.872		Transcribed sequences
1393860_at	1.87		Similar to flavoprotein oxidoreductase MICAL2 (LOC365352), mRNA
1387343_at	1.87	Cebpd	CCAAT/enhancerbinding, protein (C/EBP) delta
1386128_at	1.87		Similar to tetranectin (LOC316099), mRNA
1368408_at	1.87	Gprk5	G protein-coupled receptor kinase 5
1369373_at	1.869	Fgfr3	fibroblast growth factor receptor 3
1370252_at	1.867	esu	Esau
1380774_at	1.867		Transcribed sequences
1375637_at	1.866		Similar to RIKEN cDNA 1110003E01 (LOC364154), mRNA
1377721_at	1.865		Transcribed sequences
1370928_at	1.864	Litaf	Estrogen-responsive uterine mRNA, partial sequence
1398365_at	1.864		Similar to RIKEN cDNA 2700055K07 (LOC291966), mRNA
1379281_at	1.862	Usag1	uterine sensitization-associated gene 1 protein
1392074_at	1.861		Transcribed sequences
1382206_a_at	1.86		Similar to A kinase (PRKA) anchor protein 2; A kinase anchor protein 2 (LOC298024), mRNA
1376576_at	1.857		Similar to Dual specificity protein phosphatase 11 (RNA/RNP complex-intereracting phosphatase) (Phosphatase that interacts with RNA/RNP complex 1) (LOC297412), mRNA
1393282_at	1.856	Mybbp1a	MYB binding protein  1a
1368829_at	1.855	Fbn1	fibrillin-1
1395190_at	1.855		Similar to RIKEN cDNA 2310005E10 (LOC296972), mRNA
1388674_at	1.854		Ultraviolet B radiation-activated UV96 mRNA, partial sequence
1383897_at	1.853		Similar to apoptosis-inducing factor (AIF)-homologous mitochondrion-associated inducer of death; p53-responsive gene 3 (LOC361843), mRNA
1386420_at	1.853		EST222431 Normalized rat spleen, Bento Soares Rattus sp. cDNA clone RSPBK60 3 end, mRNA sequence.
1370370_at	1.852	Hyal2	hyaluronidase 2
1389905_at	1.852		EST219293 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVBE49 3 end, mRNA sequence.
1373032_at	1.851	Mustang	fracture callus protein MUSTANG
1390943_at	1.85		Similar to hypothetical protein dJ465N24.2.1 (LOC362626), mRNA
1372704_at	1.85		Similar to RIKEN cDNA 2310008M10 (LOC362040), mRNA
1374637_at	1.85		Similar to hypothetical protein PRO1580 (LOC291661), mRNA
1385948_at	1.848		Transcribed sequences
1376076_at	1.847		Transcribed sequence with moderate similarity to protein ref:NP_037464.1 (H.sapiens)  hypoxia-inducible protein 2 [Homo sapiens]
1382919_at	1.847		Similar to cDNA sequence BC021530 (LOC306009), mRNA
1377267_at	1.847		Similar to hepatocellular carcinoma-associated protein HCA1 (LOC317232), mRNA
1391753_at	1.846	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
1388142_at	1.846	Cspg2	chondroitin sulfate proteoglycan 2 (versican)
1379415_at	1.843		Transcribed sequences
1370851_a_at	1.842	Hapip	huntingtin-associated protein interacting protein (duo)
1389467_at	1.842		Transcribed sequence with moderate similarity to protein ref:NP_060756.1 (H.sapiens)  hypothetical protein FLJ10970 [Homo sapiens]
AFFX_Rat_Hexokinase_5_at	1.841	Hk1
1381021_at	1.84		Similar to KIAA1521 protein (LOC311880), mRNA
1388780_at	1.84		Transcribed sequence with moderate similarity to protein ref:NP_061848.1 (H.sapiens)  TRF2-interacting telomeric RAP1 protein [Homo sapiens]
1377994_at	1.837		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1389519_at	1.836		Similar to proteasome 26S non-ATPase subunit 8 (LOC292766), mRNA
1371235_at	1.834	Grm6	glutamate receptor, metabotropic 6
1376645_at	1.834		Similar to RIKEN cDNA 6330406I15 (LOC360757), mRNA
1377964_at	1.833		Transcribed sequence with strong similarity to protein ref:NP_064526.1 (H.sapiens)  protein x 013 [Homo sapiens]
1387776_at	1.832	Tgm2	tissue-type transglutaminase
1379787_at	1.831		Similar to Umpk protein (LOC311864), mRNA
1370291_at	1.83	Pdlim3	actinin alpha 2 associated LIM protein
1370256_at	1.83	Fzd1	Transcribed sequence with strong similarity to protein ref:NP_003496.1 (H.sapiens)  frizzled 1; frizzled
1395357_at	1.829	Map1b	microtubule-associated protein 1b
1395980_at	1.829		Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1385701_at	1.827		Transcribed sequences
1391450_at	1.827		Similar to Lysyl oxidase homolog 2 precursor (Lysyl oxidase-like protein 2) (Lysyl oxidase related protein 2) (Lysyl oxidase-related protein WS9-14) (LOC290350), mRNA
1390942_at	1.824		Transcribed sequences
1386913_at	1.824	Gp38	glycoprotein 38
1383360_at	1.824	MGC72630	similar to RIKEN cDNA 5830404H04
1375944_at	1.821		Similar to Acetyl-coenzyme A synthetase, cytoplasmic (Acetate--CoA ligase) (Acyl-activating enzyme) (Acetyl-CoA synthetase) (ACS) (AceCS) (LOC311569), mRNA
1368650_at	1.819	Tieg	TGFB inducible early growth response
1388133_at	1.818	Pippin	PIPPin protein
1372064_at	1.817		CDK104 mRNA
1370281_at	1.816	Fabp5	fatty acid binding protein 5, epidermal
1376379_a_at	1.816		Similar to RIKEN cDNA 2310004I24 gene (LOC287406), mRNA
1376390_at	1.816		Similar to MS4A6D protein (LOC361735), mRNA
1370464_at	1.816	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A
1369899_s_at	1.815	Rabggta	go_function: prenyltransferase activity [goid 0004659] [evidence IEA]; go_function: protein prenyltransferase activity [goid 0008318] [evidence IEA]; go_function: transferase activity [goid 0016740] [evidence IEA]; go_process: protein amino acid prenylation [goid 0018346] [evidence IEA]; Rattus norvegicus Rab geranylgeranyl transferase, a subunit (Rabggta), mRNA.
1372013_at	1.815		Similar to interferon induced transmembrane protein 2 like; interferon induced transmembrane protein like 2 (human); interferon induced transmembrane protein 2 like (human) (LOC293618), mRNA
1376799_a_at	1.814		Similar to cytokine receptor like molecule 3 (LOC290655), mRNA
1386940_at	1.813	Timp2	tissue inhibitor of metalloproteinase 2
1376200_at	1.813	MGC72974	Unknown (protein for MGC:72974)
1368024_at	1.812	Qscn6	quiescin Q6
1393004_at	1.811		Transcribed sequences
1368387_at	1.81	Bdh	go_component: mitochondrion [goid 0005739] [evidence IEA]; go_function: 3-hydroxybutyrate dehydrogenase activity [goid 0003858] [evidence TAS]; go_function: catalytic activity [goid 0003824] [evidence IEA]; go_function: oxidoreductase activity [goid 0016491] [evidence IEA]; go_process: metabolism [goid 0008152] [evidence IEA]; Rattus norvegicus 3-hydroxybutyrate dehydrogenase (heart, mitochondrial) (Bdh), mRNA.
1381507_at	1.809		Transcribed sequences
1372308_at	1.808		Transcribed sequence with weak  similarity to protein sp:O60315 (H.sapiens) SIP1_HUMAN Zinc finger homeobox protein 1b
1383738_at	1.807		UI-R-DO0-cix-a-01-0-UI.s1 UI-R-DO0 Rattus norvegicus cDNA clone UI-R-DO0-cix-a-01-0-UI 3, mRNA sequence.
1373368_at	1.807		UI-R-DE0-caf-d-09-0-UI.s1 UI-R-DE0 Rattus norvegicus cDNA clone UI-R-DE0-caf-d-09-0-UI 3, mRNA sequence.
1389129_at	1.805		Transcribed sequences
1382436_at	1.805		Similar to RIKEN cDNA 2610002M06 (LOC363487), mRNA
1384511_at	1.804		Similar to heat shock protein hsp40-3 (LOC313811), mRNA
