Public ID	Gene title	Gene symbol	Fold change	AdjustedP	Function
AI851984	Protein phosphatase 1, regulatory (inhibitor) subunit 2	Ppp1r2	4	0.001006	Glycogen metabolism
AW124340	Solute carrier family 39 (metal ion transporter), member 8	Slc39a8	4	0.002779	Metal ion transport
U44389	Hydroxyprostaglandin dehydrogenase 15 (NAD)	Hpgd	4	0.029232	Prostaglandin metabolism
AF057286	Epsin 2	Epn2	4	0.002026	Endocytosis
AW046775	RIKEN cDNA 2610319K07 gene	2610319K07	4	0.037007	NA
AF110520	DNA segment, Chr 17, ERATO Doi 288, expressed	NA	4	0.003264	NA
AF014010	Polycystic kidney disease 2	Pkd2	4	0.021826	Transport
AW120767	RIKEN cDNA 5830406C15 gene	NA	4	0.001965	NA
AI851750	Arrestin, ?1	Arrb1	3	0.006148	G protein–coupled receptor protein
AI509617	Tumor necrosis factor, ?-induced protein 1 (endothelial)	Tnfaip1	3	0.007525	Potassium ion transport
D78643	Ornithine decarboxylase antizyme 2	Oaz2	3	0.001564	Sonic hedgehog signaling
U70674	Numb gene homologue(Drosophila)	Numb	3	0.010883	Notch signaling pathway
Y07919	Adaptor protein complex AP1, ? 1 subunit	Ap1b1	3	0.000705	Notch signaling pathway
AW121446	Casein kinase 1, ?2	Csnk1g2	3	0.003987	Protein amino acid phosphorylation
AI851163	Tryptophanyl-tRNA synthetase	Wars	3	0.011609	Protein biosynthesis, angiogenesis
