Gene Symbol	Gene Title	GenBank ID	Affy ID	Fold Change	P-value	FDR (%)
EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	NM_001415	205321_at	0.65	1.31E-03	3
HLA-E	major histocompatibility complex, class I, E	M31183	217456_x_at	1.21	7.86E-04	3
IGH	immunoglobulin heavy locus	M87789	211430_s_at	1.78	2.46E-03	3
PEX14	peroxisomal biogenesis factor 14	AB017546	33760_at	1.24	1.08E-03	3
SMA3 /// SMA5	SMA3 /// SMA5	X83301	215043_s_at	0.61	8.53E-04	3
STAT1	signal transducer and activator of transcription 1, 91kDa	NM_007315	200887_s_at	1.35	1.62E-03	3
TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000544	204770_at	1.31	1.07E-03	3
TXNDC13	thioredoxin domain containing 13	AL544094	201580_s_at	1.21	8.67E-04	3
BRDG1	BCR downstream signaling 1	NM_012108	220059_at	2.06	3.79E-03	3
CCL5	chemokine (C-C motif) ligand 5	NM_002985	204655_at	1.51	2.72E-03	3
CD1C	CD1c molecule	NM_001765	205987_at	1.3	1.79E-03	3
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	M17955	209823_x_at	1.48	2.48E-03	3
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	M32577	211656_x_at	1.31	2.13E-03	3
IFITM1	interferon induced transmembrane protein 1 (9-27)	NM_003641	201601_x_at	1.35	2.03E-03	3
IL7R	interleukin 7 receptor	NM_002185	205798_at	1.61	2.88E-03	3
INDO	indoleamine-pyrrole 2,3 dioxygenase	M34455	210029_at	1.64	3.03E-03	3
ITK	IL2-inducible T-cell kinase	D13720	211339_s_at	1.76	2.77E-03	3
LOC153561	hypothetical protein LOC153561	X75940	214850_at	0.71	1.24E-03	3
LOC652745	similar to Ig kappa chain V-I region Walker precursor	AJ408433	216401_x_at	2.12	3.50E-03	3
LSP1	lymphocyte-specific protein 1	NM_002339	203523_at	1.24	1.57E-03	3
LYZ	lysozyme (renal amyloidosis)	AV711904	213975_s_at	1.61	2.47E-03	3
MTMR2	myotubularin related protein 2	AK027038	203211_s_at	0.77	6.01E-04	3
MXRA7	matrix-remodelling associated 7	BF968134	212509_s_at	1.28	2.08E-03	3
STAT1	signal transducer and activator of transcription 1, 91kDa	M97935_MB	M97935_MB_at	1.51	2.38E-03	3
TRBV19	T cell receptor beta variable 19	AL559122	213193_x_at	1.57	2.37E-03	3
C5AR1	complement component 5a receptor 1	NM_001736	220088_at	1.37	2.87E-03	4
CD52	CD52 molecule	N90866	34210_at	1.7	3.78E-03	4
HLA-E	major histocompatibility complex, class I, E	NM_005516	200905_x_at	1.27	2.09E-03	4
MARK1	MAP/microtubule affinity-regulating kinase 1	NM_018650	221047_s_at	0.8	5.47E-04	4
PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	NM_002800	204279_at	1.44	3.27E-03	4
RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	NM_015376	205801_s_at	1.27	2.27E-03	4
VPS53	vacuolar protein sorting 53 (S. cerevisiae)	NM_018289	219794_at	0.81	5.10E-04	4
ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	AF183569	209788_s_at	1.32	3.81E-03	5
BCL2A1	BCL2-related protein A1	NM_004049	205681_at	1.43	4.21E-03	5
CCDC109B	coiled-coil domain containing 109B	NM_017918	218802_at	1.29	3.04E-03	5
CPZ	carboxypeptidase Z	BC006393	211062_s_at	1.26	3.39E-03	5
CXCR4	chemokine (C-X-C motif) receptor 4	AJ224869	217028_at	1.72	4.49E-03	5
EVI2A	ecotropic viral integration site 2A	NM_014210	204774_at	1.48	3.88E-03	5
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	AI583173	212998_x_at	1.39	4.36E-03	5
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	AJ297586	215193_x_at	1.3	3.91E-03	5
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	U65585	209312_x_at	1.3	3.70E-03	5
HLA-F	major histocompatibility complex, class I, F	NM_018950	204806_x_at	1.29	3.58E-03	5
HLA-G	HLA-G histocompatibility antigen, class I, G	M90684	211529_x_at	1.22	2.34E-03	5
ICAM2	intercellular adhesion molecule 2	NM_000873	204683_at	1.2	2.36E-03	5
IFI27	interferon, alpha-inducible protein 27	NM_005532	202411_at	1.34	4.38E-03	5
IFI44L	interferon-induced protein 44-like	NM_006820	204439_at	1.63	4.67E-03	5
IGHM	immunoglobulin heavy constant mu	BC001872	209374_s_at	2.37	4.91E-03	5
IGKC	immunoglobulin kappa constant	L14458	211644_x_at	1.88	4.82E-03	5
IGKC	Immunoglobulin kappa constant	BG485135	214669_x_at	1.67	5.16E-03	5
IGL	immunoglobulin lambda locus	X57812	214677_x_at	1.81	4.63E-03	5
IGL	immunoglobulin lambda locus	AA680302	215121_x_at	1.74	4.81E-03	5
IGL	immunoglobulin lambda locus	AV698647	215379_x_at	1.67	5.67E-03	5
IGL	Immunoglobulin lambda locus	M87790	209138_x_at	1.82	5.35E-03	5
IRF1	interferon regulatory factor 1	NM_002198	202531_at	1.38	4.59E-03	5
ISG15	ISG15 ubiquitin-like modifier	NM_005101	205483_s_at	1.6	4.41E-03	5
LOC400410	similar to cervical cancer suppressor-1	AL109714	217104_at	0.72	1.34E-03	5
LOC651629	similar to Ig kappa chain V-I region Walker precursor	AW404894	215176_x_at	1.91	6.10E-03	5
PLGLB2	plasminogen-like B2	BC005379	205871_at	0.66	1.33E-03	5
PTPRC	protein tyrosine phosphatase, receptor type, C	NM_002838	207238_s_at	1.6	4.87E-03	5
STAT1	signal transducer and activator of transcription 1, 91kDa	M97935_MA	M97935_MA_at	1.45	4.33E-03	5
TRBV21-1	T cell receptor beta variable 21-1	AF043179	211796_s_at	1.58	4.13E-03	5
WASPIP	Wiskott-Aldrich syndrome protein interacting protein	AI005043	202663_at	1.33	4.06E-03	5
	MHC class I mRNA fragment 3.8-1	AI346483	214186_s_at	1.21	3.61E-03	5
ADAMDEC1	ADAM-like, decysin 1	NM_014479	206134_at	1.81	7.57E-03	5
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	AK023795	222162_s_at	1.48	7.10E-03	5
ADRB1	adrenergic, beta-1-, receptor	NM_000684	208214_at	0.63	1.89E-03	5
APOL6	apolipoprotein L, 6	NM_030641	219716_at	1.2	3.58E-03	5
ARL17P1	ADP-ribosylation factor-like 17 pseudogene 1	AF119889	210718_s_at	0.67	1.77E-03	5
C1QA	complement component 1, q subcomponent, A chain	NM_015991	218232_at	1.37	5.47E-03	5
C1QB	complement component 1, q subcomponent, B chain	NM_000491	202953_at	1.43	4.98E-03	5
CD48	CD48 molecule	NM_001778	204118_at	1.44	7.26E-03	5
CORO1A	coronin, actin binding protein, 1A	U34690	209083_at	1.4	6.63E-03	5
CREM	cAMP responsive element modulator	D14826	209967_s_at	1.43	7.22E-03	5
CTSC	cathepsin C	NM_001814	201487_at	1.35	6.48E-03	5
CXCR4	chemokine (C-X-C motif) receptor 4	AF348491	211919_s_at	1.66	8.18E-03	5
CXCR4	chemokine (C-X-C motif) receptor 4	L01639	209201_x_at	1.65	4.77E-03	5
DUSP2	dual specificity phosphatase 2	NM_004418	204794_at	1.53	6.81E-03	5
EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	NM_004951	205419_at	1.56	6.65E-03	5
GMFG	glia maturation factor, gamma	NM_004877	204220_at	1.32	4.68E-03	5
GPR171	G protein-coupled receptor 171	NM_013308	207651_at	1.49	5.69E-03	5
HERC5	hect domain and RLD 5	NM_016323	219863_at	1.21	3.55E-03	5
HLA-B	major histocompatibility complex, class I, B	L42024	209140_x_at	1.2	3.24E-03	5
IFIT3	interferon-induced protein with tetratricopeptide repeats 3	NM_001549	204747_at	1.25	5.03E-03	5
IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	AV733266	212592_at	2.02	6.63E-03	5
IGKC	immunoglobulin kappa constant	BC005332	221651_x_at	1.59	5.93E-03	5
IGKC	immunoglobulin kappa constant	M63438	221671_x_at	1.6	5.72E-03	5
IGKV1D-13	immunoglobulin kappa variable 1D-13	AW408194	216207_x_at	1.73	6.68E-03	5
IGLJ3	immunoglobulin lambda joining 3	AB014341	211881_x_at	1.45	7.66E-03	5
IL10RA	interleukin 10 receptor, alpha	NM_001558	204912_at	1.38	6.05E-03	5
IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	NM_000206	204116_at	1.32	4.92E-03	5
IRF8	interferon regulatory factor 8	AI073984	204057_at	1.3	5.80E-03	5
LOC339562	similar to Ig kappa chain V-I region Walker precursor	M20812	217480_x_at	1.64	6.35E-03	5
LOC96610	Hypothetical protein similar to KIAA0187 gene product	X79782	217179_x_at	1.57	8.45E-03	5
NARS2	asparaginyl-tRNA synthetase 2 (mitochondrial)	NM_024678	219217_at	0.81	1.40E-03	5
PARP12	poly (ADP-ribose) polymerase family, member 12	NM_022750	218543_s_at	1.21	3.11E-03	5
PEX14	peroxisomal biogenesis factor 14	NM_004565	203503_s_at	1.2	3.34E-03	5
PI15	peptidase inhibitor 15	NM_015886	207938_at	1.63	6.73E-03	5
PTGDS	prostaglandin D2 synthase 21kDa (brain)	NM_000954	212187_x_at	1.3	6.99E-03	5
RASA4	RAS p21 protein activator 4	AI738591	212707_s_at	1.24	3.85E-03	5
RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	NM_005739	205590_at	1.45	7.12E-03	5
SMA3	SMA3	NM_006780	206565_x_at	0.7	1.79E-03	5
TFEC	transcription factor EC	NM_012252	206715_at	1.34	6.83E-03	5
TNFRSF7	tumor necrosis factor receptor superfamily, member 7	NM_001242	206150_at	1.38	7.19E-03	5
ZNF37B	zinc finger protein 37B	AK026980	215358_x_at	0.76	1.45E-03	5
6-Sep	septin 6	AY034177	212413_at	1.21	6.58E-03	6
APOL1	apolipoprotein L, 1	AF323540	209546_s_at	1.28	7.04E-03	6
CD53	CD53 molecule	NM_000560	203416_at	1.34	9.22E-03	6
CROCC	ciliary rootlet coiled-coil, rootletin	BC006312	211038_s_at	1.27	7.21E-03	6
ENOSF1	enolase superfamily member 1	AF305057	213645_at	0.79	2.10E-03	6
FAIM3	Fas apoptotic inhibitory molecule 3	AI084226	221601_s_at	1.55	0.01	6
HCLS1	hematopoietic cell-specific Lyn substrate 1	NM_005335	202957_at	1.39	7.91E-03	6
HLA-B	major histocompatibility complex, class I, B	D83043	208729_x_at	1.23	5.34E-03	6
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	BG397856	212671_s_at	1.48	9.08E-03	6
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	AW276186	212999_x_at	1.48	9.58E-03	6
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	M17565	211654_x_at	1.32	8.13E-03	6
HLA-F	major histocompatibility complex, class I, F	BE138825	221978_at	1.36	7.37E-03	6
HLA-F	major histocompatibility complex, class I, F	AW514210	221875_x_at	1.25	6.60E-03	6
IFI16	interferon, gamma-inducible protein 16	NM_005531	206332_s_at	1.25	7.57E-03	6
IFITM3	interferon induced transmembrane protein 3 (1-8U)	BF338947	212203_x_at	1.22	5.99E-03	6
IGHM	immunoglobulin heavy constant mu	X17115	212827_at	2.48	0.01	6
IGKC /// IGKV1-5	immunoglobulin kappa constant /// immunoglobulin kappa variable 1-5	BG536224	214836_x_at	1.58	9.52E-03	6
IGLV2-14	immunoglobulin lambda variable 2-14	AJ249377	217148_x_at	1.96	9.89E-03	6
ISG20	interferon stimulated exonuclease gene 20kDa	NM_002201	204698_at	1.33	8.15E-03	6
PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	U17496	209040_s_at	1.29	6.92E-03	6
PTGDS	prostaglandin D2 synthase 21kDa (brain)	M61900	211663_x_at	1.3	7.23E-03	6
PTGDS	prostaglandin D2 synthase 21kDa (brain)	BC005939	211748_x_at	1.29	7.60E-03	6
PTPRC	protein tyrosine phosphatase, receptor type, C	Y00062	212588_at	1.58	9.17E-03	6
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	BE138888	213603_s_at	1.4	7.65E-03	6
RAMP3	receptor (calcitonin) activity modifying protein 3	NM_005856	205326_at	1.23	6.93E-03	6
SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	NM_022136	220330_s_at	1.6	9.90E-03	6
SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9	BC002538	209723_at	1.36	7.27E-03	6
SLA	Src-like-adaptor	NM_006748	203761_at	1.36	9.55E-03	6
SLFN12	schlafen family member 12	NM_018042	219885_at	1.24	7.58E-03	6
STK17B	serine/threonine kinase 17b (apoptosis-inducing)	NM_004226	205214_at	1.31	7.19E-03	6
TRA	T cell receptor alpha locus	M15565	210972_x_at	1.42	8.84E-03	6
CREM	cAMP responsive element modulator	NM_001881	207630_s_at	1.41	0.01	7
CXCL11	chemokine (C-X-C motif) ligand 11	AF030514	210163_at	2.34	0.01	7
ECHDC3	enoyl Coenzyme A hydratase domain containing 3	NM_024693	219298_at	1.24	9.14E-03	7
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	NM_002125	204670_x_at	1.27	8.78E-03	7
IFI44	interferon-induced protein 44	NM_006417	214453_s_at	1.4	9.86E-03	7
IFI6	interferon, alpha-inducible protein 6	NM_022873	204415_at	1.62	0.01	7
IFITM2	interferon induced transmembrane protein 2 (1-8D)	NM_006435	201315_x_at	1.23	8.75E-03	7
LOC644450	hypothetical protein LOC644450	AI050036	222347_at	0.68	2.69E-03	7
OBSCN	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	AI344415	222324_at	0.65	2.61E-03	7
PLEKHQ1	pleckstrin homology domain containing, Q member 1	NM_025201	204436_at	1.21	7.59E-03	7
PRG1	proteoglycan 1, secretory granule	NM_002727	201859_at	1.32	9.74E-03	7
PTPN22	protein tyrosine phosphatase, non-receptor type 22	NM_015967	206060_s_at	1.26	9.83E-03	7
THBD	thrombomodulin	NM_000361	203888_at	1.31	9.35E-03	7
ZNF606	zinc finger protein 606	NM_025027	219635_at	0.82	1.73E-03	7
6-Sep	septin 6	AY034177	212414_s_at	1.24	0.01	8
CD37	CD37 molecule	NM_001774	204192_at	1.44	0.01	8
CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	NM_003277	204482_at	1.53	0.01	8
CLIC2	chloride intracellular channel 2	AI768628	213415_at	1.21	0.01	8
CSF2RB	colony stimulating factor 2 receptor, beta	AV756141	205159_at	1.42	0.01	8
	similar to omega protein	AL022324	215946_x_at	1.54	0.01	8
EDNRA	endothelin receptor type A	NM_001957	204464_s_at	1.28	0.01	8
FLJ20152	hypothetical protein FLJ20152	AI816291	218510_x_at	0.72	2.75E-03	8
HLA-A	major histocompatibility complex, class I, A	M80469	217436_x_at	1.23	0.01	8
HLA-DRA	major histocompatibility complex, class II, DR alpha	M60334	208894_at	1.31	0.01	8
HLA-DRA	major histocompatibility complex, class II, DR alpha	M60333	210982_s_at	1.31	0.01	8
IGHA1 /// IGHA2	immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker)	S55735	217022_s_at	1.74	0.01	8
IGLJ3	immunoglobulin lambda joining 3	AB001733	211798_x_at	1.47	0.01	8
IL20RA	interleukin 20 receptor, alpha	NM_014432	219115_s_at	0.74	3.75E-03	8
LCK	lymphocyte-specific protein tyrosine kinase	NM_005356	204891_s_at	1.36	0.01	8
MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	NM_002462	202086_at	1.34	0.01	8
OAS2	2-5-oligoadenylate synthetase 2, 69/71kDa	NM_016817	204972_at	1.41	0.01	8
PDK4	pyruvate dehydrogenase kinase, isozyme 4	NM_002612	205960_at	1.71	0.01	8
PLTP	phospholipid transfer protein	NM_006227	202075_s_at	1.33	0.01	8
RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	NM_002933	201785_at	1.3	0.01	8
TSGA10	testis specific, 10	NM_025244	220623_s_at	0.69	2.75E-03	8
ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	AI817942	214032_at	1.21	9.38E-03	8
BIRC4BP	XIAP associated factor-1	NM_017523	206133_at	1.26	0.01	9
BTN3A2	butyrophilin, subfamily 3, member A2	AI991252	212613_at	1.32	0.01	9
C1orf54	chromosome 1 open reading frame 54	NM_024579	219506_at	1.23	0.01	9
CCL19	chemokine (C-C motif) ligand 19	U88321	210072_at	1.63	0.01	9
CCL4	chemokine (C-C motif) ligand 4	NM_002984	204103_at	1.58	0.01	9
CCR5	chemokine (C-C motif) receptor 5	NM_000579	206991_s_at	1.23	0.01	9
CLEC4A	C-type lectin domain family 4, member A	NM_016184	219947_at	1.24	0.01	9
DOCK10	dedicator of cytokinesis 10	NM_017718	219279_at	1.37	0.01	9
ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	BF508639	213712_at	1.46	0.01	9
FBN2	fibrillin 2 (congenital contractural arachnodactyly)	NM_001999	203184_at	1.37	0.01	9
GLTP	glycolipid transfer protein	NM_016433	219267_at	0.77	2.90E-03	9
GNG11	guanine nucleotide binding protein (G protein), gamma 11	NM_004126	204115_at	1.24	0.01	9
ICAM2	intercellular adhesion molecule 2	AA126728	213620_s_at	1.23	0.01	9
IGHA1	immunoglobulin heavy constant alpha 1	AB035175	216510_x_at	1.62	0.01	9
IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	AW519168	215118_s_at	1.78	0.02	9
	Immunoglobulin lambda locus	D84143	216984_x_at	1.79	0.01	9
IL16	interleukin 16 (lymphocyte chemoattractant factor)	NM_004513	209827_s_at	1.27	0.01	9
IRS2	insulin receptor substrate 2	BF700086	209184_s_at	1.27	0.01	9
ISG20	interferon stimulated exonuclease gene 20kDa	U88964	33304_at	1.28	0.01	9
ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	AC_002310	213475_s_at	1.21	0.01	9
OLFML2A	olfactomedin-like 2A	AL050002	213075_at	1.29	0.01	9
PLEK	pleckstrin	NM_002664	203471_s_at	1.32	0.01	9
RGS16	regulator of G-protein signalling 16	BF304996	209324_s_at	1.42	0.01	9
SCGB1A1	secretoglobin, family 1A, member 1 (uteroglobin)	NM_003357	205725_at	2	0.02	9
THBD	thrombomodulin	NM_000361	203887_s_at	1.4	0.01	9
TP53TG3	TP53TG3 protein	NM_015369	220167_s_at	0.8	2.35E-03	9
UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	U94592	208998_at	1.22	0.01	9
WASPIP	Wiskott-Aldrich syndrome protein interacting protein	AW058622	202664_at	1.31	0.01	9
ARHGAP25	Rho GTPase activating protein 25	D29642	38149_at	1.2	0.01	10
CD86	CD86 molecule	L25259	210895_s_at	1.35	0.01	10
CD97	CD97 molecule	NM_001784	202910_s_at	1.22	0.01	10
DNASE1L3	deoxyribonuclease I-like 3	NM_004944	205554_s_at	1.25	0.01	10
HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	NM_006042	219985_at	1.24	0.01	10
LAPTM5	lysosomal associated multispanning membrane protein 5	NM_006762	201721_s_at	1.32	0.01	10
LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	AI123251	205269_at	1.37	0.01	10
LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	AF004231	210146_x_at	1.2	0.01	10
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	AA744529	214339_s_at	1.26	0.01	10
MAPK8	mitogen-activated protein kinase 8	U35004	210671_x_at	0.82	2.41E-03	10
MS4A1	membrane-spanning 4-domains, subfamily A, member 1	BC002807	210356_x_at	1.84	0.02	10
MTMR2	myotubularin related protein 2	NM_016156	203212_s_at	0.8	2.87E-03	10
NID1	nidogen 1	BF940043	202007_at	1.27	0.01	10
PLGLA1	plasminogen-like A1	N58120	214415_at	0.79	3.48E-03	10
PMS2	PMS2 postmeiotic segregation increased 2	NM_024521	221206_at	0.82	2.96E-03	10
PRG1	proteoglycan 1, secretory granule	J03223	201858_s_at	1.4	0.01	10
PTPRC	protein tyrosine phosphatase, receptor type, C	AI809341	212587_s_at	1.44	0.01	10
RGS1	regulator of G-protein signalling 1	S59049	216834_at	1.29	0.01	10
RHOD	ras homolog gene family, member D	BC001338	209885_at	0.81	3.40E-03	10
SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	NM_003005	206049_at	1.29	0.01	10
SLAMF1	signaling lymphocytic activation molecule member 1	NM_003037	206181_at	1.23	0.01	10
SOCS1	suppressor of cytokine signaling 1	AB005043	210001_s_at	1.28	0.01	10
UBE2L6	ubiquitin-conjugating enzyme E2L 6	NM_004223	201649_at	1.26	0.01	10
ADAM28	ADAM metallopeptidase domain 28	NM_014265	205997_at	1.61	0.02	11
ARHGAP15	Rho GTPase activating protein 15	NM_018460	218870_at	1.25	0.02	11
ARL4C	ADP-ribosylation factor-like 4C	BG435404	202207_at	1.23	0.02	11
BTN3A2	butyrophilin, subfamily 3, member A2	BC002832	209846_s_at	1.3	0.02	11
CD207	CD207 molecule, langerin	NM_015717	220428_at	1.27	0.02	11
CDC7	CDC7 cell division cycle 7 (S. cerevisiae)	NM_003503	204510_at	1.28	0.02	11
CKMT1B	creatine kinase, mitochondrial 1B	NM_020990	202712_s_at	0.66	5.83E-03	11
CPM	carboxypeptidase M	NM_001874	206100_at	2.16	0.02	11
CREM	cAMP responsive element modulator	U44836	214508_x_at	1.34	0.02	11
GPM6A	glycoprotein M6A	BF939489	209469_at	1.63	0.02	11
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	M16276	209480_at	1.5	0.02	11
IGHD	immunoglobulin heavy constant delta	AJ275469	214973_x_at	1.55	0.02	11
ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NM_000211	202803_s_at	1.32	0.01	11
MGC2463	hypothetical protein LOC79037	NM_024070	219812_at	1.24	0.02	11
MS4A1	membrane-spanning 4-domains, subfamily A, member 1	X12530	217418_x_at	1.79	0.02	11
