Gene Symbol	Genbank accession no.	Function category	Normalized increase during proliferation	Normalized increase during tubulogenesis	Full-length gene name
GSTM1	NM_000561.1	DEF	0.7	2.2	Glutathione S-transferase M1
GSTM3	AL527430	DEF	0.9	3.3	Glutathione S-transferase M3 (brain)
DLL4	NM_019074	CFD/M	0.9	6.1	Delta-like 4 homologue
UNKL	BG335934	H/TF	1	4.7	Unkempt-like
PRDM15 / ZNF298	BF058757	H/TF	0.6	2.3	Proline-rich domain zinc finger protein 15
POLYCOMB / NSPC1 / RNF3A2	BC004952.1	H/TF	1	4.6	Polycomb
GAKIN / KIF13B	NM_015254	ICT/S	0.9	2	Kinesin-like protein GAKIN
PIM1	M24779	ICT/S	0.9	2	Oncogene pim1
ARHGEF7 / COOL-1 / P85	AW139757	M/CT	0.9	2.3	Rho guanine nucleotide exchange factor 7
CDC42BPB	NM_006035	CSO	1	2.3	Cdc42-binding protein kinase B
LPL	NM_000237	L-MET	0.9	3.3	Lipoprotein lipase
SEC14L2	R49343	L-MET	0.7	2.9	Sec14-like 2
BRUNOL5	BE503640	RP	1	2.5	Bruno (Drosophila) like 5
ANKRD3 / RIP4 / DIK	NM_020639	ST	0.4	11.6	Ankyrin repeat domain 3
EFNA3	AW189015	AF/GC	0.9	4.5	Ephrin A3
EFNB2	BF001670	AF/GC	1	3.8	Ephrin B2
CHRNA3	M37981.1	AF/GC	0.9	2.1	Nicotinic acetylcholine receptor A3
sFRP1 / FrzA	NM_003012.2	AF/GC	0.9	3	Secreted Frizzled-related protein 1
EVA1	BF437750	CA	0.6	5.1	Epithelial V-like antigen 1
GJA4	M96789	CA	0.9	3.2	Connexin 37
DUSP4	NM_057158	ST	0.9	7.8	Dual-specificity phosphatase 4
SSAT	M55580.1	CFD/M	0.9	1.9	Spermidine-spermine N1-acetyltransferase
Nestin	P48681	CSO	0.9	2.9	Nestin
TAGLN / SM22	NM_003186	CSO	0.9	4.2	Transgelin
ZCWPW1	NM_017984	H/TF	0.8	2.2	Zinc finger, CW-type with PWWP domain 1
nFATc2 / nFAT1	NM_012340	H/TF	0.9	13.4	Nuclear factor of activated T cells, calcineurin-dependent 2
ABCA1	AF285167	L-MET	0.8	2.8	ATP-binding cassette transporter 1
CYP1A1	NM_000499	L-MET	0.9	3.8	Cytochrome P450, subfamily 1
CXCR4	AJ224869	M/CT	0.5	16.7	Chemokine (C-X-C motif), receptor 4
RGS3	NM_017790	M/CT	1	2.9	Regulator of G protein signaling 3
ARHGEF17 / p164RhoGEF	NM_014786	M/CT	0.9	2.1	Rho guanine nucleotide exchange factor 17
CD10	NM_007287.1	P/MMP	0.9	3	Neutral endopeptidase, enkephalinase, CALLA, EC3.4.24.11
T3JAM	NM_025228	ST	0.7	5.7	Traf3-interacting JNK-activating modulator
DUSP10	N36770	ST	0.9	2.2	Dual-specificity phosphatase 10
PDE3A	NM_000921	ST	1	4.7	Phosphodiesterase 3A
SEMA4B / SEMAC	NM_020210	AF/GC	0.9	2	Semaphorin 4B
SEMA3C / SEMAE	NM_006379	M/CT	0.9	2.1	Semaphorin 3C
SEMA4C / SEMAF	AI949392	M/CT	1	7	Semaphorin 4C
TGFBI	NM_000358	CA	0.7	2.8	Transforming growth factor-B induced
Syndecan-1 / CD138	Z48199	CA/CSO	0.8	2.5	Syndecan-1
COL18A1	AF018081	CA	1	2.9	Collagen, type XVIII, a1
GPC1	NM_002081	CA	0.8	1.9	Glypican 1
ITGB4 / CD104	NM_000213	CA	1	2.9	Integrin B4
DDR1 / NTRK4 / NEP / trkE	U48705	CA	1	2.2	Receptor tyrosine kinase DDR
TSC22	AK027071	CFD/M	0.9	1.8	TGF-B-stimulated clone 22
IGFBP5	L27560.1	CFD/M	0.8	7.4	Insulin-like growth factor binding protein 5
SERPINB9 / CAP3	BC002538	DEF	0.8	2.2	Serine proteinase inhibitor, clade B, member 9
CD59 / MIRL / Protectin / MIC11	NM_000611	DEF	0.9	2.8	NA
CSPG2 / versican	BF218922	ECM	0.9	4.8	Chondroitin sulfate proteoglycan 2
LAMA5	NM_005560	ECM	1	2.5	Laminin, a5
KLF15	AW014734	L-MET/H/TF	1	2.3	Kruppel-like factor 15
BCL6 / ZFP51 / LAZ3	NM_001706	H/TF	0.9	1.9	B-cell lymphoma 6
Twist2 / DERMO1	AI086614	H/TF	0.9	4.2	Dermis-expressed protein 1, mouse, homologue of
BTEB1 / KLF9	NM_001206	H/TF	0.9	2.4	Basic transcription element binding protein 1/Kruppel-like factor 9
HMGIY / HMGA1	NM_002131	H/TF	0.9	2.6	High-mobility group protein isoforms I and Y
IRF4 / LSIRF / MUM1	D78261	H/TF	1	3.8	IFN-regulatory factor
TLE2 / ESG2 / GROUCHO2	NM_003260.1	H/TF	0.8	1.7	Transducin-like enhancer protein 2
CITED2 / MRG1	AW027167	H/TF	0.9	2.5	CBP/p300-interacting transactivator, with Glu/Asp-rich COOH-terminal domain, 2
MLPH / SLac2a	NM_024101	ICT/S	0.7	4.5	Melanophilin
DCTN2 / p50	NM_006400	ICT/S	1	2.8	Dynactin 2
PDLIM1 / ELFIN / CLIM1 / CLP36	BC000915	ICT/S	1	2.2	PDZ and LIM domain protein 1
MYO10	NM_012334	ICT/S	1	2.6	Myosin X
STK35 / Clik1	AA001414	M/CT	0.9	1.9	Serine/threonine kinase 35
HK2	AI761561	MET	0.9	1.8	Hexokinase 2
SLC2A3 / GLUT3	NM_006931.1	MET	0.8	1.8	Solute carrier family 2 (glucose transporter), member 3
ABCG1	NM_004915	L-MET	0.9	2.6	ATP-binding cassette, subfamily G (white), member 1
PALM	NM_002579	M/CT	0.8	1.8	Paralemmin
SPAG6	AI651156	M/CT	0.9	2	Sperm-associated antigen 6
MR-GEF / GFR / REPAC	NM_012294	M/CT	1	2.5	Guanine nucleotide exchange factor for Rap1/M-Ras-regulated GEF
BCR	NM_004327.2	M/CT	1	2	Breakpoint cluster region protein
CDC42EP3 / BORG2	AI801777	M/CT	1	2.9	Cdc42 effector protein 3
CTSH	NM_004390.1	P/MMP	0.6	2.4	Cathepsin H
ADAM19 / MADDAM	Y13786.2	P/MMP	0.8	3.6	Murine meltrin-B/ADAM 19 homologue
