Gene_Name	Gene_Symbol	Primary_Gene_ID	ProbeID	FC (dataset 1)	p-value	FC (dataset 2)	p-value	FC (dataset 3)	p-value	Molecular Function|Biological Process
UDP-N-acteylglucosamine pyrophosphorylase 1	UAP1	6675	120981	-2.5	0.04612	-2.5	0.04547	-2.5	0.01566	Protein metabolism and modification|Protein glycosylation
serpin peptidase inhibitor, clade C (antithrombin), member 1	SERPINC1	462	107675	-2.5	0.0404	-5	0.00556	-3.3	0.00258	Protein metabolism and modification|Proteolysis
proprotein convertase subtilisin/kexin type 5	PCSK5	5125	178884	5.76	0.00085	3.67	0.00367	3.27	0.00664	Signal transducrtion|Cell surface receptor mediated signal transduction
guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1	2782	206443	1.41	0.03384	1.42	0.03691	1.69	0.00407	Signal transducrtion|Cell surface receptor mediated signal transduction
guanine nucleotide binding protein (G protein), gamma 5	GNG5	2787	178569	1.41	0.03747	1.32	0.1138	1.5	0.0423	Signal transducrtion|Cell surface receptor mediated signal transduction
calmodulin binding transcription activator 1	CAMTA1	23261	164871	1.57	0.02239	1.29	0.15521	1.43	0.04496	Signal transduction|Calcium mediated signaling
CD59 antigen p18-20	CD59	966	162611	1.83	0.01405	1.83	0.00271	1.48	0.04245	Signaling molecule|Immunity and defense
galanin	GAL	51083	167511	-2.5	0.01756	-3.3	0.00823	-3.3	0.00004	Signaling molecule|Peptide hormone/Muscle contraction
ATP-binding cassette-ATG9 autophagy related 9 homolog A	ABCB6-ATG9A	10058;79065	209528	1.86	0.01649	2.56	0.0122	2.74	0.00516	Transport|Extracellular transport and import
phosphatidylinositol transfer protein, membrane-associated 1	PITPNM1	9600	128232	1.77	0.00536	1.19	0.12377	1.61	0.01931	unclassified
ring finger protein 190	RNF190	162333	197739	1.44	0.03907	1.42	0.04236	1.5	0.00244	unclassified
optineurin	OPTN	10133	129441	1.42	0.039	1.55	0.02416	1.41	0.04741	unclassified
transmembrane protein 63A	TMEM63A	9725	184048	-1.4	0.03327	-1.6	0.00117	-1.4	0.00187	unclassified
COMM domain containing 8	COMMD8	54951	127990	-1.6	0.04959	-1.6	0.05728	-1.4	0.02605	unclassified
transmembrane protein 70	TMEM70	54968	173256	-1.25	0.0332	-1.1	0.33313	-1.6	0.04281	unclassified
cell division cycle associated 7	CDCA7	83879	207416	-1.6	0.03533	-1.4	0.10852	-1.6	0.01646	unclassified
eukaryotic translation initiation factor 4E nuclear import factor 1	EIF4ENIF1	56478	166561	-1.6	0.00258	-1.25	0.01037	-1.6	0.00966	unclassified
erythrocyte membrane protein band 4.1-like 1	EPB41L1	2036	122347	-2	0.0048	-2	0.07714	-2	0.04108	unclassified
leucine rich repeat and coiled-coil domain containing 1	LRRCC1	85444	200352	-3.3	0.0161	-1.42	0.34595	-2.5	0.04805	unclassified
