Probe set id	Gene symbol	Score	Fold change	Q-value
205922_at	VNN2	4.968434	2.21332	0.111248
205568_at	AQP9	4.946148	2.14275	0.111248
204647_at	HOMER3	4.924779	1.63473	0.111248
213624_at	SMPDL3A	4.913881	1.7787	0.111248
204158_s_at	TCIRG1	4.892235	1.50396	0.111248
201109_s_at	THBS1	4.874398	1.82377	0.111248
219788_at	PILRA	4.870797	1.94697	0.111248
206310_at	SPINK2	4.862019	1.65188	0.111248
218710_at	FLJ20272	4.776956	1.55698	0.111248
217963_s_at	NGFRAP1	4.768214	1.53251	0.111248
218000_s_at	PHLDA1	4.750668	1.50273	0.111248
205898_at	CX3CR1	4.734943	2.17406	0.111248
214146_s_at	PPBP	4.728051	2.30605	0.111248
207131_x_at	GGT1	4.720279	1.52024	0.111248
200629_at	WARS	4.707651	1.52627	0.111248
210660_at	LILRA1	4.646122	1.70682	0.111248
217728_at	S100A6	4.641353	1.56241	0.111248
204619_s_at	CSPG2	4.591049	2.38621	0.111248
201110_s_at	THBS1	4.589097	1.73973	0.111248
202855_s_at	SLC16A3	4.555763	1.58414	0.111248
208767_s_at	LAPTM4B	4.54837	1.93002	0.111248
202643_s_at	TNFAIP3	4.541927	1.63395	0.111248
205936_s_at	HK3	4.475695	2.75795	0.111248
207697_x_at	LILRB2	4.470463	1.97527	0.111248
205681_at	BCL2A1	4.46147	1.83291	0.111248
202644_s_at	TNFAIP3	4.432144	1.51303	0.111248
206157_at	PTX3	4.402454	1.85072	0.111248
209699_x_at	AKR1C1	4.400525	1.50629	0.111248
219806_s_at	FN5	4.37293	1.55225	0.111248
222218_s_at	PILRA	4.338793	1.90582	0.111248
211924_s_at	PLAUR	4.334217	1.52279	0.111248
210397_at	DEFB1	4.300026	3.16272	0.111248
214039_s_at	LAPTM4B	4.283184	1.93145	0.111248
213716_s_at	SECTM1	4.251362	1.85938	0.111248
201392_s_at	IGF2R	4.221704	1.56972	0.111248
206765_at	KCNJ2	4.215661	1.67899	0.111248
211571_s_at	CSPG2	4.180023	2.80293	0.111248
205220_at	GPR109B	4.130014	1.65176	0.111248
215646_s_at	CSPG2	4.125165	2.52842	0.111248
206390_x_at	PF4	4.124539	2.15386	0.111248
213988_s_at	SAT	4.115614	1.52436	0.111248
202436_s_at	CYP1B1	4.093965	1.87981	0.111248
211429_s_at	---	4.092481	1.94952	0.111248
206110_at	HIST1H3H	4.049522	1.51162	0.111248
211133_x_at	LILRB3	4.047115	1.74678	0.111248
205241_at	SCO2	4.043354	1.59386	0.111248
209774_x_at	CXCL2	4.035165	1.89521	0.111248
202833_s_at	SERPINA1	4.02582	2.12335	0.111248
207270_x_at	CMRF35	4.006931	1.51182	0.111248
221477_s_at	MGC5618	4.004215	1.52184	0.111248
203665_at	HMOX1	3.945183	1.82647	0.111248
215223_s_at	SOD2	3.938151	1.86576	0.111248
204103_at	CCL4	3.906414	2.31168	0.111248
208029_s_at	LAPTM4B	3.89818	1.97836	0.111248
201393_s_at	IGF2R	3.867484	1.7636	0.111248
218345_at	HCA112	3.834339	1.93013	0.111248
202391_at	BASP1	3.827782	1.55143	0.111248
202437_s_at	CYP1B1	3.816866	1.6723	0.111248
210784_x_at	LILRB3	3.753113	1.85742	0.111248
213524_s_at	G0S2	3.751756	1.97092	0.111248
211135_x_at	LILRB3	3.744607	1.87234	0.111248
204620_s_at	CSPG2	3.736339	2.25296	0.111248
208594_x_at	ILT8	3.72424	1.73196	0.111248
39402_at	IL1B	3.716321	1.81629	0.111248
203196_at	ABCC4	3.693579	1.5269	0.111248
212335_at	GNS	3.683597	1.50861	0.111248
220532_s_at	LR8	3.676972	2.21198	0.111248
204961_s_at	NCF1	3.668224	1.74222	0.111248
221731_x_at	CSPG2	3.658201	2.36575	0.111248
208438_s_at	FGR	3.630265	1.65386	0.111248
205067_at	IL1B	3.627312	1.79926	0.111248
215990_s_at	BCL6	3.624869	1.65464	0.111248
204858_s_at	ECGF1	3.518573	1.69415	0.111248
209696_at	FBP1	3.502606	1.6201	0.111248
214084_x_at	NCF1	3.501202	1.69974	0.111248
210225_x_at	LILRB3	3.476826	1.77597	0.111248
203676_at	GNS	3.44674	1.50908	0.111248
210895_s_at	CD86	3.423032	1.53859	0.111248
206881_s_at	LILRA3	3.411298	1.78573	0.111248
216841_s_at	SOD2	3.23996	1.60335	0.111248
220088_at	C5R1	3.112613	1.71247	0.111248
207850_at	CXCL3	3.072354	1.86069	0.111248
203140_at	BCL6	3.071706	1.82902	0.111248
203066_at	GALNAC4S-6ST	3.04249	1.59966	0.111248
208450_at	LGALS2	3.010643	1.6835	0.111248
204341_at	TRIM16	2.987557	1.5031	0.111248
215078_at	SOD2	2.870626	1.68817	0.111248
205237_at	FCN1	2.856517	1.79293	0.111248
202687_s_at	TNFSF10	2.808556	1.51899	0.111248
219593_at	SLC15A3	2.80149	1.57226	0.111248
218232_at	C1QA	2.764747	2.10896	0.215466
221577_x_at	GDF15	2.753609	1.62186	0.215466
207104_x_at	LILRB1	2.747688	1.55721	0.215466
201069_at	MMP2	2.723048	1.51396	0.215466
215838_at	LIR9	2.694061	1.56654	0.215466
202688_at	TNFSF10	2.687552	1.57036	0.215466
210992_x_at	FCGR2A	2.667002	1.64696	0.215466
205119_s_at	FPR1	2.557268	1.62187	0.215466
208018_s_at	HCK	2.517394	1.5358	0.215466
218217_at	SCPEP1	2.503634	1.67063	0.215466
202953_at	C1QB	2.498739	1.78385	0.215466
205099_s_at	CCR1	2.457533	1.50297	0.423841
206146_s_at	RHAG	2.423865	1.51537	0.423841
201422_at	IFI30	2.400366	1.61739	0.423841
220091_at	SLC2A6	2.358698	1.5696	0.423841
205476_at	CCL20	2.326487	2.60311	0.423841
201743_at	CD14	2.313846	1.5947	0.423841
205207_at	IL6	2.277797	1.84189	0.423841
207113_s_at	TNF	2.226586	1.51041	0.525955
204627_s_at	ITGB3	2.191951	1.56077	0.525955
204834_at	FGL2	2.092472	1.53978	0.624347
204007_at	FCGR3A	2.020559	1.63059	0.725799
204614_at	SERPINB2	1.929537	1.54036	0.725799
203645_s_at	CD163	1.908928	1.82752	1.020427
215049_x_at	CD163	1.832592	1.82367	1.020427
209543_s_at	CD34	-11.1132	0.1867	0.111248
206896_s_at	GNG7	-10.3679	0.5825	0.111248
209583_s_at	MOX2	-9.95566	0.32631	0.111248
200953_s_at	CCND2	-9.89684	0.48465	0.111248
221004_s_at	ITM2C	-9.79562	0.33356	0.111248
205330_at	MN1	-9.79041	0.23092	0.111248
200602_at	APP	-9.76296	0.3852	0.111248
214953_s_at	APP	-9.61583	0.26935	0.111248
200665_s_at	SPARC	-9.5968	0.26281	0.111248
201015_s_at	JUP	-9.59369	0.32779	0.111248
200951_s_at	CCND2	-9.53158	0.48905	0.111248
209582_s_at	MOX2	-9.52848	0.37382	0.111248
218899_s_at	BAALC	-9.51662	0.23344	0.111248
209679_s_at	LOC57228	-9.46999	0.53532	0.111248
219694_at	FLJ11127	-9.27351	0.47876	0.111248
206042_x_at	SNRPN	-9.26612	0.4032	0.111248
200952_s_at	CCND2	-9.15759	0.49216	0.111248
211535_s_at	FGFR1	-9.13871	0.37802	0.111248
214582_at	PDE3B	-9.06943	0.54261	0.111248
201522_x_at	SNRPN	-9.0157	0.43749	0.111248
221523_s_at	RRAGD	-8.82145	0.54669	0.111248
213618_at	CENTD1	-8.67951	0.59537	0.111248
218589_at	P2RY5	-8.6225	0.29939	0.111248
202016_at	MEST	-8.58955	0.34463	0.111248
208116_s_at	MAN1A1	-8.46318	0.32764	0.111248
205240_at	GPSM2	-8.39301	0.51447	0.111248
202747_s_at	ITM2A	-8.3153	0.24434	0.111248
206622_at	TRH	-8.25983	0.10926	0.111248
206726_at	PGDS	-7.96635	0.21456	0.111248
202746_at	ITM2A	-7.96249	0.27455	0.111248
201656_at	ITGA6	-7.85272	0.4929	0.111248
212235_at	PLXND1	-7.78443	0.59203	0.111248
202975_s_at	RHOBTB3	-7.76306	0.50446	0.111248
221830_at	RAP2A	-7.76271	0.63339	0.111248
221922_at	GPSM2	-7.69701	0.55272	0.111248
221524_s_at	RRAGD	-7.62852	0.50671	0.111248
217979_at	TM4SF13	-7.54968	0.41906	0.111248
218825_at	EGFL7	-7.51183	0.4676	0.111248
221760_at	MAN1A1	-7.51106	0.31843	0.111248
213854_at	SYNGR1	-7.46967	0.59889	0.111248
209321_s_at	ADCY3	-7.45908	0.63525	0.111248
215177_s_at	ITGA6	-7.45083	0.50327	0.111248
208886_at	H1F0	-7.44833	0.31964	0.111248
209961_s_at	HGF	-7.42131	0.39149	0.111248
212875_s_at	C21orf25	-7.41397	0.54542	0.111248
212558_at	SPRY1	-7.39037	0.37501	0.111248
202947_s_at	GYPC	-7.37748	0.40997	0.111248
204917_s_at	MLLT3	-7.323	0.49115	0.111248
204500_s_at	AGTPBP1	-7.29263	0.61597	0.111248
210973_s_at	FGFR1	-7.15407	0.5305	0.111248
219648_at	FLJ10116	-7.13347	0.59788	0.111248
202760_s_at	AKAP2	-7.08846	0.37816	0.111248
210755_at	HGF	-7.06276	0.22772	0.111248
219734_at	FLJ20174	-7.01956	0.62933	0.111248
208966_x_at	IFI16	-6.98203	0.66507	0.111248
216048_s_at	RHOBTB3	-6.94606	0.65298	0.111248
218236_s_at	PRKCN	-6.92188	0.51635	0.111248
210220_at	FZD2	-6.92077	0.55776	0.111248
206332_s_at	IFI16	-6.9154	0.66365	0.111248
212912_at	RPS6KA2	-6.91149	0.57634	0.111248
214022_s_at	IFITM1	-6.89732	0.49319	0.111248
218742_at	NARFL	-6.89565	0.58908	0.111248
202242_at	TM4SF2	-6.88987	0.40847	0.111248
201325_s_at	EMP1	-6.88446	0.37953	0.111248
202283_at	SERPINF1	-6.86407	0.31256	0.111248
37005_at	NBL1	-6.85142	0.53665	0.111248
209993_at	ABCB1	-6.84178	0.52201	0.111248
206233_at	B4GALT6	-6.83929	0.4893	0.111248
218237_s_at	SLC38A1	-6.82841	0.47874	0.111248
209574_s_at	C18orf1	-6.69611	0.57105	0.111248
203509_at	SORL1	-6.68805	0.52125	0.111248
202481_at	DHRS3	-6.68678	0.56304	0.111248
219049_at	ChGn	-6.64784	0.45085	0.111248
210613_s_at	SYNGR1	-6.61984	0.60766	0.111248
212560_at	SORL1	-6.59625	0.50836	0.111248
201601_x_at	IFITM1	-6.54553	0.46935	0.111248
203756_at	ARHGEF17	-6.48971	0.64397	0.111248
212535_at	MEF2A	-6.45808	0.63066	0.111248
213012_at	NEDD4	-6.45313	0.65218	0.111248
216026_s_at	POLE	-6.42281	0.65511	0.111248
204417_at	GALC	-6.40511	0.63596	0.111248
202759_s_at	AKAP2	-6.39215	0.43656	0.111248
201324_at	EMP1	-6.36521	0.36163	0.111248
204304_s_at	PROM1	-6.35144	0.36386	0.111248
209576_at	GNAI1	-6.34417	0.48482	0.111248
219640_at	CLDN15	-6.30621	0.65878	0.111248
205101_at	MHC2TA	-6.27567	0.56121	0.111248
212658_at	LHFPL2	-6.25962	0.63811	0.111248
209960_at	HGF	-6.24397	0.36247	0.111248
212573_at	KIAA0830	-6.21238	0.66505	0.111248
206232_s_at	B4GALT6	-6.2037	0.6241	0.111248
207550_at	MPL	-6.17036	0.47783	0.111248
209153_s_at	TCF3	-6.16764	0.64761	0.111248
211675_s_at	HIC	-6.08918	0.58094	0.111248
204916_at	RAMP1	-6.07203	0.61375	0.111248
216733_s_at	GATM	-5.90456	0.52966	0.111248
219686_at	STK32B	-5.90088	0.54542	0.111248
219789_at	NPR3	-5.89636	0.42505	0.111248
219054_at	FLJ14054	-5.89502	0.39814	0.111248
219892_at	TM6SF1	-5.80506	0.55165	0.111248
209651_at	TGFB1I1	-5.76614	0.6112	0.111248
219837_s_at	C17	-5.75979	0.41618	0.111248
203329_at	PTPRM	-5.71955	0.64345	0.111248
222101_s_at	PCDH16	-5.70772	0.66079	0.111248
209975_at	CYP2E1	-5.68961	0.65969	0.111248
50314_i_at	C20orf27	-5.63474	0.65465	0.111248
218081_at	C20orf27	-5.5942	0.66389	0.111248
212812_at	---	-5.59312	0.54381	0.111248
219315_s_at	FLJ20898	-5.59164	0.6549	0.111248
201825_s_at	CGI-49	-5.57859	0.65284	0.111248
209079_x_at	PCDHGC3	-5.56765	0.58273	0.111248
212071_s_at	SPTBN1	-5.55148	0.62345	0.111248
217966_s_at	C1orf24	-5.4777	0.6276	0.111248
207205_at	CEACAM4	-5.42603	0.63441	0.111248
213541_s_at	ERG	-5.40295	0.62905	0.111248
213996_at	YPEL1	-5.32397	0.64397	0.111248
203939_at	NT5E	-5.28537	0.58739	0.111248
217967_s_at	C1orf24	-5.2842	0.64326	0.111248
212190_at	SERPINE2	-5.28155	0.51927	0.111248
205051_s_at	KIT	-5.27234	0.543	0.111248
219667_s_at	BANK1	-5.25907	0.5864	0.111248
203914_x_at	HPGD	-5.25165	0.53494	0.111248
209994_s_at	ABCB1	-5.24213	0.62537	0.111248
205692_s_at	CD38	-5.20841	0.59418	0.111248
211597_s_at	HOP	-5.19593	0.45616	0.111248
202478_at	TRIB2	-5.17456	0.59477	0.111248
212509_s_at	FLJ46603	-5.16978	0.49043	0.111248
209795_at	CD69	-5.16259	0.58295	0.111248
204381_at	LRP3	-5.16241	0.646	0.111248
203787_at	SSBP2	-5.15454	0.6188	0.111248
207194_s_at	ICAM4	-5.15009	0.65793	0.111248
201655_s_at	HSPG2	-5.15	0.48594	0.111248
205929_at	GPA33	-5.14106	0.59362	0.111248
210084_x_at	TPSB2	-5.13403	0.26529	0.111248
210829_s_at	SSBP2	-5.12574	0.61007	0.111248
210997_at	HGF	-5.11748	0.28532	0.111248
217023_x_at	TPSB2	-5.11572	0.29407	0.111248
219890_at	CLECSF5	-5.04347	0.42827	0.111248
211341_at	POU4F1	-5.01472	0.1091	0.111248
219790_s_at	NPR3	-5.0103	0.59651	0.111248
212671_s_at	HLA-DQA1	-4.98343	0.46746	0.111248
218935_at	EHD3	-4.97927	0.62809	0.111248
204352_at	TRAF5	-4.97478	0.6582	0.111248
203859_s_at	PALM	-4.97312	0.62177	0.111248
217838_s_at	EVL	-4.94324	0.65164	0.111248
204351_at	S100P	-4.93028	0.33184	0.111248
206940_s_at	POU4F1	-4.87367	0.11497	0.111248
211066_x_at	PCDHGC3	-4.87319	0.58097	0.111248
200771_at	LAMC1	-4.87096	0.58073	0.111248
215382_x_at	TPSB2	-4.86871	0.30378	0.111248
207741_x_at	TPSB2	-4.85447	0.29892	0.111248
204266_s_at	CHKA	-4.84972	0.6638	0.111248
204348_s_at	AK3	-4.83219	0.57892	0.111248
213539_at	CD3D	-4.82136	0.42298	0.111248
203556_at	ZHX2	-4.80115	0.6251	0.111248
213725_x_at	LOC283824	-4.79873	0.65499	0.111248
206135_at	ST18	-4.79403	0.35353	0.111248
210512_s_at	VEGF	-4.78199	0.46768	0.111248
204960_at	PTPRCAP	-4.74399	0.66639	0.111248
200696_s_at	GSN	-4.73927	0.65313	0.111248
212012_at	D2S448	-4.73206	0.36093	0.111248
201462_at	SCRN1	-4.71066	0.44303	0.111248
214032_at	ZAP70	-4.70478	0.53519	0.111248
203987_at	FZD6	-4.70178	0.62697	0.111248
211548_s_at	HPGD	-4.68349	0.60411	0.111248
209200_at	MEF2C	-4.67602	0.5696	0.111248
210387_at	HIST1H2BG	-4.65837	0.54717	0.111248
208614_s_at	FLNB	-4.64768	0.52807	0.111248
202018_s_at	LTF	-4.64562	0.25338	0.111248
210998_s_at	HGF	-4.63214	0.36339	0.111248
212771_at	C10orf38	-4.61229	0.52963	0.111248
202724_s_at	FOXO1A	-4.59861	0.64764	0.111248
220059_at	BRDG1	-4.59629	0.62599	0.111248
204118_at	CD48	-4.55609	0.63032	0.111248
209487_at	RBPMS	-4.54443	0.53606	0.111248
214040_s_at	GSN	-4.54145	0.59422	0.111248
204286_s_at	PMAIP1	-4.52996	0.64785	0.111248
201137_s_at	HLA-DPB1	-4.52837	0.57709	0.111248
216474_x_at	TPSB2	-4.5036	0.2951	0.111248
203591_s_at	CSF3R	-4.48865	0.62891	0.111248
205683_x_at	TPSB2	-4.48661	0.29202	0.111248
210299_s_at	FHL1	-4.48117	0.65148	0.111248
202336_s_at	PAM	-4.46909	0.47242	0.111248
208622_s_at	VIL2	-4.44603	0.64916	0.111248
207134_x_at	TPSB2	-4.44119	0.29665	0.111248
207836_s_at	RBPMS	-4.41082	0.61666	0.111248
204529_s_at	TOX	-4.40998	0.65223	0.111248
215836_s_at	PCDHGC3	-4.39854	0.63869	0.111248
218856_at	TNFRSF21	-4.39032	0.52561	0.111248
204885_s_at	MSLN	-4.37028	0.31814	0.111248
203913_s_at	HPGD	-4.36328	0.62793	0.111248
201163_s_at	IGFBP7	-4.36318	0.66142	0.111248
204165_at	WASF1	-4.33967	0.60728	0.111248
201334_s_at	ARHGEF12	-4.33002	0.59431	0.111248
209205_s_at	LMO4	-4.31098	0.63083	0.111248
218858_at	DEPDC6	-4.31022	0.60567	0.111248
209982_s_at	NRXN2	-4.28754	0.64627	0.111248
203074_at	ANXA8	-4.28238	0.44057	0.111248
205861_at	SPIB	-4.26508	0.55316	0.111248
209488_s_at	RBPMS	-4.26018	0.49634	0.111248
216356_x_at	BAIAP3	-4.24945	0.66159	0.111248
213506_at	F2RL1	-4.20677	0.61819	0.111248
205987_at	CD1C	-4.19165	0.51577	0.111248
201841_s_at	HSPB1	-4.19061	0.59362	0.111248
218854_at	SART2	-4.16111	0.63844	0.111248
214453_s_at	IFI44	-4.15998	0.62496	0.111248
209560_s_at	DLK1	-4.13594	0.31111	0.111248
220570_at	RETN	-4.12219	0.4874	0.111248
209396_s_at	CHI3L1	-4.08814	0.53088	0.111248
222281_s_at	---	-4.07393	0.55616	0.111248
208613_s_at	FLNB	-4.0521	0.60901	0.111248
204896_s_at	PTGER4	-4.03394	0.63636	0.111248
201506_at	TGFBI	-4.02672	0.36026	0.111248
209170_s_at	GPM6B	-4.01797	0.55999	0.111248
203708_at	PDE4B	-4.01357	0.59019	0.111248
212958_x_at	PAM	-4.00078	0.65238	0.111248
219463_at	C20orf103	-3.99592	0.21621	0.111248
217143_s_at	TRD@	-3.98237	0.36057	0.111248
202609_at	EPS8	-3.97531	0.61232	0.111248
214920_at	LOC221981	-3.96797	0.47395	0.111248
204466_s_at	SNCA	-3.94906	0.48983	0.111248
214505_s_at	FHL1	-3.93312	0.64719	0.111248
212097_at	CAV1	-3.89397	0.36354	0.111248
209395_at	CHI3L1	-3.86182	0.63405	0.111248
210448_s_at	P2RX5	-3.85439	0.55152	0.111248
212358_at	CLIPR-59	-3.85354	0.50131	0.111248
33304_at	ISG20	-3.85027	0.66503	0.111248
202086_at	MX1	-3.84271	0.53277	0.111248
204811_s_at	CACNA2D2	-3.83361	0.59505	0.111248
211302_s_at	PDE4B	-3.82777	0.60808	0.111248
211546_x_at	SNCA	-3.79994	0.56941	0.111248
211657_at	CEACAM6	-3.79347	0.64102	0.111248
209167_at	GPM6B	-3.74769	0.62154	0.111248
213194_at	ROBO1	-3.72099	0.45597	0.111248
203936_s_at	MMP9	-3.71969	0.65148	0.111248
206682_at	CLECSF14	-3.71593	0.44515	0.111248
206187_at	PTGIR	-3.70668	0.62767	0.111248
215779_s_at	HIST1H2BC	-3.66701	0.65156	0.111248
214203_s_at	PRODH	-3.65191	0.65896	0.111248
210487_at	DNTT	-3.64002	0.29372	0.111248
201540_at	FHL1	-3.63568	0.58841	0.111248
205831_at	CD2	-3.592	0.59184	0.111248
209436_at	SPON1	-3.59061	0.46832	0.111248
205110_s_at	FGF13	-3.58202	0.60667	0.111248
201162_at	IGFBP7	-3.58086	0.59394	0.111248
205529_s_at	CBFA2T1	-3.55378	0.26161	0.111248
212062_at	ATP9A	-3.53099	0.61892	0.111248
213894_at	KIAA0960	-3.52384	0.57313	0.111248
216191_s_at	TRD@	-3.51609	0.38861	0.111248
221602_s_at	TOSO	-3.5128	0.65456	0.111248
201425_at	ALDH2	-3.50961	0.61718	0.111248
200762_at	DPYSL2	-3.49845	0.66069	0.111248
208789_at	PTRF	-3.49452	0.52453	0.111248
207827_x_at	SNCA	-3.46535	0.52917	0.111248
205528_s_at	CBFA2T1	-3.45586	0.53905	0.111248
204197_s_at	RUNX3	-3.45554	0.61124	0.111248
202073_at	OPTN	-3.43691	0.61952	0.111248
207076_s_at	ASS	-3.43561	0.60238	0.111248
217748_at	ADIPOR1	-3.40886	0.65152	0.111248
207655_s_at	BLNK	-3.40459	0.41619	0.111248
205471_s_at	DACH1	-3.39292	0.55508	0.111248
211991_s_at	HLA-DPA1	-3.35356	0.65721	0.111248
212843_at	NCAM1	-3.34319	0.52887	0.111248
