Fold change	UniGene name	Mean signal (A9)	Mean signal (A10)	Symbol	P-value	mRNA accession no.	Expression area
2.6	Cytochrome P450, family 4, subfamily v, polypeptide 3	2107	761	Cyp4v3	4.73E?14	NM_133969	More expressed in A9 DA neurons
2.6	Vav 3 oncogene	1269	443	Vav3	4.77E?14	BC027242	More expressed in A9 DA neurons
2.5	Gap junction membrane channel protein alpha 1	2060	782	Gja1	4.73E?14	BB142324	More expressed in A9 DA neurons
2.5	Gap junction membrane channel protein alpha 1	8695	3335	Gja1	4.73E?14	BB039269	More expressed in A9 DA neurons
2.5	Solute carrier family 6 (neurotransmitter transporter, GABA), member 1	4143	1603	Slc6a1	3.81E?09	M92378	More expressed in A9 DA neurons
2.4	Special AT-rich sequence binding protein 1	5666	2301	Satb1	4.73E?14	BG092481	More expressed in A9 DA neurons
2.4	Calneuron 1	4697	1930	Caln1	4.77E?14	AF282251	More expressed in A9 DA neurons
2.3	Transcribed sequence with weak similarity to protein ref:NP_055276.1 (H.sapiens) contactin 6; neural adhesion molecule [Homo sapiens]	1589	637	NA	2.95E?12	AW553181	More expressed in A9 DA neurons
2.3	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	12594	5705	Slc25a5	0.0015354	AV026569	More expressed in A9 DA neurons
2.3	Neurofilament 3, medium	3018	1272	Nef3	1.02E?07	NM_008691	More expressed in A9 DA neurons
2.3	Tyrosinase-related protein 1	1202	498	Tyrp1	4.73E?14	BB762957	More expressed in A9 DA neurons
2.2	RAS protein-specific guanine nucleotide-releasing factor 1	1680	698	Rasgrf1	4.73E?14	NM_011245	More expressed in A9 DA neurons
2.2	Cerebellin 1 precursor protein	7630	3372	Cbln1	4.73E?14	AA016422	More expressed in A9 DA neurons
2.2	Calcium channel, voltage dependent, alpha2/delta subunit 3	8141	3593	Cacna2d3	4.73E?14	NM_009785	More expressed in A9 DA neurons
2.2	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	15184	7322	Slc25a5	0.00605729	BM210336	More expressed in A9 DA neurons
2.2	Insulin-like growth factor 1	4068	1766	Igf1	4.73E?14	BG075165	More expressed in A9 DA neurons
2.1	Glutamic acid decarboxylase 1	3260	1457	Gad1	1.22E?10	AF326547	More expressed in A9 DA neurons
2.1	ATPase, Ca++ transporting, ubiquitous	3612	1528	Atp2a3	8.50E?10	NM_016745	More expressed in A9 DA neurons
2.1	Synuclein, gamma	13275	6163	Sncg	1.84E?07	NM_011430	More expressed in A9 DA neurons
2.1	Fibroblast growth factor receptor 3	2566	1162	Fgfr3	4.73E?14	NM_008010	More expressed in A9 DA neurons
2.1	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform	2376	1128	Ppp2r5c	0.00013414	BC003979	More expressed in A9 DA neurons
2.1	Protein tyrosine phosphatase, receptor type Z, polypeptide 1	4449	2037	Ptprz1	4.73E?14	BC002298	More expressed in A9 DA neurons
2.1	Sorcin	2221	1029	Sri	8.40E?14	AK008404	More expressed in A9 DA neurons
2	RAS-like, estrogen-regulated, growth-inhibitor	628	289	Rerg	2.38E?08	BC026463	More expressed in A9 DA neurons
2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	2677	1261	Atp1a2	1.71E?11	AI845177	More expressed in A9 DA neurons
2	Limb expression 1 homolog (chicken)	2232	1035	Lix1	4.73E?14	NM_025681	More expressed in A9 DA neurons
2	Aquaporin 4	1295	594	Aqp4	1.99E?07	BB193413	More expressed in A9 DA neurons
2	Lactate dehydrogenase 2, B chain	40152	20223	Ldh2	1.03E?05	NM_008492	More expressed in A9 DA neurons
2	Oxysterol binding protein-like 11	1396	660	Osbpl11	3.16E?07	BM220135	More expressed in A9 DA neurons
2	Deleted in bladder cancer chromosome region candidate 1 (human)	2586	1251	Dbccr1	4.73E?14	AB060589	More expressed in A9 DA neurons
2	RIKEN cDNA 6230410L23 gene	4137	2041	6230410L23Rik	4.73E?14	AF282980	More expressed in A9 DA neurons
2	Special AT-rich sequence binding protein 1	4602	2271	Satb1	4.73E?14	AV172776	More expressed in A9 DA neurons
2	Fibroblast growth factor inducible 15	520	226	Fin15	1.54E?05	BB388301	More expressed in A9 DA neurons
2	SH3-binding kinase	3095	1493	Sbk	4.73E?14	BC025837	More expressed in A9 DA neurons
2	RIKEN cDNA 1110039C07 gene	1589	749	1110039C07Rik	3.94E?07	BC028307	More expressed in A9 DA neurons
2	Acetyl-Coenzyme A dehydrogenase, long-chain	1041	496	Acadl	2.20E?06	BB728073	More expressed in A9 DA neurons
2	Annexin A1	6547	3253	Anxa1	7.95E?05	NM_010730	More expressed in A9 DA neurons
2	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	12370	6475	Slc25a5	0.00184671	U27316	More expressed in A9 DA neurons
2	Inhibitor of DNA binding 2	487	233	Idb2	4.46E?06	BF019883	More expressed in A9 DA neurons
2	RIKEN cDNA 1500001H12 gene	1632	772	1500001H12Rik	4.73E?14	NM_021316	More expressed in A9 DA neurons
?17.5	Lipoprotein lipase	401	9257	Lpl	7.74E?14	BC003305	More expressed in A10 DA neurons
?14.0	Gastrin releasing peptide	652	10045	Grp	6.55E?14	BC024515	More expressed in A10 DA neurons
?6.4	Orthodenticle homolog 2 (Drosophila)	282	2176	Otx2	5.51E?14	BC017609	More expressed in A10 DA neurons
?5.3	Calcitonin/calcitonin-related polypeptide, alpha	152	990	Calca	4.73E?14	AF330212	More expressed in A10 DA neurons
?5.1	Cocaine and amphetamine regulated transcript	570	3423	Cart	4.99E?14	NM_013732	More expressed in A10 DA neurons
?5.1	Insulin-like growth factor binding protein 4	891	4981	Igfbp4	5.14E?14	BB787243	More expressed in A10 DA neurons
?4.8	Insulin-like growth factor binding protein 4	322	1937	Igfbp4	4.99E?14	BC019836	More expressed in A10 DA neurons
?4.6	Colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)	340	1862	Csf2rb2	4.77E?14	NM_007781	More expressed in A10 DA neurons
?4.5	Neurogenic differentiation 6	131	712	Neurod6	8.52E?12	NM_009717	More expressed in A10 DA neurons
?4.3	Neuropilin 2	1474	6821	Nrp2	4.99E?14	BQ176723	More expressed in A10 DA neurons
?4.3	Adenylate cyclase 7	1112	5476	Adcy7	4.99E?14	BB746807	More expressed in A10 DA neurons
?4.2	RIKEN cDNA 0610007P22 gene	1256	5760	0610007P22Rik	6.52E?14	BC022659	More expressed in A10 DA neurons
?4.1	Early growth response 1	2017	8102	Egr1	1.19E?10	NM_007913	More expressed in A10 DA neurons
?3.9	Growth hormone receptor	6562	25607	Ghr	4.77E?14	NM_010284	More expressed in A10 DA neurons
?3.5	Tachykinin receptor 3	2453	9133	Tacr3	2.38E?09	AV328460	More expressed in A10 DA neurons
?3.5	Calbindin-28K	164	678	Calb1	4.73E?14	BB246032	More expressed in A10 DA neurons
?3.5	Vasoactive intestinal polypeptide	361	1510	Vip	3.90E?05	AK018599	More expressed in A10 DA neurons
?3.4	Potassium voltage-gated channel, shaker-related subfamily, member 5	132	538	Kcna5	4.73E?14	NM_008419	More expressed in A10 DA neurons
?3.4	FBJ osteosarcoma oncogene	1263	4694	Fos	4.73E?14	AV026617	More expressed in A10 DA neurons
?3.3	RIKEN cDNA 2610042L04 gene	4210	14413	2610042L04Rik	4.96E?14	BM195235	More expressed in A10 DA neurons
?3.3	RIKEN cDNA 2610042L04 gene	8396	28600	2610042L04Rik	4.83E?14	BM195235	More expressed in A10 DA neurons
?3.2	G substrate	491	1874	Gsbs	4.73E?14	BC026822	More expressed in A10 DA neurons
?3.2	Reticulocalbin	720	2703	Rcn	4.77E?14	NM_009037	More expressed in A10 DA neurons
?3.0	Potassium voltage-gated channel, shaker-related subfamily, beta member 1	982	3643	Kcnab1	1.37E?10	AF033003	More expressed in A10 DA neurons
?3.0	FXYD domain-containing ion transport regulator 6	667	2414	Fxyd6	4.73E?14	AB032010	More expressed in A10 DA neurons
?3.0	Major urinary protein 1	349	1235	Mup1	4.99E?14	NM_031188	More expressed in A10 DA neurons
?3.0	Calbindin-28K	11186	34116	Calb1	4.73E?14	BB246032	More expressed in A10 DA neurons
?2.8	Procollagen, type XI, alpha 1	1207	3810	Col11a1	1.15E?06	NM_007729	More expressed in A10 DA neurons
?2.8	Double C2, alpha	1013	3117	Doc2a	4.73E?14	BB543070	More expressed in A10 DA neurons
?2.8	Neuropilin	896	2734	Nrp	1.87E?13	AK011144	More expressed in A10 DA neurons
?2.8	EGL nine homolog 3 (C. elegans)	1765	5114	Egln3	4.77E?14	BC022961	More expressed in A10 DA neurons
?2.7	MARCKS-like protein	1728	4940	Mlp	4.73E?14	AV110584	More expressed in A10 DA neurons
?2.7	Adenylate cyclase activating polypeptide 1	1239	3623	Adcyap1	4.73E?14	AI323434	More expressed in A10 DA neurons
?2.7	Immunoglobulin superfamily, member 4A	861	2485	Igsf4a	2.20E?13	NM_018770	More expressed in A10 DA neurons
?2.7	Activated leukocyte cell adhesion molecule	1992	5471	Alcam	4.77E?14	U95030	More expressed in A10 DA neurons
?2.7	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	811	2349	Slc17a6	8.22E?13	BQ180367	More expressed in A10 DA neurons
?2.6	DNA sequence AF424697	2844	7832	AF424697	4.73E?14	AF424697	More expressed in A10 DA neurons
?2.6	Immunoglobulin superfamily, member 4A	4184	11405	Igsf4a	4.73E?14	NM_018770	More expressed in A10 DA neurons
?2.6	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	2972	8015	Mpp3	1.02E?12	NM_007863	More expressed in A10 DA neurons
?2.6	Cadherin 2	2461	6485	Cdh2	5.14E?14	BC022107	More expressed in A10 DA neurons
?2.5	Pleiomorphic adenoma gene-like 1	2472	6302	Plagl1	5.61E?14	AF147785	More expressed in A10 DA neurons
?2.5	Calbindin 2	6139	15618	Calb2	4.77E?14	BC017646	More expressed in A10 DA neurons
?2.5	B-cell CLL/lymphoma 11A (zinc finger protein)	1444	3746	Bcl11a	1.53E?09	NM_016707	More expressed in A10 DA neurons
?2.5	MARCKS-like protein	602	1594	Mlp	4.73E?14	BB491008	More expressed in A10 DA neurons
?2.5	Heparan sulfate 6-O-sulfotransferase 2	1244	3263	Hs6st2	1.77E?11	AW536432	More expressed in A10 DA neurons
?2.4	CD44 antigen	295	835	Cd44	6.26E?07	M27130	More expressed in A10 DA neurons
?2.4	Plexin C1	1756	4493	Plxnc1	4.73E?14	BB476707	More expressed in A10 DA neurons
?2.4	Zinc finger protein 179	1058	2727	Zfp179	6.91E?13	BB546771	More expressed in A10 DA neurons
?2.4	Erythroid differentiation regulator 1	4205	9987	Erdr1	0.00478427	AJ007909	More expressed in A10 DA neurons
?2.4	Core binding factor beta	1353	3385	Cbfb	5.61E?06	NM_022309	More expressed in A10 DA neurons
?2.3	MARCKS-like protein	751	1841	Mlp	4.73E?14	AV215438	More expressed in A10 DA neurons
?2.2	Cholecystokinin	4551	10405	Cck	1.13E?06	NM_031161	More expressed in A10 DA neurons
?2.2	Immunoglobulin superfamily, member 4A	3965	8934	Igsf4a	4.73E?14	NM_018770	More expressed in A10 DA neurons
?2.2	Odd Oz/ten-m homolog 1 (Drosophila)	3623	8159	Odz1	4.73E?14	NM_011855	More expressed in A10 DA neurons
?2.2	Hypothetical protein, MNCb-2622	742	1702	AB041544	5.60E?09	NM_021416	More expressed in A10 DA neurons
?2.2	Protocadherin 21	731	1707	Pcdh21	1.12E?07	NM_130878	More expressed in A10 DA neurons
?2.1	Sortilin-related VPS10 domain containing receptor 3	980	2259	Sorcs3	4.73E?14	AK018111	More expressed in A10 DA neurons
?2.1	Cysteine-rich motor neuron 1	1157	2475	Crim1	5.14E?05	AK018666	More expressed in A10 DA neurons
?2.1	Pleckstrin homology-like domain, family A, member 1	1212	2713	Phlda1	3.04E?13	NM_009344	More expressed in A10 DA neurons
?2.1	Single-stranded DNA binding protein 3	2956	6422	Ssbp3	4.73E?14	AV295012	More expressed in A10 DA neurons
?2.1	Myosin, heavy polypeptide 7, cardiac muscle, beta	452	1062	Myh7	3.87E?08	NM_080728	More expressed in A10 DA neurons
?2.1	RIKEN cDNA 0610011I04 gene	450	1015	0610011I04Rik	4.73E?14	BC006049	More expressed in A10 DA neurons
?2.1	Procollagen, type IV, alpha 1	1593	3443	Col4a1	4.73E?14	BF158638	More expressed in A10 DA neurons
?2.1	Neuropilin	498	1122	Nrp	8.14E?12	AK011144	More expressed in A10 DA neurons
?2.0	Gastrokine 1	275	625	Gkn1	9.73E?13	AV081751	More expressed in A10 DA neurons
?2.0	Ribosomal protein S27	4497	9679	Rps27	2.53E?06	AA208652	More expressed in A10 DA neurons
?2.0	Amylase 1, salivary	2990	6237	Amy1	4.73E?14	NM_007446	More expressed in A10 DA neurons
?2.0	Ryanodine receptor 2, cardiac	755	1673	Ryr2	4.08E?06	NM_023868	More expressed in A10 DA neurons
?2.0	FK506 binding protein 9	1002	2127	Fkbp9	6.89E?10	BB026630	More expressed in A10 DA neurons
?2.0	RIKEN cDNA 2410012A13 gene	605	1323	2410012A13Rik	4.73E?14	NM_023396	More expressed in A10 DA neurons
?2.0	Histocompatibility 2, Q region locus 1	75	156	H2-Q1	1.03E?08	U96752	More expressed in A10 DA neurons
?2.0	G protein-coupled receptor 83	893	1856	Gpr83	5.27E?07	BB110067	More expressed in A10 DA neurons
?2.0	RIKEN cDNA 2410018L13 gene	7895	15701	2410018L13Rik	2.78E?10	NM_016677	More expressed in A10 DA neurons
?2.0	Ribonuclease L (2?, 5?-oligoisoadenylate synthetase-dependent)	484	1008	Rnasel	4.73E?14	BF714880	More expressed in A10 DA neurons
