Affy ID	Gene Title	Gene Symbol	Chromosomal Location	Eigengene 3 Score
1437613_s_at	expressed sequence AW456874	AW456874	chr13 A5	0.0262900
1434286_at	trichorhinophalangeal syndrome I	Trps1	chr15 C	0.0261900
1426463_at	gephyrin	Gphn	chr12 D2	0.0261300
1437467_at	activated leukocyte cell adhesion molecule	Alcam	chr16 B5	0.0258800
1451790_a_at	tissue factor pathway inhibitor	Tfpi	chr2 D	0.0258300
1449363_at	activating transcription factor 3	Atf3	chr1 H6	0.0257000
1435084_at	RIKEN cDNA C730049O14 gene	C730049O14Rik	NA	0.0256000
1436296_x_at	Transcribed locus	NA	NA	0.0255900
1453069_at	phosphatidylinositol 3-kinase, catalytic, beta polypeptide	Pik3cb	chr9 E4	0.0255400
1428512_at	basic helix-loop-helix domain containing, class B9	Bhlhb9	chrX F1	0.0255400
1439537_at	NA	NA	NA	0.0254700
1436827_at	gene model 944, (NCBI)	Gm944	chr18 A2	0.0253800
1417409_at	Jun oncogene	Jun	chr4 C5-C7	0.0253100
1423812_s_at	expressed sequence AW146242	AW146242	chr6 B3	0.0252000
1417420_at	cyclin D1	Ccnd1	chr7 F5	0.0251100
1433962_at	RIKEN cDNA 6720458F09 gene	6720458F09Rik	chr12 F1	0.0249100
1445743_at	RIKEN cDNA E330024J20 gene	E330024J20Rik	NA	0.0245900
1436359_at	NA	NA	NA	0.0244900
1454768_at	potassium voltage-gated channel, subfamily F, member 1	Kcnf1	chr12 A1.1	0.0244400
1448945_at	transmembrane 4 superfamily member 11	Tm4sf11	chr8 C5	0.0242700
1418872_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	Abcb1b	chr5 A2-A3	0.0241000
1448558_a_at	phospholipase A2, group IVA (cytosolic, calcium-dependent)	Pla2g4a	chr1 G1	0.0240900
1429324_at	RIKEN cDNA 1700012A16 gene	1700012A16Rik	chr1 G3	0.0240800
1439760_x_at	uroplakin 1B	Upk1b	chr16 B5-C2	0.0240700
1451095_at	asparagine synthetase	Asns	chr6 A1	0.0240500
1424800_at	enabled homolog	Enah	chr1 H5	0.0239800
1418459_at	RIKEN cDNA 1810060J02 gene	1810060J02Rik	chr6 G3	0.0239700
1449065_at	cytosolic acyl-CoA thioesterase 1	Cte1	chr12 D1	0.0239400
1441071_at	potassium voltage-gated channel, subfamily Q, member 5	Kcnq5	chr1 A5	0.0239200
1428301_at	similar to hypothetical protein LOC67055	LOC544986	chr14 A1	0.0237800
1427676_a_at	Glutamate receptor, ionotropic, kainate 1	Grik1	NA	0.0237700
1433453_a_at	expressed sequence AW539457	AW539457	chr2 E2	0.0237600
1434353_at	Scm-like with four mbt domains 2	Sfmbt2	chr2 A1	0.0237500
1456139_at	Insulin-like growth factor 2 receptor	Igf2r	NA	0.0237400
1449089_at	nuclear receptor interacting protein 1	Nrip1	chr16 C3.1	0.0236200
1452731_x_at	similar to hypothetical protein LOC67055	LOC544986	chr14 A1	0.0235100
1444498_at	NA	NA	NA	0.0232400
1437466_at	activated leukocyte cell adhesion molecule	Alcam	chr16 B5	0.0232300
1456770_at	RIKEN cDNA 4732429I09 gene	4732429I09Rik	chr7 A3	0.0232300
1428942_at	metallothionein 2	Mt2	chr8 C5	0.0231200
1455106_a_at	creatine kinase, brain	Ckb	chr12 F1	0.0230200
1416318_at	serine (or cysteine) proteinase inhibitor, clade B, member 1a	Serpinb1a	chr13 A4	0.0230000
1416889_at	troponin I, skeletal, fast 2	Tnni2	chr7 F5	-0.0230500
1415907_at	cyclin D3	Ccnd3	chr17 C	-0.0232000
1460241_a_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	St3gal5	chr6 C3	-0.0233700
1415971_at	myristoylated alanine rich protein kinase C substrate	Marcks	chr10 B1	-0.0233700
1439295_x_at	hypothetical LOC434179	LOC434179	chr7 B3	-0.0235200
1425675_s_at	CEA-related cell adhesion molecule 1	Ceacam1	chr7 A3	-0.0235600
1418403_at	a disintegrin and metalloproteinase domain 19 (meltrin beta)	Adam19	chr11 A5-B1.1	-0.0236000
1448382_at	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	Ehhadh	chr16 B1	-0.0236800
1417777_at	leukotriene B4 12-hydroxydehydrogenase	Ltb4dh	chr4 C1	-0.0238500
1437807_x_at	catenin (cadherin associated protein), alpha 1	Ctnna1	chr18 B2	-0.0239000
1422870_at	homeo box C4	Hoxc4	chr15 F3	-0.0240000
1452638_s_at	dynamin 1-like	Dnm1l	chr16 A1	-0.0240600
1448458_at	topoisomerase (DNA) II beta	Top2b	chr14 A3	-0.0241000
1449282_at	cysteinyl leukotriene receptor 1	Cysltr1	chrX D	-0.0242200
1438378_at	RIKEN cDNA 1700013G23 gene	1700013G23Rik	NA	-0.0245000
1445440_at	RIKEN cDNA A430106J12 gene	A430106J12Rik	chr11 A3.3	-0.0245700
1449293_a_at	S-phase kinase-associated protein 2 (p45)	Skp2	chr15 A2	-0.0245900
1437054_x_at	protamine 1	Prm1	chr16 cen-C3	-0.0246500
1439808_at	RIKEN cDNA A130090K04 gene	A130090K04Rik	NA	-0.0247600
1451843_a_at	glycoprotein galactosyltransferase alpha 1, 3	Ggta1	chr2 B	-0.0248100
1427441_a_at	succinate-Coenzyme A ligase, GDP-forming, beta subunit	Suclg2	chr6 41.0 cM	-0.0248900
1456388_at	ATPase, class VI, type 11A	Atp11a	chr8 A2	-0.0249500
1449054_a_at	poly(rC) binding protein 4	Pcbp4	chr9 F1-F2	-0.0250100
1438085_at	RIKEN cDNA A230048G03 gene	A230048G03Rik	chr17 E2	-0.0250300
1428599_at	RIKEN cDNA 2410012C07 gene	2410012C07Rik	chr7 F4	-0.0251500
1417643_at	testis specific gene A2	Tsga2	chr17 A3.3	-0.0252600
1424176_a_at	annexin A4	Anxa4	chr6 D1	-0.0254800
1422743_at	phosphorylase kinase alpha 1	Phka1	chrX D	-0.0259100
1460437_at	pleckstrin homology, Sec7 and coiled/coil domains 4	Pscd4	chr15 E1	-0.0259200
1436631_at	RIKEN cDNA 2010010M04 gene	2010010M04Rik	NA	-0.0260700
1428767_at	gasdermin domain containing 1	Gsdmdc1	chr15 D3-E1	-0.0261800
1434684_at	Ras and Rab interactor 3	Rin3	chr12 E	-0.0263500
1438164_x_at	flotillin 2	Flot2	chr11 B5	-0.0264600
1424763_at	RIKEN cDNA 1700027N10 gene	1700027N10Rik	chr17 C	-0.0267200
1426062_a_at	caspase 7	Casp7	chr19 D2	-0.0267700
1418170_a_at	zinc finger, CCHC domain containing 14	Zcchc14	chr8 E1	-0.0268100
1434846_at	RIKEN cDNA 1700065A05 gene	1700065A05Rik	chr4 C4	-0.0268200
1417600_at	solute carrier family 15 (H+/peptide transporter), member 2	Slc15a2	chr16 B3	-0.0268500
1428444_at	ankyrin repeat and SOCS box-containing protein 2	Asb2	chr12 E	-0.0268500
1448659_at	caspase 7	Casp7	chr19 D2	-0.0269400
1416503_at	latexin	Lxn	chr3 E1	-0.0269600
1460222_at	SH3-domain binding protein 1	Sh3bp1	chr15 E1	-0.0271100
1449465_at	reelin	Reln	chr5 A3-B1	-0.0271200
1415920_at	cleavage stimulation factor, 3 pre-RNA subunit 2, tau	Cstf2t	chr19 C1	-0.0272500
1456028_x_at	Myristoylated alanine rich protein kinase C substrate	Marcks	chr10 B1	-0.0275900
1431759_at	RIKEN cDNA 4930529C04 gene	4930529C04Rik	chr3 F1	-0.0277000
1416179_a_at	radixin	Rdx	chr9 A5.3	-0.0277900
1450056_at	adenomatosis polyposis coli	Apc	chr18 B1	-0.0277900
1452670_at	myosin, light polypeptide 9, regulatory	Myl9	chr2 H1	-0.0281400
1435258_at	DNA segment, Chr 2, ERATO Doi 217, expressed	D2Ertd217e	chr2 A3	-0.0284300
1437873_at	RIKEN cDNA 6030490I01 gene	6030490I01Rik	chr17 A3.3	-0.0286300
1449265_at	caspase 1	Casp1	chr9 A1	-0.0289200
1424568_at	tetraspan 2	Tspan2	chr3 F3	-0.0292500
1425128_at	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 7	B7galt7	chr7 A3	-0.0293000
1419098_at	stomatin	Stom	chr2 B-C1	-0.0294800
1460244_at	ureidopropionase, beta	Upb1	chr10 C1	-0.0298800
1457270_at	RIKEN cDNA B230343A10 gene	B230343A10Rik	NA	-0.0301300
1429891_at	calcyphosine-like	Capsl	chr15 A1	-0.0302200
1436397_at	cDNA sequence BC027057	BC027057	chr13 B1	-0.0304100
1454984_at	expressed sequence AW061234	AW061234	NA	-0.0309500
1416863_at	abhydrolase domain containing 8	Abhd8	chr8 C1	-0.0313700
1419099_x_at	stomatin	Stom	chr2 B-C1	-0.0315600
1440202_at	NA	NA	NA	-0.0322700
1435985_at	Serine/threonine kinase 25	Stk25	NA	-0.0322800
1417889_at	apolipoprotein B editing complex 2	Apobec2	chr17 C	-0.0325200
1417859_at	growth arrest specific 7	Gas7	chr11 B3	-0.0326600
1442019_at	RIKEN cDNA B230343A10 gene	B230343A10Rik	NA	-0.0329700
1426942_at	absent in melanoma 1	Aim1	chr10 B2	-0.0331100
1417210_at	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	Eif2s3y	chrY A1	-0.0336600
1436991_x_at	gelsolin	Gsn	chr2 B	-0.0339800
1424931_s_at	immunoglobulin lambda chain, variable 1	Igl-V1	chr16 A3	-0.0344700
1460606_at	hydroxysteroid (17-beta) dehydrogenase 13	Hsd17b13	chr5 E5	-0.0344900
1449454_at	bone marrow stromal cell antigen 1	Bst1	chr5 B3	-0.0346400
1415812_at	gelsolin	Gsn	chr2 B	-0.0346600
1428369_s_at	Rho GTPase activating protein 21	Arhgap21	chr2 A3	-0.0348600
1418512_at	serine/threonine kinase 3	Stk3	chr15 B3.3	-0.0349000
1434484_at	RIKEN cDNA 1100001G20 gene	1100001G20Rik	chr11 C	-0.0353000
1453220_at	RIKEN cDNA 4432416J03 gene	4432416J03Rik	chr9 A5.3	-0.0360400
1431012_a_at	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	Peci	chr13 A4	-0.0361400
1448575_at	interleukin 7 receptor	Il7r	chr15 A1	-0.0361600
1437171_x_at	gelsolin	Gsn	chr2 B	-0.0381900
1426438_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Ddx3y	chrY A1	-0.0391000
1460423_x_at	Ig kappa chain	IgM	chr6 C1	-0.0392600
1456312_x_at	gelsolin	Gsn	chr2 B	-0.0410200
1428368_at	Rho GTPase activating protein 21	Arhgap21	chr2 A3	-0.0415400
1450680_at	recombination activating gene 1	Rag1	chr2 E2	-0.0438600
1430523_s_at	immunoglobulin lambda chain, variable 1	Igl-V1	chr16 A3	-0.0512400
1448576_at	interleukin 7 receptor	Il7r	chr15 A1	-0.0572800
