Acc.No	gene name/unigene code	Full name, gene description
NM_002999	SDC4	Syndecan 4 (amphiglycan, ryudocan)
NM_000602	SERPINE1	Serine proteinase inhibitor E1/ nexin / plasminogen activator inhibitor type 1
NM_006142	SFN	Stratifin / 14-3-3 ? protein
NM_000455	STK11	Serine/threonine kinase 11 (Peutz-Jeghers syndrome)
NM_005563	STMN1	Stathmin 1 / oncoprotein 18
NM_003177	SYK	Spleen tyrosine kinase
NM_015641	TES	Testis derived transcript with3 LIM domains
NM_003225	TFF1	Trefoil factor 1
NM_003239	TGFB3	Transforming growth factor, ? 3
NM_003242	TGFBR2	Transforming growth factor ? receptor type II
NM_003241	TGM4	Transglutaminase 4
NM_003246	THBS1	Thrombospondin 1
NM_000362	TIMP3	Tissue inhibitor of metalloproteinase 3
NM_003258	TK1	Thymidine kinase 1
NM_004614	TK2	Thymidine kinase 2
NM_016192	TMEFF2	Transmembrane protein with EGF-like and two follistatin-like domains 2
NM_000546	TP53	Tumor protein p53 (Li-Fraumeni syndrome)
NM_005427	TP73	Tumor protein p73
NM_000551	VHL	Von Hippel-Lindau syndrome
NM_000638	VTN	Vitronectin / serum spreading factor / somatomedin B / complement S-protein
NM_000378	WT1	Wilms tumor 1
NM_005082	ZNF147	Zinc finger protein 147
