GeneBank	Symbols	Probe Set ID	Log2 fold changes (QPCR)	P value (QPCR)
Chondrogenesis	FGF18	231382_at	1.4	3.5 x 10-5
Chondrogenesis	FGF18	206987_x_at	0.83	0.00092
Chondrogenesis	ADAMTS19	1553179_at	1.3	0.0013
Chondrogenesis	ADAMTS19	1553180_at	1	0.0025
Chondrogenesis	CSPG2	See above	See above	See above
Osteogenesis	BMP3	208244_at	0.41	0.0066
Osteogenesis	OGN	218730_s_at	2.3	0.017
Osteogenesis	OGN	222722_at	2.2	0.026
Osteogenesis	TWIST2	See above	See above	See above
Osteogenesis	ADAM19	209765_at	0.55	0.02
Osteogenesis	LRP5L	214873_at	0.34	0.015
Adipogenesis	ADAM12	202952_s_at	1.3	0.0035
Adipogenesis	ADAM12	232268_at	0.64	0.017
Adipogenesis	LEPR	209894_at	2.3	0.007
Adipogenesis	LEPR	211356_x_at	1.6	0.0048
Hemangiogenesis and cardiogenesis	RUNX1	209360_s_at	1.4	0.0044
Hemangiogenesis and cardiogenesis	RUNX1	236114_at	1.2	0.0093
Hemangiogenesis and cardiogenesis	MDS1	208434_at	0.66	0.0027
Hemangiogenesis and cardiogenesis	EVI1	226420_at	1.9	0.0021
Hemangiogenesis and cardiogenesis	EVI1	221884_at	1.9	0.0015
Hemangiogenesis and cardiogenesis	STIM2	225246_at	0.65	0.0042
Hemangiogenesis and cardiogenesis	STIM2	234140_s_at	0.6	0.0035
Hemangiogenesis and cardiogenesis	RUNX1T1	205528_s_at	2	0.037
Hemangiogenesis and cardiogenesis	RUNX1T1	244420_at	1.4	0.043
Hemangiogenesis and cardiogenesis	CDH13	204726_at	0.91	0.0035
Hemangiogenesis and cardiogenesis	CDH13	244091_at	0.36	0.017
Hemangiogenesis and cardiogenesis	CASQ2	207317_s_at	2.9	0.00072
Hemangiogenesis and cardiogenesis	TBX1	236926_at	1	0.0043
Hemangiogenesis and cardiogenesis	TBX1	211273_s_at	0.91	0.01
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	TGFB2	228121_at	2.6 (2.3)	0.00082 (<0.001)
Stromagenesis	DCN	242605_at	1.2	0.0012
Stem cell marker	PPR16	220014_at	2.5 (2.9)	1.6 x 10-5 (<0.001)
Stem cell marker	PPR16	1554867_a_at	0.9	0.00024
Stem cell marker	MET	See above	See above	See above
Stem cell marker	LGR5	See above	See above	See above
Stem cell marker	ABCG2	209735_at	1.06	0.03
Stem cell marker	ABCB6	203192_at	0.56	0.0096
Others	BCL9L	227616_at	0.49	0.029
Others	BCL9L	228065_at	0.45	0.001
