HG-U133A	Gene	Localization	GenBank	Description	Function
205610_AT	MYOM1	NM_003803	18p11.31-p11.32	Myomesin 1 (skelemin) (185kD)	Structural Molecule
219708_AT	NT5M	NM_020201	17p11.2	5, 3-Nucleotidase, mitochondrial	Metabolism
203381_S_AT	APOE	N33009	19q13.2	ApolipoproteinE	Metabolism
200884_AT	CKB	NM_001823	14q32	Creatine kinase, brain	Metabolism
219113_X_AT	DHRS10	NM_016246	19q13.33	Dehydrogenase/reductase (SDR family) 10	Metabolism
203903_S_AT	HEPH	NM_014799	Xq11-q12	Hephaestin	Metabolism
214308_S_AT	HGD	AI478172	3q21-q23	Homogentisate oxidase	Metabolism
206465_AT	BG1	NM_015162	15q23-q24	Lipidosin	Metabolism
207357_S_AT	GALNT10	NM_017540	5q33.2	Polypeptide N-acetylgalactosaminyl-transferase 10	Metabolism
206964_AT	CML2	NM_016347	2p12	Putative N-acetyl transferase Camello 2	Metabolism
210357_S_AT	SMO	BC000669	20	Spermine oxidase	Metabolism
205342_S_AT	ST1C1	AF026303	2q11.1-q22	Sulfotransferase family (cytosolic) 1	Metabolism
218775_S_AT	BOMB	NM_024949	4q35.1	BH3-only member B protein	Unclassified
204436_AT	DKFZP761K2312	NM_025201	15	PH domain-containing protein	Unclassified
212845_AT	SAMD4	AB028976	14q22.1	Sterile alpha motif domain containing protein 4	Unclassified
220253_S_AT	ST7	NM_013437	8q22.2-q23.1	Suppression of tumorigenicity 7	Unclassified
212976_AT	TA-LRRP	D86984	1p22.1	T-cell activation leucine repeat-rich protein	Unclassified
201207_AT	TNFAIP1	NM_021137	17q22-q23	Tumor necrosis factor ?–induced protein 1	Unclassified
215306_AT		AL049443	2p21	DKFZP586N2020	Hypothetical Protein
215462_AT		AI978990		EST	Hypothetical Protein
219998_AT	HSPC159	NM_014181	2p13.3	HSPC159 protein	Hypothetical Protein
219525_AT	FLJ10847	NM_018242	17p11.2	Hypothetical protein FLJ10847	Hypothetical Protein
221856_S_AT	FLJ11280	AB037811	1q21.2	Hypothetical protein FLJ11280	Hypothetical Protein
220719_AT	FLJ13769	NM_025012	12q24.31	Hypothetical protein FLJ13769	Hypothetical Protein
210958_S_AT	KIAA0303	BC003646	5	Hypothetical protein KIAA0303	Hypothetical Protein
204303_S_AT	KIAA0427	NM_014772	18q12.3	Hypothetical protein KIAA0427	Hypothetical Protein
210493_S_AT	KIAA0626	BC001279	4q32.3	Hypothetical protein KIAA0626	Hypothetical Protein
202699_S_AT	KIAA0792	AW510783	1	Hypothetical protein KIAA0792	Hypothetical Protein
203018_S_AT	KIAA0923	AW136988	1	Hypothetical protein KIAA0923	Hypothetical Protein
219710_AT	KIAA1985	NM_024577	5q33.1	Hypothetical protein KIAA1985	Hypothetical Protein
214239_X_AT	LOC284106	AI560455	17q12	Hypothetical protein LOC284106	Hypothetical Protein
220968_S_AT	PP1057	NM_031285	12p13.3	Hypothetical protein PP1057	Hypothetical Protein
210794_S_AT	PRO2160	AF119863	14q32	PRO2160	Hypothetical Protein
