Probeset ID	Gene name	Description	FC (log2ratio)	Function
221962_s_at	UBE2H	Ubiquitin-conjugating enzyme E2 H	2,86	ubiquitin cycle (protein modification)
215458_s_at	SMURF1	Smad ubiquitination regulatory factor 1	2,58	ubiquitin cycle (protein modification)
41512_at	BRAP	BRCA1-associated protein (RING finger protein 52)	2,47	ubiquitin cycle (protein modification)
206911_at	TRIM25	Tripartite motif protein 25 (Zinc finger protein 147)	2,43	ubiquitin cycle (protein modification)
210994_x_at	TRIM23	GTP-binding protein ARD-1(RING finger protein 46)	2,01	ubiquitin cycle (protein modification)
218528_s_at	RNF38	RING finger protein 38.	1,92	ubiquitin cycle (protein modification)
209682_at	CBLB	Signal transduction protein CBL-B (SH3-binding protein CBL-B)	1,91	ubiquitin cycle (protein modification)
221490_at	UBAP1	Ubiquitin-associated protein 1.	1,85	ubiquitin cycle (protein modification)
217094_s_at	ITCH	Itchy homolog E3 ubiquitin protein ligase (Atrophin-1-interacting protein 4) (NFE2-associated polypeptide 1)	1,79	ubiquitin cycle (protein modification)
201881_s_at	ARIH1	Ariadne-1 protein homolog (ARI-1) (Ubiquitin-conjugating enzyme E2- binding protein 1)	1,78	ubiquitin cycle (protein modification)
57703_at	SENP5	Sentrin-specific protease 5 (Sentrin/SUMO-specific protease SENP5).	1,76	ubiquitin cycle (protein modification)
208384_s_at	MID2	Midline-2 (Midline defect 2) (Tripartite motif protein 1) (Midin-2) (RING finger protein 60)	1,54	ubiquitin cycle (protein modification)
212756_s_at	UBR2	Ubiquitin-protein ligase E3 component N-recognin-2	1,49	ubiquitin cycle (protein modification)
202333_s_at	UBE2B	Ubiquitin-conjugating enzyme E2 B  (Ubiquitin-protein ligase B) (Ubiquitin carrier protein B)	1,4	ubiquitin cycle (protein modification)
202654_x_at	7-Mar	axotrophin	1,39	ubiquitin cycle (protein modification)
208055_s_at	HERC4	hect domain and RLD 4 isoform b	1,32	ubiquitin cycle (protein modification)
212436_at	TRIM33	Transcription intermediary factor 1-gamma (TIF1-gamma)	1,26	ubiquitin cycle (protein modification)
214590_s_at	UBE2D1	Ubiquitin-conjugating enzyme E2 D1	1,26	ubiquitin cycle (protein modification)
204071_s_at	TOPORS	topoisomerase I binding, arginine/serine-rich	1,24	ubiquitin cycle (protein modification)
210932_s_at	RNF6	RING finger protein 6 (RING-H2 protein)	1,19	ubiquitin cycle (protein modification)
202318_s_at	SENP6	Sentrin-specific protease 6  (SUMO-1-specific protease 1).	1,16	ubiquitin cycle (protein modification)
201285_at	MKRN1	Makorin-1 (RING finger protein 61)	1,11	ubiquitin cycle (protein modification)
201133_s_at	PJA2	praja 2, RING-H2 motif containing	1,1	ubiquitin cycle (protein modification)
202636_at	RNF103	RING finger protein 103 (Zinc finger protein 103 homolog) (Zfp-103) (KF-1) (hKF-1)	1,07	ubiquitin cycle (protein modification)
218050_at	UFM1	Ubiquitin-fold modifier 1 precursor.	1,04	ubiquitin cycle (protein modification)
220127_s_at	FBXL12	F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12)	1,03	ubiquitin cycle (protein modification)
219608_s_at	FBXO38	F-box only protein 38 (Modulator of KLF7 activity homolog) (MoKA).	1	ubiquitin cycle (protein modification)
221563_at	DUSP10	Dual specificity protein phosphatase 10 (MAP kinase phosphatase 5)	4,97	protein amino acid dephopshorylation (protein modification)
202197_at	MTMR3	Myotubularin-related protein 3 (FYVE domain-containing dual specificity protein phosphatase 1)	2,33	protein amino acid dephopshorylation (protein modification)
209457_at	DUSP5	Dual specificity protein phosphatase 5	2	protein amino acid dephopshorylation (protein modification)
201044_x_at	DUSP1	Dual specificity protein phosphatase 1 (MAP kinase phosphatase 1)	1,27	protein amino acid dephopshorylation (protein modification)
202313_at	PPP2R2A	Serine/threonine protein phosphatase 2A, 55 kDa regulatory subunit B, alpha isoform	1,13	protein amino acid dephopshorylation (protein modification)
200731_s_at	PTP4A1	Protein tyrosine phosphatase type IVA protein 1	1,08	protein amino acid dephopshorylation (protein modification)
206411_s_at	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2	3,53	protein amino acid phosphorylation (protein modification)
221673_s_at	CSNK1G1	Casein kinase I, gamma 1 isoform	2,23	protein amino acid phosphorylation (protein modification)
202241_at	TRIB1	Tribbles homolog 1 (G-protein-coupled receptor induced protein 2)	2,17	protein amino acid phosphorylation (protein modification)
213922_at	TTBK2	tau tubulin kinase 2	2,02	protein amino acid phosphorylation (protein modification)
209333_at	ULK1	Serine/threonine-protein kinase ULK1 (EC 2.7.1.37) (Unc-51-like kinase 1).	1,89	protein amino acid phosphorylation (protein modification)
206474_at	PCTK2	Serine/threonine-protein kinase PCTAIRE-2	1,76	protein amino acid phosphorylation (protein modification)
202545_at	PRKCD	Protein kinase C, delta type	1,68	protein amino acid phosphorylation (protein modification)
202569_s_at	MARK3	MAP/microtubule affinity-regulating kinase 3 (Serine/threonine protein kinase p78)	1,49	protein amino acid phosphorylation (protein modification)
202129_s_at	RIOK3	Serine/threonine-protein kinase RIO3 (RIO kinase 3) (sudD homolog)	1,43	protein amino acid phosphorylation (protein modification)
213198_at	ACVR1B	Activin receptor type 1B precursor (Serine/threonine-protein kinase receptor R2)	1,43	protein amino acid phosphorylation (protein modification)
210151_s_at	DYRK3	Dual specificity tyrosine-phosphorylation regulated kinase 3	1,41	protein amino acid phosphorylation (protein modification)
203935_at	ACVR1	Activin receptor type I precursor	1,38	protein amino acid phosphorylation (protein modification)
40420_at	STK10	Serine/threonine-protein kinase 10	1,37	protein amino acid phosphorylation (protein modification)
206075_s_at	CSNK2A1	Casein kinase II, alpha chain	1,35	protein amino acid phosphorylation (protein modification)
213324_at	SRC	Proto-oncogene tyrosine-protein kinase Src (p60-Src)	1,31	protein amino acid phosphorylation (protein modification)
210346_s_at	CLK4	Dual specificity protein kinase CLK4	1,27	protein amino acid phosphorylation (protein modification)
203575_at	CSNK2A2	Casein kinase II, alpha chain	1,25	protein amino acid phosphorylation (protein modification)
207292_s_at	MAPK7	Mitogen-activated protein kinase 7 (ERK4/5)	1,23	protein amino acid phosphorylation (protein modification)
206875_s_at	SLK	serine/threonine kinase 2	1,2	protein amino acid phosphorylation (protein modification)
205327_s_at	ACVR2A	Activin receptor type 2 precursor	1,19	protein amino acid phosphorylation (protein modification)
218205_s_at	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2	1,15	protein amino acid phosphorylation (protein modification)
219831_at	CDKL3	Cyclin-dependent kinase-like 3 (Serine/threonine protein kinase NKIAMRE)	1,15	protein amino acid phosphorylation (protein modification)
217971_at	MAP2K1IP1	Mitogen-activated protein kinase kinase 1 interacting protein 1 (MEK binding partner 1)	1,13	protein amino acid phosphorylation (protein modification)
218909_at	RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	1,11	protein amino acid phosphorylation (protein modification)
209945_s_at	GSK3B	Glycogen synthase kinase-3 beta	1,08	protein amino acid phosphorylation (protein modification)
209282_at	PRKD2	Protein kinase C, D2 type (Protein kinase D2)	1,04	protein amino acid phosphorylation (protein modification)
205192_at	MAP3K14	Mitogen-activated protein kinase kinase kinase 14 (NF- kappa beta-inducing kinase)	1,02	protein amino acid phosphorylation (protein modification)
221050_s_at	GTPBP2	GTP binding protein 2	2,22	protein biosynthesis
212019_at	RSL1D1	Ribosomal L1 domain-containing protein 1 (Cellular senescence- inhibited gene protein) (PBK1 protein) (CATX-11)	2,09	protein biosynthesis
209471_s_at	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit	1,45	protein biosynthesis
217907_at	MRPL18	39S ribosomal protein L18, mitochondrial precursor (L18mt) (MRP-L18)	1,45	protein biosynthesis
201165_s_at	PUM1	Pumilio homolog 1 (Pumilio-1)	1,37	protein biosynthesis
212390_at	PDE4DIP	phosphodiesterase 4D interacting protein isoform 3	1,34	protein biosynthesis
209501_at	CDR2	Cerebellar degeneration-related protein 2	1,33	protein biosynthesis
202021_x_at	SUI1_HUMAN	Eukaryotic translation initiation factor 1 (eIF1)	1,32	protein biosynthesis
214919_s_at	ANKHD1	Eukaryotic translation initiation factor 4E-binding protein 3 (eIF4E-binding protein 3)	1,18	protein biosynthesis
220198_s_at	EIF5A2	eIF-5A2 protein	1,1	protein biosynthesis
218472_s_at	PELO	Pelota homolog.	1,09	protein biosynthesis
208290_s_at	EIF5	Eukaryotic translation initiation factor 5 (eIF-5).	1,07	protein biosynthesis
200596_s_at	EIF3S10	Eukaryotic translation initiation factor 3 subunit 10	1,05	protein biosynthesis
219426_at	EIF2C3	Eukaryotic translation initiation factor 2C 3 (Argonaute-3).	1,01	protein biosynthesis
200894_s_at	FKBP4	FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase)	2,52	protein folding
201489_at	PPIF	Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor (Rotamase) (Cyclophilin F)	1,67	protein folding
219237_s_at	DNAJB14	DnaJ (Hsp40) homolog, subfamily B, member 14 isoform 2	1,04	protein folding
218871_x_at	CGAT2_HUMAN	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2 (beta4GalNAcT-2)	2,36	carbohydrate metabolism
202721_s_at	GFPT1	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1	2	carbohydrate metabolism
203343_at	UGDH	UDP-glucose 6-dehydrogenase	2,11	carbohydrate metabolism
203502_at	BPGM	Bisphosphoglycerate mutase	2,13	carbohydrate metabolism
215977_x_at	GKP3	Glycerol kinase, testis specific 1 (ATP:glycerol 3- phosphotransferase)	1,87	carbohydrate metabolism
209185_s_at	IRS2	Insulin receptor substrate 2 (IRS-2)	1,81	carbohydrate metabolism
213792_s_at	INSR	Insulin receptor precursor	1,58	carbohydrate metabolism
202382_s_at	GNPDA1	Glucosamine-6-phosphate isomerase (Oscillin)	1,45	carbohydrate metabolism
208926_at	NEU1	Sialidase-1 precursor	1,43	carbohydrate metabolism
210041_s_at	PGM3	Phosphoacetylglucosamine mutase	1,37	carbohydrate metabolism
202464_s_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1,18	carbohydrate metabolism
216594_x_at	AKR1C1	Aldo-keto reductase family 1 member C1 (20-alpha- hydroxysteroid dehydrogenase)	4,04	lipid metabolism
203504_s_at	ABCA1	ATP-binding cassette sub-family A member 1	3,27	lipid metabolism
211018_at	LSS	Lanosterol synthase (Oxidosqualene--lanosterol cyclase)	2,92	lipid metabolism
219429_at	FA2H	fatty acid 2-hydroxylase	2,92	lipid metabolism
209160_at	AKR1C3	Aldo-keto reductase family 1 member C3 (3-alpha- hydroxysteroid dehydrogenase type 2)	1,92	lipid metabolism
203127_s_at	SPTLC2	Serine palmitoyltransferase 2 (Long chain base biosynthesis protein 2)	1,59	lipid metabolism
204233_s_at	CHKA	Choline kinase alpha	1,57	lipid metabolism
215493_x_at	BTN2A1	Butyrophilin subfamily 2 member A1 precursor	1,48	lipid metabolism
202323_s_at	ACBD3	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (PBR and PKA associated protein 7)	1,46	lipid metabolism
203634_s_at	CPT1A	Carnitine O-palmitoyltransferase I, mitochondrial liver isoform	1,45	lipid metabolism
202321_at	GGPS1	Geranylgeranyl pyrophosphate synthetase (Geranylgeranyl diphosphate synthase)	1,4	lipid metabolism
202481_at	DHRS3	Short-chain dehydrogenase/reductase 3 (Retinal short- chain dehydrogenase/reductase 1)	1,38	lipid metabolism
208671_at	SERINC1	Serine incorporator 1 (Tumor differentially expressed protein 2)	1,24	lipid metabolism
208510_s_at	PPARG	Peroxisome proliferator-activated receptor gamma	1,13	lipid metabolism
209770_at	BTN3A1	Butyrophilin subfamily 3 member A1 precursor (CD277 antigen)	1,02	lipid metabolism
204458_at	LYPLA3	1-O-acylceramide synthase precursor (Lysosomal phospholipase A2)	1,01	lipid metabolism
203269_at	NSMAF	Protein FAN (Factor associated with neutral sphingomyelinase activation)	1	lipid metabolism
204706_at	INPP5E	72 kDa inositol polyphosphate 5-phosphatase	1	lipid metabolism
212322_at	SGPL1	Sphingosine-1-phosphate lyase 1	1	lipid metabolism
204748_at	PTGS2	Prostaglandin G/H synthase 2 precursor (COX-2)	8,68	prostaglandin metabolism
205128_x_at	PTGS1	Prostaglandin G/H synthase 1 precursor (Cyclooxygenase- 1)	2,33	prostaglandin metabolism
203913_s_at	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD+]	1,78	prostaglandin metabolism
210145_at	PLA2G4A	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA)	3,19	phospholipid metabolism
205125_at	PLCD1	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta 1  (Phospholipase C-delta-1)	1,89	phospholipid metabolism
210946_at	PPAP2A	Lipid phosphate phosphohydrolase 1  (Phosphatidic acid phosphatase 2a)	1,4	phospholipid metabolism
209345_s_at	PI4KII	phosphatidylinositol 4-kinase type II	1,26	phospholipid metabolism
203234_at	UPP1	Uridine phosphorylase 1	2,99	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
207992_s_at	AMPD3	AMP deaminase 3 (AMP deaminase isoform E)	1,6	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
201531_at	ZFP36	Tristetraproline (TTP) (Zinc finger protein 36 homolog)	2,92	RNA metabolism
207223_s_at	ROD1	Regulator of differentiation 1 (Rod1).	2,64	RNA metabolism
218508_at	DCP1A	mRNA decapping enzyme 1A (Transcription factor SMIF)	2,12	RNA metabolism
218651_s_at	LARP6	acheron isoform 2	2,07	RNA metabolism
202684_s_at	RNMT	RNA (guanine-7-) methyltransferase	2,06	RNA metabolism
214016_s_at	SFPQ	Splicing factor, proline-and glutamine-rich	1,75	RNA metabolism
212721_at	SFRS12	Splicing factor, arginine/serine-rich 12	1,67	RNA metabolism
218683_at	PTBP2	polypyrimidine tract binding protein 2	1,56	RNA metabolism
208922_s_at	NXF1	Nuclear RNA export factor 1 (Tip-associating protein)	1,53	RNA metabolism
203599_s_at	WBP4	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21).	1,5	RNA metabolism
218757_s_at	UPF3B	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B)	1,45	RNA metabolism
212031_at	RBM25	Probable RNA-binding protein 25 (RNA-binding motif protein 25)	1,39	RNA metabolism
221230_s_at	RBM34	RNA-binding protein 34 (RNA-binding motif protein 34).	1,35	RNA metabolism
203519_s_at	UPF2	Regulator of nonsense transcripts 2 (Nonsense mRNA reducing factor 2)	1,25	RNA metabolism
203947_at	CSTF3	Cleavage stimulation factor, 77 kDa subunit	1,2	RNA metabolism
200686_s_at	SFRS11	Splicing factor arginine/serine-rich 11 (Arginine-rich 54 kDa nuclear protein)	1,16	RNA metabolism
221742_at	CUGBP1	CUG triplet repeat RNA-binding protein 1 (RNA-binding protein BRUNOL-2)	1,13	RNA metabolism
217852_s_at	ARL8B	ADP-ribosylation factor-like 10C	1,12	RNA metabolism
201000_at	AARS	Alanyl-tRNA synthetase (Alanine--tRNA ligase)	1,01	RNA metabolism
220668_s_at	DNMT3B	DNA (cytosine-5)-methyltransferase 3B	2,26	DNA metabolism
205667_at	WRN	Werner syndrome ATP-dependent helicase	1,07	DNA metabolism
219105_x_at	ORC6L	Origin recognition complex subunit 6.	1,06	DNA metabolism
219248_at	THUMPD2	THUMP domain-containing protein 2.	1,04	DNA metabolism
202672_s_at	ATF3	Cyclic AMP-dependent transcription factor ATF-3	9,18	transcription
209102_s_at	HBP1	HMG box containing protein 1	4,81	transcription
221841_s_at	KLF4	Kruppel-like factor 4	4,4	transcription
209189_at	FOS	Proto-oncogene protein c-fos (G0/G1 switch regulatory protein 7).	4,26	transcription
218486_at	KLF11	TGFB-inducible early growth response protein 2	4,02	transcription
31637_s_at	NR1D1	Orphan nuclear receptor NR1D1	3,83	transcription
208960_s_at	KLF6	Core promoter element-binding protein (Kruppel-like factor 6)	3,53	transcription
219199_at	AFF4	ALL1 fused gene from 5q31	3,53	transcription
209034_at	PNRC1	Proline-rich nuclear receptor coactivator 1	3,42	transcription
209062_x_at	NCOA3	Nuclear receptor coactivator 3 (Thyroid hormone receptor activator molecule 1)	3,08	transcription
202820_at	AHR	Aryl hydrocarbon receptor precursor (Ah receptor)	2,84	transcription
206495_s_at	MIZF_HUMAN	MBD2-interacting zinc finger protein	2,84	transcription
213124_at	ZNF473	Zinc finger protein 473 (Zinc finger protein 100 homolog) (Zfp-100)	2,75	transcription
206683_at	ZNF165	Zinc finger protein 165 (LD65) (Zinc finger and SCAN domain containing protein 7)	2,63	transcription
206038_s_at	NR2C2	Orphan nuclear receptor TR4 (Orphan nuclear receptor TAK1).	2,51	transcription
212501_at	CEBPB	CCAAT/enhancer binding protein beta (C/EBP beta) (Nuclear factor NF- IL6)	2,51	transcription
217310_s_at	FOXJ3	Forkhead box protein J3.	2,45	transcription
209357_at	CITED2	Cbp/p300-interacting transactivator 2 (MSG-related protein 1)	2,43	transcription
212420_at	ELF1	ETS-related transcription factor Elf-1 (E74-like factor 1).	2,43	transcription
222016_s_at	ZNF323	Zinc finger protein 323.	2,37	transcription
209750_at	NR1D2	Orphan nuclear receptor NR1D2	2,32	transcription
201548_s_at	JARID1B	Jumonji, AT rich interactive domain 1B (RBP2-like)	2,28	transcription
214276_at	KLF12	Krueppel-like factor 12 (Transcriptional repressor AP-2rep).	2,21	transcription
218412_s_at	GTF2IRD1	General transcription factor II-I repeat domain-containing protein 1	2,21	transcription
202364_at	MXI1	MAX interacting protein 1 (MXI1 protein).	2,2	transcription
200779_at	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	2,18	transcription
204970_s_at	MAFG	Transcription factor MafG (V-maf musculoaponeurotic fibrosarcoma oncogene homolog G)	2,16	transcription
218954_s_at	BRF2	RNA polymerase III transcription initiation factor BRF2	2,14	transcription
203574_at	NFIL3	nuclear factor, interleukin 3 regulated	2,12	transcription
205975_s_at	HOXD1	Homeobox protein Hox-D1.	2,06	transcription
218878_s_at	SIRT1	NAD-dependent deacetylase sirtuin-1	2	transcription
44783_s_at	HEY1	Hairy/enhancer-of-split related with YRPW motif 1 (Hairy and enhancer of split related-1)	1,97	transcription
202924_s_at	PLAGL2	Zinc finger protein PLAGL2	1,96	transcription
221763_at	JMJD1C	Jumonji domain-containing protein 1C (Thyroid receptor-interacting protein 8)	1,96	transcription
204635_at	RPS6KA5	Ribosomal protein S6 kinase alpha 5	1,92	transcription
210269_s_at	XE7_HUMAN	B-lymphocyte antigen precursor (B-lymphocyte surface antigen)	1,92	transcription
203603_s_at	ZFHX1B	Zinc finger homeobox protein 1b (Smad interacting protein 1)	1,89	transcription
212347_x_at	MXD4	Max-interacting transcriptional repressor MAD4	1,87	transcription
200670_at	XBP1	X box binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5).	1,86	transcription
204203_at	CEBPG	CCAAT/enhancer binding protein gamma (C/EBP gamma).	1,86	transcription
203752_s_at	JUND	Transcription factor jun-D.	1,85	transcription
204523_at	ZNF140	Zinc finger protein 140.	1,85	transcription
204512_at	HIVEP1	Zinc finger protein 40 (Human immunodeficiency virus type I enhancer- binding protein 1)	1,83	transcription
219515_at	PRDM10	PR-domain zinc finger protein 10.	1,83	transcription
219904_at	ZSCAN5	Zinc finger and SCAN domain containing protein 5 (Zinc finger protein 495).	1,82	transcription
205932_s_at	MSX1	Homeobox protein MSX-1 (Hox-7).	1,81	transcription
204181_s_at	ZNF297B	Zinc finger protein 297B (Zinc finger and BTB domain containing protein 22B)	1,8	transcription
220444_at	ZNF557	Zinc finger protein 557.	1,8	transcription
204132_s_at	FOXO3A	Forkhead box protein O3A (Forkhead in rhabdomyosarcoma-like 1)	1,78	transcription
201057_s_at	GOLGB1	Golgin subfamily B member 1 (Giantin) (Macrogolgin)	1,74	transcription
205415_s_at		ataxin 3 isoform 1	1,71	transcription
219657_s_at	KLF3	Kruppel-like factor 3 (Basic kruppel-like factor) (CACCC-box binding protein BKLF)	1,71	transcription
205446_s_at	ATF2	Cyclic AMP-dependent transcription factor ATF-2	1,7	transcription
212124_at	RAI17	Retinoic acid-induced protein 17 (PIAS-like protein Zimp10)	1,7	transcription
212748_at	MKL1	MKL/myocardin-like protein 1 (Myocardin-related transcription factor A)	1,66	transcription
212966_at	HIC2	Hypermethylated in cancer 2 protein (Hic-2)	1,66	transcription
215111_s_at	TSC22D1	TSC22 domain family protein 1 (Transforming growth factor beta-1- induced transcript 4 protein)	1,66	transcription
205205_at	RELB	Transcription factor RelB (I-Rel).	1,65	transcription
218166_s_at	HBXAP	Hepatitis B virus X associated protein (HBV pX associated protein 8)	1,62	transcription
202531_at	IRF1	Interferon regulatory factor 1 (IRF-1).	1,61	transcription
203543_s_at	KLF9	Transcription factor BTEB1 (Basic transcription element binding protein 1)	1,61	transcription
203882_at	ISGF3G	Transcriptional regulator ISGF3 gamma subunit (Interferon regulatory factor 9)	1,61	transcription
219376_at	ZNF322B	zinc finger protein 322B	1,61	transcription
209552_at	PAX8	Paired box protein Pax-8	1,6	transcription
203589_s_at	TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2).	1,57	transcription
204243_at	RLF	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15 related protein).	1,55	transcription
210188_at	GABPA	GA binding protein alpha chain (Transcription factor E4TF1-60)	1,55	transcription
203248_at	ZNF24	Zinc finger protein 24, Zinc finger protein 191, Zinc finger protein KOX17, Retinoic acid suppression protein A	1,52	transcription
203301_s_at	DMTF1	cyclin D binding myb-like transcription factor 1	1,52	transcription
208081_s_at	ZNF442	Zinc finger protein 442.	1,52	transcription
209212_s_at	KLF5	Krueppel-like factor 5 (Intestinal-enriched krueppel-like factor)	1,52	transcription
213024_at	TMF1	TATA element modulatory factor (TMF)	1,51	transcription
210866_s_at	CNOT4	CCR4-NOT transcription complex subunit 4 (E3 ubiquitin protein ligase CNOT4)	1,51	transcription
205193_at	MAFF	Transcription factor MafF (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F)	1,49	transcription
214714_at	ZNF394	Zinc finger protein 394.	1,49	transcription
202033_s_at	RB1CC1	RB1-inducible coiled-coil protein 1.	1,48	transcription
202160_at	CREBBP	CREB-binding protein	1,48	transcription
204194_at	BACH1	Transcription regulator protein BACH1 (BTB and CNC homolog 1) (HA2303).	1,47	transcription
217176_s_at	ZFX	Zinc finger X-chromosomal protein.	1,47	transcription
201169_s_at	BHLHB2	Class B basic helix-loop-helix protein 2 (Differentially expressed in chondrocytes protein 1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated with retinoic acid 13).	1,46	transcription
201846_s_at	RYBP	RING1 and YY1-binding protein (Death effector domain-associated factor)(YY1 and E4TF1 associated factor 1) (Apoptin-associating protein 1)	1,44	transcription
221873_at	ZNF143	Zinc finger protein 143 (SPH-binding factor).	1,44	transcription
202221_s_at	EP300	E1A-associated protein p300	1,42	transcription
214743_at	CUTL1	Protein CASP.	1,42	transcription
203003_at	MEF2D	Myocyte-specific enhancer factor 2D	1,41	transcription
204937_s_at	ZNF274	Zinc finger protein 274 (Zinc finger protein HFB101)	1,4	transcription
221645_s_at	ZNF83	Zinc finger protein 83 (Zinc finger protein HPF1).	1,39	transcription
208720_s_at	RNPC2	RNA-binding region containing protein 2 (Hepatocellular carcinoma protein 1)	1,38	transcription
209145_s_at	CBFA2T2	Protein CBFA2T2 (MTG8-like protein)	1,38	transcription
218902_at		Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA	1,38	transcription
221045_s_at	PER3	Period circadian protein 3 (hPER3).	1,38	transcription
214684_at	MEF2A	Myocyte-specific enhancer factor 2A (Serum response factor-like protein 1).	1,35	transcription
218987_at	ATF7IP	activating transcription factor 7 interacting protein	1,34	transcription
212492_s_at	JMJD2B	Jumonji domain-containing protein 2B.	1,32	transcription
49485_at	PRDM4	PR-domain zinc finger protein 4.	1,32	transcription
203556_at	ZHX2	Zinc fingers and homeoboxes protein 2 (Alpha-fetoprotein regulator 1)	1,31	transcription
207247_s_at	ZFY	Zinc finger Y-chromosomal protein.	1,31	transcription
217952_x_at	PHF3	PHD finger protein 3.	1,31	transcription
209571_at		CBF1 interacting corepressor isoform 2	1,31	transcription
220938_s_at	GMEB1	Glucocorticoid modulatory element-binding protein 1 (Parvovirus initiation factor p96)	1,31	transcription
40446_at	PHF1	PHD finger protein 1 (PHF1 protein).	1,31	transcription
203249_at	EZH1	Enhancer of zeste homolog 1 (ENX-2).	1,3	transcription
204109_s_at	NFYA	Nuclear transcription factor Y subunit alpha	1,29	transcription
202526_at	SMAD4	Mothers against decapentaplegic homolog 4 (Deletion target in pancreatic carcinoma 4)	1,28	transcription
212641_at	HIVEP2	Human immunodeficiency virus type I enhancer-binding protein 2	1,28	transcription
201146_at	NFE2L2	Nuclear factor erythroid 2 related factor 2 (NF-E2 related factor 2)	1,27	transcription
205964_at	ZNF426	Zinc finger protein 426.	1,26	transcription
206558_at	SIM2	Single-minded homolog 2	1,26	transcription
203205_at	JMJD2A	Jumonji domain-containing protein 2A.	1,24	transcription
204453_at	ZNF84	Zinc finger protein 84 (Zinc finger protein HPF2).	1,24	transcription
205322_s_at	MTF1	Metal-regulatory transcription factor 1 (Transcription factor MTF-1)	1,23	transcription
206789_s_at	POU2F1	POU domain, class 2, transcription factor 1 (Octamer-binding transcription factor 1)	1,23	transcription
218873_at	GON4	Protein GON4 (GON-4 homolog) (GON-4-like protein).	1,23	transcription
202861_at	PER1	Period circadian protein 1 (Circadian pacemaker protein Rigui)	1,22	transcription
