probe set	Entrez Gene	Gene Symbol	Gene Title
202820_at	196	AHR	aryl hydrocarbon receptor
209262_s_at	2063	NR2F6	nuclear receptor subfamily 2, group F, member 6
207802_at	10321	CRISP3	cysteine-rich secretory protein 3
204378_at	8537	BCAS1	breast carcinoma amplified sequence 1
207791_s_at	5861	RAB1A	RAB1A, member RAS oncogene family
200977_s_at	8887	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1
225645_at	26298	EHF	Ets homologous factor
211967_at	114908	PORIMIN	pro-oncosis receptor inducing membrane injury gene
222603_at	79956	KIAA1815	KIAA1815
1555037_a_at	3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble
212842_x_at	84220	RANBP2L1	RAN binding protein 2-like 1
202087_s_at	1514	CTSL	cathepsin L
202313_at	5520	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
219010_at	55765	C1orf106	chromosome 1 open reading frame 106
225266_at	22834	ZNF652	Zinc finger protein 652
217850_at	26354	GNL3	guanine nucleotide binding protein-like 3 (nucleolar)
214433_s_at	8991	SELENBP1	selenium binding protein 1 /// selenium binding protein 1
202722_s_at	2673	GFPT1	glutamine-fructose-6-phosphate transaminase 1
213988_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
201760_s_at	55884	WSB2	WD repeat and SOCS box-containing 2
209222_s_at	9885	OSBPL2	oxysterol binding protein-like 2
209146_at	6307	SC4MOL	sterol-C4-methyl oxidase-like
202552_s_at	51232	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
226650_at	90637	ZFAND2A	zinc finger, AN1-type domain 2A
212925_at	126353	C19orf21	chromosome 19 open reading frame 21
204015_s_at	1846	DUSP4	dual specificity phosphatase 4
224786_at	60592	SCOC	short coiled-coil protein
223008_s_at	23731	C9orf5	chromosome 9 open reading frame 5
224700_at	201595	SIMP	source of immunodominant MHC-associated peptides
208854_s_at	8428	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)
202859_x_at	3576	IL8	interleukin 8
204526_s_at	11138	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)
212820_at	23312	DMXL2	Dmx-like 2
210095_s_at	3486	IGFBP3	insulin-like growth factor binding protein 3
202786_at	27347	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
212096_s_at	57509	MTUS1	mitochondrial tumor suppressor 1
200862_at	1718	DHCR24	24-dehydrocholesterol reductase
226424_at	828	CAPS	calcyphosine
209048_s_at	23613	PRKCBP1	protein kinase C binding protein 1
218361_at	55204	GOLPH3L	golgi phosphoprotein 3-like
200973_s_at	10099	TSPAN3	tetraspanin 3
227139_s_at	84343	HPS3	Hermansky-Pudlak syndrome 3
202551_s_at	51232	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
218360_at	57403	RAB22A	RAB22A, member RAS oncogene family
208881_x_at	3422	IDI1	isopentenyl-diphosphate delta isomerase 1
202529_at	5635	PRPSAP1	phosphoribosyl pyrophosphate synthetase-associated protein 1
221577_x_at	9518	GDF15	growth differentiation factor 15
224628_at	27248	C2orf30	chromosome 2 open reading frame 30
214211_at	2495	FTH1	ferritin, heavy polypeptide 1
208785_s_at	81631	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
202593_s_at	51573	MIR16	membrane interacting protein of RGS16
201542_at	56681	SAR1A	SAR1 gene homolog A (S. cerevisiae)
204069_at	4211	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)
204615_x_at	3422	IDI1	isopentenyl-diphosphate delta isomerase 1
222408_s_at	51646	YPEL5	yippee-like 5 (Drosophila)
222552_at	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)
202085_at	9414	TJP2	tight junction protein 2 (zona occludens 2)
201642_at	3460	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)
209404_s_at	51014	TMED7	transmembrane emp24 protein transport domain containing 7
201095_at	1611	DAP	death-associated protein
202743_at	8503	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
218109_s_at	64747	MFSD1	major facilitator superfamily domain containing 1
211695_x_at	4582	MUC1	mucin 1, transmembrane /// mucin 1, transmembrane
227195_at	84858	ZNF503	zinc finger protein 503
218928_s_at	54020	SLC37A1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1
209593_s_at	27348	TOR1B	torsin family 1, member B (torsin B)
212098_at	151162	LOC151162	hypothetical protein LOC151162
217870_s_at	51727	CMPK	cytidylate kinase
1555950_a_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
1554482_a_at	51128	SAR1B	SAR1 gene homolog B (S. cerevisiae)
212586_at	831	CAST	calpastatin
201889_at	10447	FAM3C	family with sequence similarity 3, member C
209366_x_at	1528	CYB5	cytochrome b-5
203407_at	5493	PPL	periplakin
208091_s_at	81552	ECOP	EGFR-coamplified and overexpressed protein /// EGFR-coamplified and overexpressed protein
230333_at	6303	SAT	Spermidine/spermine N1-acetyltransferase
223187_s_at	94101	ORMDL1	ORM1-like 1 (S. cerevisiae)
201847_at	3988	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)
218946_at	27247	HIRIP5	HIRA interacting protein 5
201627_s_at	3638	INSIG1	insulin induced gene 1
222750_s_at	79644	SRD5A2L	steroid 5 alpha-reductase 2-like
203224_at	55312	RFK	riboflavin kinase
201887_at	3597	IL13RA1	interleukin 13 receptor, alpha 1
201722_s_at	2589	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
224986_s_at	5170	PDPK1	3-phosphoinositide dependent protein kinase-1
201661_s_at	2181	ACSL3	acyl-CoA synthetase long-chain family member 3
207843_x_at	1528	CYB5	cytochrome b-5
201916_s_at	11231	SEC63	SEC63-like (S. cerevisiae)
205573_s_at	51375	SNX7	sorting nexin 7
203535_at	6280	S100A9	S100 calcium binding protein A9 (calgranulin B)
225325_at	54842	FLJ20160	FLJ20160 protein
219073_s_at	114884	OSBPL10	oxysterol binding protein-like 10
202468_s_at	8727	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1
201190_s_at	5306	PITPNA	phosphatidylinositol transfer protein, alpha
228454_at	84458	MLR2	ligand-dependent corepressor
226214_at	51573	MIR16	membrane interacting protein of RGS16
224630_at	27248	C2orf30	chromosome 2 open reading frame 30
226185_at	1040	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
201660_at	2181	ACSL3	Acyl-CoA synthetase long-chain family member 3
225525_at	85379	KIAA1671	KIAA1671 protein
201204_s_at	NA	NA	CDNA FLJ41000 fis, clone UTERU2016761, highly similar to Homo sapiens ES/130 mRNA
227372_s_at	55971	BAIAP2L1	BAI1-associated protein 2-like 1
223233_s_at	57530	CGN	cingulin
217752_s_at	55748	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
202324_s_at	64746	ACBD3	acyl-Coenzyme A binding domain containing 3
225301_s_at	4645	MYO5B	myosin VB
226021_at	157506	RDH10	retinol dehydrogenase 10 (all-trans)
223249_at	9069	CLDN12	claudin 12
213572_s_at	1992	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1
1555419_a_at	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
226026_at	84925	DIRC2	disrupted in renal carcinoma 2
224996_at	157807	MGC34646	Hypothetical protein MGC34646
224695_at	55571	C2orf29	chromosome 2 open reading frame 29
226706_at	200058	FLJ23867	hypothetical protein FLJ23867
224949_at	81555	YIPF5	Yip1 domain family, member 5
204014_at	1846	DUSP4	dual specificity phosphatase 4
202441_at	10613	SPFH1	SPFH domain family, member 1
201926_s_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
224759_s_at	90488	MGC17943	hypothetical protein MGC17943
225224_at	140688	C20orf112	chromosome 20 open reading frame 112
218024_at	51660	BRP44L	brain protein 44-like
204201_s_at	5783	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
235013_at	1317	SLC31A1	solute carrier family 31 (copper transporters), member 1
201341_at	8507	ENC1	ectodermal-neural cortex (with BTB-like domain)
222203_s_at	57665	RDH14	retinol dehydrogenase 14 (all-trans and 9-cis)
218963_s_at	25984	KRT23	keratin 23 (histone deacetylase inducible)
212900_at	10802	SEC24A	SEC24 related gene family, member A (S. cerevisiae)
212268_at	1992	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1
203021_at	6590	SLPI	secretory leukocyte peptidase inhibitor
226683_at	112574	SNAG1	Sorting nexin associated golgi protein 1
226302_at	5205	ATP8B1	ATPase, Class I, type 8B, member 1
218696_at	9451	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3
225436_at	58489	LOC58489	hypothetical protein from EUROIMAGE 588495
218885_s_at	79695	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
37005_at	4681	NBL1	neuroblastoma, suppression of tumorigenicity 1
202395_at	4905	NSF	N-ethylmaleimide-sensitive factor
227177_at	NA	NA	NA
212328_at	22998	KIAA1102	KIAA1102 protein
213134_x_at	10950	BTG3	BTG family, member 3
205968_at	3790	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
228051_at	202451	LOC202451	hypothetical protein LOC202451
208161_s_at	8714	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
225284_at	144871	LOC144871	hypothetical protein LOC144871
212335_at	2799	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
204066_s_at	116987	CENTG2	centaurin, gamma 2
224800_at	57590	WDFY1	WD repeat and FYVE domain containing 1
209045_at	7511	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
1569344_a_at	NA	NA	Homo sapiens, clone IMAGE:4044872, mRNA
202838_at	2517	FUCA1	fucosidase, alpha-L- 1, tissue
226960_at	284340	UNQ473	DMC
215994_x_at	23061	KIAA0676	KIAA0676 protein
212599_at	26053	AUTS2	autism susceptibility candidate 2
226961_at	222171	LOC222171	hypothetical protein LOC222171
205548_s_at	10950	BTG3	BTG family, member 3
201724_s_at	2589	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
206875_s_at	9748	SLK	STE20-like kinase (yeast)
224937_at	5738	PTGFRN	prostaglandin F2 receptor negative regulator
242476_at	NA	NA	Transcribed locus, strongly similar to NP_777610.1 hypothetical protein FLJ30435 [Homo sapiens]
209357_at	10370	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
209340_at	6675	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1
221486_at	2029	ENSA	endosulfine alpha
210312_s_at	90410	IFT20	intraflagellar transport protein IFT20
212371_at	51029	C1orf121	chromosome 1 open reading frame 121
216804_s_at	10611	PDLIM5	PDZ and LIM domain 5
205281_s_at	5277	PIGA	phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria) /// phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)
218446_s_at	51030	FAM18B	family with sequence similarity 18, member B
225232_at	54545	MTMR12	myotubularin related protein 12
224831_at	80315	CPEB4	cytoplasmic polyadenylation element binding protein 4
209692_at	2139	EYA2	eyes absent homolog 2 (Drosophila)
218191_s_at	55788	LMBRD1	LMBR1 domain containing 1
219377_at	64762	FAM59A	family with sequence similarity 59, member A
218941_at	26190	FBXW2	F-box and WD-40 domain protein 2
202587_s_at	203	AK1	adenylate kinase 1
235391_at	137392	FAM92A1	family with sequence similarity 92, member A1
206860_s_at	54468	FLJ20323	hypothetical protein FLJ20323
212509_s_at	439921	MXRA7	matrix-remodelling associated 7
217914_at	53373	TPCN1	two pore segment channel 1
204076_at	9583	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4
218342_s_at	79956	KIAA1815	KIAA1815
210896_s_at	444	ASPH	aspartate beta-hydroxylase
220945_x_at	54682	MANSC1	MANSC domain containing 1
214274_s_at	30	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
202194_at	50999	TMED5	transmembrane emp24 protein transport domain containing 5
226914_at	81873	ARPC5L	actin related protein 2/3 complex, subunit 5-like
205768_s_at	11001	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
219862_s_at	26502	NARF	nuclear prelamin A recognition factor
218853_s_at	56180	MOSPD1	motile sperm domain containing 1
225583_at	80146	UXS1	UDP-glucuronate decarboxylase 1
201925_s_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
233849_s_at	394	ARHGAP5	Rho GTPase activating protein 5
206043_s_at	9914	KIAA0703	KIAA0703 gene product
207181_s_at	840	CASP7	caspase 7, apoptosis-related cysteine peptidase
217771_at	51280	GOLPH2	golgi phosphoprotein 2
209451_at	10010	TANK	TRAF family member-associated NFKB activator
215726_s_at	1528	CYB5	cytochrome b-5
213093_at	5578	PRKCA	protein kinase C, alpha
202357_s_at	629	BF	B-factor, properdin
227133_at	139231	CXorf39	chromosome X open reading frame 39
229194_at	84333	PCGF5	polycomb group ring finger 5
231856_at	57221	KIAA1244	KIAA1244
226609_at	285761	DCBLD1	discoidin, CUB and LCCL domain containing 1
218180_s_at	64787	EPS8L2	EPS8-like 2
203997_at	5774	PTPN3	protein tyrosine phosphatase, non-receptor type 3
218095_s_at	55858	TPARL	TPA regulated locus
223299_at	90701	SEC11L3	SEC11-like 3 (S. cerevisiae)
202727_s_at	3459	IFNGR1	interferon gamma receptor 1
226099_at	22936	ELL2	elongation factor, RNA polymerase II, 2
218676_s_at	58488	PCTP	phosphatidylcholine transfer protein
201723_s_at	2589	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
210676_x_at	84220	RANBP2L1	RAN binding protein 2-like 1
201795_at	3930	LBR	lamin B receptor
210117_at	6674	SPAG1	sperm associated antigen 1
202289_s_at	10579	TACC2	transforming, acidic coiled-coil containing protein 2
209114_at	10103	TSPAN1	tetraspanin 1
202721_s_at	2673	GFPT1	glutamine-fructose-6-phosphate transaminase 1
209780_at	57157	PHTF2	putative homeodomain transcription factor 2
228143_at	NA	NA	NA
217867_x_at	25825	BACE2	beta-site APP-cleaving enzyme 2
202528_at	2582	GALE	UDP-galactose-4-epimerase
208928_at	5447	POR	P450 (cytochrome) oxidoreductase
201968_s_at	5236	PGM1	phosphoglucomutase 1
209649_at	10254	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
217738_at	10135	PBEF1	pre-B-cell colony enhancing factor 1
225313_at	63939	C20orf177	chromosome 20 open reading frame 177
201621_at	4681	NBL1	neuroblastoma, suppression of tumorigenicity 1
226942_at	51105	PHF20L1	PHD finger protein 20-like 1
213455_at	283677	LOC283677	hypothetical LOC283677
221620_s_at	79135	MGC4825	hypothetical protein MGC4825
202832_at	9648	GCC2	GRIP and coiled-coil domain containing 2
204714_s_at	2153	F5	coagulation factor V (proaccelerin, labile factor)
218147_s_at	55830	GLT8D1	glycosyltransferase 8 domain containing 1
218218_at	55198	DIP13B	DIP13 beta
234982_at	130507	ZNF650	zinc finger protein 650
1555745_a_at	4069	LYZ	lysozyme (renal amyloidosis)
216623_x_at	27324	TNRC9	trinucleotide repeat containing 9
1558034_s_at	1356	CP	ceruloplasmin (ferroxidase)
205870_at	624	BDKRB2	bradykinin receptor B2
212441_at	9778	KIAA0232	KIAA0232 gene product
202539_s_at	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
212305_s_at	348477 /// 375056 /// 440751	KIAA0268 /// UNQ6077 /// LOC440751	C219-reactive peptide /// AAAP6077 /// similar to C219-reactive peptide
212611_at	23220	DTX4	deltex 4 homolog (Drosophila)
203006_at	3632	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa
218423_x_at	51542	VPS54	vacuolar protein sorting 54 (yeast)
221547_at	8559	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (yeast)
205542_at	26872	STEAP1	six transmembrane epithelial antigen of the prostate 1
235095_at	146439	LOC146439	hypothetical LOC146439
204554_at	5509	PPP1R3D	protein phosphatase 1, regulatory subunit 3D
223341_s_at	60592	SCOC	short coiled-coil protein
227038_at	166929	MGC26963	hypothetical protein MGC26963
218326_s_at	55366	LGR4	leucine-rich repeat-containing G protein-coupled receptor 4
225667_s_at	151354 /// 400944	FAM84A /// LOC400944	family with sequence similarity 84, member A /// hypothetical LOC400944
203732_at	9325	TRIP4	thyroid hormone receptor interactor 4
227523_s_at	51105	PHF20L1	PHD finger protein 20-like 1
213188_s_at	84864	MINA	MYC induced nuclear antigen
233656_s_at	51542	VPS54	vacuolar protein sorting 54 (yeast)
209684_at	54453	RIN2	Ras and Rab interactor 2
201834_at	5564	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit
201753_s_at	120	ADD3	adducin 3 (gamma)
215108_x_at	27324	TNRC9	trinucleotide repeat containing 9
229740_at	9400	RECQL5	RecQ protein-like 5 /// PP12104
214774_x_at	27324	TNRC9	trinucleotide repeat containing 9
227701_at	55088	C10orf118	chromosome 10 open reading frame 118
203971_at	1317	SLC31A1	solute carrier family 31 (copper transporters), member 1
218217_at	59342	SCPEP1	serine carboxypeptidase 1
226742_at	51128	SAR1B	SAR1 gene homolog B (S. cerevisiae)
218396_at	54832	VPS13C	vacuolar protein sorting 13C (yeast)
223059_s_at	83641	C10orf45	chromosome 10 open reading frame 45
220334_at	26575	RGS17	regulator of G-protein signalling 17
225189_s_at	65059	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
212186_at	31	ACACA	acetyl-Coenzyme A carboxylase alpha
222627_at	51542	VPS54	vacuolar protein sorting 54 (yeast)
205769_at	11001	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2
237189_at	NA	NA	NA
203719_at	2067	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
223058_at	83641	C10orf45	chromosome 10 open reading frame 45
201056_at	2804	GOLGB1	Golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1
234970_at	123036	MTAC2D1	membrane targeting (tandem) C2 domain containing 1
219291_at	56986	DTWD1	DTW domain containing 1
218764_at	5583	PRKCH	protein kinase C, eta
226586_at	203286	SAMD6	sterile alpha motif domain containing 6
226863_at	NA	NA	Full-length cDNA clone CS0DJ001YJ05 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)
226077_at	153830	FLJ31951	hypothetical protein FLJ31951
202502_at	34	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
209326_at	7355	SLC35A2	solute carrier family 35 (UDP-galactose transporter), member A2
210074_at	1515	CTSL2	cathepsin L2
205830_at	1047	CLGN	calmegin
213716_s_at	6398	SECTM1	secreted and transmembrane 1
221556_at	8555	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
208191_x_at	5672	PSG4	pregnancy specific beta-1-glycoprotein 4
212798_s_at	57037	ANKMY2	ankyrin repeat and MYND domain containing 2
242172_at	4211	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)
226022_at	23328	SASH1	SAM and SH3 domain containing 1
212143_s_at	3486	IGFBP3	insulin-like growth factor binding protein 3
201888_s_at	3597	IL13RA1	interleukin 13 receptor, alpha 1
225987_at	79689	STEAP4	STEAP family member 4
203827_at	55062	WIPI49	WD40 repeat protein Interacting with phosphoInositides of 49kDa
217551_at	441453	LOC441453	similar to olfactory receptor, family 7, subfamily A, member 17
201625_s_at	3638	INSIG1	insulin induced gene 1
218627_at	55332	FLJ11259	hypothetical protein FLJ11259
211977_at	57720	GPR107	G protein-coupled receptor 107
204621_s_at	4929	NR4A2	nuclear receptor subfamily 4, group A, member 2
227174_at	256764	WDR72	WD repeat domain 72
238741_at	84985	FAM83A	family with sequence similarity 83, member A
203076_s_at	4087	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)
202176_at	2071	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)
202969_at	8445	DYRK2	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
213349_at	23023	TMCC1	transmembrane and coiled-coil domain family 1
218126_at	55177	FAM82C	family with sequence similarity 82, member C
227027_at	2673	GFPT1	Glutamine-fructose-6-phosphate transaminase 1
201768_s_at	9685	ENTH	enthoprotin
1557293_at	440993	LOC440993	hypothetical gene supported by AK128346
208502_s_at	5307	PITX1	paired-like homeodomain transcription factor 1
219675_s_at	80146	UXS1	UDP-glucuronate decarboxylase 1
212989_at	259230	TMEM23	transmembrane protein 23
207414_s_at	5046	PCSK6	proprotein convertase subtilisin/kexin type 6
236492_at	5520	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
222762_x_at	23328 /// 8994	LIMD1 /// SASH1	LIM domains containing 1 /// SAM and SH3 domain containing 1
213836_s_at	55062	WIPI49	WD40 repeat protein Interacting with phosphoInositides of 49kDa
210540_s_at	8702	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
211612_s_at	3597	IL13RA1	interleukin 13 receptor, alpha 1 /// interleukin 13 receptor, alpha 1
203169_at	NA	NA	NA
