Symbol	Title	Functiona	Accessionb	Medianc	25%c	75%c	%Down	Pd
NA	Homo sapiens cDNA: FLJ23125 fis, clone LNG08217	Unknown	AA669034	-5.04	-6.75	-3.3	85	6.12E-04
TFF1	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	Defense response	AA614579	-2.64	-4.37	-1.64	85	1.18E-03
HCF-2	Host cell factor 2	Transcription factor	W37916	-2.14	-3.01	-1.39	84.6	1.17E-05
ATP2A3	ATPase, Ca++transporting, ubiquitous	Small molecule transport (Ca)	Y15724	-2.23	-4.07	-1.69	84.2	8.58E-04
NA	EST	Unknown	AA432388	-9.48	-15.26	-1.97	83.3	1.71E-05
NA	EST	Unknown	AA262280	-8.64	-14.54	-2.17	83.3	1.82E-04
FSHPRH1	FSH primary response (LRPR1, rat) homolog 1	Spermatogenesis/oogenesis	X97249	-2.91	-6.61	-1.65	83.3	1.49E-03
FLJ10846	Hypothetical protein FLJ10846	Unknown	H06819	-2.11	-2.93	-1.47	83.3	9.90E-04
RNB6	RNB6	Unknown	AI341482	-3.66	-14.62	-1.63	82.4	2.73E-03
NA	Homo sapiens chromosome 19, cosmid R30669	Immune	AA573905	-3.58	-6.15	-1.6	82.4	1.55E-04
RAB32	RAB32, member RAS oncogene family	Vesicle transport	U59878	-1.65	-2.53	-1.47	81.3	5.52E-05
MT1E	Metallothionein 1E (functional)	Heavy metal ion transport	M10942	-4.93	-16.4	-1.79	80	8.51E-03
ALDOB	Aldolase B, fructose-bisphosphate	Carbohydrate metabolism	X02747	-4.05	-5.38	-1.9	80	1.80E-04
NA	EST	Unknown	AI340056	-3.34	-17.13	-1.93	80	6.44E-03
ADH1	Alcohol dehydrogenase 1 (class I),  a polypeptide	Carbohydrate metabolism	M12963	-2.98	-4.5	-1.85	80	1.71E-05
NA	EST	Unknown	H97976	-2.61	-4.62	-1.57	80	1.67E-04
NA	EST	Unknown	N58488	-1.77	-2.22	-1.33	80	5.27E-05
CYP3A7	Cytochrome P450, subfamily IIIA, polypeptide 7	Drug metabolism	D00408	-1.66	-3.9	-1.47	80	2.04E-04
ADH3	Alcohol dehydrogenase 3 (class I),  y polypeptide	Carbohydrate metabolism	X04299	-3.45	-4.56	-1.97	78.9	5.08E-05
NA	EST	Unknown	AA393089	-1.59	-1.96	-1.33	78.9	9.87E-07
EEF1E1	Eukaryotic translation elongation factor 1 1	Glutathione transferase	AI290959	-1.51	-1.71	-1.37	78.9	2.87E-04
LOC51247	Hypothetical protein	Unknown	H25172	-3.39	-14.5	-1.91	78.6	1.14E-04
NA	EST	Unknown	W37871	-3.01	-12.86	-1.85	78.6	1.14E-04
LOC57146	Hypothetical protein from clone 24796	Unknown	AF001550	-1.98	-2.72	-1.53	78.6	4.11E-05
NA	Homo sapiens mRNA; cDNA DKFZp434P228 (from clone DKFZp434P228)	Unknown	W23958	-1.62	-2.31	-1.48	78.6	8.84E-04
CYP3A5	Cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 5	Drug metabolism	J04813	-2.73	-3.55	-1.71	77.8	5.65E-05
MGAM	Maltase-glucoamylase ( a-glucosidase)	Carbohydrate metabolism	AF016833	-3.9	-14.58	-1.58	76.9	9.98E-03
ITGB8	Integrin B 8	Cell adhesion/signal transduction	AA410685	-2.03	-2.32	-1.52	76.9	9.08E-04
LOC55895	22 kDa peroxisomal membrane protein-like	Unknown	AI093595	-2.01	-3.13	-1.48	76.9	8.92E-05
LOC51092	CGI-40 protein	Unknown	AA458747	-2.89	-3.26	-1.92	76.5	2.77E-04
NA	EST	Unknown	AI093836	-1.63	-2.22	-1.33	76.5	3.07E-03
INGAP	Pancreatic  cell growth factor	Differenciation	U41737	-7.9	-14.67	-1.84	75	5.53E-06
REG1A	Regenerating islet-derived 1  a (pancreatic stone protein,pancreatic thread protein)	Cell proliferation	M18963	-3.87	-5.43	-1.31	75	4.15E-03
NOS2A	Nitric oxide synthase 2A (inducible, hepatocytes)	Nitric oxide synthase	U31511	-3.67	-17.1	-1.06	75	9.24E-03
ATP4B	ATPase, H+/K+exchanging,  polypeptide	Small molecule transport	M75110	-2.69	-8.49	-1.16	75	2.08E-05
RNASE1	Ribonuclease, RNase A family, 1 (pancreatic)	RNA catabolism	AA778308	-2.28	-4.45	-1.31	75	8.07E-04
DKFZP586A0522	DKFZP586A0522 protein	Unknown	AI306435	-2.14	-15.49	-1.33	75	2.94E-04
SFTPC	Surfactant, pulmonary-associated protein C	Extracellular	N56912	-1.92	-2.28	-1.28	75	1.44E-03
FER1L3	Fer (Caenorhabditis elegans)-like 3 (myoferlin)	Muscle contraction	AI025297	-1.77	-2.43	-1.24	75	1.63E-03
STAM2	STAM-like protein containing SH3 and ITAM domains 2	Signal transduction	M78581	-1.74	-5.4	-1.44	75	6.83E-04
KLF7	Kruppel-like factor 7 (ubiquitous)	Transcription factor	AI025297	-1.72	-5.84	-1.25	75	2.79E-03
NA	EST	Unknown	H11252	-1.58	-2.13	-1.29	75	5.74E-05
