P-value	Probe set	UGcluster	gene	alpha	beta	delta	epsilon
1.85E-05	92773_at	Mm.1224	Ier5	4.387968652	3.6032029	1.798438575	3.924718964
1.95E-05	102906_at	Mm.1579	Tgtp	0.37499167	1.712639108	0.599917812	0.871941847
2.00E-05	98476_at	Mm.3526	Ank3	1.405056763	1.539400572	0.51772967	1.878818993
2.06E-05	103517_at	Mm.2270	EST	3.808345226	1.315760832	1.379772307	1.304919551
2.09E-05	102363_r_at	Mm.1167	Junb	0.394931189	0.585682283	1.214901897	0.467961342
2.48E-05	100311_f_at	Mm.8694	Ear1	8.033203847	1.089717476	1.487395956	1.120477502
3.50E-05	92208_at	Mm.3419	LOC232560	0.383059625	0.597019497	1.036447487	0.400216342
3.54E-05	97950_at	Mm.3043	Xdh	4.143519954	2.491202101	2.309897	3.815967801
4.18E-05	97926_s_at	Mm.3020	Pparg	44.91288234	1.718651119	4.918317122	0.39378003
4.56E-05	100680_at	Mm.1413	Dub1	0.405387099	0.467411439	1.147873547	0.392162162
5.70E-05	161067_at	Mm.5544	Ifld2	0.198463145	0.360448523	0.934354569	0.070481666
5.94E-05	103665_at	Mm.2069	Lce-pending	2.669053897	3.223285325	1.187392363	2.951238257
7.28E-05	161980_f_at	Mm.9393	Bag3	0.250328268	0.380128175	0.743875569	0.24827205
8.99E-05	100019_at	Mm.4575	Cspg2	3.659699739	2.367828452	1.825157961	2.880006752
0.0001171	98465_f_at	Mm.3481	Ifi204	3.073988825	1.025442781	1.503577677	2.510780564
0.0001179	96680_at	Mm.2743	Dnajb9	0.343395284	0.483756531	1.328505647	0.350936516
0.0001279	103671_at	Mm.2080	Htatip2	0.099415705	0.336828678	0.784885831	0.113315945
0.0001314	95020_at	Mm.2746	9130415E20Rik	3.668549873	2.120418733	1.655766625	2.338160427
0.0001403	102712_at	Mm.1427	Saa3	2.698305436	0.656506996	0.862348058	0.661807363
0.0001565	92913_at	Mm.4817	Abcd2	13.46106492	2.521316688	2.730271834	3.439855091
0.0001581	161609_at	Mm.6873	Rgs16	0.764576555	0.399158836	1.41595045	0.584957739
0.0001622	102948_at	Mm.1733	Hemt1	0.081460006	0.188633122	0.856483766	0.065319879
0.0001645	99109_at	Mm.399	Ier2	0.282568488	0.490000507	0.92224965	0.333204399
0.0001938	102341_at	Mm.1114	Gla	0.247071339	0.374799091	0.707650458	0.071800546
0.0002021	93837_at	Mm.2160	Kng	9.13402822	1.742965515	2.153879758	2.157011718
0.0002048	104063_at	Mm.2158	Srcasm	2.102590619	0.395482888	1.561215763	1.738719221
0.0002375	96566_at	Mm.2961	Tgm3	47.62314245	1.196582833	2.865155902	2.833640432
0.0002527	96657_at	Mm.2734	Sat	0.401937562	0.529428631	1.244343565	0.423290151
0.0002581	95418_at	Mm.2434	1190017B18Rik	0.394915479	0.461241971	1.19783173	0.361921314
0.0002619	103098_at	Mm.1753	Baiap2	0.304842683	0.467152401	0.834708674	0.312093096
0.0002878	100436_at	Mm.4777	Orm1	14.20374056	1.034363616	3.247981372	1.226361713
0.0002903	100611_at	Mm.654	Lyzs	3.693356185	1.343753776	0.999527157	1.118297229
0.000295	104282_at	Mm.2224	EST	3.758523443	1.552159048	1.457939079	2.560735182
0.0003302	92978_s_at	Mm.5019	Serpinb2	10.93885056	1.306285837	1.356246419	1.540850353
0.0003543	161376_f_at	Mm.6005	AA407930	0.152187499	0.382986011	0.750375974	0.223618332
0.0003936	102898_at	Mm.1562	Hgf	4.065491568	1.171535619	0.85627204	1.306530805
0.0004205	100477_at	Mm.4992	M32486	3.059694504	1.154011151	1.301557009	2.744029165
0.0004406	92473_at	Mm.4212	Mknk2	0.351557293	0.453857081	0.735031326	0.221723641
0.0005255	102114_f_at	Mm.4260	Angptl4	2.737695405	1.47093936	0.668257428	1.126833105
0.0005352	160770_at	Mm.2814	Mvd	5.685891142	6.383303599	1.591401736	6.091257589
0.0006425	161115_r_at	Mm.3853	Spi13	2.11929909	0.491548187	1.223772247	0.731376103
0.0006933	100127_at	Mm.4757	Crabp2	0.385849677	0.591952431	0.782813857	0.263549411
0.0007455	100548_at	Mm.544	Pea15	0.106666178	0.463482351	1.094018136	0.276475029
0.0012359	92315_at	Mm.3819	Slfn4	4.98319588	1.101009058	2.356182464	2.267564509
0.0013649	102302_at	Mm.1281	Bckdhb	3.053507926	1.732990742	1.060534118	1.619453363
0.0015436	161049_at	Mm.4704	Foxg1	2.80356687	3.170218537	1.358456928	2.191696896
0.0016706	98942_r_at	Mm.2869	2310032D16Rik	4.064662678	1.220988141	1.808295415	2.365413875
0.0017242	92472_f_at	Mm.4212	Slfn2	8.849130576	2.477067672	2.116354981	6.815828163
0.0017326	102298_at	Mm.1259	Ngfb	0.164712946	0.485213014	0.653299186	0.160483628
0.0018574	99494_at	Mm.4156	Serpini1	14.00190806	3.663681355	3.334965118	2.256860056
0.0018822	103250_at	Mm.2045	Dfna5h	4.406737747	1.53318119	2.418065714	4.664833266
0.0019165	102313_at	Mm.1065	Gch	0.307164282	0.500797759	0.88618005	0.390071248
0.0019336	93881_i_at	Mm.8877	Tgoln2	0.35184804	0.428734835	0.858434774	0.300116599
0.0023622	101950_at	Mm.97 /	Semcap2-pending	0.269658799	0.510709939	1.025036396	0.273099113
0.0023814	99846_at	Mm.6260	Foxf2	4.96389807	2.22076043	1.509674101	2.21246273
0.0025324	95426_at	Mm.2445	Echs1	6.380339141	4.345746906	3.44926551	6.118783654
0.0029973	94354_at	Mm.2522	Abca1	2.151586763	0.628444563	1.663780392	0.863649156
0.0032929	97319_at	Mm.2946	Rrad	0.385904828	0.424216327	0.770213724	0.360844311
0.0039889	99134_at	Mm.4116	Tcte3	0.164801432	0.228777694	0.96215744	0.160916811
0.0040034	96518_at	Mm.2603	BC037006	0.242904632	0.320497326	0.681203467	0.127860893
0.005284	98474_r_at	Mm.3509	Tnfaip6	1.326503624	0.544470591	2.225973667	0.24197585
0.0062801	102919_at	Mm.162	Mafk	0.381241631	0.441821838	0.8594576	0.4128465
0.0065845	100621_at	Mm.6586	Rnh1	0.33770061	0.57709886	0.680467808	0.398606714
0.0070152	160841_at	Mm.3459	Dbp	0.692257383	2.100056668	0.905062898	0.407432493
0.0070672	160111_at	Mm.1892	eIF1A	6.813895063	6.022321005	1.598531579	5.634258172
0.0072051	104155_f_at	Mm.2706	Atf3	0.30943578	0.49485408	0.821827585	0.457082898
0.0072422	96499_at	Mm.2524	EST	0.07244922	0.068452365	0.625894378	0.326470974
0.0073829	96119_s_at	Mm.2699	Angptl4	2.710796235	1.033830889	1.025445737	1.528800478
0.0078957	101883_s_at	Mm.8831	Xlr3b	0.843181822	2.505351848	1.003711205	1.08172555
0.007928	103975_at	Mm.2576	Prdc-pending	0.709017207	1.053660337	1.063162708	0.367808585
0.0085674	X57349_M_at		Trfr	3.704219066	3.461750365	1.610373122	2.784691425
0.0112201	100606_at	Mm.648	Prnp	0.356353609	0.499880247	0.755716525	0.40873518
0.0113135	X57349_5_at		Trfr	2.748517889	2.591832257	1.504689099	2.259174536
0.0141019	101051_at	Mm.703	S100a3	0.231231417	0.393374805	0.762759527	0.288699536
0.0164591	94511_at	Mm.2897	Ssr1	2.35320637	2.526190464	0.668836959	2.445917874
0.0168971	93694_at	Mm.8471	Per2	4.854159488	1.729577085	1.752033677	11.40074306
0.0179423	93068_r_at	Mm.1568	Hist2	0.60033707	0.682085273	1.508364935	0.506736376
0.0199879	99425_at	Mm.5712	HMGCR	2.905371175	2.393476934	1.299369511	1.678683554
0.0235231	98435_at	Mm.3440	Adss1	0.214763809	0.318636913	0.649791971	0.272893931
0.0245985	98363_at	Mm.4424	Nxph-2	1.35590736	1.33572172	0.378700993	1.348944912
0.0269934	93833_s_at	Mm.2157	Hist1h2bc	0.621850063	0.584349319	0.965501027	0.364091149
	101912_at	Mm.902	1100001G20Rik	7.618995585	1.27568967	0.746439083	1.118572778
0.0270197	103611_at	Mm.2018	Cd47	2.910043948	2.08600272	1.608848561	2.52194378
0.0270858	103262_at	Mm.2082	Hipk1	1.044405359	0.282062711	0.804109706	0.365382762
