Name	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description
POP5	NM_015918	204839_at	0.75974244	0.8389791	1.4152408	1.1784769	1.633723043	0.0926	0.0661	Processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)
RBM9	N95026	212104_s_at	0.8427053	0.7135468	1.2679933	1.2452008	1.624878139	0.0608	0.0623	RNA binding motif protein 9
CCT7	NM_006429	200812_at	0.82407796	0.807617	1.3656613	1.2835952	1.623280225	0.0607	0.0491	Chaperonin containing TCP1, subunit 7 (eta)
COX5B	NM_001862	202343_x_at	0.7349613	0.6802178	1.162758	1.1092107	1.606368443	0.0926	0.0508	Cytochrome c oxidase subunit Vb
DDX56	NM_019082	217754_at	0.7922028	0.8772299	1.436691	1.2241497	1.60450567	0.0607	0.0925	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56
POLR2J	BG335629	212782_x_at	0.75896066	0.75862014	1.2156881	1.218727	1.60414253	0.0914	0.0934	Polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
PSMB4	NM_002796	202243_s_at	0.82964075	0.7825585	1.2437544	1.3256127	1.596547627	0.0969	0.0624	Proteasome (prosome, macropain) subunit, beta type, 4
NOL5A	NM_006392	200875_s_at	0.8545926	0.9183896	1.3305558	1.478847	1.583604267	0.0828	0.0668	Nucleolar protein 5A (56kDa with KKE/D repeat)
RPL17	BG168283	212270_x_at	0.8979456	0.69841963	1.1893837	1.2683426	1.570289474	0.086	0.0469	Ribosomal protein L17
TTC11	NM_016068	218034_at	0.75675946	0.89399844	1.2419266	1.3396878	1.56982313	0.0607	0.0519	repeat domain 11
NDUFV1	AF092131	208714_at	0.77911836	0.7902622	1.3198377	1.1404995	1.568602816	0.0998	0.0863	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
AP2S1	NM_021575	208074_s_at	0.844753	0.7817689	1.1208206	1.4121033	1.566547622	0.0607	0.0448	Adaptor-related protein complex 2, sigma 1 subunit
DC13	NM_020188	218447_at	0.8682738	0.74362034	1.2805251	1.1948254	1.540781086	0.0884	0.0478	DC13 protein
ARD1	NM_003491	203025_at	0.79810756	0.81352997	1.233584	1.2412596	1.535703126	0.0873	0.0672	ARD1 homolog, N-acetyltransferase (S. cerevisiae)
VAMP5	NM_006634	204929_s_at	0.8298544	0.77660567	1.2271008	1.2338226	1.533715829	0.0954	0.0608	Vesicle-associated membrane protein 5 (myobrevin)
EDF1	AB002282	209059_s_at	0.7640279	0.817115	1.159272	1.2643039	1.532297059	0.0828	0.0491	Endothelial differentiation-related factor 1
MAGED1	AF217963	209014_at	0.83754784	0.81483823	1.1972805	1.3321131	1.532163049	0.0749	0.0537	Melanoma antigen, family D, 1
EIF3S4	BC000733	208887_at	0.80092907	0.67365366	1.1144855	1.1182123	1.525706271	0.0477	0.032	Eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa
NSDHL	BC000245	209279_s_at	0.85462373	0.86734205	1.3804674	1.2352908	1.519759136	0.0978	0.0565	NAD(P) dependent steroid dehydrogenase-like
PSMC5	AF035309	209503_s_at	0.91396534	0.7095847	1.3020052	1.1246908	1.504783016	0.0846	0.0469	Proteasome (prosome, macropain) 26S subunit, ATPase, 5
RPL23A	BF125158	213084_x_at	0.8903195	0.75137836	1.1007092	1.3286582	1.50230128	0.0846	0.0374	Ribosomal protein L23a
RPL17	BE733979	212537_x_at	0.8948153	0.72470635	1.1158186	1.2685835	1.49873069	0.0477	0.0428	Ribosomal protein L17
C14orf32	AI671747	212643_at	0.78964376	0.7666131	1.1716261	1.1526645	1.493660287	0.0477	0.0338	Chromosome 14 open reading frame 32
RPL23A	U43701	208825_x_at	0.9192567	0.7259044	1.0930475	1.292976	1.485124507	0.0749	0.0366	Ribosomal protein L23a
CDH1	BC001865	208834_x_at	0.905371	0.7761665	1.07564	1.365314	1.473556639	0.0779	0.0415	Cadherin 1, type 1, E-cadherin (epithelial)
RPL12	NM_000976	200809_x_at	0.8556304	0.73281354	1.0811579	1.2329787	1.473053847	0.0873	0.032	Ribosomal protein L12
DKFZp547I014	NM_000984	203012_x_at	0.9127907	0.7935399	1.0965018	1.3814569	1.471071028	0.0828	0.0488	Hypothetical protein DKFZp547I014
SNRPC	NM_003093	201342_at	0.85443574	0.8418413	1.3781011	1.1142514	1.468233501	0.0639	0.0813	Small nuclear ribonucleoprotein polypeptide C
RPS21	NM_001024	200834_s_at	0.8232294	0.7836584	1.1267074	1.2260251	1.466566246	0.09	0.032	Ribosomal protein S21
TRIAP1	NM_016399	218403_at	0.7833686	0.81012475	1.1871989	1.1474676	1.465956678	0.0978	0.0389	TP53 regulated inhibitor of apoptosis 1
COPS6	NM_006833	201405_s_at	0.8262319	0.9082757	1.2520124	1.2828048	1.46383993	0.0945	0.0791	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)
	AC_002985	31807_at	0.8083764	0.74197686	1.205156	1.0497485	1.452817361	0.0884	0.0819
ORMDL2	NM_014182	218556_at	0.8351495	0.79742855	1.2074847	1.129379	1.43105335	0.064	0.0561	ORM1-like 2 (S. cerevisiae)
SDF2L1	NM_022044	218681_s_at	0.8344433	0.81882596	1.2095207	1.1560794	1.430684279	0.0597	0.0438	Stromal cell-derived factor 2-like 1
ATP5H	AF061735	210149_s_at	0.87929213	0.8635275	1.2408239	1.2516869	1.430333341	0.0954	0.072	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d
RPL13A	BF942308	212790_x_at	0.906503	0.6910402	1.0706424	1.1591641	1.429243995	0.0631	0.0341	Ribosomal protein L13a
RPL29	BF683426	213969_x_at	0.93648285	0.705561	1.1249145	1.1662588	1.42708227	0.0873	0.032	Ribosomal protein L29
PPIA	NM_021130	201293_x_at	0.88353723	0.7891724	1.1012492	1.2677306	1.426407322	0.0734	0.0341	Peptidylprolyl isomerase A (cyclophilin A)
RPS19	NM_001022	202649_x_at	0.8631506	0.7459823	1.0450087	1.2242786	1.425927055	0.0559	0.0359	Ribosomal protein S19
SSR2	NM_003145	200652_at	0.8016657	0.8056965	1.145889	1.1448808	1.425183903	0.0828	0.0764	Signal sequence receptor, beta (translocon-associated protein beta)
UXT	NM_004182	218495_at	0.7509947	0.8475814	1.1154083	1.1558037	1.424445222	0.0607	0.0341	Ubiquitously-expressed transcript
ARL3	NM_004311	202641_at	0.8370859	0.8400938	1.2038642	1.1846193	1.424132248	0.0828	0.0723	ADP-ribosylation factor-like 3
PPIA	BE731738	212661_x_at	0.90490514	0.80098647	1.114793	1.2849331	1.418066435	0.0867	0.032	Peptidylprolyl isomerase A (cyclophilin A)
PSMD4	NM_002810	200882_s_at	0.8320845	0.7525652	1.1701554	1.0715097	1.415051871	0.0477	0.0508	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 4
AURKAIP1	NM_017900	218580_x_at	0.89012307	0.83107287	1.2730147	1.151023	1.40757014	0.0828	0.0909	Aurora-A kinase interacting protein
MRPS7	NM_015971	217932_at	0.7727285	0.8777483	1.1631143	1.1292082	1.395843638	0.0639	0.0933	Mitochondrial ribosomal protein S7
RABGAP1	NM_012197	204028_s_at	0.8041161	0.8304996	1.1683288	1.1116741	1.395748067	0.0978	0.0934	RAB GTPase activating protein 1
NDUFB8	NM_005004	201227_s_at	0.7827934	0.8248452	1.1357187	1.1048824	1.395178216	0.0749	0.0572	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa
RPS2	AI183766	221798_x_at	0.95413715	0.8034934	1.1012491	1.3142774	1.394943636	0.0933	0.0425	Ribosomal protein S2
HSPC009	NM_014019	218026_at	0.86353064	0.8388714	1.268188	1.0934659	1.386052226	0.0607	0.0341	HSPC009 protein
RPL13A	NM_012423	200716_x_at	0.91881704	0.7505364	1.050015	1.2100691	1.377531225	0.0926	0.0338	Ribosomal protein L13a
HSPC152	NM_016404	217774_s_at	0.81369174	0.93948925	1.1670763	1.2404367	1.377314374	0.0559	0.0867	Hypothetical protein HSPC152
MTX1	BC001906	210386_s_at	0.868593	0.91022927	1.1553011	1.28883	1.373011664	0.0961	0.047	Metaxin 1
IK	AF182645	200066_at	0.8469917	0.7964266	1.1023287	1.1184295	1.352886489	0.0812	0.0407	IK cytokine, down-regulator of HLA II
GSTK1	NM_015917	217751_at	0.8467429	0.86794955	1.1851642	1.1252632	1.348067869	0.0828	0.0769	Glutathione S-transferase kappa 1
STK38	BE048506	202951_at	0.8720166	0.80238307	1.111315	1.1371992	1.345848354	0.0644	0.0378	Serine/threonine kinase 38
COX5B	AI557312	213735_s_at	0.866584	0.79906327	1.1769145	1.0384136	1.328823229	0.0928	0.098	Cytochrome c oxidase subunit Vb
NDUFB2	NM_004546	218200_s_at	0.86061466	0.87678933	1.1169811	1.1917173	1.328535387	0.09	0.0415	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa
STOML2	AC_004472	215416_s_at	0.8473657	0.86893004	1.1664329	1.1077635	1.325699696	0.0873	0.073	Stomatin (EPB72)-like 2
C19orf10	AL524093	221739_at	0.83668584	0.85923696	1.132175	1.0948083	1.313664809	0.0884	0.0613	Chromosome 19 open reading frame 10
ACAA1	AI860341	214274_s_at	0.8632131	0.9182379	1.1433643	1.1902341	1.310380025	0.0785	0.0462	Acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
ATP5J2	NM_004889	202961_s_at	0.86534196	0.85527384	1.1214389	1.1323435	1.309951577	0.0948	0.0606	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2
PTD008	NM_016145	217780_at	0.8277826	0.8465236	1.051786	1.1392579	1.308207082	0.0477	0.0503	PTD008 protein
NDUFB11	NM_019056	218320_s_at	0.8141105	0.9001402	1.13746	1.084458	1.300973499	0.0607	0.0764
SPAG7	NM_004890	200053_at	0.8452188	0.9037669	1.1160916	1.1476581	1.29516864	0.0828	0.0694	Sperm associated antigen 7
CDK4	NM_000075	202246_s_at	0.89415723	0.8335808	1.1695104	1.0656233	1.293157743	0.0926	0.0715	Cyclin-dependent kinase 4
HSPC023	NM_014047	217926_at	0.84992415	0.8879745	1.1066941	1.1318519	1.288376926	0.0741	0.0651	HSPC023 protein
USP47	BE966019	221518_s_at	0.9258703	0.89050925	1.1935083	1.1203146	1.273563502	0.0851	0.032	Ubiquitin specific protease 47
eIF3k	AF119846	210501_x_at	0.9119521	0.83179396	1.1470835	1.0700732	1.272148659	0.0995	0.0374	Eukaryotic translation initiation factor 3 subunit k
HBXIP	NM_006402	202300_at	0.86629677	0.8813509	1.0695276	1.1279459	1.257194658	0.0896	0.0979	Hepatitis B virus x interacting protein
ILVBL	BC000109	210624_s_at	0.88920724	0.89789146	1.142069	1.101584	1.255612082	0.0978	0.0359	IlvB (bacterial acetolactate synthase)-like
CHD1L	AI422099	212539_at	0.892548	0.8888829	1.0878024	1.0969218	1.226403006	0.0896	0.069	Chromodomain helicase DNA binding protein 1-like
