GenBank Accession No.	Symbol	Gene Name	Fold Regulation by Progestin at 48 h PRA:PRB = 1.8	PRA:PRB = 5.1	Functional Category
AA421518	AP2S1	Adaptor-related protein complex 2, ?1 subunit	2.73 ± 0.10, 0.11	?1.20 ± 0.08, 0.08	Enzyme Activity/Ion Homeostasis/Metabolism
AA102646	ALDH7A1	Aldehyde dehydrogenase 7 family, member A1, Antiquitin	1.70 ± 0.10, 0.10	0.44 ± 0.20, 0.18	Enzyme Activity/Ion Homeostasis/Metabolism
AA862465	AZGP1	Zinc ?-2-glycoprotein 1	12.30 ± 0.20, 0.20	1.09 ± 0.03, 0.03	Enzyme Activity/Ion Homeostasis/Metabolism
AA862999	CASR	Calcium-sensing receptor	5.14 ± 1.20, 1.57	?1.07 ± 0.02, 0.02	Enzyme Activity/Ion Homeostasis/Metabolism
AA126009	FXYD3	FXYD domain containing ion transport regulator 3	5.16 ± 0.37, 0.39	?1.17 ± 0.02, 0.02	Enzyme Activity/Ion Homeostasis/Metabolism
H72018	GGT1	?-Glutamyltransferase 1	2.18 ± 0.08, 0.09	?1.40 ± 0.05, 0.04	Enzyme Activity/Ion Homeostasis/Metabolism
AA460688	NPFF	Neuropeptide FF-amide	3.44 ± 0.21, 0.23	?1.63 ± 0.02, 0.02	Enzyme Activity/Ion Homeostasis/Metabolism
AA146773	OAS1	(2?–5?) Oligoadenylate synthetase 1	2.35 ± 0.47, 0.59	?1.26 ± 0.02, 0.02	Enzyme Activity/Ion Homeostasis/Metabolism
H03954	PANK3	Pantothenate kinase 3	3.03 ± 0.45, 0.53	?1.60 ± 0.02, 0.02	Enzyme Activity/Ion Homeostasis/Metabolism
AA598652	SIAT1	Sialyltransferase 1	3.03 ± 0.39, 0.44	?1.36 ± 0.21, 0.18	Enzyme Activity/Ion Homeostasis/Metabolism
H73241	VIPR1	Vasoactive intestinal peptide receptor 1	3.95 ± 0.28, 0.30	?1.67 ± 0.09, 0.09	Enzyme Activity/Ion Homeostasis/Metabolism
H38848	ARID4B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21	0.77 ± 0.04, 0.04	2.63 ± 0.17, 0.18	Unknown Function
AA679569	C14orf109	Chr 14 ORF 109	?1.19 ± 0.06, 0.06	2.36 ± 0.02, 0.02	Unknown Function
W92594	DKFZP564B0769	DKFZP564B0769 cDNA	1.05 ± 0.06, 0.07	2.21 ± 0.08, 0.09	Unknown Function
AA134696	DKFZp586E1120	DKFZp586E1120 cDNA	1.06 ± 0.11, 0.12	?2.26 ± 0.07, 0.07	Unknown Function
N63623	HHL	KIAA0471 protein	?1.02 ± 0.00, 0.00	2.08 ± 0.11, 0.12	Unknown Function
AA157787	KIAA0166	KIAA0166 protein	1.20 ± 0.03, 0.03	2.55 ± 0.41, 0.49	Unknown Function
H16974	LOC51059	hypothetical protein LOC51059	1.03 ± 0.09, 0.10	?2.10 ± 0.04, 0.04	Unknown Function
AA190941	TRIO	Triple functional domain (PTPRF interacting)	1.03 ± 0.00, 0.00	2.36 ± 0.73, 1.06	Unknown Function
AA400188	YPEL1	Yippee-like 1	1.07 ± 0.06, 0.06	2.90 ± 0.21, 0.23	Unknown Function
N90281	B7	B7 gene	3.51 ± 0.94, 1.28	1.17 ± 0.13, 0.15	Unknown Function
H53658	PAI-RBP1	PAI-1 mRNA-binding protein	2.63 ± 0.03, 0.03	?1.05 ± 0.03, 0.03	Unknown Function
AA961361	SCOC	Short coiled-coil protein	2.22 ± 0.14, 0.15	?1.35 ± 0.04, 0.04	Unknown Function
AA482224	TMEM4	Transmembrane protein 4	2.37 ± 0.17, 0.18	?2.09 ± 0.94, 0.65	Unknown Function
