Symbol	Chromosome	Cytoband	Start (bp)	End (bp)	Man-Whitney U  adjusted p value	Gains	Losses	Amplifications
SFRS10	3	q27.2	185632356	185655924	0	11	1	0
TBCCD1	3	q27.3	186263862	186288332	0	11	1	0
DNAJB11	3	q27.3	186285192	186314892	0	11	1	0
RFC4	3	q27.3	186507669	186524847	0	11	1	0
RPL39L	3	q27.3	186838736	186898696	0	11	2	0
ATP13A3	3	q29	194123401	194222232	0	12	2	0
LSG1	3	q29	194361518	194393206	0	12	2	0
DLG1	3	q29	196769431	197026171	0.015	10	2	0
FYTTD1	3	q29	197464050	197511184	0	11	2	0
TMEM33	4	p13	41937137	41962824	0	2	11	0
STBD1	4	q21.1	77227677	77232282	0.001	4	3	0
CDS1	4	q21.23	85504057	85572492	0.006	3	4	0
CASP6	4	q25	110609785	110624629	0	3	3	0
CAMK2D	4	q26	114372188	114683083	0	3	4	0
CAMK2D	4	q26	114372188	114683083	0.001	3	4	0
USP53	4	q26	120133791	120216672	0	5	3	0
EXOSC9	4	q27	122722472	122738176	0.006	4	2	0
KIAA1109	4	q27	123073488	123283907	0.001	4	2	0
KIAA1109	4	q27	123073488	123283907	0.027	4	2	0
PGRMC2	4	q28.2	129190397	129209984	0	5	2	0
SCOC	4	q31.1	141178440	141303708	0	5	6	0
ZNF330	4	q31.21	142142049	142155848	0	4	6	0
USP38	4	q31.21	144106070	144143141	0	4	6	0
GAB1	4	q31.21	144257983	144395717	0	4	6	0
SMARCA5	4	q31.21	144434616	144474566	0	4	6	0
FAM173B	5	p15.2	10226438	10250014	0.001	9	6	1
CMBL	5	p15.2	10277707	10308168	0.001	9	6	1
38777	5	p15.2	10353828	10435491	0	9	6	1
38777	5	p15.2	10353828	10435491	0	9	6	1
DAP	5	p15.2	10679343	10761387	0	9	6	1
ZNF622	5	p15.1	16451629	16465898	0.002	8	5	0
RNASEN	5	p13.3	31400609	31529213	0	9	4	0
MTMR12	5	p13.3	32227111	32313114	0	8	4	0
TARS	5	p13.3	33440898	33468196	0	9	4	0
DNAJA5	5	p13.2	34929698	34959068	0	8	4	0
UGT3A1	5	p13.2	35953210	35991499	0.006	8	4	0
NIPBL	5	p13.2	36876861	37065921	0.008	8	3	0
KLHL3	5	q31.2	136953189	137071779	0.002	2	15	0
HNRPA0	5	q31.2	137087075	137090039	0.004	2	13	0
ZNF346	5	q35.2	176449697	176493743	0.016	4	6	0
RMND5B	5	q35.3	177557997	177575512	0	5	5	0
RMND5B	5	q35.3	177557997	177575512	0.001	5	5	0
ZNF354A	5	q35.3	178138531	178157703	0	5	4	0
TBC1D9B	5	q35.3	179289073	179334858	0	5	4	0
MAPK9	5	q35.3	179660594	179719071	0	5	4	0
KIAA0146	8	q11.21	48173542	48648475	0.002	8	2	0
RPL7	8	q21.11	74202519	74213303	0	13	1	0
CHMP4C	8	q21.13	82644688	82671750	0	12	1	2
KIAA1429	8	q22.1	95500600	95565688	0.002	14	0	2
INTS8	8	q22.1	95835534	95892720	0.004	14	0	2
ZNF706	8	q22.3	102209268	102217960	0	19	0	2
UBR5	8	q22.3	103265572	103424495	0	19	0	2
UTP23	8	q24.11	117778742	117798816	0.001	17	0	2
RAD21	8	q24.11	117858174	117887105	0.001	17	0	2
PHF20L1	8	q24.22	133787604	133861052	0	19	1	2
PTK2	8	q24.3	141668501	142011332	0.002	17	0	1
ZNF7	8	q24.3	146052903	146071563	0	17	1	0
STOML2	9	p13.3	35099891	35103154	0	5	9	0
CLTA	9	p13.3	36190892	36212055	0	5	9	0
ZCCHC7	9	p13.2	37120469	37361947	0	6	9	0
GRHPR	9	p13.2	37422707	37436986	0	6	9	0
POLR1E	9	p13.2	37485945	37506561	0	6	9	0
CEP78	9	q21.2	80850991	80886596	0	4	6	0
AGTPBP1	9	q21.33	88161455	88356944	0	4	5	0
LARP5	10	p15.3	855484	977564	0	13	0	0
GTPBP4	10	p15.3	1034349	1063688	0	13	0	0
GTPBP4	10	p15.3	1034349	1063688	0	13	0	0
ASB13	10	p15.1	5674917	5708558	0.001	15	0	1
GDI2	10	p15.1	5807187	5884095	0	15	0	1
FBXO18	10	p15.1	5932194	5979556	0	15	0	1
KIN	10	p14	7797367	7829944	0	16	1	2
ATP5C1	10	p14	7830093	7849755	0	16	1	2
USP6NL	10	p14	11502509	11653753	0	13	1	2
UPF2	10	p14	11962021	12085023	0	11	2	1
NUDT5	10	p13	12208723	12238143	0	11	2	1
PRPF18	10	p13	13628939	13697929	0	12	2	1
RPP38	10	p13	15139179	15181817	0	9	2	1
C10orf97	10	p13	15820169	15902519	0.003	10	1	1
NSUN6	10	p12.31	18802044	18948196	0	11	1	0
YME1L1	10	p12.1	27399388	27443321	0.002	12	2	0
SBF2	11	p15.4	9800216	10315754	0.001	3	5	0
BTBD10	11	p15.2	13409558	13484838	0.003	5	6	0
COPB1	11	p15.2	14479049	14521441	0.003	5	5	0
RPS13P2	11	p15.1	17095939	17099220	0	6	4	0
EIF3M	11	p13	32605391	32624012	0	5	3	0
CAPRIN1	11	p13	34073230	34124157	0	5	2	0
CAT	11	p13	34460478	34493600	0	5	3	0
TTC17	11	p12-p11.2	43380491	43515493	0	5	3	0
OR9I1	11	q12.1	57885972	57886916	0.013	6	1	0
MS4A2	11	q12.1	59856137	59866017	0.09	7	1	0
PAK1	11	q13.5-q14.1	77033061	77185108	0	4	2	0
PICALM	11	q14.2	85668486	85780144	0.001	6	3	0
PICALM	11	q14.2	85668486	85780144	0.004	6	3	0
CWC15	11	q21	94695793	94706776	0	6	3	0
SFRS2B	11	q21	94800056	94804388	0.028	6	3	0
BIRC2	11	q22.2	102217966	102249394	0.001	6	3	0
KDM5A	12	p13.33	389223	498620	0	15	2	1
ERC1	12	p13.33	1100404	1605099	0.021	15	2	2
ADIPOR2	12	p13.33	1800193	1897844	0	16	3	1
DCP1B	12	p13.33	2055216	2113677	0.002	16	3	2
ITFG2	12	p13.33	2921863	2934106	0.001	13	4	0
TULP3	12	p13.33	3000033	3050297	0	13	4	0
TULP3	12	p13.33	3000033	3050297	0	13	4	0
C12orf5	12	p13.32	4430359	4469188	0	14	6	0
	12	p13.32	4596934	4647637	0.011	14	6	0
RAD51AP1	12	p13.32	4647950	4669213	0.002	14	6	0
DYRK4	12	p13.32	4699486	4723030	0	14	6	0
NDUFA9	12	p13.32	4758283	4796397	0	14	6	0
CD9	12	p13.31	6308881	6347427	0.001	12	3	0
LTBR	12	p13.31	6493334	6500733	0	12	3	0
	12	p13.31	6548340	6552326	0	12	3	0
TAPBPL	12	p13.31	6561177	6571484	0	12	3	0
MRPL51	12	p13.31	6601318	6602471	0	12	3	0
NCAPD2	12	p13.31	6602545	6641120	0	12	3	0
NOP2	12	p13.31	6666029	6677480	0	12	3	0
ING4	12	p13.31	6759705	6772308	0	12	3	0
ZNF384	12	p13.31	6775643	6798676	0	12	3	0
ZNF384	12	p13.31	6775643	6798676	0.001	12	3	0
MLF2	12	p13.31	6857170	6862266	0.002	12	3	0
USP5	12	p13.31	6961285	6975793	0.001	11	3	0
C12orf57	12	p13.31	7053203	7055164	0.002	10	3	0
PHB2	12	p13.31	7074848	7079916	0	10	3	0
PHB2	12	p13.31	7074848	7079916	0	10	3	0
EMG1	12	p13.31	7080087	7095921	0	10	3	0
LPCAT3	12	p13.31	7085347	7125842	0.004	10	3	0
PEX5	12	p13.31	7341759	7371170	0	10	4	0
FOXJ2	12	p13.31	8185359	8208117	0.001	8	4	0
CLEC7A	12	p13.2	10269402	10282868	0.001	9	3	0
CSDA	12	p13.2	10851676	10875953	0.002	7	5	0
ETV6	12	p13.2	11802788	12048321	0	8	5	0
ETV6	12	p13.2	11802788	12048321	0.01	8	5	0
LOH12CR1	12	p13.2	12510020	12619838	0.001	7	5	0
CREBL2	12	p13.2	12764831	12798041	0.001	7	5	0
DDX47	12	p13.1	12966280	12982909	0	7	5	0
HEBP1	12	p13.1	13127803	13153221	0	7	5	0
KIAA1467	12	p13.1	13197218	13236381	0.005	7	5	0
ERP27	12	p12.3	15066974	15091483	0.002	7	5	0
PTPRO	12	p12.3	15475451	15750335	0.096	7	4	0
STRAP	12	p12.3	16035288	16056403	0	7	4	0
DERA	12	p12.3	16064106	16190314	0	7	4	0
MGST1	12	p12.3	16500076	16517343	0.006	6	5	0
MGST1	12	p12.3	16500076	16517343	0.008	6	5	0
CMAS	12	p12.1	22199159	22218602	0	7	4	0
ETNK1	12	p12.1	22778009	22843608	0	7	5	0
LYRM5	12	p12.1	25348206	25359026	0.001	8	4	0
IFLTD1	12	p12.1	25629045	25801488	0.127	8	4	0
SSPN	12	p12.1	26348269	26387706	0	8	4	0
MRPS35	12	p11.22	27863729	27909227	0	8	5	0
IPO8	12	p11.21	30781923	30848751	0	8	4	0
KIF21A	12	q12	39687031	39837192	0.022	4	8	0
PAWR	12	q21.2	79985747	80084790	0.006	2	7	0
FAM71C	12	q23.1	100041531	100043824	0.664	2	8	0
SART3	12	q23.3	108915992	108955165	0	4	10	0
SART3	12	q23.3	108915992	108955165	0	4	10	0
ISCU	12	q23.3	108956294	108963158	0.016	4	10	0
CORO1C	12	q24.11	109038891	109125295	0	4	9	0
DAO	12	q24.11	109273857	109294709	0.157	4	8	0
UNG	12	q24.11	109535415	109548798	0	4	8	0
DDX54	12	q24.13	113594986	113623284	0.001	3	8	0
FBXO21	12	q24.22	117581586	117628300	0.001	4	8	0
FOXO1A	13	q14.11	41129801	41240734	0	2	7	0
MRPS31	13	q14.11	41303433	41345347	0	2	7	0
COMMD6	13	q22.2	76099350	76112938	0.001	5	4	0
TGDS	13	q32.1	95226335	95248511	0	9	4	1
GPR180	13	q32.1	95254104	95281946	0.001	9	4	1
UGCGL2	13	q32.1	96453838	96705637	0.003	9	4	1
MBNL2	13	q32.1	97873688	98046374	0.032	9	4	1
IPO5	13	q32.2	98605929	98676551	0	10	4	1
STK24	13	q32.2	99102455	99229396	0	10	4	1
TM9SF2	13	q32.3	100153671	100215634	0	11	4	1
A2LD1	13	q32.3	101183801	101236251	0.001	11	4	1
TMTC4	13	q32.3	101256091	101327170	0	11	4	1
ERCC5	13	q33.1	103498174	103528345	0	11	3	0
ABHD13	13	q33.3	108870763	108886602	0	15	2	1
CDC16	13	q34	115000362	115038198	0	11	2	2
ADPGK	15	q24.1	73043636	73076126	0	5	6	0
NEO1	15	q24.1	73344875	73597543	0.002	5	6	0
HCN4	15	q24.1	73612220	73661605	0.213	5	6	0
NPTN	15	q24.1	73852357	73925753	0	5	6	0
FBXO22	15	q24.2	76196200	76226944	0	4	5	0
IDH3A	15	q25.1	78441719	78462883	0	5	6	0
WDR61	15	q25.1	78575580	78591940	0	5	6	0
IREB2	15	q25.1	78730518	78793798	0	5	6	0
PSMA4	15	q25.1	78832747	78841560	0	5	6	0
MORF4L1	15	q25.1	79132903	79190072	0	5	6	0
BTBD1	15	q25.2	83685185	83736106	0.002	5	6	0
MRPL46	15	q25.3	89002709	89010633	0	7	4	0
MRPS11	15	q25.3	89010684	89021495	0	7	4	0
MRPS11	15	q25.3	89010684	89021495	0	7	4	0
MRPS11	15	q25.3	89010684	89021495	0	7	4	0
MRPS11	15	q25.3	89010684	89021495	0	7	4	0
FANCI	15	q26.1	89787194	89860362	0	7	4	0
FANCI	15	q26.1	89787194	89860362	0	7	4	0
POLG	15	q26.1	89859537	89878026	0	7	4	0
AP3S2	15	q26.1	90373831	90456222	0	7	2	0
AP3S2	15	q26.1	90373831	90456222	0.001	7	2	0
RCCD1	15	q26.1	91498106	91506353	0	8	3	0
MEF2A	15	q26.3	100106133	100256627	0.001	13	2	0
CHSY1	15	q26.3	101715933	101792137	0	11	2	0
A2BP1	16	p13.3	7382751	7763340	0.012	3	4	0
DDX28	16	q22.1	68055174	68057959	0	6	8	0
PRMT7	16	q22.1	68344945	68391162	0	6	8	0
SMPD3	16	q22.1	68392230	68482409	0.126	6	8	0
CDH1	16	q22.1	68771195	68869444	0	6	7	0
VPS4A	16	q22.1	69345279	69358951	0	6	7	0
NOB1	16	q22.1	69775775	69788829	0.002	6	7	0
AARS	16	q22.1	70286290	70323409	0	6	7	0
DDX19A	16	q22.1	70380821	70407279	0.001	6	7	0
SF3B3	16	q22.1	70557701	70606200	0	6	7	0
SF3B3	16	q22.1	70557701	70606200	0.001	6	7	0
PEX12	17	q12	33897849	33905656	0	3	11	1
TAF15	17	q12	34136488	34174237	0	3	11	1
ACACA	17	q12	35441933	35766902	0	3	9	0
AP1GBP1	17	q12	35877940	35969520	0.001	3	10	0
DDX52	17	q12	35972413	36003487	0	3	10	0
MRPL45	17	q12	36452998	36479100	0	3	11	0
PSMB3	17	q12	36909002	36920477	0	3	9	0
CCDC49	17	q12	36957447	36981589	0	3	9	0
RPL23	17	q12	37004118	37010053	0.001	3	9	0
RPL19	17	q12	37356536	37360980	0	3	9	0
PSMD3	17	q21.1	38137060	38154212	0	3	9	0
MSI2	17	q22	55333931	55757299	0.017	7	7	0
TRIM37	17	q22	57060002	57184266	0	5	4	0
GDPD1	17	q22	57297834	57352559	0.013	5	4	0
CLTC	17	q23.1	57697050	57774317	0	5	4	0
TUBD1	17	q23.1	57936851	57970296	0	5	4	0
HEATR6	17	q23.1	58120562	58156292	0	5	4	0
SLC39A11	17	q24.3-q25.1	70642089	71088832	0.085	10	3	0
FAM104A	17	q25.1	71203493	71228533	0	9	3	0
ICT1	17	q25.1	73008776	73017355	0	6	3	0
SUMO2	17	q25.1	73163825	73179098	0	6	3	0
SUMO2	17	q25.1	73163825	73179098	0.001	6	3	0
NUP85	17	q25.1	73201597	73231854	0	6	3	0
SAP30BP	17	q25.1	73663399	73704139	0	7	3	1
H3F3B	17	q25.1	73772517	73775860	0	7	3	0
MRPL38	17	q25.1	73894724	73901474	0	7	3	0
ACOX1	17	q25.1	73937596	73975444	0	7	3	0
ACOX1	17	q25.1	73937596	73975444	0.002	7	3	0
SRP68	17	q25.1	74035191	74068607	0	7	3	0
SEC14L1	17	q25.2	75137005	75213183	0	9	4	0
9-Sep	17	q25.2-q25.3	75277492	75496674	0	10	4	0
9-Sep	17	q25.2-q25.3	75277492	75496674	0.006	10	4	0
BIRC5	17	q25.3	76210277	76221715	0	10	4	0
PGS1	17	q25.3	76374735	76420635	0	11	4	0
EIF4A3	17	q25.3	78109019	78120938	0	12	3	0
SLC26A11	17	q25.3	78194229	78227297	0	12	3	0
MAFG	17	q25.3	79876149	79885588	0	10	5	0
LRRC45	17	q25.3	79981280	79989024	0.002	10	4	0
GPS1	17	q25.3	80009763	80015346	0.001	10	4	0
DUS1L	17	q25.3	80015754	80023680	0.002	10	4	0
DUS1L	17	q25.3	80015754	80023680	0.002	10	4	0
NARF	17	q25.3	80416060	80446141	0	9	4	0
FN3KRP	17	q25.3	80674582	80685892	0	9	4	0
TBCD	17	q25.3	80709940	80901056	0.009	9	4	0
TBCD	17	q25.3	80709940	80901056	0.035	9	4	0
TBCD	17	q25.3	80709940	80901056	0.036	9	4	0
PIK3C3	18	q12.3	39535199	39661444	0	4	9	0
VPS4B	18	q21.33	61056427	61089752	0	7	8	0
TSHZ1	18	q22.3	72922731	73001898	0	5	9	0
TXNL4A	18	q23	77732869	77748532	0	6	10	0
DDX39	19	p13.12	14519633	14530171	0	5	3	2
POP4	19	q12	30097201	30106706	0	9	3	1
ZNF302	19	q13.11	35168567	35177299	0	5	2	0
LRFN1	19	q13.2	39797208	39805976	0.001	4	6	0
ZNF137	19	q13.41	53095291	53103405	0	4	5	0
XG	23	p22.33	2670093	2734539	0.006	4	13	0
ARSD	23	p22.33	2822011	2847392	0	4	13	0
BEND2	23	p22.13	18181053	18239024	0.002	6	10	0
