Accession	GENE	TITLE	Median_Cy5	Median_Cy3	case%	Adj_Cy3/Cy5ratio	Log 2 Cy3/Cy5_ratio
NM_021874	CDC25B	cell division cycle 25B	104595	345992	85	2.907664436	1.539860782
AK022241	FLJ10774	hypothetical protein FLJ10774	8481	16077.5	55	2.861302411	1.516671984
NM_001255	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	28986	81716	65	2.851039772	1.511488165
AA143060	FLJ22283	hypothetical protein FLJ22283	8178	3630.5	50	2.844299437	1.508073355
L20688	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	31707.5	124743.5	75	2.81087754	1.491020602
N30179	PLAB	prostate differentiation factor	109724.5	234490.5	95	2.793411742	1.482028239
NM_001679	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	86446.5	275940	80	2.766153585	1.467881262
AW957113	NA	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1499812	13075	54003	70	2.752973848	1.460990905
AK027260	KIAA1268	KIAA1268 protein	46042.5	63613	65	2.735025663	1.45155437
M61831	AHCY	S-adenosylhomocysteine hydrolase	112559.5	324620.5	95	2.72934172	1.448553035
AA143048	DKFZP564O0463	DKFZP564O0463 protein	4580	10983	50	2.71966665	1.443429831
AI273886	HSPCB	heat shock 90kDa protein 1, beta	101857.5	189918	95	2.706834592	1.436606731
D16294	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	30605	74176.5	70	2.695924429	1.430780056
BE793569	NME1	non-metastatic cells 1, protein (NM23A) expressed in	106759	320670.5	80	2.637025968	1.398911778
M85217	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	32892	45972.5	60	2.628554308	1.394269542
Y10805	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	51247.5	176675.5	85	2.603886195	1.380666396
L16510	CTSB	cathepsin B	306885.5	581617.5	100	2.600677456	1.378887483
NM_001436	FBL	fibrillarin	145764.5	251036	85	2.588112726	1.371900456
AK000251	FLJ20244	hypothetical protein FLJ20244	636	27680	55	2.530060526	1.339171898
D00172	ANXA5	annexin A5	26876.5	63625	55	2.521522037	1.334294834
BE796091	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	128545	394435	85	2.502561662	1.323405617
BE889452	HSPC023	HSPC023 protein	14494.5	62470	80	2.489072731	1.315608387
AB024536	ISLR	immunoglobulin superfamily containing leucine-rich repeat	11380	25556.5	55	2.469522864	1.304232326
U45328	UBE2I	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	71720.5	127773	75	2.464140428	1.301084476
AI566720	NA	Homo sapiens cDNA FLJ34528 fis, clone HLUNG2008066, weakly similar to LIM DOMAIN PROTEIN CLP-36.	214322.5	349679	90	2.452844593	1.294455831
AA455877	NA	Homo sapiens cDNA FLJ11177 fis, clone PLACE1007402.	0	5367	50	2.443542954	1.288974465
AA582170	CTSB	cathepsin B	287457.5	585485	95	2.42967235	1.280761774
NM_005746	PBEF	pre-B-cell colony-enhancing factor	5797	12970.5	60	2.42652224	1.278890083
M23619	HMGA1	high mobility group AT-hook 1	44859	119530.5	75	2.412683578	1.270638719
NM_004492	GTF2A2	general transcription factor IIA, 2, 12kDa	61539.5	104299	60	2.406621042	1.267008986
BE739383	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	796744	1545651	95	2.405199826	1.266156759
M13452	LMNA	lamin A/C	33896.5	111587	75	2.401701323	1.264056748
AI347925	HSPB1	heat shock 27kDa protein 1	121356.5	236316	85	2.368934415	1.244238257
AF039690	SDCCAG8	serologically defined colon cancer antigen 8	0	26773.5	50	2.364677753	1.241643593
D16294	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	82169.5	232058.5	80	2.358612538	1.237938439
U14969	RPL28	ribosomal protein L28	341282.5	629947	95	2.347194894	1.230937638
W94363	NA	Homo sapiens full length insert cDNA clone ZE12G01	93738	162621.5	75	2.340332491	1.226713508
AF026166	CCT2	chaperonin containing TCP1, subunit 2 (beta)	183016	338446	85	2.340296317	1.226691209
N95414	NA	ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	43741.5	92979	70	2.332811668	1.222069841
AA633908	NA	ESTs	16277	48851	55	2.325736461	1.217687629
BF530710	MTX1	metaxin 1	4031	20866	50	2.323366763	1.216216914
AK000123	C20orf42	chromosome 20 open reading frame 42	22525.5	30986.5	50	2.298984018	1.200996437
BE730998	RPL18	ribosomal protein L18	832997.5	1112262.5	95	2.277796976	1.187639163
AF078843	LOC51202	hqp0256 protein	18345.5	50478.5	65	2.277276979	1.187309773
N47883	FLJ14525	hypothetical protein FLJ14525	18840.5	70483	65	2.256136988	1.173854668
BE218514	NA	Homo sapiens, Similar to RIKEN cDNA 1810015A11 gene, clone IMAGE:4876099, mRNA	0	14917	55	2.254999823	1.173127321
BG030645	DSS1	Deleted in split-hand/split-foot 1 region	0	0	50	2.247227891	1.168146435
BE439695	STOM	stomatin	23784	28728	55	2.245478036	1.167022611
Z11566	STMN1	stathmin 1/oncoprotein 18	136443	348451	90	2.228829288	1.156286121
AF004430	TPD52L2	tumor protein D52-like 2	0	0	50	2.223437903	1.152792113
D00017	ANXA2	annexin A2	413818	765239	95	2.221876696	1.151778756
J03473	ADPRT	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	62808	127996	60	2.220125319	1.150641114
L15203	TFF3	trefoil factor 3 (intestinal)	0	2652.5	55	2.205286902	1.140966359
AF010314	ENC1	ectodermal-neural cortex (with BTB-like domain)	0	22828.5	50	2.198092029	1.13625179
AI016791	PPM1G	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	76796	142497	60	2.191303795	1.131789509
M76766	GTF2B	general transcription factor IIB	17826	36384.5	70	2.189345335	1.130499535
D00017	ANXA2	annexin A2	863520	1661710.5	100	2.18735945	1.129190319
NM_002634	PHB	prohibitin	22295	55687	60	2.175406745	1.121285173
L20859	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	149042.5	302456	75	2.171464135	1.118668125
AA416843	NA		28031.5	61530	60	2.169163005	1.11713847
AK025881	KRT7	keratin 7	111911.5	198127.5	90	2.162453588	1.112669169
AI279905	RPL28	ribosomal protein L28	751186	1169404.5	100	2.15562297	1.108104865
AF275798	CCT5	chaperonin containing TCP1, subunit 5 (epsilon)	23084	95186	60	2.154555832	1.107390484
BG110169	RPL30	ribosomal protein L30	510734	842717	95	2.154415524	1.107296531
AW205739	LOC127253	hypothetical protein BC009514	29171.5	63030	60	2.15135478	1.105245459
BE739815	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	190577	418654.5	95	2.148710493	1.103471114
M14328	ENO1	enolase 1, (alpha)	1023054.5	1982949.5	100	2.139888158	1.097535396
AA714394	HMGB2	high-mobility group box 2	12798	28254	65	2.134954916	1.094205604
BF690393	PRDX4	peroxiredoxin 4	7375.5	0	50	2.128438985	1.089795734
D63486	KIAA0152	KIAA0152 gene product	35234.5	90102	70	2.117279052	1.082211426
K01144	CD74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101535	136837.5	80	2.116274166	1.081526542
L27706	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	89232.5	121416	75	2.090948257	1.064157361
R61297	NA	ESTs, Weakly similar to IF36_HUMAN Eukaryotic translation initiation factor 3 subunit 6 (eIF-3 p48) (Mammary tumor-associated protein INT-6) (Viral integration site protein INT-6) [H.sapiens]	85750.5	131001.5	90	2.089031782	1.062834442
BE735822	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	61623	61264.5	65	2.085925602	1.060687702
D16294	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	118403	321670.5	95	2.085225813	1.060203624
M23619	HMGA1	high mobility group AT-hook 1	40679	110191.5	80	2.075579913	1.053514479
BF310677	RPS15	ribosomal protein S15	978892	1485984.5	100	2.055154009	1.039246511
AA761293	OK	beta 5-tubulin	278615.5	430834	95	2.051517522	1.036691477
BE269507	NA	Homo sapiens, clone IMAGE:5285034, mRNA	7930	13640	50	2.045522977	1.032469743
AF136630	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	318711.5	578329.5	95	2.044743406	1.031919811
NM_004461	FARSL	phenylalanine-tRNA synthetase-like	57376	91182	65	2.040752432	1.029101176
AF085355	NAT5	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	102613	136395.5	85	2.039596143	1.028283515
BE274422	NA	Homo sapiens mRNA; cDNA DKFZp586O1224 (from clone DKFZp586O1224)	35107.5	117827	65	2.035630908	1.025476002
AL042402	NA	ESTs, Moderately similar to S Chain S, Cyclophilin A (E.C.5.2.1.8) Complexed With Cyclosporin A [H.sapiens]	1576962	3167302.5	100	2.033470898	1.023944344
NM_001293	CLNS1A	chloride channel, nucleotide-sensitive, 1A	0	22143.5	50	2.014403179	1.010352465
AF261085	GAPD	glyceraldehyde-3-phosphate dehydrogenase	1721488.5	3651817.5	100	2.007595044	1.00546829
M22382	HSPD1	heat shock 60kDa protein 1 (chaperonin)	301123.5	407006	95	2.007353028	1.005294362
BF980037	MGC10433	hypothetical protein MGC10433	17008.5	50639.5	60	2.005854037	1.004216627
NM_000179	MSH6	mutS homolog 6 (E. coli)	70315	65414.5	75	2.001387205	1.00100031
