Affymetrix ID	Fold Induction	Common name	Description
1394511_at	1.618		Similar to KIAA1915 protein (LOC298247), mRNA
1389789_at	1.617		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1371529_at	1.616		Similar to RIP (LOC306886), mRNA
1368678_at	1.612	Bdnf	brain derived neurotrophic factor
1398390_at	1.612		Transcribed sequence with weak  similarity to protein ref:NP_006410.1 (H.sapiens)  small inducible cytokine B subfamily
1395066_at	1.611		UI-R-CA0-bkh-c-09-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkh-c-09-0-UI 3, mRNA sequence.
1395211_s_at	1.607		Transcribed sequences
1373992_at	1.606		Similar to interferon-inducible GTPase (LOC307414), mRNA
1379197_at	1.605	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit
1396068_at	1.602		Transcribed sequences
1392875_at	1.601		Similar to expressed sequence AI836810 (LOC313101), mRNA
1384227_at	1.6		UI-R-C1-js-a-03-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-js-a-03-0-UI 3, mRNA sequence.
1368912_at	1.599	Trh	thyrotropin releasing hormone
1379184_at	1.597		Transcribed sequences
1392664_at	1.591	Admr	adrenomedullin receptor
1368807_at	1.59	Rtn3	reticulon 3
1374575_at	1.588		Similar to old astrocyte specifically induced substance (LOC362165), mRNA
1391556_at	1.588		Transcribed sequences
1396481_at	1.577		Transcribed sequences
1384406_at	1.576		Transcribed sequences
1392609_at	1.575		Transcribed sequences
1389779_at	1.573		Similar to hypothetical protein FLJ20967 (LOC306376), mRNA
1368332_at	1.573	Gbp2	guanylate binding protein 2, interferon-inducible
1367850_at	1.569	Fcgr3	Fc receptor, IgG, low affinity III
1387799_at	1.568	Fxyd2	FXYD domain-containing ion transport regulator 2
1368775_at	1.565	Giot1	gonadotropin inducible ovarian transcription factor 1
1370682_at	1.565		Paired Ig-like receptor-B (Pirb) mRNA, complete cds
1369305_at	1.561	Grab	Grab protein
1379504_at	1.558		Transcribed sequences
1394654_at	1.552		Similar to zinc finger protein 451; coactivator for steroid receptors (LOC316312), mRNA
1375377_at	1.55		Transcribed sequences
1396719_at	1.549		UI-R-CA1-bhz-g-02-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bhz-g-02-0-UI 3, mRNA sequence.
1369623_at	1.548	AF145796	Rattus norvegicus morphine related protein-1 (AF145796), mRNA.
1382603_at	1.544		Similar to PD-1-ligand precursor (LOC309302), mRNA
1379805_at	1.534		Transcribed sequence with weak  similarity to protein pir:T32564 (C.elegans) T32564 hypothetical protein ZK185.2 - Caenorhabditis elegans
1374148_at	1.532		Transcribed sequences
1368420_at	1.531	Cp	ceruloplasmin
1371298_at	1.529	H19	H19 fetal liver mRNA
1391925_at	1.528		Similar to EBI-1 ligand chemokine (LOC362506), mRNA
1373829_at	1.524	Fgfr2	fibroblast growth factor receptor 2
1369615_at	1.523	Rap2a	rap2A-like protein
1376117_at	1.522	Ng22	Similar to NG22 (LOC294255), mRNA
1388285_at	1.522		R.norvegicus CaMII retropseudogene (clone lambda SC27).
1381215_at	1.519		Similar to Numblike (LOC292732), mRNA
1373153_at	1.518		Transcribed sequence with moderate similarity to protein prf:2122278A (H.sapiens) 2122278A myelin/oligodendrocyte glycoprotein [Homo sapiens]
1373970_at	1.516		Similar to RIKEN cDNA 9230117N10 (LOC361749), mRNA
1392866_at	1.515		Transcribed sequences
1376803_at	1.515	Rgs3	regulator of G-protein signaling 3
1376151_a_at	1.514		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1393638_at	1.511		UI-R-C3-ts-g-07-0-UI.s1 UI-R-C3 Rattus norvegicus cDNA clone UI-R-C3-ts-g-07-0-UI 3, mRNA sequence.
1397660_at	1.51		Similar to CG9109-PA (LOC288443), mRNA
1395471_at	1.51		Transcribed sequences
1388650_at	1.508	Top2a	topoisomerase (DNA) 2 alpha
1385862_at	1.508		Similar to RIKEN cDNA 4930438O05 (LOC301579), mRNA
1369899_s_at	1.508	Rabggta	go_function: prenyltransferase activity [goid 0004659] [evidence IEA]; go_function: protein prenyltransferase activity [goid 0008318] [evidence IEA]; go_function: transferase activity [goid 0016740] [evidence IEA]; go_process: protein amino acid prenylation [goid 0018346] [evidence IEA]; Rattus norvegicus Rab geranylgeranyl transferase, a subunit (Rabggta), mRNA.
1381481_at	1.506		Transcribed sequences
1373421_at	1.504		Similar to oriLyt TD-element binding protein 7 (LOC366994), mRNA
1371828_at	1.503		Similar to RIKEN cDNA 1500011H22 (LOC288667), mRNA
1387718_at	1.501	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7
1398380_at	1.499		Transcribed sequence with weak  similarity to protein pir:A45973 (H.sapiens) A45973 trichohyalin - human
1394795_at	1.499		Transcribed sequences
1375486_at	1.499		Similar to nuclear RNA export factor 1; tip associating protein; nuclear RNA export factor 1 (Mex67, yeast, homolog) (LOC317402), mRNA
1379486_at	1.498		Transcribed sequence with weak  similarity to protein pir:A46127 (H.sapiens) A46127 radixin - human
1368276_at	1.497	Syp	synaptophysin
1392689_at	1.496		Similar to lipoxygenase-3 (LOC287424), mRNA
1384287_at	1.491		Transcribed sequences
1380630_at	1.49		Similar to synaptotagmin XIV-related protein Strep14 (LOC299142), mRNA
1393462_at	1.49		Transcribed sequence with weak  similarity to protein sp:Q9UQ13 (H.sapiens) SHO2_HUMAN Leucine-rich repeat protein SHOC-2
1383183_at	1.488		Similar to CGI-04 protein (LOC287924), mRNA
1387529_a_at	1.488	Tagln3	transgelin 3
1390604_s_at	1.488		Similar to RIKEN cDNA 4930471O16 (LOC362548), mRNA
1396935_at	1.488		Transcribed sequences
1389019_at	1.487	LOC192243	golgi-associated protein GCP360
1393497_at	1.486		Transcribed sequence with moderate similarity to protein ref:NP_286085.1 (E. coli)  beta-D-galactosidase [Escherichia coli O157:H7 EDL933]
1390390_at	1.486		Similar to mKIAA0292 protein (LOC366964), mRNA
1379107_at	1.485		Transcribed sequence with moderate similarity to protein ref:NP_003750.1 (H.sapiens)  solute carrier family 4, sodium bicarbonate cotransporter, member 4; sodium bicarbonate cotransporter 1
1369645_at	1.484	Oprl	opioid receptor-like
1397970_at	1.483		Transcribed sequences
1377016_at	1.479		Similar to RIKEN cDNA 5730592L21 (LOC362978), mRNA
1397018_at	1.479		Transcribed sequences
1396206_at	1.478		Similar to Docking protein 5 (Downstream of tyrosine kinase 5) (Protein dok-5) (LOC366256), mRNA
1380774_at	1.476		Transcribed sequences
1389672_at	1.475		Transcribed sequences
1368124_at	1.475	Cpg21	MAP-kinase phosphatase (cpg21)
1393482_at	1.472		Transcribed sequences
1397032_at	1.472		UI-R-CA1-bif-h-05-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bif-h-05-0-UI 3, mRNA sequence.
1384192_at	1.472		Transcribed sequences
1376447_at	1.472		Similar to hypothetical protein A430110N23 (LOC308341), mRNA
1384716_at	1.47	Syt1	synaptotagmin 1
1377268_at	1.469		Similar to RIKEN cDNA 1200014M14 (LOC294667), mRNA
1374578_at	1.466		Transcribed sequences
1393224_at	1.465		Transcribed sequences
1395073_at	1.465		Transcribed sequence with weak  similarity to protein pir:RGECDW (E. coli) RGECDW transcription activator of D-serine dehydratase - Escherichia coli
1380891_at	1.465		Transcribed sequences
1383966_at	1.464		Similar to NBL4 (LOC307514), mRNA
1391564_at	1.464		Transcribed sequence with weak  similarity to protein sp:P58317 (H.sapiens) Z121_HUMAN Zinc finger protein 121
1381584_at	1.464		Transcribed sequences
1369034_at	1.46	Kcnj6	potassium inwardly-rectifying channel, subfamily J, member 6
1390789_at	1.46		Transcribed sequences
1397508_at	1.459		Similar to RIKEN cDNA 2310005B10 (LOC308490), mRNA
1382601_at	1.459		Transcribed sequences
1368101_at	1.457	Calm3	calmodulin 3
1379157_at	1.457		Transcribed sequences
1391139_at	1.456		Transcribed sequences
1387062_a_at	1.456	Chek1	checkpoint kinase 1 homolog (S. pombe)
1390319_at	1.455		UI-R-CV1-bvq-e-04-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-bvq-e-04-0-UI 3, mRNA sequence.
1396531_at	1.453		Transcribed sequences
1397253_at	1.452		Similar to mKIAA1122 protein (LOC312398), mRNA
1392863_at	1.451		Similar to Leucine-rich repeat transmembrane protein FLRT3 precursor (Fibronectin-like domain-containing leucine-rich transmembrane protein 3) (LOC366205), mRNA
1397304_at	1.449		UI-R-BJ0p-aiq-h-02-0-UI.s1 UI-R-BJ0p Rattus norvegicus cDNA clone UI-R-BJ0p-aiq-h-02-0-UI 3, mRNA sequence.
1377161_at	1.447		Transcribed sequences
1379598_at	1.446		Transcribed sequences
1396533_at	1.446		Transcribed sequences
1372683_at	1.446		Similar to molybdenum cofactor sulfurase (LOC361300), mRNA
1379632_at	1.444		UI-R-C1-lc-f-01-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-lc-f-01-0-UI 3, mRNA sequence.
1395291_at	1.444		Transcribed sequences
1392555_at	1.443		Similar to Ets transcription factor (LOC362733), mRNA
1381930_at	1.443	Cct5	chaperonin containing TCP1, subunit 5 (epsilon)
1383384_at	1.443		UI-R-CT0-bue-g-01-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-bue-g-01-0-UI 3, mRNA sequence.
1381787_at	1.443	Myh7	myosin heavy chain, polypeptide 7
1379927_at	1.443		Transcribed sequences
1383567_at	1.442		Similar to hypothetical protein MGC3279 similar to collectins (LOC366588), mRNA
1379285_at	1.442		Similar to 5830458K16Rik protein (LOC360733), mRNA
1387731_at	1.441	Gja3	connexin 46
1388172_at	1.438	Ust1	putative integral membrane transport UST1r
1391747_at	1.438		Similar to copine I (LOC362249), mRNA
1397218_at	1.438	Crmp4	dihydropyrimidinase-like 3
1397449_at	1.437		UI-R-C1-ld-a-07-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-ld-a-07-0-UI 3, mRNA sequence.
1381956_at	1.437		UI-R-AF0-xz-b-02-0-UI.s1 UI-R-AF0 Rattus norvegicus cDNA clone UI-R-AF0-xz-b-02-0-UI 3, mRNA sequence.
1383678_at	1.434		Similar to RIKEN cDNA 1810007P19 (LOC362595), mRNA
1371925_at	1.434		Similar to cation-transporting atpase (LOC290673), mRNA
1370267_at	1.432	Gsk3b	glycogen synthase kinase 3 beta
1369217_at	1.432	Nr4a3	nuclear receptor subfamily 4, group A, member 3
1371562_at	1.432	Epn2	EH domain binding protein epsin 2
1392649_at	1.431		Transcribed sequences
1381325_at	1.431		Transcribed sequences
1380080_at	1.43		Transcribed sequences
1377087_at	1.43		Transcribed sequences
1378015_at	1.429		Similar to TCA4 (LOC298006), mRNA
1389803_at	1.429		Transcribed sequences
1377766_at	1.428		Similar to erythroid differentiation-related factor 1 (LOC309069), mRNA
1392637_at	1.427		Transcribed sequences
1397062_at	1.426		Transcribed sequences
1378843_at	1.418		Transcribed sequences
1386879_at	1.417	Lgals3	lectin, galactose binding, soluble 3
1390050_at	1.413		Similar to Golgi phosphoprotein 2 (LOC306725), mRNA
1378757_at	1.413		Transcribed sequences
1390405_at	1.412		Transcribed sequences
1370055_at	1.412	Rab3d	RAB3D, member RAS oncogene family
1374779_at	1.412	F13a	coagulation factor XIIIa
1367587_at	1.412	Csh1v	Chorionic somatomammotropin hormone 1 variant; Placental lactogen-1
1384643_at	1.411		Transcribed sequences
1389232_at	1.411		Similar to WD repeat domain 5B (LOC303907), mRNA
1391808_at	1.41		Transcribed sequences
1387444_at	1.41	Bem2	brain-enriched membrane-associated protein tyrosine BEM-2
1372906_at	1.408		Similar to hypothetical protein MGC40841; similar to hypothetical protein MGC4707 (LOC295930), mRNA
1374527_at	1.408		Similar to hypothetical protein D4Ertd765e (LOC298381), mRNA
1377239_at	1.408		UI-R-CN1-cjf-k-17-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjf-k-17-0-UI 3, mRNA sequence.
1375690_at	1.407		Transcribed sequences
1395372_at	1.407		Similar to RIKEN cDNA 4832412O06 gene (LOC362800), mRNA
1373202_at	1.404	Gng3	Similar to seipin (LOC361722), mRNA
1397847_at	1.403		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1386002_at	1.403		Transcribed sequences
1384796_at	1.402		Similar to Olf-1/EBF-like-3 transcription factor (LOC361060), mRNA
1369351_at	1.402	Cntn3	contactin 3
1392401_s_at	1.402	Myh7	myosin heavy chain, polypeptide 7
1374896_at	1.402		Transcribed sequences
1393250_at	1.402		Transcribed sequence with weak  similarity to protein prf:2001471A (H.sapiens) 2001471A glycoprotein D [Homo sapiens]
1372010_at	1.401		Transcribed sequence with strong similarity to protein pir:T34519 (H.sapiens) T34519 MAPK-activated protein kinase
1387519_at	1.4	Vamp1	vesicle-associated membrane protein 1
1394695_at	1.4		Transcribed sequences
