Location	Accession no.	UniGene cluster	Log2 ratio	Gene name organized by designated gene products	Description/pathway	Function
1p33–p32	NM_003243	Hs.342874	1.6 ± 0.7	transforming growth factor, beta receptor III (betaglycan 300 kD)	TGF? receptor signalling pathway	Signal transduction mechanisms
5p15.2	NM_001332	Hs.80220	1.6 ± 0.2	catenin (cadherin-associated protein) ? 2	Cell adhesion	Signal transduction mechanisms
8q12–q13	NM_003580	Hs.78687	1.4 ± 0.6	neutral sphingomyelinase (N-SMase) activation associated factor	Receptor signalling protein; ceramide metabolism	Signal transduction mechanisms
2q37.1–q37.2	NM_014521	Hs.17667	1.4 ± 0.2	SH3-domain binding protein 4	Src homology 3 domains; endocytosis	Signal transduction mechanisms
10q26	NM_130435	Hs.31137	1.0 ± 0.5	protein tyrosine phosphatase, receptor type E, PTPRE	Phosphatidylinositol signalling pathway	Signal transduction mechanisms
17q23.3	NM_005501	Hs.265829	3.2 ± 0.7	integrin, ? 3 (antigen CD49C)	Cell adhesion receptor; cell-cell matrix adhesion	Cell adhesion/Cell motility/cell and matrix interaction-communication
10q24	NM_002658	Hs.77274	3.0 ± 0.4	plasminogen activator, urokinase	Cell growth and maintenance, cell adhesion; Trypsin-like serine protease	Cell adhesion/Cell motility/cell and matrix interaction-communication
1q25–q31	NM_018891	Hs.54451	2.3 ± 0.6	laminin, ? 2	Epidermal differentiation	Cell adhesion/Cell motility/cell and matrix interaction-communication
19q13	NM_002659	Hs.179657	2.1 ± 0.3	plasminogen activator, urokinase receptor, (PLAUR)	Chemotaxis; blood coagulation; signal transduction; GPI-anchored membrane-bound receptor	Cell adhesion/Cell motility/cell and matrix interaction-communication
4q23	NM_005723	Hs.8037	2.0 ± 0.2	Tetraspan 5 (TM4SF9)	Cell adhesion; cell motility; cell proliferation; mystery cell fate differentiation	Cell adhesion/Cell motility/cell and matrix interaction-communication
17q25	NM_003255	Hs.6441	1.9 ± 0.5	tissue inhibitor of metalloproteinase 2	Metalloprotease inhibitor; metastasis suppressor genes	Cell adhesion/Cell motility/cell and matrix interaction-communication
5q31	NM_000358	Hs.118787	1.7 ± 0.6	transforming growth factor, ?-induced, 68 kD	Cell adhesion inhibition	Cell adhesion/Cell motility/cell and matrix interaction-communication
6p12–p11	NM_020388	Hs.198689	1.6 ± 0.5	bullous pemphigoid antigen 1 (230/240 kD) (BPAG1)	Cell adhesion; ERM family	Cell adhesion/Cell motility/cell and matrix interaction-communication
2q34	NM_054034	Hs.287820	1.5 ± 0.4	fibronectin 1	Cell adhesion; extracellular matrix	Cell adhesion/Cell motility/cell and matrix interaction-communication
5p15.2	NM_004394	Hs.75189	2.1 ± 0.6	death-associated protein	Interferon-? apoptosis signalling pathway	Cell growth and apoptosis
4q34	NM_032991	Hs.74552	1.4 ± 0.3	caspase 3, apoptosis-related cysteine protease	Caspase cascade	Cell growth and apoptosis
5q12–q13.3	NM_003633	Hs.104925	1.8 ± 0.5	ectodermal-neural cortex (with BTB-like domain)	A ? propeller domain involved in protein-protein interactions and some enzymatic activities like gycolate oxidase	Developmental processes
8q24.1–q24.2	NM_018482	Hs.10669	1.5 ± 0.5	development and differentiation enhancing factor 1	SH3 domain; ankyrin repeats; Src homology 3 domains	Developmental processes
Xq11.2–q12	NM_002444	Hs.170328	4.5 ± 0.6	moesin	Cytoskeletal structural protein; cell motility; ERM family	Cell structure/matrix
4q21.21	NM_058172	Hs.5897	4.2 ± 0.4	Capillary morphogenesis protein 2 (CMG2)	von Willebrand factor (vWF) type A domain	Cell structure/matrix
3q13.33	NM_007085	Hs.296267	3.9 ± 0.2	follistatin-like 1	Kazal type serine protease inhibitors; heparan binding	Cell structure/matrix
6q12	NM_005625	Hs.8180	3.5 ± 0.4	syndecan binding protein (syntenin)	Cytoskeletal adaptor	Cell structure/matrix
5p15.1–p14.3	NM_012334	Hs.61638	2.4 ± 0.7	myosin X	A molecular link between PI3K and pseudopod extension during phagocytosis; ERM family	Cell structure/matrix
Xq24	NM_005032	Hs.4114	2.0 ± 0.5	plastin 3 (T isoform)	Actin cytoskeleton	Cell structure/matrix
6q25.2–q26	NM_003379	Hs.155191	1.1 ± 0.2	villin 2 (ezrin)	Cytoskeletal anchoring	Cell structure/matrix
3q13	NM_015480	Hs.21201	4.0 ± 0.4	nectin 3, poliovirus receptor-related 3	Immunoglobulin C-2 Type	Immune response
6p21.3	NM_005514	Hs.77961	2.3 ± 0.5	major histocompatibility complex, class I, B	Domains ? 1 and 2	Immune response
6p21.3	NM_002116	Hs.181244	2.2 ± 0.1	major histocompatibility complex, class I, A	Domains ? 1 and 2	Immune response
6p21.3	NM_002117	Hs.277477	2.1 ± 0.4	major histocompatibility complex, class I, C	Domains ? 1 and 2	Immune response
6p21.3	p13747	Hs.181392	2.0 ± 0.1	major histocompatibility complex, class I, E	Domains ? 1 and 2	Immune response
15q21–q22.2	NM_004048	Hs.75415	1.6 ± 0.3	?-2-microglobulin	Immunoglobulin C-2 Type	Immune response
11q23.1	NM_006169	Hs.76669	2.7 ± 0.4	nicotinamide N-methyltransferase	Metabolism of cofactors and vitamins; NNMT/PNMT/TEMT family	Metabolism
11q11	NM_016142	Hs.279617	2.6 ± 0.2	hydroxysteroid (17-?) dehydrogenase 12	Carbohydrate metabolism; nucleotide metabolism; nucleotide sugars metabolism	Metabolism
10q25.1–q25.2	NM_016234	Hs.11638	1.9 ± 0.2	fatty-acid-Coenzyme A ligase, long-chain 5	Lipid metabolism; AMP-binding enzyme	Metabolism
2q31	NM_013445	Hs.324784	1.6 ± 0.5	glutamate decarboxylase 1 (brain, 67 kD)	Carbohydrate metabolism; amino acid metabolism	Metabolism
4q35.1	NM_001921	Hs.76894	1.5 ± 0.4	dCMP deaminase	Nucleotide Metabolism; sorting and degradation, type II secretion system	Metabolism
9q21	NM_013417	Hs.172801	1.3 ± 0.4	isoleucine-tRNA synthetase	Metabolism of complex lipids; tRNA synthetases class I	Metabolism
20q11.21	NM_152931	Hs.166887	1.2 ± 0.4	copine	Cell adhesion molecule; vesicle-mediated transport; lipid metabolism	Metabolism
20pter–p12	NM_000311	Hs.74621	3.5 ± 0.8	prion protein (p27–30),PRNP	Major prion protein (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	Unknown
