GenBank™	Name	Description
NM_012839	Cycs	Cytochrome c, somatic
NM_012974	Lamb2	Laminin chain ? 2
NM_013111	Slc7a1	Solute carrier family 7 member A1 (amino acid transporter cationic 1)
NM_013174	Tgfb3	Transforming growth factor, ? 3
NM_017105	Bmp3	Bone morphogenetic protein 3
NM_017206	Slc6a6	Solute carrier family 6, member 6
NM_017365	Pdlim1	PDZ and LIM domain 1
NM_019153	Fbln5	Fibulin 5
NM_022207	Unc5h2	Transmembrane receptor Unc5H2
NM_024134	Ddit3	DNA damage-inducible transcript 3
NM_024159	Dab2	Disabled homolog 2, mitogen-responsive phosphoprotein
NM_024360	Hes1	Hairy and enhancer of split 1
NM_031549	Tagln	Transgelin (SM22 protein)
NM_031817	Omd	Osteomodulin
NM_053524	Nox4	NADPH oxidase 4
NM_053736	Casp11	Caspase 11
NM_130738	Snurf	SNRPN upstream reading frame
NM_131914	Cav2	Caveolin 2
NM_134351	Mat2a	Methionine adenosyltransferase II, ?
U05989	Pawr	PRKC, apoptosis, WT1, regulator
X78595	Npr3	Natriuretic peptide receptor 3
