RAE230A Affymetrix Sequence Code	Accession No.	Gene Name	Gene description	FC day-14	P-day-14	FC day -13	P- day-13	FC day 3	P- day 3
1384503_at	BI282567	KLK8_RAT	Rattus norvegicus similar to Neuropsin precursor (NP) (Kallikrein 8) (Brain serine protease 1) (LOC308565), mRNA					-2.08	1.52E-08
1387162_at	NM_019322.1	MCPT7_RAT	mast cell protease 7					-2.14	0.000003
1370072_at	NM_012608.1	MME_RAT	membrane metallo endopeptidase					-2.03	0.00000452
1387812_at	NM_012999.1	PACE4_RAT	Subtilisin - like endoprotease					-1.8	0.000000048
1369547_at	NM_130404.1	SERPINB7_RAT	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7					-4.04	0.000071
1375101_at	BI292651	SERPINB7_RAT	Rattus norvegicus transcribed sequences					-1.97	5.44E-08
1371113_a_at	M58040.1	TFRC_RAT	transferrin receptor					-2.01	0.00000291
1389648_at	AI170382	ANKRD3_RAT	Rattus norvegicus transcribed sequences					-2.41	0.00174
1387260_at	NM_053713.1	KLF4_RAT	Kruppel-like factor 4 (gut)					-1.96	8.03E-20
1368363_at	NM_053394.1	KLF5_RAT	Kruppel-like factor 5 (intestinal)					-2.05	0.000261
1377029_at	AI235414	RORA_RAT	Rattus norvegicus transcribed sequences					-1.95	2.57E-10
1368247_at	NM_031971.1	HSPA1A_RAT	heat shock 70kD protein 1A					-1.84	0.0000113
1367577_at	NM_031970.1	HSPB1_RAT	heat shock 27kDa protein 1					-1.89	1.32E-22
1372649_at	BM390305	HSPB7_RAT	Rattus norvegicus transcribed sequences			-2.15	0.000552	-11.64	8.74E-29
1388102_at	U66322.2	DIG1_RAT	dithiolethione-inducible gene-1					-2.42	0.0000129
1387505_at	NM_013145.1	GNAI1_RAT	guanine nucleotide binding protein, alpha inhibiting 1					-2.36	5.84E-09
1368872_a_at	NM_053309.1	HOMER2_RAT	homer, neuronal immediate early gene, 2					-1.97	1.64E-09
1387398_at	AA996685	PKIA_RAT	Rattus norvegicus transcribed sequences					-3.81	0.00174
1373082_at	AA893743	PKIA_RAT	Rattus norvegicus transcribed sequences					-2.14	2.36E-10
1387988_at	L17138.1	HSD3B1_RAT	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1					-2.22	0.000489
1368159_at	NM_080582.1	ABCB6_RAT	ATP-binding cassette, sub-family B (MDR/TAP), member 6					-2.09	0.000142
1387100_at	NM_031703.1	AQP3_RAT	aquaporin 3					-2.44	4.05E-12
1368469_at	NM_012779.1	AQP5_RAT	aquaporin 5					-2.04	0.000126
1368317_at	NM_019157.1	AQP7_RAT	aquaporin 7					-2.44	0.00204
1368621_at	NM_022960.1	AQP9_RAT	aquaporin 9					-3.1	0.00527
1374630_at	AI234249	CLIC3_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein ref:NP_004660.1 (H.sapiens)  chloride intracellular channel 3 [Homo sapiens]					-2.19	6.82E-08
1370254_at	AI172153	CLIC5_RAT	chloride intracellular channel 5					-2.7	3.03E-19
1387123_at	NM_012753.1	CYP17_RAT	cytochrome P450, subfamily 17					-3.63	0.00389
1370269_at	X00469.1	CYP1A1_RAT	cytochrome P450, 1a1					-9.08	0.00000614
1370387_at	U46118.1	CYP3A9_RAT	cytochrome P450 3A9					-1.91	0.00015
1370830_at	M37394.2	EGFR_RAT	epidermal growth factor receptor					-1.87	0.000000517
1368304_at	NM_053433.1	FMO3_RAT	flavin-containing monooxygenase 3					-1.81	0.00136
1389360_at	AI009597	FXYD3_RAT	FXYD domain-containing ion transport regulator 3					-2.69	3.21E-11
1369795_at	NM_053981.1	KCNJ12_RAT	potassium inwardly-rectifying channel, subfamily J, member 12					-2.13	0.000231
1369347_s_at	NM_138857.1	PROMRP_RAT	---					-2.07	0.00000547
1370850_at	AA685184	SCNB3_RAT	sodium channel beta 3 subunit					-2.3	0.000114
1387104_at	NM_031548.1	SCNN1A_RAT	sodium channel, nonvoltage-gated, type I, alpha polypeptide					-1.83	1.73E-08
1390716_at	BE098148	SLC25A4_RAT	Rattus norvegicus transcribed sequences					-4.27	1.92E-08
1375698_at	BG372400	SLC25A4_RAT	Rattus norvegicus transcribed sequences					-2.41	0.000000135
1388958_a_at	AA799760	SLC2A4_RAT	solute carrier family 2 , member 4					-4.91	7.76E-14
1367989_at	NM_012751.1	SLC2A4_RAT	solute carrier family 2 , member 4					-2.97	3.02E-12
1386934_at	NM_017348.1	SLC6A8_RAT	choline transporter					-1.82	5.23E-08
1368059_at	NM_053955.1	CRYM_RAT	crystallin, mu			-4.36	9.43E-11
1370823_at	AF387513.1	BAMBI_RAT	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)			-2.85	0.00583
1370201_at	X04280.1	CALB1_RAT	calbindin 1			-2.34	0.00886
1377014_at	BG375383	tar77233	Rattus norvegicus transcribed sequence with weak  similarity to protein sp:P57059 (H.sapiens) SN1L_HUMAN Probable serine/threonine protein kinase SNF1LK			-2.18	0.000844
1369977_at	NM_017237.1	UCHL1_RAT	ubiquitin carboxy-terminal hydrolase L1			-2	0.00284
1369203_at	NM_053738.1	WIF1_RAT	Wnt inhibitory factor 1			-1.54	0.0000532	-1.87	0.00000744
1388036_a_at	U83231.1	AF6_RAT	afadin					-1.8	0.00914
1389403_at	AI013715	BMP7_RAT	bone morphogenetic protein 7					-1.95	0.000019
1370135_at	NM_131914.1	CAV2_RAT	caveolin 2					-1.98	0.000000199
1367907_a_at	M19262.1	CLTB_RAT	clathrin, light polypeptide (Lcb)					-1.89	2.27E-08
1370026_at	NM_012935.1	CRYAB_RAT	crystallin, alpha B					-3.26	2.58E-36
1368189_at	NM_022389.1	DHCR7_RAT	7-dehydrocholesterol reductase					-2.1	7.27E-09
1368983_at	NM_012945.1	DTR_RAT	diphtheria toxin receptor					-2.37	0.000000585
1386907_at	NM_012949.1	ENO3_RAT	enolase 3, beta					-2.15	6.54E-12
1368355_at	NM_017083.1	MYO5B_RAT	myosin 5B					-2.33	0.00000894
1376128_at	AI103937	NTN1_RAT	Rattus norvegicus transcribed sequences					-2.23	3.20E-09
1387724_at	NM_012616.1	OMP_RAT	olfactory marker protein					-1.98	0.00909
1386961_at	BI291434	PFKM_RAT	phosphofructokinase, muscle					-2.22	2.32E-11
1370355_at	J02585.1	SCD1_RAT	stearoyl-Coenzyme A desaturase 1					-2	7.98E-13
1374762_at	BE108896	SIAT8B_RAT	Rattus norvegicus transcribed sequences					-1.84	0.00149
1372065_at	AI104393	TIG205410	ADP-ribosyltransferase 3					-2.18	9.11E-14
1374070_at	AA800587	TIG207197	glutathione peroxidase 2					-4.68	0.000000174
1372153_at	BM385502	TIG210514	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit					-1.81	0.00109
1370739_x_at	AF220558.1	TRDN_RAT	triadin 1					-1.82	0.00283
1375518_at	AI104533	TTN_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein pir:I38344 (H.sapiens) I38344 titin, cardiac muscle [validated] - human					-2.06	0.000000484
